Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.25,12.50,12.11,12.11,109500,11.413132
2014-12-30,12.20,12.29,12.15,12.25,70500,11.545076
2014-12-29,12.10,12.36,12.052,12.34,78200,11.629897
2014-12-26,12.341,12.47,12.26,12.26,99800,11.281189
2014-12-24,12.30,12.42,12.30,12.35,33000,11.364004
2014-12-23,12.42,12.425,12.18,12.40,57500,11.410011
2014-12-22,12.66,12.66,12.15,12.46,87000,11.465221
2014-12-19,12.55,12.85,12.55,12.57,51000,11.566439
2014-12-18,12.44,12.65,12.26,12.51,32800,11.511229
2014-12-17,12.32,12.65,12.20,12.31,14200,11.327197
2014-12-16,12.21,12.27,11.98,12.26,114400,11.281189
2014-12-15,12.33,12.57,12.24,12.25,25900,11.271987
2014-12-12,12.57,12.57,12.25,12.30,55700,11.317995
2014-12-11,12.41,12.75,12.41,12.56,22400,11.557238
2014-12-10,12.67,12.87,12.32,12.33,22800,11.3456
2014-12-09,12.60,12.78,12.45,12.67,56500,11.658455
2014-12-08,13.02,13.09,12.61,12.67,57200,11.658455
2014-12-05,13.04,13.069,12.86,12.98,15400,11.943705
2014-12-04,13.08,13.10,12.93,12.93,30100,11.897698
2014-12-03,13.03,13.18,13.00,13.00,29200,11.962109
2014-12-02,12.99,13.05,12.90,12.98,29700,11.943705
2014-12-01,13.27,13.27,12.84,12.90,23400,11.870092
2014-11-28,13.40,13.40,13.05,13.39,25200,12.320972
2014-11-26,13.20,13.39,13.02,13.26,51500,12.201351
2014-11-25,13.04,13.20,12.83,13.19,57700,12.136939
2014-11-24,13.10,13.10,12.863,12.97,29800,11.934504
2014-11-21,13.10,13.10,12.99,13.06,32900,12.017319
2014-11-20,13.06,13.11,12.94,13.00,36600,11.962109
2014-11-19,13.07,13.17,12.96,13.15,31300,12.100133
2014-11-18,13.10,13.18,12.99,13.18,33900,12.127738
2014-11-17,13.15,13.15,13.01,13.03,10700,11.989713
2014-11-14,13.04,13.19,13.02,13.15,10100,12.100133
2014-11-13,13.15,13.19,13.02,13.03,20000,11.989713
2014-11-12,13.21,13.22,13.117,13.20,15700,12.146141
2014-11-11,13.21,13.21,13.12,13.18,6500,12.127738
2014-11-10,13.22,13.22,13.11,13.11,16900,12.063326
2014-11-07,13.10,13.27,13.06,13.245,27000,12.187548
2014-11-06,13.19,13.25,13.06,13.07,23100,12.02652
2014-11-05,13.06,13.27,13.06,13.20,16200,12.146141
2014-11-04,13.25,13.25,12.97,13.08,34200,12.035722
2014-11-03,13.12,13.26,12.96,13.26,34300,12.201351
2014-10-31,12.905,13.15,12.72,13.15,60500,12.100133
2014-10-30,12.82,12.97,12.81,12.94,43700,11.906898
2014-10-29,12.97,12.99,12.69,12.80,120700,11.778076
2014-10-28,13.06,13.24,12.85,12.97,89700,11.934504
2014-10-27,13.22,13.22,13.01,13.07,40300,12.02652
2014-10-24,13.14,13.15,12.80,13.03,13700,11.989713
2014-10-23,13.23,13.29,12.78,13.01,38700,11.97131
2014-10-22,13.10,13.26,13.08,13.26,19300,12.201351
2014-10-21,12.31,13.12,12.31,13.10,60500,12.054125
2014-10-20,12.71,12.97,12.66,12.90,27800,11.870092
2014-10-17,13.13,13.26,12.91,12.97,27200,11.934504
2014-10-16,12.20,13.05,12.20,12.99,63300,11.952907
2014-10-15,12.76,12.78,12.12,12.44,172100,11.446817
2014-10-14,12.83,13.01,12.71,12.83,83800,11.805681
2014-10-13,13.16,13.17,12.69,12.78,64200,11.759673
