Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,59.189999,59.25,58.32,58.50,5748200,57.820998
2014-12-30,59.27,59.27,59.02,59.029999,1773300,58.344845
2014-12-29,59.41,59.560001,59.290001,59.419998,1271200,58.730318
2014-12-26,59.470001,59.639999,59.349998,59.549999,726900,58.85881
2014-12-24,59.380001,59.439999,59.23,59.310001,925100,58.621598
2014-12-23,59.18,59.34,59.09,59.200001,2522900,58.512874
2014-12-22,59.099998,59.23,58.990002,59.220001,2569200,58.532642
2014-12-19,58.91,59.139999,58.610001,58.869999,2189100,58.186702
2014-12-18,58.209999,58.73,58.040001,58.709999,2985200,58.02856
2014-12-17,56.610001,57.639999,56.610001,57.459999,4797700,56.793068
2014-12-16,57.029999,58.00,56.869999,56.990002,8379200,55.846191
2014-12-15,58.049999,58.16,56.970001,57.16,2925100,56.012777
2014-12-12,58.50,58.66,57.790001,57.790001,2015400,56.630134
2014-12-11,58.75,59.310001,58.689999,58.779999,1327400,57.600262
2014-12-10,59.389999,59.529999,58.650002,58.740002,1562300,57.561068
2014-12-09,59.34,59.689999,59.150002,59.639999,4709300,58.443002
2014-12-08,60.220001,60.220001,59.700001,59.830002,1268800,58.629191
2014-12-05,60.490002,60.509998,60.279999,60.389999,1440100,59.17795
2014-12-04,60.400002,60.50,60.119999,60.330002,2324400,59.119156
2014-12-03,60.32,60.50,60.240002,60.470001,908200,59.256346
2014-12-02,60.119999,60.34,60.040001,60.310001,2527200,59.099557
2014-12-01,60.130001,60.27,59.889999,60.049999,1393200,58.844773
2014-11-28,60.419998,60.560001,60.32,60.43,775200,59.217148
2014-11-26,60.669998,60.82,60.619999,60.799999,720400,59.579721
2014-11-25,60.720001,60.75,60.50,60.560001,1771500,59.344539
2014-11-24,60.630001,60.630001,60.459999,60.59,969000,59.373936
2014-11-21,60.630001,60.630001,60.23,60.439999,669500,59.226945
2014-11-20,59.66,59.959999,59.50,59.919998,578200,58.717381
2014-11-19,60.00,60.07,59.689999,59.959999,724400,58.756579
2014-11-18,59.830002,60.169998,59.790001,60.060001,796900,58.854575
2014-11-17,59.490002,59.66,59.389999,59.619999,367100,58.423403
2014-11-14,59.52,59.709999,59.450001,59.709999,1108500,58.511597
2014-11-13,59.669998,59.82,59.389999,59.630001,1042200,58.433205
2014-11-12,59.290001,59.59,59.290001,59.540001,3081100,58.345011
2014-11-11,59.599998,59.73,59.50,59.73,1422200,58.531196
2014-11-10,59.529999,59.610001,59.389999,59.529999,338800,58.335209
2014-11-07,59.259998,59.400002,59.09,59.400002,744300,58.207821
2014-11-06,59.200001,59.349998,59.00,59.259998,595000,58.070628
2014-11-05,59.34,59.360001,59.049999,59.32,651100,58.129425
2014-11-04,59.07,59.189999,58.77,59.080002,1337600,57.894244
2014-11-03,59.419998,59.50,59.240002,59.360001,1308300,58.168623
2014-10-31,59.459999,59.669998,59.310001,59.610001,1484200,58.413606
2014-10-30,58.189999,58.98,58.189999,58.830002,1028700,57.649262
2014-10-29,58.75,58.93,58.150002,58.389999,3362300,57.21809
2014-10-28,58.330002,58.66,58.23,58.650002,951400,57.472874
2014-10-27,57.709999,57.990002,57.549999,57.919998,1492600,56.757522
2014-10-24,57.720001,58.099998,57.66,58.080002,929000,56.914314
2014-10-23,57.700001,58.02,57.529999,57.75,1512400,56.590936
2014-10-22,57.549999,57.73,57.09,57.110001,1482500,55.963782
2014-10-21,57.049999,57.619999,56.919998,57.549999,710900,56.394949
2014-10-20,56.240002,56.75,56.189999,56.709999,1408800,55.571808
2014-10-17,56.220001,56.57,56.009998,56.310001,1354800,55.179839
2014-10-16,54.720001,55.990002,54.57,55.529999,2372700,54.415491
2014-10-15,55.490002,55.84,54.549999,55.689999,6117400,54.57228
2014-10-14,56.25,56.639999,55.93,56.09,1734500,54.964253
2014-10-13,56.68,56.950001,55.98,56.009998,1308400,54.885857
2014-10-10,57.139999,57.32,56.400002,56.400002,1409200,55.268032
2014-10-09,58.369999,58.389999,57.220001,57.27,3523800,56.12057
2014-10-08,57.740002,58.669998,57.380001,58.59,1720000,57.414077
2014-10-07,58.25,58.290001,57.639999,57.639999,2276100,56.483143
2014-10-06,58.52,58.700001,58.279999,58.529999,2214500,57.35528
2014-10-03,58.009998,58.349998,57.950001,58.23,1051900,57.061302
2014-10-02,57.93,58.07,57.330002,57.900002,1546200,56.737927
2014-10-01,58.720001,58.759998,58.00,58.130001,1328100,56.96331
2014-09-30,58.939999,59.18,58.740002,58.900002,1182400,57.717856
2014-09-29,58.77,59.130001,58.689999,59.049999,754100,57.864844
2014-09-26,59.07,59.540001,59.040001,59.389999,550600,58.19802
2014-09-25,59.720001,59.720001,58.98,58.98,817100,57.796249
2014-09-24,59.68,60.009998,59.439999,59.950001,648300,58.746782
2014-09-23,59.720001,59.869999,59.560001,59.580002,1246300,58.384209
2014-09-22,60.279999,60.330002,59.849998,59.959999,497000,58.756579
2014-09-19,60.720001,60.790001,60.369999,60.450001,439300,59.236747
2014-09-18,60.450001,60.66,60.450001,60.630001,459000,59.413134
2014-09-17,60.43,60.57,60.110001,60.25,744500,59.04076
2014-09-16,59.91,60.540001,59.849998,60.43,1052700,59.217148
2014-09-15,60.119999,60.130001,59.939999,60.049999,426800,58.844773
2014-09-12,60.299999,60.310001,59.970001,60.099998,850200,58.893769
2014-09-11,60.32,60.43,60.209999,60.400002,2468900,59.187751
2014-09-10,60.439999,60.619999,60.220001,60.59,823800,59.373936
2014-09-09,60.619999,60.619999,60.259998,60.400002,528400,59.187751
2014-09-08,60.959999,60.959999,60.580002,60.720001,555500,59.501328
2014-09-05,60.889999,61.150002,60.68,61.150002,600300,59.922698
2014-09-04,61.169998,61.32,60.759998,60.889999,2042900,59.667914
2014-09-03,61.299999,61.32,61.029999,61.09,1407100,59.863901
2014-09-02,60.990002,60.990002,60.68,60.880001,895500,59.658117
2014-08-29,60.84,60.919998,60.650002,60.919998,2565100,59.697311
2014-08-28,60.639999,60.82,60.599998,60.810001,1099200,59.589522
2014-08-27,60.93,61.009998,60.869999,60.990002,737200,59.76591
2014-08-26,60.830002,61.029999,60.830002,60.889999,692800,59.667914
2014-08-25,60.66,60.900002,60.66,60.82,567000,59.59932
2014-08-22,60.540001,60.630001,60.299999,60.450001,744100,59.236747
2014-08-21,60.580002,60.720001,60.529999,60.66,1014500,59.442531
2014-08-20,60.310001,60.549999,60.290001,60.50,1666400,59.285742
2014-08-19,60.349998,60.509998,60.299999,60.48,5075300,59.266143
2014-08-18,60.139999,60.240002,60.040001,60.240002,394900,59.030962
