Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,24.200001,24.290001,23.799999,24.27,29400,24.27
2014-12-30,24.00,24.26,23.83,24.209999,17700,24.209999
2014-12-29,24.139999,24.24,24.00,24.129999,26700,24.129999
2014-12-26,23.90,24.219999,23.639999,24.01,18800,24.01
2014-12-24,24.120001,24.120001,23.74,23.799999,11300,23.799999
2014-12-23,23.26,24.15,22.77,23.99,55400,23.99
2014-12-22,22.379999,23.25,21.93,23.01,41400,23.01
2014-12-19,21.719999,22.49,21.620001,22.32,191700,22.32
2014-12-18,21.68,21.809999,21.440001,21.780001,82200,21.780001
2014-12-17,22.040001,22.120001,21.02,21.68,83100,21.68
2014-12-16,22.780001,23.17,21.860001,22.040001,61600,22.040001
2014-12-15,23.09,23.549999,22.34,22.780001,48900,22.780001
2014-12-12,23.620001,23.950001,22.92,23.030001,61800,23.030001
2014-12-11,23.780001,24.040001,23.60,23.799999,81700,23.799999
2014-12-10,23.75,24.26,23.34,23.52,91100,23.52
2014-12-09,22.809999,23.700001,22.620001,23.66,32400,23.66
2014-12-08,22.92,23.16,22.82,22.879999,38100,22.879999
2014-12-05,23.27,23.50,22.77,22.879999,43500,22.879999
2014-12-04,23.32,23.469999,23.040001,23.27,38300,23.27
2014-12-03,23.34,23.50,23.00,23.40,79600,23.40
2014-12-02,23.040001,23.639999,22.879999,23.40,57400,23.40
2014-12-01,22.59,23.110001,22.33,23.02,87900,23.02
2014-11-28,22.99,23.360001,22.77,23.08,25800,23.08
2014-11-26,22.709999,23.00,22.27,22.93,45500,22.93
2014-11-25,22.299999,22.719999,21.51,22.610001,80200,22.610001
2014-11-24,22.049999,22.450001,21.90,22.42,51900,22.42
2014-11-21,22.00,22.209999,21.91,22.07,49400,22.07
2014-11-20,21.66,21.98,21.530001,21.860001,27400,21.860001
2014-11-19,22.00,22.00,21.18,21.66,50300,21.66
2014-11-18,21.440001,22.129999,21.440001,21.950001,41800,21.950001
2014-11-17,21.530001,21.610001,21.00,21.450001,34900,21.450001
2014-11-14,21.370001,21.76,21.10,21.629999,51500,21.629999
2014-11-13,21.25,21.629999,20.68,21.48,55300,21.48
2014-11-12,20.719999,21.33,20.48,21.26,35200,21.26
2014-11-11,20.60,21.059999,19.74,20.870001,48000,20.870001
2014-11-10,20.60,20.860001,20.16,20.780001,34900,20.780001
2014-11-07,20.40,20.85,20.139999,20.73,60300,20.73
2014-11-06,19.83,20.41,19.65,20.40,34300,20.40
2014-11-05,20.299999,20.469999,19.790001,19.860001,35700,19.860001
2014-11-04,19.879999,20.549999,19.870001,20.200001,23500,20.200001
2014-11-03,20.030001,20.50,19.75,20.10,36700,20.10
2014-10-31,19.57,20.450001,19.51,19.870001,105900,19.870001
2014-10-30,18.299999,19.40,17.959999,19.299999,126700,19.299999
2014-10-29,18.32,18.709999,17.92,18.559999,200300,18.559999
2014-10-28,18.16,18.389999,17.889999,18.27,28300,18.27
2014-10-27,18.00,18.200001,17.65,18.049999,46000,18.049999
2014-10-24,18.059999,18.379999,18.040001,18.129999,18800,18.129999
2014-10-23,18.52,18.52,18.01,18.120001,27900,18.120001
2014-10-22,18.67,18.700001,18.16,18.40,54900,18.40
2014-10-21,18.139999,18.74,17.91,18.73,60300,18.73
2014-10-20,17.91,18.18,17.059999,17.959999,87300,17.959999
2014-10-17,18.92,18.92,17.84,18.059999,32600,18.059999
2014-10-16,18.10,18.780001,18.08,18.65,16500,18.65
2014-10-15,18.290001,18.35,17.809999,17.940001,52700,17.940001
2014-10-14,18.940001,19.16,18.280001,18.459999,29100,18.459999
2014-10-13,18.57,19.25,18.48,18.700001,27000,18.700001
2014-10-10,18.40,19.370001,18.00,18.610001,35900,18.610001
2014-10-09,18.91,18.950001,18.370001,18.50,31400,18.50
2014-10-08,19.370001,19.370001,18.66,19.120001,42500,19.120001
2014-10-07,19.549999,19.68,19.25,19.360001,18700,19.360001
2014-10-06,20.09,20.09,19.50,19.59,23000,19.59
2014-10-03,20.290001,20.290001,19.73,19.93,26400,19.93
2014-10-02,20.23,20.48,19.84,20.08,26000,20.08
2014-10-01,19.690001,20.76,19.32,20.15,61600,20.15
2014-09-30,18.43,20.59,17.98,19.60,156300,19.60
