Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,2.26,2.27,2.26,2.26,900,2.26
2015-09-03,2.29,2.29,2.21,2.25,4000,2.25
2015-09-02,2.30,2.30,2.21,2.22,4900,2.22
2015-09-01,2.30,2.38,2.25,2.29,29200,2.29
2015-08-31,2.40,2.40,2.26,2.31,4500,2.31
2015-08-28,2.26,2.41,2.26,2.27,2100,2.27
2015-08-27,2.25,2.26,2.25,2.25,2000,2.25
2015-08-26,2.22,2.25,2.21,2.23,3500,2.23
2015-08-25,2.11,2.29,2.11,2.25,11300,2.25
2015-08-24,2.15,2.16,2.06,2.06,31500,2.06
2015-08-21,2.19,2.23,2.11,2.16,8700,2.16
2015-08-20,2.14,2.14,2.13,2.14,3700,2.14
2015-08-19,2.24,2.24,2.18,2.24,1700,2.24
2015-08-18,2.24,2.24,2.24,2.24,100,2.24
2015-08-17,2.21,2.25,2.11,2.16,13600,2.16
2015-08-14,2.21,2.25,2.21,2.25,3600,2.25
2015-08-13,2.12,2.28,2.12,2.21,16200,2.21
2015-08-12,2.13,2.28,2.13,2.24,9000,2.24
2015-08-11,2.15,2.25,2.07,2.24,32300,2.24
2015-08-10,2.23,2.25,2.20,2.25,15600,2.25
2015-08-07,2.05,2.24,2.05,2.22,5600,2.22
2015-08-06,2.19,2.19,2.06,2.06,6800,2.06
2015-08-05,2.26,2.26,2.13,2.20,3700,2.20
2015-08-04,2.25,2.27,2.13,2.25,6800,2.25
2015-08-03,2.17,2.17,2.16,2.16,800,2.16
2015-07-31,2.29,2.29,2.06,2.24,20300,2.24
2015-07-30,2.11,2.32,2.11,2.21,11000,2.21
2015-07-29,2.19,2.30,2.06,2.08,9500,2.08
2015-07-28,2.18,2.41,2.17,2.20,39000,2.20
2015-07-27,2.05,2.20,2.03,2.19,21400,2.19
2015-07-24,1.95,2.05,1.95,2.05,16600,2.05
2015-07-23,2.04,2.05,1.96,2.01,20700,2.01
2015-07-22,2.01,2.05,1.99,2.00,11900,2.00
2015-07-21,2.05,2.15,2.00,2.01,27700,2.01
2015-07-20,2.02,2.08,1.97,2.04,12100,2.04
2015-07-17,2.05,2.14,1.98,2.02,25700,2.02
2015-07-16,2.09,2.19,2.05,2.07,12200,2.07
2015-07-15,2.15,2.25,2.05,2.14,17700,2.14
2015-07-14,2.12,2.14,2.10,2.14,1600,2.14
2015-07-13,2.15,2.17,2.10,2.11,6400,2.11
2015-07-10,2.09,2.11,2.06,2.10,8600,2.10
2015-07-09,2.04,2.21,2.04,2.07,6500,2.07
2015-07-08,2.25,2.25,2.07,2.08,16700,2.08
2015-07-07,2.38,2.38,2.11,2.25,23200,2.25
2015-07-06,2.30,2.30,2.11,2.23,16300,2.23
2015-07-02,2.35,2.38,2.23,2.26,10200,2.26
2015-07-01,2.30,2.38,2.28,2.35,15200,2.35
2015-06-30,2.03,2.37,2.00,2.28,34900,2.28
