Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,3.12,3.19,3.10,3.10,5800,3.10
2015-09-03,3.33,3.72,3.22,3.22,4900,3.22
2015-09-02,3.82,3.95,3.30,3.32,2000,3.32
2015-09-01,3.59,3.59,3.38,3.55,2300,3.55
2015-08-31,3.57,3.66,3.38,3.39,10500,3.39
2015-08-28,4.00,4.00,3.65,3.75,2500,3.75
2015-08-27,3.98,4.00,3.14,3.55,20000,3.55
2015-08-26,3.75,3.97,3.75,3.77,7500,3.77
2015-08-25,3.75,3.90,3.75,3.90,1800,3.90
2015-08-24,4.01,4.01,3.94,3.94,9700,3.94
2015-08-21,4.03,4.03,4.03,4.03,100,4.03
2015-08-20,4.08,4.08,4.08,4.08,000,4.08
2015-08-19,4.10,4.29,4.07,4.08,5200,4.08
2015-08-18,3.76,3.76,3.75,3.75,300,3.75
2015-08-17,3.88,4.06,3.80,3.80,11600,3.80
2015-08-14,4.23,4.23,4.03,4.03,1200,4.03
2015-08-13,4.66,4.66,3.50,4.30,1200,4.30
2015-08-12,4.49,4.71,4.49,4.71,3000,4.71
2015-08-11,4.51,4.70,4.51,4.68,6800,4.68
2015-08-10,4.66,4.68,4.29,4.60,5000,4.60
2015-08-07,4.75,4.75,4.55,4.68,4100,4.68
2015-08-06,4.47,4.65,4.47,4.65,7000,4.65
2015-08-05,4.41,4.60,4.06,4.60,9900,4.60
2015-08-04,4.57,4.75,4.27,4.73,1500,4.73
2015-08-03,4.35,4.50,3.82,4.50,3800,4.50
2015-07-31,4.27,4.43,3.89,4.43,6000,4.43
2015-07-30,4.30,4.30,4.30,4.30,000,4.30
2015-07-29,4.10,4.50,4.10,4.30,2200,4.30
2015-07-28,4.40,4.41,4.36,4.36,3000,4.36
2015-07-27,3.50,4.40,3.50,4.40,300,4.40
2015-07-24,4.75,4.75,3.80,4.47,6300,4.47
2015-07-23,4.50,4.55,4.50,4.55,62500,4.55
2015-07-22,3.96,4.56,3.96,4.53,1400,4.53
2015-07-21,4.28,4.58,4.28,4.54,2700,4.54
2015-07-20,4.23,4.55,3.90,4.55,1300,4.55
2015-07-17,4.23,4.37,4.23,4.29,2000,4.29
2015-07-16,3.94,4.25,3.93,4.01,4100,4.01
2015-07-15,4.46,4.54,4.08,4.10,1100,4.10
2015-07-14,4.58,4.58,4.58,4.58,000,4.58
2015-07-13,4.58,4.58,4.58,4.58,000,4.58
2015-07-10,4.57,4.58,4.50,4.58,800,4.58
2015-07-09,4.58,4.58,4.44,4.44,1200,4.44
2015-07-08,4.41,4.68,4.38,4.58,1300,4.58
2015-07-07,4.41,4.80,4.40,4.80,900,4.80
2015-07-06,4.44,4.77,4.44,4.77,400,4.77
2015-07-02,4.44,4.88,4.42,4.42,3400,4.42
2015-07-01,5.10,5.14,4.66,4.66,400,4.66
2015-06-30,4.74,5.19,4.74,5.10,1300,5.10
2015-06-29,4.62,5.28,4.38,4.86,5000,4.86
2015-06-26,5.39,5.50,5.39,5.50,10600,5.50
2015-06-25,5.39,5.44,5.39,5.44,3000,5.44
2015-06-24,5.23,5.43,5.20,5.43,12500,5.43
2015-06-23,5.05,5.25,5.05,5.25,400,5.25
2015-06-22,5.12,5.23,5.10,5.23,4800,5.23
2015-06-19,5.15,5.20,5.10,5.10,1500,5.10
2015-06-18,5.22,5.22,5.22,5.22,300,5.22
2015-06-17,5.17,5.17,5.17,5.17,400,5.17
2015-06-16,5.22,5.22,5.02,5.16,11800,5.16
2015-06-15,5.40,5.40,5.00,5.04,1000,5.04
2015-06-12,5.07,5.07,5.07,5.07,000,5.07
2015-06-11,4.56,5.07,4.56,5.07,600,5.07
2015-06-10,4.63,5.03,4.60,4.99,2300,4.99
2015-06-09,5.05,5.08,4.47,4.74,11300,4.74
2015-06-08,5.25,5.25,5.25,5.25,000,5.25
2015-06-05,5.24,5.27,5.03,5.25,1800,5.25
2015-06-04,5.38,5.42,5.24,5.24,2500,5.24
2015-06-03,5.40,5.50,5.27,5.43,1700,5.43
2015-06-02,5.50,5.50,5.50,5.50,000,5.50
2015-06-01,5.50,5.50,5.50,5.50,000,5.50
2015-05-29,5.50,5.50,5.50,5.50,1600,5.50
2015-05-28,5.52,5.54,5.24,5.54,4800,5.54
2015-05-27,5.54,5.54,5.46,5.46,3500,5.46
2015-05-26,5.44,5.45,5.33,5.45,3700,5.45
2015-05-22,5.45,5.54,5.45,5.54,11600,5.54
2015-05-21,5.49,5.52,5.24,5.27,6900,5.27
2015-05-20,5.33,5.52,5.30,5.52,7200,5.52
2015-05-19,5.50,5.50,5.31,5.31,2700,5.31
2015-05-18,5.47,5.50,5.46,5.50,4500,5.50
2015-05-15,5.53,5.54,5.49,5.53,4200,5.53
2015-05-14,5.50,5.50,5.50,5.50,000,5.50
2015-05-13,5.50,5.57,5.31,5.50,17800,5.50
2015-05-12,5.50,5.51,5.50,5.51,1200,5.51
2015-05-11,5.28,5.52,5.28,5.48,8800,5.48
2015-05-08,5.50,5.59,5.29,5.29,6000,5.29
2015-05-07,5.51,5.51,5.51,5.51,100,5.51
2015-05-06,5.55,5.66,5.49,5.53,5000,5.53
2015-05-05,5.60,5.60,5.43,5.51,5100,5.51
2015-05-04,5.38,5.41,5.38,5.41,300,5.41
2015-05-01,5.46,5.60,5.39,5.39,3000,5.39
2015-04-30,5.59,5.69,5.39,5.39,7500,5.39
2015-04-29,5.39,5.55,5.38,5.53,2400,5.53
2015-04-28,5.42,5.77,5.42,5.52,15400,5.52
2015-04-27,5.82,5.95,5.80,5.80,4000,5.80
2015-04-24,5.35,5.97,5.35,5.89,9100,5.89
2015-04-23,5.45,5.87,5.45,5.53,3700,5.53
2015-04-22,5.85,5.85,5.46,5.46,3400,5.46
2015-04-21,5.70,5.92,5.18,5.87,4500,5.87
2015-04-20,6.12,6.24,5.95,6.03,31900,6.03
2015-04-17,5.95,6.10,5.64,6.08,7900,6.08
2015-04-16,5.91,5.98,5.83,5.95,15700,5.95
2015-04-15,5.63,5.97,5.50,5.92,14000,5.92
2015-04-14,5.30,5.75,5.30,5.57,17400,5.57
2015-04-13,5.18,5.31,4.90,5.30,16500,5.30
2015-04-10,4.98,5.26,4.98,5.26,22000,5.26
2015-04-09,4.70,5.00,4.67,5.00,13600,5.00
2015-04-08,4.41,4.62,4.31,4.61,24800,4.61
2015-04-07,4.11,4.11,4.09,4.09,700,4.09
2015-04-06,4.30,4.30,4.08,4.24,5700,4.24
2015-04-02,4.10,4.32,4.06,4.25,6000,4.25
2015-04-01,4.23,4.23,3.97,4.16,3700,4.16
2015-03-31,3.81,4.32,3.81,4.21,27300,4.21
2015-03-30,3.65,3.84,3.65,3.82,12800,3.82
2015-03-27,3.55,3.64,3.50,3.60,14600,3.60
2015-03-26,3.54,3.55,3.50,3.55,10000,3.55
2015-03-25,3.40,3.54,3.40,3.54,2400,3.54
2015-03-24,3.33,3.55,3.33,3.51,9300,3.51
2015-03-23,3.27,3.45,3.25,3.45,3800,3.45
2015-03-20,3.31,3.47,3.25,3.36,9100,3.36
2015-03-19,3.36,3.54,3.33,3.54,3000,3.54
2015-03-18,3.58,3.61,3.41,3.60,10600,3.60
2015-03-17,3.30,3.43,3.30,3.42,1100,3.42
2015-03-16,3.44,3.55,3.05,3.26,14600,3.26
2015-03-13,3.39,3.59,3.39,3.44,5200,3.44
2015-03-12,3.56,3.65,3.31,3.47,39100,3.47
2015-03-11,3.56,3.66,3.54,3.55,10000,3.55
2015-03-10,3.60,3.60,3.56,3.56,700,3.56
2015-03-09,3.55,3.62,3.55,3.57,4100,3.57
2015-03-06,3.74,3.74,3.66,3.68,2300,3.68
2015-03-05,3.84,3.84,3.60,3.80,9400,3.80
2015-03-04,3.81,3.88,3.66,3.74,8300,3.74
2015-03-03,3.80,3.80,3.61,3.70,4900,3.70
2015-03-02,3.97,4.00,3.75,3.76,4900,3.76
2015-02-27,3.88,3.89,3.79,3.87,6700,3.87
2015-02-26,4.16,4.16,3.80,3.80,6800,3.80
2015-02-25,4.10,4.20,3.89,4.20,2600,4.20
2015-02-24,4.16,4.32,3.86,4.00,12800,4.00
2015-02-23,4.24,4.24,3.81,3.91,6700,3.91
2015-02-20,4.23,4.40,4.03,4.14,16400,4.14
2015-02-19,4.10,4.44,4.10,4.18,11600,4.18
2015-02-18,4.55,4.74,4.10,4.10,11700,4.10
2015-02-17,5.10,5.46,4.28,4.47,73000,4.47
2015-02-13,4.82,5.80,4.76,5.00,149500,5.00
2015-02-12,4.50,4.75,4.33,4.74,17100,4.74
2015-02-11,3.97,4.53,3.91,4.31,45600,4.31
2015-02-10,3.85,4.15,3.82,4.05,32500,4.05
2015-02-09,3.81,3.98,3.80,3.88,7900,3.88
2015-02-06,3.81,4.06,3.72,3.74,5800,3.74
2015-02-05,4.13,4.42,3.59,3.70,31700,3.70
2015-02-04,4.07,4.73,4.04,4.22,8400,4.22
2015-02-03,4.20,4.23,3.91,4.22,10400,4.22
2015-02-02,4.64,4.64,4.11,4.11,3100,4.11
2015-01-30,4.98,4.98,4.67,4.72,44900,4.72
2015-01-29,5.24,5.40,4.80,4.98,84500,4.98
2015-01-28,4.31,5.35,4.31,5.35,30800,5.35
2015-01-27,4.63,4.80,4.13,4.50,45100,4.50
2015-01-26,4.55,4.61,4.50,4.61,8400,4.61
2015-01-23,4.30,4.70,4.25,4.55,2600,4.55
2015-01-22,4.09,4.45,4.09,4.16,1700,4.16
2015-01-21,4.55,4.55,4.10,4.10,2200,4.10
2015-01-20,4.84,4.84,4.50,4.67,3200,4.67
2015-01-16,5.25,5.30,4.84,4.84,12100,4.84
2015-01-15,5.25,5.26,5.20,5.21,2300,5.21
2015-01-14,5.40,5.40,5.25,5.25,1300,5.25
2015-01-13,5.49,5.49,5.49,5.49,000,5.49
2015-01-12,5.50,5.50,5.45,5.49,400,5.49
2015-01-09,5.64,5.74,5.64,5.65,7200,5.65
2015-01-08,5.80,5.97,5.69,5.69,16300,5.69
2015-01-07,5.90,6.12,5.32,5.80,47400,5.80
2015-01-06,5.49,5.63,5.29,5.58,12100,5.58
2015-01-05,5.48,5.69,5.45,5.45,2100,5.45
2015-01-02,5.52,5.79,5.45,5.45,8500,5.45
