Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,2.21,2.28,2.16,2.28,148100,2.28
2015-09-03,2.23,2.25,2.20,2.25,98300,2.25
2015-09-02,2.22,2.25,2.20,2.23,125400,2.23
2015-09-01,2.14,2.23,2.14,2.22,101800,2.22
2015-08-31,2.11,2.23,2.09,2.22,197300,2.22
2015-08-28,2.01,2.17,2.01,2.15,338400,2.15
2015-08-27,2.03,2.04,1.99,2.04,193600,2.04
2015-08-26,2.03,2.06,1.99,2.03,162100,2.03
2015-08-25,2.07,2.07,1.98,2.02,159600,2.02
2015-08-24,1.98,2.04,1.98,2.04,219300,2.04
2015-08-21,2.13,2.15,2.08,2.11,152600,2.11
2015-08-20,2.11,2.16,2.10,2.15,80200,2.15
2015-08-19,2.14,2.16,2.10,2.15,129600,2.15
2015-08-18,2.09,2.16,2.05,2.16,104100,2.16
2015-08-17,2.08,2.12,2.03,2.12,180500,2.12
2015-08-14,2.02,2.08,2.02,2.08,143300,2.08
2015-08-13,2.03,2.09,2.02,2.03,116500,2.03
2015-08-12,2.05,2.09,2.01,2.07,168200,2.07
2015-08-11,2.16,2.16,2.05,2.08,244800,2.08
2015-08-10,1.95,2.17,1.95,2.16,338300,2.16
2015-08-07,2.11,2.16,2.05,2.15,112000,2.15
2015-08-06,2.12,2.16,2.04,2.12,126600,2.12
2015-08-05,2.11,2.15,2.09,2.12,109700,2.12
2015-08-04,2.12,2.15,2.10,2.13,94300,2.13
2015-08-03,2.17,2.18,2.10,2.13,88000,2.13
2015-07-31,2.16,2.19,2.13,2.16,51500,2.16
2015-07-30,2.13,2.18,2.10,2.15,85600,2.15
2015-07-29,2.00,2.19,2.00,2.16,192100,2.16
2015-07-28,2.01,2.05,1.99,2.00,122700,2.00
2015-07-27,1.97,2.03,1.89,2.01,141500,2.01
2015-07-24,2.03,2.04,1.98,2.00,125700,2.00
2015-07-23,2.15,2.19,2.02,2.03,176300,2.03
2015-07-22,2.25,2.25,2.12,2.16,135100,2.16
2015-07-21,2.22,2.28,2.19,2.25,90000,2.25
2015-07-20,2.29,2.29,2.17,2.25,951600,2.25
2015-07-17,2.24,2.30,2.19,2.29,74100,2.29
2015-07-16,2.26,2.31,2.23,2.23,76200,2.23
2015-07-15,2.14,2.30,2.14,2.24,392500,2.24
2015-07-14,2.14,2.21,2.14,2.20,92400,2.20
2015-07-13,2.19,2.19,2.13,2.16,401200,2.16
2015-07-10,2.17,2.23,2.13,2.16,319700,2.16
2015-07-09,2.12,2.23,2.12,2.15,263700,2.15
2015-07-08,2.13,2.17,2.10,2.10,188400,2.10
2015-07-07,2.20,2.24,2.16,2.17,101800,2.17
2015-07-06,2.27,2.27,2.16,2.24,218600,2.24
2015-07-02,2.36,2.38,2.27,2.30,220200,2.30
2015-07-01,2.39,2.41,2.37,2.37,129500,2.37
2015-06-30,2.41,2.42,2.35,2.40,156800,2.40
2015-06-29,2.39,2.49,2.35,2.38,273500,2.38
2015-06-26,2.50,2.51,2.40,2.40,139900,2.40
2015-06-25,2.45,2.52,2.45,2.51,129100,2.51
2015-06-24,2.55,2.57,2.44,2.47,160200,2.47
