Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,15.89,15.90,15.57,15.61,3210800,14.871908
2014-12-30,15.68,15.88,15.53,15.77,2847000,15.024344
2014-12-29,15.90,15.93,15.74,15.79,2256000,15.043398
2014-12-26,15.88,15.97,15.86,15.95,1530200,15.195832
2014-12-24,15.80,15.86,15.75,15.86,1018200,15.110088
2014-12-23,15.79,15.81,15.70,15.79,1894900,15.043398
2014-12-22,15.90,15.94,15.66,15.77,2725500,15.024344
2014-12-19,15.90,15.99,15.71,15.91,2932900,15.157724
2014-12-18,15.50,15.82,15.19,15.81,4906900,15.062452
2014-12-17,14.66,14.90,14.66,14.86,3100100,14.157371
2014-12-16,14.75,14.93,14.63,14.66,4408500,13.966828
2014-12-15,15.23,15.32,14.84,14.89,3906300,14.185953
2014-12-12,15.38,15.39,15.12,15.13,4234700,14.414605
2014-12-11,15.87,15.87,15.40,15.50,3419800,14.76711
2014-12-10,16.16,16.219999,16.110001,16.17,4323800,15.043397
2014-12-09,15.89,16.16,15.82,16.16,2929600,15.034094
2014-12-08,16.110001,16.190001,15.91,15.97,2038800,14.857332
2014-12-05,16.09,16.15,16.00,16.049999,1338700,14.931757
2014-12-04,16.00,16.09,15.95,16.040001,1729800,14.922455
2014-12-03,16.10,16.120001,16.00,16.00,1542400,14.885242
2014-12-02,16.33,16.34,16.049999,16.07,1535400,14.950364
2014-12-01,16.40,16.440001,15.99,16.129999,1742900,15.006183
2014-11-28,16.450001,16.450001,16.299999,16.450001,940700,15.30389
2014-11-26,16.450001,16.48,16.299999,16.43,1285900,15.285283
2014-11-25,16.33,16.450001,16.280001,16.40,1479100,15.257372
2014-11-24,16.26,16.379999,16.25,16.34,1403000,15.201553
2014-11-21,16.450001,16.450001,16.18,16.18,2104000,15.052701
2014-11-20,16.360001,16.42,16.27,16.41,1430800,15.266676
2014-11-19,16.33,16.379999,16.25,16.35,1869200,15.210857
2014-11-18,16.450001,16.450001,16.18,16.33,1637900,15.19225
2014-11-17,16.33,16.42,16.18,16.42,1627500,15.275979
2014-11-14,16.370001,16.440001,16.299999,16.379999,1602300,15.238765
2014-11-13,16.18,16.440001,16.18,16.360001,1221100,15.22016
2014-11-12,16.33,16.41,16.299999,16.40,1071900,15.257372
2014-11-11,16.34,16.450001,16.27,16.33,2027000,15.19225
2014-11-10,16.32,16.389999,16.280001,16.33,992200,15.19225
2014-11-07,16.299999,16.440001,16.200001,16.290001,2281900,15.155037
2014-11-06,16.200001,16.25,16.01,16.129999,1491600,15.006183
2014-11-05,16.049999,16.24,15.98,16.139999,2043900,15.015487
2014-11-04,16.00,16.02,15.85,15.92,1783600,14.810815
2014-11-03,15.95,16.02,15.88,15.92,1709500,14.810815
2014-10-31,15.99,16.01,15.94,15.99,1558400,14.875938
2014-10-30,15.87,15.95,15.78,15.91,1491100,14.801512
2014-10-29,15.91,16.00,15.82,15.91,1441200,14.801512
2014-10-28,15.93,15.94,15.77,15.89,2379900,14.782906
2014-10-27,15.92,15.94,15.83,15.89,1764900,14.782906
2014-10-24,15.97,16.030001,15.93,15.99,1050900,14.875938
2014-10-23,16.10,16.10,15.90,15.93,2176900,14.820119
2014-10-22,16.08,16.17,15.96,15.97,1761900,14.857332
2014-10-21,16.049999,16.08,15.94,16.08,3307800,14.959668
2014-10-20,15.94,16.059999,15.90,16.01,1938400,14.894545
2014-10-17,15.82,16.08,15.75,15.91,2933300,14.801512
2014-10-16,15.01,15.72,14.93,15.69,5134600,14.59684
2014-10-15,15.22,15.33,14.68,15.16,5205100,14.103766
2014-10-14,15.30,15.46,15.22,15.39,3515800,14.317742
2014-10-13,15.40,15.62,15.28,15.29,3589600,14.224709
2014-10-10,15.96,15.98,15.11,15.44,4700000,14.364258
2014-10-09,16.129999,16.190001,15.91,15.93,2455500,14.820119
2014-10-08,16.07,16.23,15.94,16.15,2102000,15.02479
2014-10-07,16.16,16.290001,16.110001,16.139999,2368200,15.015487
2014-10-06,16.209999,16.27,16.129999,16.200001,1350500,15.071308
2014-10-03,16.190001,16.25,16.10,16.190001,4642700,15.062004
2014-10-02,16.26,16.309999,16.049999,16.139999,2046400,15.015487
2014-10-01,16.17,16.27,16.07,16.209999,3646000,15.080609
2014-09-30,16.299999,16.32,16.129999,16.16,3780100,15.034094
2014-09-29,16.139999,16.23,16.02,16.17,3427900,15.043397
2014-09-26,16.139999,16.24,16.059999,16.200001,3003400,15.071308
2014-09-25,16.440001,16.440001,16.110001,16.120001,2690100,14.996882
2014-09-24,16.209999,16.42,16.200001,16.40,3511800,15.257372
2014-09-23,16.25,16.48,16.23,16.25,2535400,15.117823
2014-09-22,16.35,16.43,16.219999,16.27,2187700,15.13643
2014-09-19,16.50,16.530001,16.32,16.35,3341900,15.210857
2014-09-18,16.52,16.59,16.40,16.450001,2508300,15.30389
2014-09-17,16.41,16.58,16.379999,16.50,1160300,15.350405
2014-09-16,16.360001,16.48,16.26,16.379999,1742000,15.238765
2014-09-15,16.60,16.620001,16.360001,16.42,2014500,15.275979
2014-09-12,16.68,16.709999,16.549999,16.58,1495500,15.424831
2014-09-11,16.709999,16.799999,16.620001,16.67,1312400,15.508561
2014-09-10,17.08,17.09,17.040001,17.040001,1878800,15.499259
2014-09-09,17.030001,17.10,17.00,17.10,2352700,15.553834
2014-09-08,17.049999,17.10,16.98,17.040001,1101000,15.499259
2014-09-05,17.059999,17.08,16.98,17.049999,910900,15.508353
2014-09-04,17.08,17.10,17.00,17.040001,1441600,15.499259
2014-09-03,17.17,17.17,17.02,17.040001,1166200,15.499259
2014-09-02,17.17,17.17,17.049999,17.110001,1311500,15.56293
2014-08-29,17.10,17.24,17.07,17.15,1562400,15.599312
2014-08-28,17.059999,17.110001,16.969999,17.10,1188800,15.553834
2014-08-27,17.030001,17.08,16.969999,17.059999,1382500,15.517449
2014-08-26,17.030001,17.030001,16.940001,16.969999,1401600,15.435587
2014-08-25,17.00,17.00,16.889999,16.99,1613200,15.453779
2014-08-22,16.98,17.030001,16.93,16.950001,797100,15.417397
2014-08-21,17.00,17.030001,16.950001,16.959999,1438200,15.426491
2014-08-20,16.93,17.01,16.92,16.98,2004000,15.444683
2014-08-19,16.93,16.99,16.85,16.889999,1386200,15.362821
2014-08-18,16.85,16.959999,16.84,16.93,1173800,15.399205
2014-08-15,16.809999,16.84,16.73,16.809999,1471400,15.290054
2014-08-14,16.790001,16.82,16.690001,16.790001,1642700,15.271864
2014-08-13,16.57,16.76,16.57,16.74,1326600,15.226384
2014-08-12,16.65,16.719999,16.639999,16.709999,1272200,15.199096
2014-08-11,16.65,16.780001,16.65,16.67,1092600,15.162713
2014-08-08,16.59,16.620001,16.450001,16.620001,2257900,15.117235
2014-08-07,16.59,16.74,16.459999,16.49,2640100,14.998989
2014-08-06,16.290001,16.58,16.290001,16.57,3535600,15.071755
