Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,1.37,1.42,1.30,1.34,170200,1.34
2015-09-03,1.41,1.45,1.40,1.40,115700,1.40
2015-09-02,1.47,1.48,1.40,1.42,64600,1.42
2015-09-01,1.44,1.52,1.42,1.47,199100,1.47
2015-08-31,1.45,1.53,1.45,1.48,29800,1.48
2015-08-28,1.45,1.55,1.45,1.45,89000,1.45
2015-08-27,1.36,1.52,1.36,1.45,166300,1.45
2015-08-26,1.42,1.42,1.30,1.35,313400,1.35
2015-08-25,1.44,1.50,1.39,1.41,162400,1.41
2015-08-24,1.26,1.43,1.26,1.43,224400,1.43
2015-08-21,1.58,1.58,1.46,1.48,140400,1.48
2015-08-20,1.57,1.60,1.47,1.47,272500,1.47
2015-08-19,1.65,1.71,1.53,1.56,237500,1.56
2015-08-18,1.52,1.59,1.52,1.54,96700,1.54
2015-08-17,1.55,1.60,1.52,1.57,140500,1.57
2015-08-14,1.66,1.68,1.56,1.57,145500,1.57
2015-08-13,1.62,1.74,1.54,1.64,179900,1.64
2015-08-12,1.61,1.74,1.46,1.60,285300,1.60
2015-08-11,1.17,1.67,1.11,1.64,1593700,1.64
2015-08-10,2.16,2.33,2.14,2.20,146200,2.20
2015-08-07,2.17,2.30,2.15,2.16,60400,2.16
2015-08-06,2.26,2.28,2.20,2.20,73100,2.20
2015-08-05,2.31,2.36,2.21,2.23,63000,2.23
2015-08-04,2.28,2.37,2.28,2.32,106500,2.32
2015-08-03,2.32,2.35,2.25,2.26,96900,2.26
2015-07-31,2.21,2.35,2.19,2.31,107500,2.31
2015-07-30,2.18,2.23,2.13,2.21,39500,2.21
2015-07-29,2.22,2.23,2.08,2.20,172200,2.20
2015-07-28,2.14,2.23,2.06,2.19,159800,2.19
2015-07-27,2.25,2.27,2.10,2.14,146300,2.14
2015-07-24,2.25,2.30,2.25,2.25,30300,2.25
2015-07-23,2.35,2.37,2.25,2.27,77600,2.27
2015-07-22,2.34,2.37,2.32,2.33,61000,2.33
2015-07-21,2.42,2.42,2.31,2.38,77900,2.38
2015-07-20,2.43,2.44,2.37,2.42,114600,2.42
2015-07-17,2.37,2.42,2.33,2.40,113600,2.40
2015-07-16,2.42,2.42,2.32,2.35,108800,2.35
2015-07-15,2.31,2.39,2.31,2.38,70700,2.38
2015-07-14,2.35,2.41,2.33,2.34,145000,2.34
2015-07-13,2.30,2.36,2.29,2.34,60100,2.34
2015-07-10,2.32,2.37,2.30,2.30,56900,2.30
2015-07-09,2.30,2.41,2.27,2.31,114400,2.31
2015-07-08,2.33,2.33,2.26,2.32,97500,2.32
2015-07-07,2.37,2.38,2.18,2.33,223100,2.33
2015-07-06,2.37,2.40,2.37,2.38,53800,2.38
2015-07-02,2.41,2.48,2.37,2.42,39100,2.42
2015-07-01,2.41,2.46,2.39,2.41,23600,2.41
2015-06-30,2.46,2.48,2.39,2.41,146700,2.41
2015-06-29,2.53,2.53,2.45,2.45,104900,2.45
2015-06-26,2.51,2.56,2.49,2.56,74100,2.56
2015-06-25,2.65,2.65,2.51,2.51,88300,2.51
2015-06-24,2.61,2.69,2.53,2.58,285100,2.58
2015-06-23,2.52,2.54,2.48,2.50,113700,2.50
2015-06-22,2.59,2.59,2.46,2.52,203300,2.52
2015-06-19,2.63,2.64,2.55,2.61,86800,2.61
2015-06-18,2.74,2.76,2.58,2.59,229800,2.59
2015-06-17,2.86,3.05,2.68,2.70,702900,2.70
2015-06-16,2.70,2.81,2.60,2.63,133800,2.63
2015-06-15,2.63,2.79,2.54,2.68,269000,2.68
2015-06-12,2.65,2.67,2.62,2.66,62900,2.66
2015-06-11,2.64,2.66,2.62,2.64,81700,2.64
2015-06-10,2.56,2.68,2.54,2.62,191800,2.62
2015-06-09,2.50,2.55,2.49,2.54,39500,2.54
2015-06-08,2.55,2.56,2.50,2.51,63300,2.51
2015-06-05,2.52,2.57,2.50,2.56,46600,2.56
2015-06-04,2.60,2.62,2.52,2.52,106300,2.52
2015-06-03,2.48,2.64,2.46,2.58,140900,2.58
2015-06-02,2.45,2.51,2.45,2.48,27700,2.48
2015-06-01,2.43,2.54,2.43,2.44,142200,2.44
2015-05-29,2.44,2.52,2.42,2.42,51900,2.42
2015-05-28,2.45,2.50,2.41,2.45,70300,2.45
2015-05-27,2.53,2.57,2.45,2.46,147100,2.46
2015-05-26,2.49,2.56,2.45,2.51,211600,2.51
2015-05-22,2.48,2.53,2.45,2.48,47900,2.48
2015-05-21,2.57,2.59,2.51,2.51,121100,2.51
2015-05-20,2.50,2.58,2.47,2.55,73700,2.55
2015-05-19,2.54,2.56,2.43,2.50,177100,2.50
2015-05-18,2.59,2.62,2.53,2.53,68300,2.53
2015-05-15,2.60,2.63,2.56,2.59,101800,2.59
2015-05-14,2.52,2.62,2.52,2.57,71500,2.57
2015-05-13,2.67,2.68,2.51,2.55,217600,2.55
2015-05-12,2.72,2.82,2.60,2.65,235100,2.65
2015-05-11,2.77,2.84,2.74,2.79,273100,2.79
2015-05-08,2.80,2.84,2.70,2.77,101600,2.77
2015-05-07,2.73,2.83,2.69,2.75,129300,2.75
2015-05-06,2.81,2.82,2.73,2.73,111800,2.73
2015-05-05,2.78,2.80,2.68,2.80,123600,2.80
2015-05-04,2.80,2.87,2.77,2.78,129400,2.78
2015-05-01,2.77,2.92,2.77,2.79,100600,2.79
2015-04-30,2.83,2.83,2.75,2.78,147200,2.78
2015-04-29,2.79,2.87,2.76,2.81,114400,2.81
2015-04-28,2.87,2.88,2.76,2.83,189800,2.83
2015-04-27,2.83,2.95,2.83,2.89,136400,2.89
2015-04-24,2.95,2.95,2.83,2.85,207800,2.85
2015-04-23,3.00,3.03,2.89,2.92,181700,2.92
2015-04-22,3.09,3.09,2.83,2.98,564400,2.98
2015-04-21,3.07,3.10,3.04,3.08,132800,3.08
2015-04-20,3.13,3.13,3.02,3.05,198300,3.05
2015-04-17,3.13,3.15,3.06,3.10,122600,3.10
2015-04-16,3.18,3.22,3.12,3.16,130700,3.16
2015-04-15,3.21,3.23,3.14,3.21,142400,3.21
2015-04-14,3.20,3.26,3.11,3.17,202500,3.17
2015-04-13,3.15,3.23,3.10,3.20,185800,3.20
2015-04-10,3.07,3.14,3.02,3.11,123400,3.11
2015-04-09,3.08,3.11,3.02,3.10,260700,3.10
2015-04-08,3.17,3.18,3.10,3.13,143500,3.13
2015-04-07,3.10,3.19,3.04,3.10,162400,3.10
2015-04-06,3.19,3.22,3.10,3.11,119200,3.11
