Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,30.67,30.959999,29.889999,30.110001,3283800,30.110001
2015-09-03,31.469999,32.09,31.299999,31.540001,1518300,31.540001
2015-09-02,31.200001,31.43,30.92,31.32,1625600,31.32
2015-09-01,31.42,31.549999,30.719999,31.09,4890700,31.09
2015-08-31,32.360001,32.68,32.029999,32.310001,4158600,32.310001
2015-08-28,32.52,32.869999,32.41,32.73,4455400,32.73
2015-08-27,31.700001,32.939999,31.440001,32.91,9260300,32.91
2015-08-26,29.48,30.40,28.84,30.280001,10011600,30.280001
2015-08-25,31.66,31.66,30.00,30.129999,8235100,30.129999
2015-08-24,29.40,31.07,28.889999,30.110001,13220600,30.110001
2015-08-21,35.380001,35.709999,34.73,34.869999,7870100,34.869999
2015-08-20,37.009998,37.060001,36.599998,36.66,3251700,36.66
2015-08-19,38.119999,38.25,37.709999,37.790001,1687600,37.790001
2015-08-18,37.93,38.009998,37.540001,37.630001,4131800,37.630001
2015-08-17,40.59,40.639999,40.279999,40.57,1767600,40.57
2015-08-14,40.75,40.900002,40.650002,40.77,934400,40.77
2015-08-13,40.900002,40.950001,40.700001,40.759998,1777200,40.759998
2015-08-12,39.720001,40.02,39.41,39.970001,3108100,39.970001
2015-08-11,41.32,41.389999,40.759998,41.189999,2532900,41.189999
2015-08-10,42.369999,42.849998,42.369999,42.790001,2929800,42.790001
2015-08-07,40.549999,40.59,40.240002,40.419998,2083100,40.419998
2015-08-06,39.75,39.990002,39.549999,39.650002,1840900,39.650002
2015-08-05,40.099998,40.490002,40.09,40.240002,1769000,40.240002
2015-08-04,40.84,41.119999,40.669998,41.060001,2629300,41.060001
2015-08-03,39.169998,39.459999,39.150002,39.32,2271800,39.32
2015-07-31,39.650002,39.799999,39.419998,39.529999,1409000,39.529999
2015-07-30,39.619999,39.91,39.59,39.830002,1698000,39.830002
2015-07-29,40.82,41.279999,40.75,41.049999,2092800,41.049999
2015-07-28,39.43,40.00,39.279999,39.939999,3261600,39.939999
2015-07-27,38.779999,39.369999,38.560001,39.16,6877500,39.16
2015-07-24,43.299999,43.299999,42.799999,43.110001,3141800,43.110001
2015-07-23,44.330002,44.580002,44.130001,44.32,3123200,44.32
2015-07-22,42.950001,43.080002,42.82,43.02,2498700,43.02
2015-07-21,42.799999,43.00,42.720001,42.98,2126600,42.98
2015-07-20,42.75,42.98,42.560001,42.57,2614800,42.57
2015-07-17,43.369999,43.52,43.060001,43.459999,3078800,43.459999
2015-07-16,41.23,42.189999,41.169998,42.110001,4920200,42.110001
2015-07-15,40.299999,40.639999,40.049999,40.240002,4624400,40.240002
2015-07-14,41.939999,42.27,41.790001,42.07,3928000,42.07
2015-07-13,43.27,43.380001,42.48,42.860001,5409600,42.860001
2015-07-10,43.509998,43.549999,42.439999,43.169998,7526200,43.169998
2015-07-09,38.709999,40.869999,38.529999,40.689999,15731500,40.689999
2015-07-08,34.799999,35.82,33.889999,33.889999,13452300,33.889999
2015-07-07,38.790001,38.799999,36.529999,38.209999,14690200,38.209999
2015-07-06,41.639999,41.939999,41.25,41.34,5013000,41.34
2015-07-02,42.52,42.689999,42.349998,42.419998,4060700,42.419998
