Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,40.25,40.25,39.150002,39.310001,37000,39.019729
2014-12-30,40.049999,40.419998,39.450001,40.049999,44200,39.754263
2014-12-29,40.02,40.439999,39.720001,40.060001,34000,39.764191
2014-12-26,39.630001,40.32,39.580002,39.93,57200,39.63515
2014-12-24,39.349998,39.630001,39.209999,39.369999,25200,39.079284
2014-12-23,38.669998,39.27,38.209999,39.189999,75600,38.900613
2014-12-22,38.450001,38.59,38.02,38.380001,56400,38.096596
2014-12-19,38.580002,38.950001,37.810001,38.330002,219400,38.046966
2014-12-18,38.610001,38.799999,37.57,38.66,56400,38.374527
2014-12-17,36.450001,38.119999,36.209999,38.07,64300,37.788884
2014-12-16,36.369999,37.529999,36.369999,36.490002,86300,36.220553
2014-12-15,37.139999,37.240002,36.279999,36.400002,56600,36.131217
2014-12-12,36.689999,37.200001,36.470001,36.57,52200,36.29996
2014-12-11,37.799999,38.130001,37.110001,37.16,50900,36.885604
2014-12-10,38.66,39.139999,37.32,37.509998,56100,37.233018
2014-12-09,37.860001,39.200001,37.48,38.93,74000,38.642534
2014-12-08,38.700001,39.490002,37.959999,38.029999,86000,37.749178
2014-12-05,38.529999,39.150002,38.459999,38.880001,101700,38.592904
2014-12-04,38.869999,39.07,38.080002,38.549999,74200,38.265339
2014-12-03,38.34,39.330002,38.34,38.84,69100,38.553199
2014-12-02,37.98,39.07,37.880001,38.439999,67900,38.156151
2014-12-01,39.09,39.09,37.790001,37.82,71300,37.54073
2014-11-28,40.27,40.630001,39.040001,39.27,102800,38.980024
2014-11-26,39.68,40.450001,39.299999,40.400002,71200,40.101681
2014-11-25,40.150002,40.450001,39.650002,39.860001,67600,39.565667
2014-11-24,40.41,41.09,39.880001,39.950001,106300,39.655003
2014-11-21,39.93,40.68,39.669998,40.34,130400,40.042122
2014-11-20,37.77,39.419998,37.77,39.25,78100,38.960171
2014-11-19,38.07,38.349998,37.580002,37.98,68000,37.699548
