Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,12.89,13.02,12.73,12.94,25100,12.94
2015-09-03,13.09,13.35,12.94,13.00,18300,13.00
2015-09-02,13.01,13.23,12.91,13.09,17300,13.09
2015-09-01,12.89,13.22,12.35,13.06,100900,13.06
2015-08-31,13.01,13.44,12.79,13.18,62400,13.18
2015-08-28,13.40,13.60,12.98,13.00,74100,13.00
2015-08-27,13.56,13.56,13.13,13.26,37100,13.26
2015-08-26,13.29,13.40,12.71,13.25,68300,13.25
2015-08-25,13.39,13.82,12.76,12.77,75800,12.77
2015-08-24,13.00,13.00,11.92,12.85,188700,12.85
2015-08-21,13.97,14.17,13.30,13.55,77500,13.55
2015-08-20,14.90,14.93,14.00,14.03,88500,14.03
2015-08-19,15.35,15.40,14.80,15.02,37600,15.02
2015-08-18,14.96,15.60,14.52,15.38,103500,15.38
2015-08-17,14.57,15.17,14.46,14.90,61000,14.90
2015-08-14,14.83,15.00,14.51,14.58,86100,14.58
2015-08-13,15.20,15.35,14.60,14.80,60800,14.80
2015-08-12,15.24,15.35,15.08,15.14,80300,15.14
2015-08-11,15.82,15.94,14.93,15.30,97100,15.30
2015-08-10,15.03,15.85,14.93,15.82,132200,15.82
2015-08-07,14.88,15.03,14.51,15.03,21500,15.03
2015-08-06,15.11,15.60,14.64,14.88,113200,14.88
2015-08-05,14.50,15.27,14.49,15.10,100100,15.10
2015-08-04,14.47,14.80,14.45,14.48,46600,14.48
2015-08-03,14.27,14.64,14.01,14.32,50500,14.32
2015-07-31,14.45,14.89,14.20,14.34,65100,14.34
2015-07-30,14.50,14.73,14.06,14.50,65200,14.50
2015-07-29,14.93,14.97,14.59,14.68,22800,14.68
2015-07-28,14.97,15.22,14.65,14.93,43900,14.93
2015-07-27,16.23,16.25,14.93,15.00,123500,15.00
2015-07-24,14.69,16.09,14.34,15.37,166800,15.37
2015-07-23,13.77,14.80,13.30,14.58,395500,14.58
2015-07-22,14.09,14.09,13.56,13.75,46300,13.75
2015-07-21,14.48,14.65,14.09,14.20,106700,14.20
2015-07-20,14.00,14.45,13.95,14.31,208400,14.31
2015-07-17,13.72,13.96,13.58,13.96,88700,13.96
2015-07-16,13.62,13.88,13.60,13.69,24200,13.69
2015-07-15,13.57,13.90,13.41,13.55,28000,13.55
2015-07-14,13.48,13.67,13.44,13.52,45300,13.52
2015-07-13,13.42,13.79,13.21,13.49,28300,13.49
2015-07-10,13.08,13.45,13.07,13.35,12800,13.35
2015-07-09,12.98,13.28,12.95,13.00,29300,13.00
2015-07-08,12.99,12.99,12.70,12.96,30500,12.96
2015-07-07,13.08,13.08,12.79,12.98,49800,12.98
2015-07-06,13.20,13.24,13.05,13.10,31900,13.10
2015-07-02,13.05,13.31,13.00,13.31,12200,13.31
2015-07-01,13.13,13.20,13.10,13.12,30200,13.12
2015-06-30,13.02,13.35,12.76,13.07,15100,13.07
2015-06-29,12.93,13.12,12.50,13.00,57500,13.00
2015-06-26,13.70,13.70,13.20,13.20,27900,13.20
2015-06-25,13.58,13.80,13.58,13.62,19300,13.62
2015-06-24,13.81,13.84,13.51,13.51,16000,13.51
2015-06-23,13.58,13.94,13.17,13.73,197500,13.73
2015-06-22,13.50,13.69,13.45,13.65,14700,13.65
2015-06-19,13.81,13.96,13.49,13.50,30000,13.50
2015-06-18,13.67,13.85,13.58,13.85,19700,13.85
2015-06-17,13.70,13.87,13.53,13.58,16700,13.58
2015-06-16,13.55,13.79,13.55,13.70,18600,13.70
2015-06-15,13.48,13.79,13.04,13.66,189200,13.66
2015-06-12,13.42,13.83,13.25,13.56,46500,13.56
2015-06-11,13.32,13.59,13.23,13.57,45600,13.57
2015-06-10,13.50,14.00,13.04,13.69,159000,13.69
2015-06-09,14.20,14.20,13.11,13.73,85600,13.73
2015-06-08,14.11,14.20,13.86,14.15,38900,14.15
2015-06-05,13.73,14.11,13.73,14.03,47400,14.03
2015-06-04,13.98,14.18,13.72,13.75,55400,13.75
2015-06-03,13.77,14.02,13.60,13.98,33200,13.98
2015-06-02,14.18,14.18,13.79,13.90,105000,13.90
2015-06-01,13.77,14.17,13.40,14.06,93000,14.06
2015-05-29,13.93,14.00,13.43,13.82,45200,13.82
2015-05-28,13.04,13.91,13.04,13.85,97900,13.85
2015-05-27,13.43,13.70,13.00,13.21,144000,13.21
2015-05-26,13.60,13.68,13.36,13.53,60900,13.53
2015-05-22,13.60,13.72,13.27,13.65,51800,13.65
2015-05-21,13.71,13.86,13.46,13.49,59600,13.49
2015-05-20,13.10,13.94,13.10,13.60,182000,13.60
2015-05-19,13.35,13.42,12.87,12.98,151200,12.98
2015-05-18,12.40,13.48,12.40,13.08,205800,13.08
2015-05-15,11.97,12.45,11.87,12.40,120400,12.40
2015-05-14,11.99,12.20,11.89,11.95,26400,11.95
2015-05-13,11.87,12.20,11.82,11.82,42600,11.82
2015-05-12,11.97,12.00,11.64,11.98,43400,11.98
2015-05-11,11.79,12.06,11.60,11.90,67900,11.90
2015-05-08,11.80,12.13,11.80,11.96,65100,11.96
2015-05-07,11.66,12.00,11.18,11.74,163700,11.74
2015-05-06,11.93,12.15,11.70,11.78,43500,11.78
2015-05-05,12.10,12.19,11.50,12.00,87200,12.00
2015-05-04,12.00,12.53,11.85,12.19,132100,12.19
2015-05-01,11.28,12.12,11.28,12.06,154900,12.06
2015-04-30,10.87,11.50,10.51,11.30,195300,11.30
2015-04-29,10.71,10.85,10.51,10.75,30700,10.75
2015-04-28,10.90,10.90,10.41,10.69,20500,10.69
2015-04-27,10.79,10.98,10.53,10.70,37900,10.70
2015-04-24,10.60,11.00,10.60,10.79,165800,10.79
2015-04-23,10.40,10.69,10.38,10.38,9600,10.38
2015-04-22,10.40,10.58,10.22,10.45,29900,10.45
2015-04-21,10.30,10.51,10.14,10.48,41300,10.48
2015-04-20,9.98,10.35,9.78,10.26,31900,10.26
2015-04-17,9.94,10.36,9.80,9.99,59400,9.99
2015-04-16,10.09,10.09,9.85,10.04,17400,10.04
2015-04-15,10.09,10.16,10.03,10.13,7400,10.13
2015-04-14,10.04,10.15,9.85,10.05,12300,10.05
2015-04-13,10.14,10.14,9.89,10.14,26100,10.14
2015-04-10,9.97,10.29,9.76,10.05,19200,10.05
2015-04-09,10.23,10.27,9.95,9.98,27400,9.98
2015-04-08,10.13,10.33,10.00,10.24,26800,10.24
2015-04-07,10.01,10.35,9.69,10.10,34300,10.10
2015-04-06,9.98,10.01,9.69,9.88,32900,9.88
2015-04-02,10.00,10.31,9.22,9.97,22800,9.97
2015-04-01,9.91,10.29,9.91,10.02,35500,10.02
2015-03-31,9.97,10.31,9.77,10.05,27800,10.05
2015-03-30,9.92,10.03,9.73,9.91,25100,9.91
2015-03-27,9.96,9.98,9.43,9.97,27600,9.97
2015-03-26,9.79,9.99,9.70,9.99,8700,9.99
2015-03-25,10.17,10.27,9.74,9.79,26800,9.79
2015-03-24,10.20,10.32,10.02,10.12,21400,10.12
2015-03-23,10.01,10.20,9.91,10.17,22900,10.17
2015-03-20,9.85,10.17,9.85,10.11,20000,10.11
2015-03-19,10.00,10.03,9.94,9.99,8600,9.99
2015-03-18,9.93,10.09,9.93,10.00,12200,10.00
2015-03-17,10.11,10.11,9.84,9.93,7300,9.93
2015-03-16,9.92,10.23,9.90,9.95,60400,9.95
2015-03-13,9.94,10.00,9.72,9.98,19600,9.98
2015-03-12,9.97,10.05,9.50,9.86,101400,9.86
2015-03-11,9.95,10.22,9.79,9.98,29800,9.98
2015-03-10,9.75,9.90,9.56,9.81,114200,9.81
2015-03-09,10.19,10.19,9.72,9.98,39100,9.98
2015-03-06,10.23,10.43,9.70,10.02,89600,10.02
2015-03-05,9.47,10.92,9.40,10.43,161200,10.43
2015-03-04,9.35,9.43,9.26,9.38,7900,9.38
2015-03-03,9.32,9.53,9.27,9.42,4500,9.42
2015-03-02,9.20,9.57,9.12,9.48,36300,9.48
2015-02-27,9.19,9.19,9.15,9.18,9200,9.18
2015-02-26,9.17,9.27,9.15,9.19,15200,9.19
2015-02-25,9.30,9.33,9.16,9.28,13800,9.28
2015-02-24,9.22,9.32,9.13,9.32,26900,9.32
2015-02-23,9.60,9.60,9.16,9.30,133100,9.30
2015-02-20,9.69,9.83,9.61,9.65,36600,9.65
2015-02-19,9.85,9.88,9.73,9.78,8900,9.78
2015-02-18,9.67,9.89,9.66,9.85,14400,9.85
2015-02-17,9.87,9.95,9.70,9.76,16800,9.76
2015-02-13,9.80,9.95,9.78,9.93,21600,9.93
2015-02-12,9.93,10.00,9.84,9.88,11700,9.88
2015-02-11,9.50,9.87,9.50,9.85,25000,9.85
2015-02-10,9.44,9.62,9.37,9.60,25700,9.60
2015-02-09,9.42,9.46,9.31,9.46,26300,9.46
2015-02-06,9.40,9.49,9.30,9.43,46300,9.43
2015-02-05,9.36,9.65,9.36,9.42,12500,9.42
2015-02-04,9.15,9.63,9.15,9.39,30700,9.39
2015-02-03,9.25,9.27,9.18,9.20,13300,9.20
2015-02-02,9.13,9.56,9.11,9.20,26800,9.20
2015-01-30,8.81,9.35,8.75,9.16,53600,9.16
2015-01-29,10.38,10.50,8.82,9.05,334400,9.05
2015-01-28,10.78,10.78,10.45,10.53,46000,10.53
2015-01-27,10.59,10.70,10.45,10.58,33600,10.58
2015-01-26,10.75,10.75,10.65,10.68,18000,10.68
2015-01-23,10.64,10.94,10.58,10.78,53800,10.78
2015-01-22,10.77,10.80,10.48,10.75,32700,10.75
2015-01-21,10.58,10.84,10.49,10.76,58800,10.76
2015-01-20,10.46,10.54,10.44,10.46,39900,10.46
2015-01-16,10.25,10.46,10.20,10.28,24700,10.28
2015-01-15,10.60,10.60,10.21,10.26,15100,10.26
2015-01-14,10.62,10.70,10.46,10.58,22000,10.58
2015-01-13,10.70,10.85,10.67,10.69,149400,10.69
2015-01-12,10.55,10.59,10.40,10.52,12700,10.52
2015-01-09,10.48,10.61,10.36,10.61,17200,10.61
2015-01-08,10.63,10.63,10.50,10.52,20900,10.52
2015-01-07,10.45,10.76,10.44,10.66,38800,10.66
2015-01-06,10.57,10.72,10.30,10.34,34200,10.34
2015-01-05,10.40,10.75,10.29,10.57,56100,10.57
2015-01-02,10.71,10.89,10.27,10.58,39100,10.58
