Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,26.50,26.85,26.50,26.85,3800,26.85
2015-09-03,26.469999,26.85,26.469999,26.85,700,26.85
2015-09-02,27.00,27.00,26.35,26.35,1900,26.35
2015-09-01,26.75,26.950001,26.50,26.85,3400,26.85
2015-08-31,26.50,26.50,26.50,26.50,100,26.50
2015-08-28,26.639999,27.24,26.639999,26.68,1100,26.68
2015-08-27,26.959999,26.959999,26.540001,26.540001,900,26.540001
2015-08-26,26.50,27.700001,26.50,27.450001,2100,27.450001
2015-08-25,26.43,26.49,26.43,26.49,200,26.49
2015-08-24,27.280001,27.280001,25.92,26.299999,4800,26.299999
2015-08-21,27.01,27.700001,27.00,27.549999,1600,27.549999
2015-08-20,27.209999,27.209999,27.209999,27.209999,100,27.209999
2015-08-19,27.190001,27.190001,27.190001,27.190001,100,27.190001
2015-08-18,27.00,27.00,27.00,27.00,300,27.00
2015-08-17,27.60,27.60,27.10,27.10,1000,27.10
2015-08-14,27.209999,27.209999,27.209999,27.209999,100,27.209999
2015-08-13,27.00,27.00,26.57,26.57,300,26.57
2015-08-12,26.90,26.90,26.90,26.90,000,26.90
2015-08-11,26.90,26.90,26.90,26.90,100,26.90
2015-08-10,26.450001,27.209999,26.35,27.00,3800,27.00
2015-08-07,26.969999,27.65,26.50,26.50,4600,26.50
2015-08-06,26.709999,26.75,26.65,26.65,2400,26.65
2015-08-05,26.90,27.00,26.85,27.00,5100,27.00
2015-08-04,27.129999,27.75,26.75,27.00,1400,27.00
2015-08-03,27.27,27.27,26.65,26.65,700,26.65
2015-07-31,26.75,26.99,26.52,26.82,2300,26.82
2015-07-30,26.35,26.35,26.35,26.35,000,26.35
2015-07-29,26.35,26.35,26.35,26.35,100,26.35
2015-07-28,27.74,27.75,27.00,27.32,2000,27.32
2015-07-27,27.10,27.120001,27.00,27.10,1500,27.10
2015-07-24,26.98,27.40,26.299999,27.10,11200,27.10
2015-07-23,27.15,27.15,27.00,27.00,500,27.00
2015-07-22,27.00,27.00,27.00,27.00,500,27.00
2015-07-21,27.00,27.00,26.27,26.91,4600,26.91
2015-07-20,27.190001,27.190001,27.190001,27.190001,300,27.190001
2015-07-17,27.299999,27.690001,26.50,27.299999,1300,27.299999
2015-07-16,26.549999,26.549999,26.549999,26.549999,000,26.549999
2015-07-15,26.50,26.559999,26.50,26.549999,1100,26.549999
2015-07-14,26.50,26.50,26.41,26.41,700,26.41
2015-07-13,26.629999,26.67,25.60,26.639999,19900,26.639999
2015-07-10,27.799999,27.799999,26.60,26.60,1800,26.60
2015-07-09,26.50,27.00,26.50,26.950001,1100,26.950001
2015-07-08,26.209999,27.549999,25.99,26.469999,50800,26.469999
2015-07-07,26.00,26.00,25.50,25.969999,5700,25.969999
2015-07-06,25.82,25.98,25.299999,25.98,5700,25.98
2015-07-02,25.51,25.82,25.51,25.780001,36900,25.780001
2015-07-01,25.66,26.09,25.200001,25.799999,15700,25.799999
2015-06-30,25.459999,29.559999,25.33,25.73,64500,25.73
2015-06-29,26.49,26.49,25.09,25.40,14400,25.40
2015-06-26,25.780001,25.780001,25.25,25.50,1700,25.50
2015-06-25,24.92,26.01,24.92,25.75,38200,25.75
2015-06-24,25.200001,25.200001,24.879999,25.129999,22500,25.129999
2015-06-23,25.10,25.200001,25.00,25.120001,4000,25.120001
2015-06-22,25.219999,25.469999,24.799999,25.219999,46300,25.219999
2015-06-19,24.799999,25.370001,24.75,25.309999,18300,25.309999
2015-06-18,25.10,25.99,24.75,24.799999,75100,24.799999
2015-06-17,24.959999,25.200001,24.76,24.83,8200,24.83
2015-06-16,24.98,24.98,24.98,24.98,000,24.98
2015-06-15,24.98,24.98,24.98,24.98,000,24.98
2015-06-12,24.790001,25.040001,24.790001,24.98,700,24.98
2015-06-11,25.00,25.00,25.00,25.00,100,25.00
2015-06-10,24.76,25.15,24.76,24.77,1000,24.77
2015-06-09,25.01,25.01,24.870001,24.870001,600,24.870001
2015-06-08,24.950001,24.950001,24.950001,24.950001,000,24.950001
2015-06-05,24.77,25.23,24.77,24.950001,1100,24.730001
2015-06-04,25.35,25.65,25.18,25.18,3200,24.957973
2015-06-03,24.969999,25.15,24.91,25.129999,5400,24.908413
2015-06-02,24.780001,24.98,24.75,24.98,1400,24.759736
2015-06-01,24.780001,24.780001,24.780001,24.780001,300,24.5615
2015-05-29,25.00,25.200001,24.98,25.200001,2700,24.977797
2015-05-28,24.57,24.75,24.57,24.75,700,24.531764
2015-05-27,24.59,25.00,24.59,24.959999,2000,24.739911
2015-05-26,24.700001,25.00,24.67,24.860001,12800,24.640795
2015-05-22,24.959999,24.969999,24.959999,24.969999,200,24.749824
2015-05-21,25.24,25.280001,24.83,25.120001,11300,24.898502
2015-05-20,24.52,24.75,24.51,24.75,6000,24.531764
2015-05-19,24.870001,24.870001,24.469999,24.51,4500,24.293881
2015-05-18,24.860001,24.860001,24.860001,24.860001,500,24.640795
2015-05-15,24.85,24.85,24.85,24.85,200,24.630883
2015-05-14,24.959999,24.959999,24.959999,24.959999,000,24.739911
2015-05-13,25.00,25.00,24.959999,24.959999,500,24.739911
2015-05-12,25.01,25.08,24.610001,25.059999,10000,24.83903
2015-05-11,24.75,24.84,24.74,24.75,3700,24.531764
2015-05-08,24.790001,25.10,24.790001,24.950001,4700,24.730001
2015-05-07,25.10,25.10,25.10,25.10,000,24.878678
2015-05-06,25.10,25.10,25.10,25.10,000,24.878678
2015-05-05,25.10,25.10,25.10,25.10,000,24.878678
2015-05-04,25.10,25.10,25.10,25.10,200,24.878678
2015-05-01,25.00,25.00,25.00,25.00,200,24.77956
2015-04-30,25.00,25.00,25.00,25.00,000,24.77956
2015-04-29,25.00,25.00,25.00,25.00,500,24.77956
2015-04-28,25.00,25.00,25.00,25.00,1900,24.77956
2015-04-27,24.940001,25.00,24.940001,25.00,500,24.77956
2015-04-24,24.67,24.67,24.60,24.60,2100,24.383087
2015-04-23,25.00,25.00,25.00,25.00,000,24.77956
2015-04-22,25.00,25.00,24.700001,25.00,1500,24.77956
2015-04-21,25.00,25.049999,25.00,25.049999,200,24.829118
2015-04-20,25.15,25.15,25.15,25.15,000,24.928237
2015-04-17,24.90,25.15,24.629999,25.15,900,24.928237
2015-04-16,25.209999,25.209999,25.209999,25.209999,000,24.987707
2015-04-15,25.00,25.209999,25.00,25.209999,300,24.987707
2015-04-14,24.639999,24.639999,24.639999,24.639999,000,24.422733
2015-04-13,24.639999,24.639999,24.639999,24.639999,000,24.422733
2015-04-10,24.639999,24.639999,24.639999,24.639999,300,24.422733
2015-04-09,25.00,25.00,24.65,25.00,400,24.77956
2015-04-08,25.120001,25.120001,25.120001,25.120001,000,24.898502
2015-04-07,24.75,25.120001,24.75,25.120001,1000,24.898502
2015-04-06,25.00,25.00,24.75,24.75,400,24.531764
2015-04-02,24.85,24.85,24.85,24.85,000,24.630883
2015-04-01,24.85,24.85,24.85,24.85,000,24.630883
2015-03-31,24.85,24.85,24.85,24.85,000,24.630883
2015-03-30,24.85,24.85,24.85,24.85,300,24.630883
2015-03-27,25.290001,25.290001,25.00,25.24,2100,25.017443
2015-03-26,25.190001,25.25,24.90,25.25,1900,25.027355
2015-03-25,24.32,25.00,24.32,25.00,3100,24.77956
2015-03-24,24.299999,24.92,24.299999,24.90,3600,24.680441
2015-03-23,24.139999,24.780001,24.139999,24.299999,1600,24.085731
2015-03-20,24.92,24.92,24.68,24.68,700,24.462382
2015-03-19,24.76,24.76,24.76,24.76,300,24.541676
2015-03-18,24.16,24.16,24.16,24.16,000,23.946966
2015-03-17,24.65,24.84,23.809999,24.16,7500,23.946966
2015-03-16,23.860001,24.65,23.860001,24.65,700,24.432645
2015-03-13,24.66,24.93,24.66,24.93,400,24.710177
2015-03-12,24.65,24.75,24.65,24.75,800,24.531764
2015-03-11,24.65,24.959999,24.65,24.68,400,24.462382
2015-03-10,25.00,25.00,25.00,25.00,000,24.77956
2015-03-09,25.00,25.00,25.00,25.00,300,24.77956
2015-03-06,24.99,24.99,24.75,24.77,1100,24.551588
2015-03-05,25.049999,25.049999,25.049999,25.049999,100,24.611057
2015-03-04,25.030001,25.030001,25.030001,25.030001,000,24.591409
2015-03-03,24.74,25.030001,24.74,25.030001,1000,24.591409
2015-03-02,25.00,25.00,24.60,25.00,2700,24.561934
2015-02-27,25.00,25.35,24.950001,24.950001,1300,24.512811
2015-02-26,24.950001,24.950001,24.950001,24.950001,1300,24.512811
2015-02-25,24.50,25.360001,24.50,25.049999,2100,24.611057
2015-02-24,25.040001,25.040001,24.51,24.549999,2400,24.119819
2015-02-23,24.75,24.75,24.65,24.75,400,24.316315
2015-02-20,24.75,24.75,24.75,24.75,100,24.316315
2015-02-19,24.60,24.60,24.60,24.60,900,24.168944
2015-02-18,24.57,24.65,24.57,24.65,2300,24.218067
2015-02-17,24.75,24.75,24.75,24.75,300,24.316315
2015-02-13,24.16,24.75,24.16,24.68,4300,24.247542
2015-02-12,24.25,24.25,23.75,23.75,700,23.333837
2015-02-11,24.24,24.24,24.23,24.24,400,23.815251
2015-02-10,23.969999,23.969999,23.780001,23.780001,1000,23.363312
2015-02-09,23.74,24.00,23.74,23.799999,2900,23.382961
2015-02-06,23.52,23.719999,23.52,23.68,400,23.265064
2015-02-05,23.73,23.75,23.50,23.50,1900,23.088218
2015-02-04,23.58,23.75,23.58,23.74,1000,23.324012
2015-02-03,23.50,23.50,23.50,23.50,300,23.088218
2015-02-02,23.74,23.75,23.73,23.73,900,23.314187
2015-01-30,23.700001,23.700001,23.700001,23.700001,400,23.284714
2015-01-29,23.74,23.75,23.50,23.75,1200,23.333837
2015-01-28,23.50,23.50,23.50,23.50,000,23.088218
2015-01-27,23.50,23.50,23.50,23.50,500,23.088218
2015-01-26,23.549999,23.74,23.40,23.40,800,22.98997
2015-01-23,23.549999,23.549999,23.549999,23.549999,500,23.137341
2015-01-22,23.530001,23.530001,23.530001,23.530001,100,23.117693
2015-01-21,23.50,23.50,23.50,23.50,000,23.088218
2015-01-20,23.50,23.50,23.50,23.50,000,23.088218
2015-01-16,23.40,23.50,23.40,23.50,1500,23.088218
2015-01-15,23.17,23.17,23.17,23.17,000,22.764001
2015-01-14,23.450001,23.450001,23.17,23.17,300,22.764001
2015-01-13,23.370001,23.370001,23.370001,23.370001,200,22.960497
2015-01-12,23.16,23.16,23.15,23.15,700,22.744351
2015-01-09,23.540001,23.540001,23.33,23.370001,1000,22.960497
2015-01-08,23.549999,23.67,23.48,23.67,2200,23.255239
2015-01-07,23.50,23.50,23.32,23.32,1200,22.911372
2015-01-06,23.049999,23.629999,23.049999,23.34,12700,22.931022
2015-01-05,23.639999,23.639999,23.639999,23.639999,200,23.225764
2015-01-02,23.639999,23.639999,23.639999,23.639999,000,23.225764
