Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,3.21,3.26,3.16,3.23,8100,3.23
2015-09-03,3.17,3.22,3.17,3.19,21800,3.19
2015-09-02,3.28,3.28,3.14,3.22,22600,3.22
2015-09-01,3.17,3.28,3.17,3.25,12000,3.25
2015-08-31,3.20,3.24,3.18,3.19,4600,3.19
2015-08-28,3.16,3.27,3.16,3.18,10600,3.18
2015-08-27,3.08,3.22,3.06,3.17,24400,3.17
2015-08-26,3.12,3.12,3.02,3.06,19200,3.06
2015-08-25,3.06,3.15,2.97,3.14,65700,3.14
2015-08-24,2.95,3.14,2.95,3.10,20800,3.10
2015-08-21,3.18,3.20,3.12,3.14,27300,3.14
2015-08-20,3.23,3.35,3.12,3.17,15000,3.17
2015-08-19,3.28,3.31,3.23,3.23,6300,3.23
2015-08-18,3.09,3.35,3.08,3.31,12100,3.31
2015-08-17,3.21,3.30,3.20,3.26,4200,3.26
2015-08-14,2.92,3.26,2.92,3.20,11900,3.20
2015-08-13,3.23,3.29,2.86,3.26,19500,3.26
2015-08-12,3.27,3.27,3.12,3.22,36100,3.22
2015-08-11,3.26,3.34,3.26,3.30,9600,3.30
2015-08-10,3.34,3.36,3.22,3.31,12500,3.31
2015-08-07,3.25,3.36,3.18,3.33,25100,3.33
2015-08-06,3.34,3.34,3.20,3.26,75000,3.26
2015-08-05,3.33,3.37,3.26,3.31,15500,3.31
2015-08-04,3.21,3.37,3.11,3.31,55200,3.31
2015-08-03,3.28,3.33,3.01,3.32,52100,3.32
2015-07-31,3.37,3.37,3.30,3.32,10600,3.32
2015-07-30,3.29,3.42,3.26,3.38,11800,3.38
2015-07-29,3.25,3.37,3.16,3.36,58300,3.36
2015-07-28,3.30,3.35,3.25,3.28,115300,3.28
2015-07-27,3.30,3.32,3.27,3.31,83900,3.31
2015-07-24,3.53,3.76,2.82,3.38,188800,3.38
2015-07-23,3.77,3.90,3.77,3.87,12200,3.87
2015-07-22,3.83,3.88,3.75,3.85,17500,3.85
2015-07-21,3.85,3.92,3.80,3.91,76900,3.91
2015-07-20,3.85,3.93,3.85,3.90,28200,3.90
2015-07-17,4.04,4.04,3.92,3.92,4400,3.92
2015-07-16,3.94,4.00,3.93,3.99,5800,3.99
2015-07-15,3.98,4.00,3.95,3.98,8000,3.98
2015-07-14,4.04,4.09,3.95,3.99,18100,3.99
2015-07-13,4.00,4.03,3.90,4.03,9800,4.03
2015-07-10,3.90,4.00,3.90,4.00,3400,4.00
2015-07-09,4.00,4.00,3.93,3.93,1900,3.93
2015-07-08,4.01,4.01,3.90,3.97,21700,3.97
2015-07-07,3.99,4.01,3.90,3.98,42800,3.98
2015-07-06,4.02,4.02,3.99,3.99,6100,3.99
2015-07-02,4.08,4.09,4.00,4.01,11900,4.01
2015-07-01,4.04,4.17,4.04,4.11,16700,4.11
2015-06-30,4.02,4.04,3.92,4.03,12700,4.03
2015-06-29,4.04,4.04,3.96,3.98,31100,3.98
2015-06-26,3.97,4.11,3.92,4.11,15800,4.11
2015-06-25,3.91,4.00,3.91,3.95,12200,3.95
2015-06-24,3.94,3.99,3.89,3.93,20300,3.93
2015-06-23,4.03,4.10,3.83,3.98,20100,3.98
2015-06-22,4.05,4.08,4.04,4.08,6600,4.08
2015-06-19,4.12,4.15,4.01,4.08,12400,4.08
2015-06-18,4.10,4.15,4.01,4.02,16000,4.02
2015-06-17,4.15,4.15,4.10,4.10,1900,4.10
2015-06-16,4.14,4.15,4.10,4.15,7600,4.15
2015-06-15,4.10,4.15,4.10,4.14,6900,4.14
2015-06-12,4.22,4.22,4.10,4.11,7900,4.11
2015-06-11,4.18,4.34,4.18,4.26,11900,4.26
2015-06-10,4.29,4.37,4.22,4.23,9300,4.23
2015-06-09,4.38,4.39,4.26,4.36,3400,4.36
