Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,11.40,11.40,11.40,11.40,400,11.40
2015-09-03,11.62,11.62,11.40,11.43,1000,11.43
2015-09-02,11.66,11.67,11.57,11.57,1500,11.57
2015-09-01,11.43,11.56,11.43,11.54,1500,11.54
2015-08-31,11.45,11.45,11.45,11.45,2100,11.45
2015-08-28,11.68,11.68,11.51,11.51,2400,11.51
2015-08-27,11.43,11.44,11.43,11.44,600,11.44
2015-08-26,11.48,11.50,11.42,11.43,3200,11.43
2015-08-25,11.47,11.68,11.47,11.50,7200,11.50
2015-08-24,11.71,11.71,11.46,11.46,14900,11.46
2015-08-21,11.63,11.74,11.56,11.74,8800,11.74
2015-08-20,11.68,11.71,11.56,11.56,20300,11.56
2015-08-19,11.71,11.71,11.65,11.65,4600,11.65
2015-08-18,11.78,11.83,11.69,11.69,2700,11.69
2015-08-17,11.72,11.75,11.63,11.68,5400,11.68
2015-08-14,11.76,11.76,11.63,11.66,3400,11.66
2015-08-13,11.71,11.94,11.70,11.88,3800,11.88
2015-08-12,11.74,11.93,11.67,11.67,2600,11.67
2015-08-11,11.70,11.80,11.62,11.63,2900,11.63
2015-08-10,11.62,11.70,11.62,11.70,300,11.70
2015-08-07,11.56,11.62,11.56,11.60,2500,11.60
2015-08-06,11.62,11.70,11.52,11.66,87600,11.66
2015-08-05,11.53,11.99,11.52,11.58,9700,11.58
2015-08-04,11.52,11.53,11.50,11.52,10700,11.52
2015-08-03,11.50,11.60,11.31,11.58,6400,11.58
2015-07-31,11.58,11.78,11.56,11.56,7400,11.56
2015-07-30,11.56,11.78,11.56,11.56,3400,11.56
2015-07-29,11.60,11.61,11.56,11.56,7800,11.420001
2015-07-28,11.58,11.99,11.56,11.65,5400,11.50891
2015-07-27,11.66,11.72,11.56,11.56,7100,11.420001
2015-07-24,11.56,11.60,11.56,11.56,8400,11.420001
2015-07-23,11.56,11.67,11.56,11.56,5700,11.420001
2015-07-22,11.60,11.63,11.56,11.56,7600,11.420001
2015-07-21,11.40,11.66,11.40,11.63,4600,11.489153
2015-07-20,11.57,11.70,11.57,11.60,10100,11.459516
2015-07-17,11.45,11.74,11.40,11.60,15900,11.459516
2015-07-16,11.64,11.74,11.47,11.47,7800,11.33109
2015-07-15,11.60,11.69,11.36,11.45,4600,11.311332
2015-07-14,11.36,11.69,11.36,11.48,2900,11.340969
2015-07-13,11.54,11.54,11.36,11.49,7000,11.350848
2015-07-10,11.60,11.80,11.56,11.60,6200,11.459516
2015-07-09,11.87,12.04,11.75,11.75,10300,11.607699
2015-07-08,11.94,12.18,11.85,11.86,5200,11.716367
2015-07-07,11.88,11.93,11.85,11.86,1900,11.716367
2015-07-06,11.97,11.97,11.97,11.97,000,11.825035
2015-07-02,12.09,12.20,11.91,11.97,9300,11.825035
2015-07-01,12.00,12.29,12.00,12.12,1800,11.973218
2015-06-30,12.46,12.46,12.11,12.22,1000,12.072007
2015-06-29,12.25,12.25,12.24,12.24,700,12.091765
2015-06-26,12.18,12.18,12.16,12.16,800,12.012734
2015-06-25,12.27,12.29,12.27,12.29,600,12.141159
2015-06-24,12.40,12.47,12.21,12.32,1900,12.170796
2015-06-23,12.34,12.34,12.34,12.34,100,12.190554
2015-06-22,12.46,12.50,12.19,12.36,4400,12.210311
2015-06-19,12.26,12.46,12.26,12.46,400,12.309101
2015-06-18,12.25,12.35,12.25,12.35,1100,12.200433
