Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,7.40,7.57,7.28,7.37,100100,7.37
2015-09-03,7.31,7.55,7.30,7.45,161200,7.45
2015-09-02,7.34,7.39,7.13,7.27,245100,7.27
2015-09-01,7.35,7.42,7.05,7.09,172100,7.09
2015-08-31,7.46,7.52,7.27,7.45,185000,7.45
2015-08-28,7.34,7.52,7.28,7.50,156300,7.50
2015-08-27,7.21,7.44,7.11,7.40,261900,7.40
2015-08-26,7.14,7.25,7.05,7.16,152000,7.16
2015-08-25,7.25,7.29,7.01,7.02,167400,7.02
2015-08-24,7.17,7.39,7.01,7.12,761900,7.12
2015-08-21,7.42,7.54,7.33,7.50,362400,7.50
2015-08-20,7.51,7.64,7.42,7.56,223100,7.56
2015-08-19,7.50,7.74,7.43,7.55,163500,7.55
2015-08-18,7.55,7.61,7.30,7.50,275700,7.50
2015-08-17,7.45,7.75,7.45,7.60,158200,7.60
2015-08-14,7.55,7.61,7.34,7.43,267400,7.43
2015-08-13,7.77,7.89,7.53,7.57,196200,7.57
2015-08-12,8.00,8.09,7.50,7.76,632400,7.76
2015-08-11,9.00,9.00,7.20,8.11,1475700,8.11
2015-08-10,9.39,9.51,9.08,9.30,335000,9.30
2015-08-07,9.42,9.53,9.28,9.36,86900,9.36
2015-08-06,9.44,9.51,9.28,9.46,135000,9.46
2015-08-05,9.50,9.54,9.32,9.45,137700,9.45
2015-08-04,9.10,9.53,9.10,9.46,267400,9.46
2015-08-03,9.47,9.47,8.86,9.10,525400,9.10
2015-07-31,9.52,9.60,9.44,9.49,160500,9.49
2015-07-30,9.56,9.68,9.35,9.51,236600,9.51
2015-07-29,9.78,9.85,9.58,9.58,253100,9.58
2015-07-28,10.09,10.09,9.77,9.80,532700,9.80
2015-07-27,10.01,10.13,9.94,10.04,230600,10.04
2015-07-24,10.10,10.20,9.95,10.08,191500,10.08
2015-07-23,10.18,10.20,10.07,10.11,116300,10.11
2015-07-22,10.02,10.18,10.00,10.18,71400,10.18
2015-07-21,10.03,10.15,9.99,10.07,138500,10.07
2015-07-20,10.00,10.10,9.83,10.02,362700,10.02
2015-07-17,9.95,10.05,9.94,9.97,376700,9.97
2015-07-16,9.71,9.99,9.63,9.98,323400,9.98
2015-07-15,9.84,9.86,9.57,9.75,188600,9.75
2015-07-14,9.78,9.97,9.77,9.80,109800,9.80
2015-07-13,9.78,10.01,9.78,9.83,207500,9.83
2015-07-10,9.16,9.89,9.16,9.79,410300,9.79
2015-07-09,8.87,8.98,8.80,8.94,107600,8.94
2015-07-08,9.00,9.00,8.71,8.79,169100,8.79
2015-07-07,9.09,9.15,8.77,9.02,358900,9.02
2015-07-06,9.21,9.33,9.06,9.11,188500,9.11
2015-07-02,9.40,9.41,9.26,9.29,90700,9.29
2015-07-01,9.33,9.43,9.22,9.41,110800,9.41
2015-06-30,9.53,9.54,9.20,9.24,366500,9.24
2015-06-29,9.51,9.54,9.16,9.48,345400,9.48
2015-06-26,9.76,9.77,9.55,9.60,185700,9.60
2015-06-25,9.71,9.84,9.64,9.72,97100,9.72
2015-06-24,9.64,9.68,9.58,9.67,134300,9.67
2015-06-23,9.51,9.69,9.50,9.69,65000,9.69
2015-06-22,9.66,9.66,9.48,9.52,118100,9.52
2015-06-19,9.70,9.79,9.59,9.63,193900,9.63
2015-06-18,9.54,9.78,9.54,9.70,106300,9.70
2015-06-17,9.60,9.60,9.43,9.50,118100,9.50
2015-06-16,9.26,9.61,9.24,9.60,169500,9.60
2015-06-15,9.33,9.36,9.21,9.30,190100,9.30
2015-06-12,9.63,9.63,9.37,9.38,155800,9.38
2015-06-11,9.85,9.86,9.60,9.65,73700,9.65
2015-06-10,9.89,9.98,9.76,9.86,102000,9.86
2015-06-09,9.78,9.92,9.65,9.83,118100,9.83
2015-06-08,10.05,10.09,9.77,9.83,158300,9.83
2015-06-05,9.50,10.19,9.45,10.09,426400,10.09
2015-06-04,9.66,9.79,9.45,9.49,280200,9.49
2015-06-03,9.55,9.89,9.44,9.67,377600,9.67
2015-06-02,9.30,9.60,9.22,9.53,298800,9.53
2015-06-01,9.32,9.37,9.09,9.33,173900,9.33
2015-05-29,9.42,9.42,9.19,9.26,324100,9.26
2015-05-28,9.32,9.50,9.21,9.45,140000,9.45
2015-05-27,9.46,9.46,9.23,9.39,174200,9.39
2015-05-26,9.48,9.53,9.30,9.46,228400,9.46
2015-05-22,9.63,9.66,9.37,9.50,211800,9.50
2015-05-21,9.61,9.74,9.47,9.67,377900,9.67
2015-05-20,9.83,9.83,9.46,9.60,163700,9.60
2015-05-19,9.68,9.91,9.63,9.83,192000,9.83
2015-05-18,9.75,9.77,9.53,9.63,181900,9.63
2015-05-15,9.47,9.81,9.44,9.78,143100,9.78
2015-05-14,9.41,9.54,9.34,9.51,219600,9.51
2015-05-13,9.73,9.73,9.35,9.39,257400,9.39
2015-05-12,9.47,9.99,9.33,9.72,360700,9.72
2015-05-11,8.94,9.26,8.92,9.21,203900,9.21
2015-05-08,9.10,9.10,8.90,8.97,83600,8.97
2015-05-07,8.85,9.10,8.85,9.03,166100,9.03
2015-05-06,9.07,9.14,8.84,8.86,230900,8.86
2015-05-05,8.84,9.04,8.84,9.04,168100,9.04
2015-05-04,9.04,9.17,8.81,8.81,137400,8.81
2015-05-01,9.02,9.16,8.84,9.02,114300,9.02
2015-04-30,8.98,9.19,8.85,9.01,302100,9.01
2015-04-29,9.03,9.17,8.82,9.00,136300,9.00
2015-04-28,8.98,9.14,8.83,9.10,171100,9.10
2015-04-27,9.03,9.20,8.93,8.99,306100,8.99
2015-04-24,9.21,9.30,8.98,9.05,337400,9.05
2015-04-23,9.30,9.45,9.22,9.25,314200,9.25
2015-04-22,9.49,9.50,9.15,9.35,115600,9.35
2015-04-21,9.50,9.64,9.42,9.50,267800,9.50
2015-04-20,9.24,9.49,9.18,9.48,154500,9.48
2015-04-17,9.38,9.48,9.07,9.21,287800,9.21
2015-04-16,9.17,9.49,9.15,9.48,638500,9.48
2015-04-15,9.70,9.73,9.54,9.66,188500,9.66
2015-04-14,9.69,9.80,9.58,9.68,151200,9.68
2015-04-13,9.76,9.86,9.63,9.65,189800,9.65
2015-04-10,9.82,9.82,9.72,9.74,101000,9.74
2015-04-09,9.82,9.92,9.67,9.78,110000,9.78
2015-04-08,9.61,9.93,9.61,9.80,254600,9.80
2015-04-07,9.47,9.67,9.47,9.60,478800,9.60
2015-04-06,9.43,9.74,9.40,9.53,242600,9.53
2015-04-02,9.48,9.84,9.36,9.45,277800,9.45
2015-04-01,9.41,9.54,9.40,9.47,226200,9.47
2015-03-31,9.60,9.68,9.42,9.45,251900,9.45
2015-03-30,9.65,9.84,9.50,9.71,180500,9.71
2015-03-27,9.77,10.02,9.54,9.62,406600,9.62
2015-03-26,10.08,10.20,9.85,10.00,174500,10.00
2015-03-25,9.81,10.09,9.80,10.07,189700,10.07
2015-03-24,10.02,10.08,9.80,9.83,285300,9.83
2015-03-23,9.96,10.20,9.91,9.97,392800,9.97
2015-03-20,9.80,10.01,9.75,9.99,569100,9.99
2015-03-19,10.02,10.40,9.75,9.82,802400,9.82
2015-03-18,9.57,10.75,9.41,10.36,2272300,10.36
2015-03-17,8.48,9.84,8.45,9.64,6587800,9.64
2015-03-16,7.38,7.51,7.03,7.05,379000,7.05
2015-03-13,7.63,7.69,7.29,7.31,169600,7.31
2015-03-12,7.47,7.63,7.47,7.61,117800,7.61
2015-03-11,7.13,7.47,7.09,7.43,167400,7.43
2015-03-10,7.14,7.19,7.05,7.11,231800,7.11
2015-03-09,7.40,7.40,7.11,7.19,260200,7.19
2015-03-06,7.29,7.44,7.29,7.34,161300,7.34
2015-03-05,7.27,7.39,7.10,7.30,261600,7.30
2015-03-04,7.24,7.35,7.03,7.31,216500,7.31
2015-03-03,7.18,7.30,7.06,7.25,162800,7.25
2015-03-02,7.26,7.34,7.12,7.18,188300,7.18
2015-02-27,6.78,7.35,6.78,7.25,175100,7.25
2015-02-26,6.80,6.86,6.73,6.80,749600,6.80
2015-02-25,6.71,6.86,6.67,6.81,111200,6.81
2015-02-24,6.58,6.74,6.56,6.71,77200,6.71
2015-02-23,6.62,6.66,6.52,6.57,147500,6.57
2015-02-20,6.85,6.85,6.61,6.67,91500,6.67
2015-02-19,6.66,6.89,6.66,6.83,91900,6.83
2015-02-18,6.87,7.01,6.61,6.67,110900,6.67
2015-02-17,6.97,7.02,6.83,6.91,93200,6.91
2015-02-13,6.87,6.94,6.62,6.92,87100,6.92
2015-02-12,6.72,6.85,6.68,6.83,108200,6.83
2015-02-11,6.70,6.73,6.53,6.70,110800,6.70
2015-02-10,6.85,7.00,6.67,6.72,88300,6.72
2015-02-09,6.87,6.99,6.75,6.78,110800,6.78
2015-02-06,6.55,6.95,6.46,6.87,192500,6.87
2015-02-05,6.32,6.65,6.32,6.58,637200,6.58
2015-02-04,6.46,6.53,6.25,6.32,513400,6.32
2015-02-03,6.40,6.56,6.34,6.47,217500,6.47
2015-02-02,6.36,6.50,6.33,6.34,297100,6.34
2015-01-30,6.55,6.70,6.32,6.36,293500,6.36
2015-01-29,6.51,6.65,6.49,6.57,288000,6.57
2015-01-28,6.67,6.69,6.50,6.50,424900,6.50
2015-01-27,6.61,6.73,6.55,6.62,316900,6.62
2015-01-26,7.05,7.05,6.65,6.70,247000,6.70
2015-01-23,7.02,7.07,6.88,6.99,118700,6.99
2015-01-22,6.99,7.07,6.85,7.04,236100,7.04
2015-01-21,6.79,6.95,6.77,6.92,324600,6.92
2015-01-20,7.03,7.10,6.65,6.80,339100,6.80
2015-01-16,7.09,7.18,6.96,6.99,203800,6.99
2015-01-15,7.42,7.42,7.06,7.12,235000,7.12
2015-01-14,7.11,7.48,7.10,7.39,151500,7.39
2015-01-13,7.36,7.48,7.09,7.17,238900,7.17
2015-01-12,7.25,7.49,7.20,7.35,176300,7.35
2015-01-09,7.51,7.54,7.17,7.23,166500,7.23
2015-01-08,7.52,7.76,7.45,7.54,142100,7.54
2015-01-07,7.64,8.00,7.45,7.56,270800,7.56
2015-01-06,7.95,8.07,7.28,7.61,387700,7.61
2015-01-05,8.34,8.58,8.24,8.26,164800,8.26
2015-01-02,8.72,8.82,8.31,8.36,131400,8.36
