Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,50.299999,50.630001,50.02,50.209999,229500,50.209999
2014-12-30,50.00,50.619999,49.720001,50.299999,150600,50.299999
2014-12-29,49.240002,50.169998,49.240002,50.09,159000,50.09
2014-12-26,49.299999,49.630001,49.150002,49.369999,78800,49.369999
2014-12-24,49.23,50.040001,48.880001,49.150002,99600,49.150002
2014-12-23,48.049999,48.990002,48.049999,48.93,202400,48.93
2014-12-22,47.970001,48.09,47.299999,47.939999,209400,47.939999
2014-12-19,48.27,48.549999,47.369999,47.66,962400,47.66
2014-12-18,47.82,48.630001,47.119999,48.389999,228100,48.389999
2014-12-17,47.09,47.509998,46.279999,47.310001,372800,47.310001
2014-12-16,47.130001,47.619999,46.700001,46.84,230400,46.84
2014-12-15,48.259998,49.080002,46.779999,47.07,241400,47.07
2014-12-12,47.959999,49.02,47.959999,48.23,292500,48.23
2014-12-11,48.07,48.880001,47.970001,48.290001,254100,48.290001
2014-12-10,49.09,49.09,47.32,47.709999,356900,47.709999
2014-12-09,47.860001,48.50,46.689999,48.189999,472900,48.189999
2014-12-08,48.41,49.23,48.119999,48.639999,191100,48.639999
2014-12-05,48.209999,49.419998,48.139999,48.709999,188500,48.709999
2014-12-04,48.740002,48.939999,47.77,48.240002,208300,48.240002
2014-12-03,48.700001,49.009998,48.009998,48.639999,254100,48.639999
2014-12-02,48.75,49.43,48.240002,48.84,418900,48.84
2014-12-01,49.200001,49.810001,47.389999,48.59,489100,48.59
2014-11-28,49.34,49.990002,48.66,49.16,201800,49.16
2014-11-26,49.00,49.639999,48.580002,49.259998,485900,49.259998
2014-11-25,48.150002,49.169998,47.549999,48.900002,451400,48.900002
2014-11-24,46.91,48.00,46.50,47.990002,307600,47.990002
2014-11-21,47.09,47.889999,46.700001,46.939999,278800,46.939999
2014-11-20,45.599998,46.700001,45.599998,46.610001,226900,46.610001
2014-11-19,46.599998,46.630001,45.57,45.900002,170600,45.900002
2014-11-18,46.119999,46.759998,46.02,46.50,167600,46.50
2014-11-17,46.09,46.57,45.709999,46.110001,174300,46.110001
2014-11-14,46.490002,47.049999,45.919998,46.029999,491100,46.029999
2014-11-13,47.139999,47.560001,46.09,46.560001,344200,46.560001
2014-11-12,46.610001,47.639999,45.759998,47.349998,367300,47.349998
2014-11-11,47.540001,47.970001,46.27,46.810001,290100,46.810001
2014-11-10,47.080002,48.060001,46.369999,47.529999,449800,47.529999
2014-11-07,46.18,47.689999,45.919998,47.080002,563200,47.080002
2014-11-06,45.099998,46.599998,44.639999,46.330002,482600,46.330002
2014-11-05,44.02,45.139999,43.82,44.900002,323400,44.900002
2014-11-04,43.939999,44.560001,43.740002,44.139999,397300,44.139999
2014-11-03,44.200001,44.380001,43.41,43.900002,331800,43.900002
2014-10-31,43.439999,44.290001,43.439999,44.02,418700,44.02
2014-10-30,43.439999,44.27,43.290001,43.939999,361500,43.939999
2014-10-29,43.900002,44.139999,42.860001,43.73,407100,43.73
2014-10-28,42.779999,44.25,42.75,44.02,665900,44.02
2014-10-27,41.630001,42.450001,41.43,42.419998,928000,42.419998
2014-10-24,38.00,42.380001,37.389999,42.150002,2378000,42.150002
