Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,109.360001,115.239998,109.360001,113.440002,476400,113.440002
2015-09-03,108.370003,110.949997,107.800003,108.839996,514400,108.839996
2015-09-02,111.190002,111.190002,105.510002,107.769997,781700,107.769997
2015-09-01,113.830002,114.00,109.459999,109.559998,456900,109.559998
2015-08-31,116.620003,118.419998,115.339996,115.839996,354500,115.839996
2015-08-28,120.709999,120.709999,115.550003,117.620003,370700,117.620003
2015-08-27,120.760002,122.07,118.510002,121.50,259600,121.50
2015-08-26,122.75,122.75,117.120003,119.010002,271500,119.010002
2015-08-25,124.589996,126.080002,119.400002,119.709999,271400,119.709999
2015-08-24,116.00,120.410004,113.709999,120.059998,592800,120.059998
2015-08-21,127.50,127.50,123.18,123.989998,527800,123.989998
2015-08-20,129.779999,131.119995,128.00,128.399994,257600,128.399994
2015-08-19,131.00,132.429993,130.509995,130.990005,186500,130.990005
2015-08-18,130.869995,132.330002,130.509995,131.039993,141400,131.039993
2015-08-17,128.300003,132.50,127.699997,131.470001,178400,131.470001
2015-08-14,128.139999,129.429993,127.339996,128.50,253400,128.50
2015-08-13,127.660004,131.139999,127.660004,128.740005,299300,128.740005
2015-08-12,129.160004,130.240005,125.019997,127.650002,335600,127.650002
2015-08-11,129.559998,131.300003,128.419998,130.25,180700,130.25
2015-08-10,132.600006,133.339996,128.440002,130.479996,301000,130.479996
2015-08-07,130.199997,131.699997,128.009995,131.399994,316500,131.399994
2015-08-06,131.520004,132.990005,129.130005,130.419998,680900,130.419998
2015-08-05,127.00,134.789993,126.589996,133.440002,597100,133.440002
2015-08-04,124.879997,128.389999,124.540001,125.309998,284900,125.309998
2015-08-03,123.300003,125.699997,121.379997,124.330002,214000,124.330002
2015-07-31,128.740005,128.740005,120.040001,122.849998,248100,122.849998
2015-07-30,115.93,120.389999,114.540001,119.209999,254900,119.209999
2015-07-29,113.18,113.779999,111.43,113.190002,341500,113.190002
2015-07-28,113.879997,114.290001,112.190002,112.589996,204800,112.589996
2015-07-27,115.110001,115.199997,112.709999,113.839996,166200,113.839996
2015-07-24,117.209999,117.220001,115.18,115.400002,152900,115.400002
2015-07-23,119.040001,119.300003,116.019997,116.980003,219700,116.980003
2015-07-22,117.800003,119.830002,117.290001,118.50,187600,118.50
2015-07-21,117.349998,117.93,116.779999,117.830002,162800,117.830002
2015-07-20,115.970001,117.629997,115.120003,117.209999,326800,117.209999
2015-07-17,112.459999,115.739998,112.199997,115.389999,599500,115.389999
2015-07-16,111.639999,112.400002,111.040001,112.059998,154600,112.059998
2015-07-15,111.169998,111.779999,110.400002,110.989998,116000,110.989998
2015-07-14,110.959999,111.300003,109.980003,110.349998,153300,110.349998
2015-07-13,110.870003,110.980003,109.900002,110.599998,209000,110.599998
2015-07-10,109.00,111.339996,108.519997,109.690002,240000,109.690002
2015-07-09,106.209999,108.00,106.209999,107.559998,168300,107.559998
2015-07-08,106.080002,107.309998,105.230003,106.419998,174500,106.419998
2015-07-07,109.290001,109.629997,105.50,107.150002,255800,107.150002
2015-07-06,105.50,109.860001,105.379997,109.68,288300,109.68
2015-07-02,107.910004,108.07,105.279999,105.870003,201100,105.870003
2015-07-01,106.940002,107.839996,106.019997,107.470001,275200,107.470001
2015-06-30,106.349998,107.300003,105.43,105.709999,180000,105.709999
2015-06-29,105.610001,108.379997,105.129997,105.739998,288700,105.739998
2015-06-26,106.190002,106.779999,104.949997,106.470001,236600,106.470001
2015-06-25,104.860001,107.099998,104.309998,105.669998,171100,105.669998
2015-06-24,103.449997,104.550003,102.919998,104.25,172600,104.25
2015-06-23,103.00,103.830002,102.720001,103.230003,161900,103.230003
2015-06-22,101.300003,103.669998,100.830002,102.68,315100,102.68
2015-06-19,99.00,100.089996,98.07,99.919998,239100,99.919998
2015-06-18,99.139999,99.480003,98.169998,99.00,113200,99.00
2015-06-17,100.00,100.129997,98.07,98.360001,114900,98.360001
2015-06-16,99.00,100.480003,99.00,99.849998,128500,99.849998
2015-06-15,99.300003,100.57,98.190002,99.379997,125000,99.379997
2015-06-12,99.940002,100.32,99.089996,99.519997,108500,99.519997
2015-06-11,100.779999,101.309998,99.300003,99.830002,123600,99.830002
2015-06-10,100.040001,102.160004,99.360001,100.389999,288200,100.389999
2015-06-09,98.75,99.959999,98.120003,99.059998,261900,99.059998
2015-06-08,98.410004,98.980003,97.809998,98.489998,199900,98.489998
2015-06-05,96.169998,98.220001,95.699997,97.970001,148900,97.970001
2015-06-04,95.839996,96.540001,94.849998,96.00,295700,96.00
2015-06-03,95.07,96.260002,94.610001,95.949997,131400,95.949997
2015-06-02,93.900002,95.059998,92.970001,94.580002,96000,94.580002
2015-06-01,95.00,95.00,93.550003,93.970001,119300,93.970001
2015-05-29,93.989998,94.730003,93.169998,94.160004,92700,94.160004
2015-05-28,94.470001,94.519997,93.480003,94.160004,73300,94.160004
2015-05-27,93.699997,95.019997,92.580002,94.860001,101900,94.860001
2015-05-26,93.970001,94.059998,92.239998,93.629997,87000,93.629997
2015-05-22,95.480003,95.480003,93.300003,94.07,110700,94.07
2015-05-21,95.529999,95.610001,94.540001,95.07,101200,95.07
2015-05-20,95.75,96.110001,94.449997,95.57,202700,95.57
2015-05-19,94.620003,95.839996,94.040001,95.690002,146900,95.690002
2015-05-18,93.379997,94.919998,92.949997,94.57,137300,94.57
