Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,4.95,4.99,4.95,4.99,800,4.99
2015-09-03,4.97,5.03,4.95,4.95,1600,4.95
2015-09-02,4.96,5.06,4.95,4.96,3500,4.96
2015-09-01,4.89,5.06,4.89,5.06,3200,5.06
2015-08-31,4.85,5.03,4.85,5.02,6600,5.02
2015-08-28,4.85,5.02,4.85,4.88,9500,4.88
2015-08-27,5.02,5.03,4.86,4.87,1900,4.87
2015-08-26,4.90,5.00,4.90,4.91,2100,4.91
2015-08-25,4.79,5.05,4.79,4.92,2900,4.92
2015-08-24,5.02,5.02,4.88,5.00,1200,5.00
2015-08-21,5.09,5.09,5.02,5.02,800,5.02
2015-08-20,5.04,5.07,5.04,5.07,900,5.07
2015-08-19,5.00,5.04,5.00,5.04,800,5.04
2015-08-18,5.05,5.10,5.00,5.00,64500,5.00
2015-08-17,5.09,5.09,5.09,5.09,400,5.09
2015-08-14,5.07,5.11,5.07,5.11,6000,5.11
2015-08-13,5.06,5.08,5.05,5.08,3100,5.08
2015-08-12,5.07,5.07,5.07,5.07,100,5.07
2015-08-11,5.07,5.07,5.07,5.07,100,5.07
2015-08-10,5.05,5.06,5.05,5.05,10400,5.05
2015-08-07,5.06,5.06,5.06,5.06,4700,5.06
2015-08-06,5.07,5.07,5.03,5.05,10400,5.05
2015-08-05,5.01,5.05,5.01,5.05,8100,5.05
2015-08-04,5.05,5.05,5.02,5.04,20800,5.04
2015-08-03,5.00,5.01,4.99,5.00,100700,5.00
2015-07-31,4.99,5.00,4.99,4.99,1700,4.99
2015-07-30,4.98,4.98,4.98,4.98,100,4.98
2015-07-29,4.98,4.98,4.98,4.98,000,4.98
2015-07-28,5.00,5.00,4.98,4.98,11800,4.98
2015-07-27,5.00,5.00,4.96,5.00,14900,5.00
2015-07-24,5.00,5.00,5.00,5.00,000,5.00
2015-07-23,5.00,5.00,4.96,5.00,17400,5.00
2015-07-22,5.00,5.00,4.94,4.99,15100,4.99
2015-07-21,4.89,4.99,4.89,4.95,6500,4.95
2015-07-20,4.96,4.96,4.96,4.96,000,4.96
2015-07-17,4.96,4.96,4.96,4.96,000,4.96
2015-07-16,4.95,5.01,4.95,4.96,33000,4.96
2015-07-15,5.00,5.00,4.95,4.95,21000,4.95
2015-07-14,5.00,5.00,4.98,4.98,200,4.98
2015-07-13,5.00,5.10,4.96,4.98,13200,4.98
2015-07-10,4.99,5.12,4.99,5.12,13900,5.12
2015-07-09,5.00,5.08,5.00,5.03,4600,5.03
2015-07-08,4.99,5.03,4.99,4.99,6400,4.99
2015-07-07,5.02,5.02,5.02,5.02,000,5.02
2015-07-06,5.00,5.02,5.00,5.02,1000,5.02
2015-07-02,5.00,5.01,5.00,5.01,500,5.01
2015-07-01,5.16,5.17,4.99,5.06,38200,5.06
2015-06-30,5.29,5.29,5.29,5.29,000,5.29
2015-06-29,5.29,5.29,5.29,5.29,000,5.29
2015-06-26,5.16,5.29,5.16,5.29,5100,5.29
2015-06-25,5.17,5.17,5.16,5.16,600,5.16
2015-06-24,5.17,5.17,5.17,5.17,1000,5.17
2015-06-23,5.16,5.18,5.16,5.16,1500,5.16
2015-06-22,5.18,5.20,5.16,5.16,1600,5.16
2015-06-19,5.35,5.45,5.15,5.15,46600,5.15
2015-06-18,5.30,5.44,5.30,5.43,17200,5.43
2015-06-17,5.23,5.44,5.16,5.30,18000,5.30
2015-06-16,5.23,5.27,5.11,5.27,25300,5.27
2015-06-15,5.13,5.26,5.13,5.23,23800,5.23
2015-06-12,5.17,5.18,5.10,5.12,9400,5.12
2015-06-11,5.18,5.18,5.14,5.14,28100,5.14
2015-06-10,5.14,5.17,5.13,5.13,8800,5.13
2015-06-09,5.16,5.17,5.12,5.14,13500,5.14
2015-06-08,5.19,5.28,5.17,5.18,22800,5.18
2015-06-05,5.21,5.33,5.18,5.29,7200,5.29
2015-06-04,5.19,5.28,5.19,5.28,15400,5.28
2015-06-03,5.35,5.35,5.35,5.35,100,5.35
2015-06-02,5.33,5.33,5.33,5.33,100,5.33
2015-06-01,5.32,5.32,5.24,5.26,800,5.26
2015-05-29,5.29,5.29,5.18,5.28,2600,5.28
2015-05-28,5.30,5.30,5.25,5.25,4800,5.25
2015-05-27,5.35,5.40,5.23,5.23,7500,5.23
2015-05-26,5.35,5.35,5.33,5.33,400,5.33
2015-05-22,5.34,5.34,5.30,5.32,7700,5.32
2015-05-21,5.48,5.48,5.39,5.39,800,5.39
2015-05-20,5.45,5.45,5.30,5.30,6000,5.30
2015-05-19,5.48,5.48,5.40,5.40,10900,5.40
2015-05-18,5.45,5.48,5.44,5.48,3900,5.48
2015-05-15,5.16,5.45,5.16,5.40,38100,5.40
2015-05-14,5.20,5.45,5.20,5.45,65300,5.45
2015-05-13,5.25,5.25,5.15,5.15,8500,5.15
2015-05-12,5.42,5.42,5.21,5.26,5000,5.26
2015-05-11,5.50,5.50,5.41,5.43,300,5.43
2015-05-08,5.29,5.51,5.29,5.46,1200,5.46
2015-05-07,5.25,5.25,5.18,5.25,3600,5.25
2015-05-06,5.18,5.25,5.15,5.25,39000,5.25
2015-05-05,5.21,5.21,5.18,5.19,2600,5.19
2015-05-04,5.21,5.21,5.18,5.18,2300,5.18
2015-05-01,5.18,5.20,5.18,5.20,6100,5.20
2015-04-30,5.23,5.23,5.18,5.21,9300,5.21
2015-04-29,5.22,5.22,5.22,5.22,000,5.22
2015-04-28,5.23,5.23,5.22,5.22,600,5.22
2015-04-27,5.23,5.23,5.23,5.23,100,5.23
2015-04-24,5.22,5.24,5.22,5.24,6900,5.24
2015-04-23,5.20,5.21,5.20,5.20,3100,5.20
2015-04-22,5.20,5.21,5.20,5.20,1400,5.20
2015-04-21,5.20,5.20,5.20,5.20,100,5.20
2015-04-20,5.20,5.20,5.15,5.20,27800,5.20
2015-04-17,5.20,5.22,5.20,5.20,3400,5.20
2015-04-16,5.20,5.20,5.20,5.20,7400,5.20
2015-04-15,5.20,5.20,5.20,5.20,3500,5.20
2015-04-14,5.21,5.21,5.20,5.20,9900,5.20
2015-04-13,5.20,5.22,5.20,5.20,1600,5.20
2015-04-10,5.21,5.21,5.21,5.21,100,5.21
2015-04-09,5.21,5.21,5.21,5.21,1000,5.21
2015-04-08,5.20,5.20,5.20,5.20,2500,5.20
2015-04-07,5.20,5.20,5.20,5.20,1900,5.20
2015-04-06,5.20,5.23,5.18,5.20,32100,5.20
2015-04-02,5.20,5.21,5.20,5.21,6600,5.21
2015-04-01,5.20,5.20,5.20,5.20,1700,5.20
2015-03-31,5.21,5.21,5.21,5.21,200,5.21
2015-03-30,5.16,5.21,5.15,5.20,33400,5.20
2015-03-27,5.10,5.16,5.10,5.16,5600,5.16
2015-03-26,5.10,5.10,5.10,5.10,1100,5.10
2015-03-25,5.15,5.20,5.10,5.20,8000,5.20
2015-03-24,5.03,5.03,5.03,5.03,400,5.03
2015-03-23,5.03,5.07,5.03,5.03,2300,5.03
2015-03-20,5.25,5.25,4.99,4.99,6300,4.99
2015-03-19,5.15,5.20,5.03,5.03,5200,5.03
2015-03-18,5.13,5.16,5.00,5.00,5400,5.00
2015-03-17,5.15,5.15,5.10,5.10,3800,5.10
2015-03-16,5.05,5.10,4.97,5.10,4800,5.10
2015-03-13,5.08,5.10,4.95,4.98,25700,4.98
2015-03-12,4.95,5.04,4.95,5.04,6600,5.04
2015-03-11,4.92,5.00,4.92,4.94,1900,4.94
2015-03-10,4.92,4.92,4.92,4.92,500,4.92
2015-03-09,4.90,4.94,4.87,4.90,10900,4.90
2015-03-06,4.95,4.95,4.90,4.90,3100,4.90
2015-03-05,4.86,4.95,4.86,4.95,25500,4.95
2015-03-04,4.81,4.90,4.81,4.88,5200,4.88
2015-03-03,4.84,4.88,4.84,4.88,1300,4.88
2015-03-02,4.80,4.85,4.78,4.85,13800,4.85
2015-02-27,4.80,4.80,4.78,4.78,200,4.78
2015-02-26,4.78,4.78,4.76,4.78,500,4.78
2015-02-25,4.80,4.80,4.75,4.80,2900,4.80
2015-02-24,4.75,4.80,4.75,4.80,2700,4.80
2015-02-23,4.80,4.82,4.79,4.81,19500,4.81
2015-02-20,4.80,4.80,4.75,4.75,2100,4.75
2015-02-19,4.78,4.78,4.76,4.78,1400,4.78
2015-02-18,4.79,4.80,4.75,4.80,9500,4.80
2015-02-17,4.78,4.80,4.78,4.80,12200,4.80
2015-02-13,4.70,4.78,4.70,4.78,53800,4.78
