Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,11.77,11.84,11.73,11.81,369100,11.81
2015-09-03,11.79,11.94,11.71,11.88,579600,11.88
2015-09-02,11.83,11.85,11.69,11.77,1064700,11.77
2015-09-01,11.89,12.04,11.67,11.74,1195300,11.74
2015-08-31,11.95,12.09,11.91,12.05,788200,12.05
2015-08-28,11.94,12.09,11.92,12.03,637400,12.03
2015-08-27,11.99,12.10,11.88,12.01,687900,12.01
2015-08-26,11.80,11.95,11.64,11.92,1071500,11.92
2015-08-25,12.02,12.02,11.61,11.61,1071600,11.61
2015-08-24,11.84,11.98,11.77,11.78,1563300,11.78
2015-08-21,11.88,12.12,11.84,12.01,869700,12.01
2015-08-20,12.05,12.17,11.98,11.99,593700,11.99
2015-08-19,12.15,12.24,12.09,12.13,422400,12.13
2015-08-18,12.21,12.24,12.17,12.18,518100,12.18
2015-08-17,12.15,12.25,12.08,12.20,633600,12.20
2015-08-14,12.05,12.19,12.01,12.19,255900,12.19
2015-08-13,12.03,12.11,12.00,12.07,362900,12.07
2015-08-12,12.01,12.07,11.86,12.06,848400,12.06
2015-08-11,12.09,12.19,12.02,12.06,299400,12.06
2015-08-10,12.09,12.20,12.07,12.17,1103100,12.17
2015-08-07,11.94,12.04,11.93,12.03,489700,12.03
2015-08-06,12.04,12.08,11.96,12.01,465200,12.01
2015-08-05,12.07,12.17,11.99,12.02,529700,12.02
2015-08-04,12.05,12.15,11.99,12.09,450000,12.005
2015-08-03,12.06,12.08,11.96,12.07,807100,11.98514
2015-07-31,11.97,12.06,11.86,12.02,641800,11.935493
2015-07-30,11.91,11.96,11.84,11.96,535100,11.875914
2015-07-29,11.82,12.02,11.82,11.94,527500,11.856054
2015-07-28,11.93,11.93,11.80,11.90,741500,11.816335
2015-07-27,11.90,11.94,11.85,11.89,543000,11.806406
2015-07-24,11.98,12.02,11.91,11.93,421400,11.846125
2015-07-23,12.09,12.10,11.99,12.01,693600,11.925563
2015-07-22,12.06,12.14,12.04,12.09,360200,12.005
2015-07-21,12.06,12.18,12.03,12.07,563300,11.98514
2015-07-20,12.09,12.14,12.05,12.09,473700,12.005
2015-07-17,12.27,12.31,12.04,12.10,412200,12.01493
2015-07-16,12.30,12.33,12.23,12.25,438000,12.163875
2015-07-15,12.32,12.33,12.20,12.26,871600,12.173805
2015-07-14,12.22,12.32,12.20,12.30,385300,12.213524
2015-07-13,12.26,12.32,12.20,12.25,444400,12.163875
2015-07-10,12.15,12.25,12.11,12.21,416400,12.124156
2015-07-09,12.10,12.14,12.02,12.08,515000,11.99507
2015-07-08,12.00,12.05,11.97,12.03,477400,11.945422
2015-07-07,12.10,12.14,11.94,12.05,831400,11.965281
2015-07-06,11.96,12.12,11.95,12.10,398800,12.01493
2015-07-02,12.08,12.08,11.99,12.04,611200,11.955351
2015-07-01,12.17,12.17,12.02,12.07,789100,11.98514
2015-06-30,12.12,12.19,12.01,12.04,750500,11.955351
2015-06-29,12.22,12.28,12.05,12.07,655100,11.98514
2015-06-26,12.20,12.30,12.17,12.29,1868800,12.203594
2015-06-25,12.17,12.22,12.07,12.14,371300,12.054649
2015-06-24,12.11,12.20,12.08,12.14,545300,12.054649
2015-06-23,12.15,12.17,12.08,12.16,411100,12.074508
2015-06-22,12.07,12.12,12.04,12.10,369200,12.01493
2015-06-19,12.03,12.04,11.95,12.02,1189900,11.935493
2015-06-18,11.98,12.05,11.91,12.01,802300,11.925563
2015-06-17,11.99,12.05,11.92,11.93,760000,11.846125
2015-06-16,11.85,12.02,11.85,11.97,800400,11.885844
2015-06-15,11.85,11.97,11.75,11.88,1187500,11.796477
2015-06-12,11.92,11.94,11.85,11.88,971900,11.796477
2015-06-11,12.06,12.06,11.92,11.93,849700,11.846125
2015-06-10,11.90,12.06,11.90,12.02,778100,11.935493
2015-06-09,12.09,12.21,12.02,12.11,585800,11.776617
2015-06-08,12.17,12.20,12.11,12.11,537500,11.776617
2015-06-05,12.13,12.19,12.06,12.19,589700,11.854415
2015-06-04,12.15,12.19,12.02,12.11,587500,11.776617
2015-06-03,12.28,12.30,12.16,12.19,937900,11.854415
2015-06-02,12.10,12.28,12.07,12.26,857300,11.922488
2015-06-01,12.13,12.19,12.02,12.11,760200,11.776617
2015-05-29,12.03,12.13,11.99,12.10,805400,11.766893
2015-05-28,12.15,12.24,12.02,12.05,819300,11.718269
2015-05-27,11.93,12.16,11.89,12.13,903600,11.796067
2015-05-26,12.02,12.03,11.89,11.90,1126100,11.572398
2015-05-22,12.08,12.11,11.98,12.03,728100,11.698819
2015-05-21,12.10,12.16,12.01,12.07,457900,11.737718
2015-05-20,12.25,12.28,12.11,12.14,362800,11.805792
2015-05-19,12.22,12.27,12.17,12.25,390000,11.912763
2015-05-18,12.10,12.22,12.09,12.20,498200,11.864139
2015-05-15,12.21,12.23,12.08,12.11,337500,11.776617
2015-05-14,12.20,12.29,12.09,12.19,376700,11.854415
2015-05-13,12.15,12.18,12.07,12.14,358900,11.805792
2015-05-12,12.12,12.23,12.03,12.15,439500,11.815516
2015-05-11,12.10,12.30,12.10,12.15,533000,11.815516
2015-05-08,12.15,12.18,12.06,12.12,583700,11.786342
2015-05-07,12.02,12.16,11.98,12.07,1015100,11.737718
2015-05-06,12.06,12.14,11.97,12.04,1046800,11.708544
2015-05-05,12.01,12.14,11.94,11.99,902300,11.659921
2015-05-04,11.96,12.08,11.94,12.04,617500,11.708544
2015-05-01,12.05,12.13,11.95,11.97,923300,11.640472
2015-04-30,12.08,12.26,11.99,12.00,1665700,11.669646
2015-04-29,12.20,12.33,12.10,12.10,359400,11.766893
2015-04-28,12.15,12.28,12.09,12.28,683500,11.859277
2015-04-27,12.19,12.27,12.09,12.13,439900,11.714416
2015-04-24,12.23,12.25,12.14,12.20,345700,11.782018
2015-04-23,12.29,12.32,12.21,12.23,449800,11.81099
2015-04-22,12.35,12.35,12.24,12.31,562900,11.88825
2015-04-21,12.42,12.52,12.34,12.36,413300,11.936536
2015-04-20,12.38,12.50,12.35,12.41,270700,11.984823
2015-04-17,12.37,12.45,12.24,12.31,415200,11.88825
2015-04-16,12.38,12.50,12.35,12.46,190300,12.03311
2015-04-15,12.37,12.44,12.33,12.41,463600,11.984823
2015-04-14,12.42,12.42,12.33,12.34,226500,11.917222
2015-04-13,12.40,12.47,12.40,12.42,242000,11.994481
2015-04-10,12.43,12.43,12.38,12.41,159600,11.984823
2015-04-09,12.43,12.47,12.32,12.41,279700,11.984823
2015-04-08,12.41,12.53,12.41,12.46,356900,12.03311
2015-04-07,12.49,12.54,12.41,12.41,424900,11.984823
2015-04-06,12.43,12.59,12.42,12.47,315300,12.042768
2015-04-02,12.45,12.62,12.45,12.54,532000,12.110369
2015-04-01,12.51,12.67,12.33,12.45,604000,12.023453
2015-03-31,12.48,12.55,12.38,12.50,584900,12.07174
2015-03-30,12.52,12.64,12.46,12.58,426300,12.148999
2015-03-27,12.48,12.51,12.37,12.44,372300,12.013795
2015-03-26,12.40,12.48,12.33,12.47,610200,12.042768
2015-03-25,12.58,12.67,12.39,12.40,533100,11.975166
2015-03-24,12.61,12.61,12.52,12.57,346200,12.139341
2015-03-23,12.62,12.70,12.55,12.60,296800,12.168314
2015-03-20,12.57,12.70,12.49,12.64,781900,12.206944
2015-03-19,12.51,12.54,12.45,12.49,419000,12.062082
2015-03-18,12.48,12.62,12.47,12.55,392800,12.120027
2015-03-17,12.43,12.58,12.38,12.54,568600,12.110369
2015-03-16,12.59,12.59,12.43,12.45,524600,12.023453
2015-03-13,12.56,12.72,12.37,12.54,650800,12.110369
2015-03-12,12.34,12.57,12.28,12.55,626900,12.120027
2015-03-11,12.33,12.34,12.22,12.24,833400,11.820647
2015-03-10,12.45,12.45,12.33,12.33,406700,11.907564
