Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.00,14.21,13.92,14.21,14400,14.036361
2014-12-30,13.95,14.00,13.91,13.91,900,13.740027
2014-12-29,13.92,14.00,13.90,13.95,6300,13.779538
2014-12-26,13.94,13.94,13.76,13.85,2300,13.68076
2014-12-24,13.76,13.91,13.68,13.70,4700,13.532593
2014-12-23,13.82,13.95,13.82,13.88,3600,13.710394
2014-12-22,13.53,13.78,13.49,13.76,3300,13.59186
2014-12-19,13.85,13.90,13.28,13.54,4300,13.374548
2014-12-18,13.90,13.90,13.87,13.87,500,13.700516
2014-12-17,13.33,13.90,13.33,13.85,1400,13.68076
2014-12-16,13.88,13.88,13.88,13.88,000,13.710394
2014-12-15,13.59,13.88,13.45,13.88,6100,13.710394
2014-12-12,13.94,13.94,13.74,13.74,1300,13.572104
2014-12-11,13.98,14.00,13.51,13.87,4400,13.700516
2014-12-10,13.70,13.88,13.64,13.72,6800,13.463449
2014-12-09,13.95,13.95,13.50,13.50,1800,13.247563
2014-12-08,13.90,13.95,13.50,13.85,3400,13.591019
2014-12-05,13.15,14.00,13.15,13.90,10300,13.640083
2014-12-04,12.99,13.14,12.59,13.14,4600,12.894295
2014-12-03,12.45,13.25,12.45,12.97,41500,12.727474
2014-12-02,12.45,12.45,12.44,12.45,24400,12.217197
2014-12-01,12.45,12.45,12.29,12.45,6000,12.217197
2014-11-28,12.30,12.45,12.30,12.45,4800,12.217197
2014-11-26,12.35,12.45,12.26,12.33,900,12.099441
2014-11-25,12.44,12.45,12.37,12.37,3800,12.138693
2014-11-24,12.49,12.49,12.44,12.44,6500,12.207383
2014-11-21,12.54,12.57,12.50,12.53,5600,12.295701
2014-11-20,12.59,12.59,12.54,12.59,3500,12.354579
2014-11-19,12.59,12.59,12.58,12.59,4100,12.354579
2014-11-18,12.65,12.65,12.60,12.65,7100,12.413457
2014-11-17,12.60,12.65,12.60,12.65,4500,12.413457
2014-11-14,12.65,12.65,12.65,12.65,1400,12.413457
2014-11-13,12.63,12.65,12.63,12.65,22200,12.413457
2014-11-12,12.65,12.65,12.65,12.65,1500,12.413457
2014-11-11,12.55,12.64,12.55,12.64,600,12.403644
2014-11-10,12.60,12.60,12.60,12.60,300,12.364392
2014-11-07,12.60,12.65,12.55,12.65,4800,12.413457
2014-11-06,12.64,12.64,12.64,12.64,600,12.403644
2014-11-05,12.57,12.64,12.57,12.64,2500,12.403644
2014-11-04,12.60,12.64,12.55,12.64,1700,12.403644
2014-11-03,12.56,12.60,12.56,12.60,5800,12.364392
2014-10-31,12.65,12.65,12.55,12.64,2000,12.403644
2014-10-30,12.60,12.61,12.55,12.55,5600,12.315327
2014-10-29,12.65,12.65,12.56,12.65,700,12.413457
2014-10-28,12.71,12.73,12.55,12.55,16300,12.315327
2014-10-27,12.69,12.69,12.64,12.68,700,12.442896
2014-10-24,12.58,12.68,12.55,12.68,5600,12.442896
2014-10-23,12.55,12.60,12.52,12.55,7400,12.315327
2014-10-22,12.58,12.58,12.54,12.54,4200,12.305514
2014-10-21,12.60,12.60,12.60,12.60,400,12.364392
2014-10-20,12.60,12.60,12.60,12.60,400,12.364392
2014-10-17,12.60,12.60,12.59,12.60,1700,12.364392
2014-10-16,12.60,12.63,12.52,12.60,4800,12.364392
2014-10-15,12.61,12.73,12.61,12.65,2900,12.413457
2014-10-14,12.67,12.68,12.61,12.61,2200,12.374205
2014-10-13,12.66,12.67,12.61,12.61,900,12.374205
2014-10-10,12.65,12.65,12.65,12.65,000,12.413457
2014-10-09,12.62,12.65,12.62,12.65,600,12.413457
2014-10-08,12.72,12.72,12.52,12.64,2300,12.403644
2014-10-07,12.64,12.73,12.64,12.73,700,12.491961
2014-10-06,12.65,12.65,12.64,12.64,700,12.403644
2014-10-03,12.65,12.73,12.65,12.73,400,12.491961
2014-10-02,12.55,12.74,12.55,12.73,9600,12.491961
2014-10-01,12.70,12.74,12.54,12.72,12000,12.482148
2014-09-30,12.74,12.74,12.64,12.74,2600,12.501774
2014-09-29,12.64,12.64,12.64,12.64,200,12.403644
2014-09-26,12.70,12.83,12.70,12.83,600,12.590091
2014-09-25,12.83,12.84,12.83,12.83,1100,12.590091
2014-09-24,12.73,12.83,12.73,12.83,500,12.590091
2014-09-23,12.76,12.85,12.69,12.85,6200,12.609718
2014-09-22,12.75,12.75,12.70,12.70,2200,12.462522
2014-09-19,12.52,12.75,12.52,12.75,2100,12.511587
2014-09-18,12.53,12.53,12.53,12.53,200,12.295701
2014-09-17,12.60,12.75,12.55,12.75,7400,12.511587
2014-09-16,12.59,12.71,12.59,12.68,2400,12.442896
2014-09-15,12.60,12.72,12.57,12.72,800,12.482148
2014-09-12,12.70,12.70,12.51,12.56,900,12.32514
2014-09-11,12.60,12.71,12.55,12.71,2300,12.472335
2014-09-10,12.61,12.63,12.61,12.63,800,12.305514
2014-09-09,12.60,12.84,12.60,12.62,1000,12.295771
2014-09-08,12.60,12.60,12.60,12.60,200,12.276285
2014-09-05,12.69,12.83,12.65,12.83,2000,12.500376
2014-09-04,12.62,12.84,12.62,12.84,600,12.510119
2014-09-03,12.75,12.84,12.52,12.84,1600,12.510119
2014-09-02,12.52,12.85,12.45,12.84,13700,12.510119
2014-08-29,12.60,12.80,12.45,12.60,27500,12.276285
2014-08-28,12.73,12.75,12.69,12.69,2200,12.363972
2014-08-27,12.60,12.84,12.60,12.74,7000,12.412688
2014-08-26,12.73,12.73,12.62,12.70,3200,12.373715
2014-08-25,12.60,12.70,12.60,12.70,3600,12.373715
2014-08-22,12.66,12.66,12.61,12.61,2200,12.286027
2014-08-21,12.75,12.75,12.74,12.74,800,12.412688
2014-08-20,12.75,12.75,12.72,12.74,1000,12.412688
2014-08-19,12.84,12.84,12.72,12.72,1000,12.393202
2014-08-18,12.70,12.72,12.65,12.65,4800,12.325
2014-08-15,12.85,12.85,12.69,12.70,20700,12.373715
2014-08-14,12.80,12.85,12.80,12.84,4700,12.510119
2014-08-13,12.79,12.79,12.77,12.77,2500,12.441918
2014-08-12,12.85,12.85,12.84,12.84,2800,12.510119
2014-08-11,12.85,12.85,12.78,12.84,1200,12.510119
2014-08-08,12.73,12.85,12.73,12.84,1000,12.510119
2014-08-07,12.81,12.84,12.65,12.84,1800,12.510119
2014-08-06,12.79,12.85,12.70,12.79,2500,12.461403
2014-08-05,12.70,12.80,12.65,12.80,5000,12.471147
2014-08-04,12.62,12.70,12.60,12.70,2800,12.373715
2014-08-01,12.81,12.81,12.61,12.61,4500,12.286027
2014-07-31,12.70,12.85,12.70,12.84,1200,12.510119
2014-07-30,12.79,12.84,12.79,12.84,500,12.510119
2014-07-29,12.64,12.73,12.62,12.73,3000,12.402944
2014-07-28,12.55,12.70,12.46,12.68,4200,12.35423
2014-07-25,12.56,12.70,12.56,12.70,1200,12.373715
2014-07-24,12.60,12.69,12.60,12.69,1600,12.363972
2014-07-23,12.49,12.72,12.31,12.63,6300,12.305514
2014-07-22,12.50,12.50,12.41,12.45,1000,12.130138
2014-07-21,12.39,12.50,12.39,12.47,8500,12.149625
2014-07-18,12.26,12.49,12.26,12.49,600,12.169111
2014-07-17,12.50,12.50,12.37,12.49,1600,12.169111
2014-07-16,12.49,12.49,12.33,12.49,2200,12.169111
2014-07-15,12.40,12.50,12.38,12.48,3500,12.159367
2014-07-14,12.45,12.49,12.31,12.38,4100,12.061937
2014-07-11,12.43,12.44,12.28,12.44,1600,12.120395
2014-07-10,12.21,12.50,12.21,12.33,4300,12.013221
2014-07-09,12.37,12.37,12.22,12.35,3400,12.032708
2014-07-08,12.44,12.49,12.37,12.37,10400,12.052194
2014-07-07,12.50,12.50,12.31,12.48,3800,12.159367
2014-07-03,12.49,12.49,12.49,12.49,200,12.169111
2014-07-02,12.47,12.47,12.40,12.40,500,12.081423
2014-07-01,12.45,12.55,12.31,12.46,16300,12.139882
2014-06-30,12.40,12.66,12.40,12.46,4700,12.139882
2014-06-27,12.34,12.39,12.31,12.39,3400,12.07168
2014-06-26,12.27,12.29,12.26,12.27,4300,11.954763
2014-06-25,12.27,12.40,12.27,12.29,2500,11.974249
2014-06-24,12.29,12.29,12.25,12.26,52800,11.94502
2014-06-23,12.29,12.29,12.19,12.19,1900,11.876818
2014-06-20,12.19,12.40,12.09,12.09,2600,11.779388
2014-06-19,12.06,12.29,12.05,12.28,1200,11.964506
2014-06-18,12.05,12.77,12.00,12.29,15000,11.974249
2014-06-17,11.83,12.04,11.83,12.00,43700,11.6917
2014-06-16,11.80,12.05,11.75,11.80,4100,11.496838
2014-06-13,11.65,12.07,11.65,12.07,6800,11.759901
2014-06-12,11.66,11.85,11.66,11.84,2300,11.535811
2014-06-11,11.55,11.65,11.55,11.65,5300,11.350691
2014-06-10,11.60,11.67,11.59,11.65,3700,11.263003
2014-06-09,11.51,11.67,11.51,11.65,8700,11.263003
2014-06-06,11.70,11.71,11.67,11.67,1600,11.282339
2014-06-05,11.54,11.67,11.45,11.66,16700,11.272671
2014-06-04,11.57,11.60,11.41,11.55,18000,11.166326
2014-06-03,11.44,11.50,11.44,11.49,2100,11.108318
2014-06-02,11.47,11.54,11.43,11.48,3800,11.09865
2014-05-30,11.32,11.50,11.32,11.50,200,11.117987
2014-05-29,11.50,11.66,11.39,11.63,5200,11.243668
2014-05-28,11.48,11.52,11.37,11.47,5700,11.088983
2014-05-27,11.39,11.55,11.37,11.50,6100,11.117987
2014-05-23,11.35,11.49,11.30,11.49,9300,11.108318
2014-05-22,11.16,11.47,11.15,11.31,14100,10.934298
2014-05-21,11.20,11.27,11.20,11.27,2600,10.895627
2014-05-20,11.06,11.20,11.06,11.20,15300,10.827952
2014-05-19,11.09,11.09,11.04,11.09,11100,10.721606
2014-05-16,11.02,11.15,11.02,11.04,9200,10.673267
2014-05-15,11.05,11.11,11.01,11.01,10000,10.644264
2014-05-14,11.11,11.20,11.05,11.05,12700,10.682935
2014-05-13,11.06,11.14,11.00,11.10,9000,10.731274
2014-05-12,11.03,11.15,10.96,11.00,14000,10.634596
2014-05-09,10.96,11.07,10.96,10.96,5300,10.595925
