Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,76.040001,76.25,74.849998,74.889999,1062600,73.623198
2014-12-30,76.00,76.43,75.620003,75.690002,1061700,74.409668
2014-12-29,76.50,76.739998,75.910004,76.389999,654900,75.097824
2014-12-26,77.25,77.489998,76.669998,76.75,653000,75.451735
2014-12-24,77.129997,77.379997,76.690002,77.160004,426900,75.854804
2014-12-23,77.110001,77.370003,76.739998,77.019997,701700,75.717165
2014-12-22,76.279999,76.830002,75.730003,76.809998,1663100,75.510718
2014-12-19,74.169998,76.379997,74.169998,76.309998,3423800,75.019176
2014-12-18,72.639999,74.150002,72.209999,74.07,1424900,72.817069
2014-12-17,71.650002,71.940002,69.139999,71.879997,2196100,70.664111
2014-12-16,72.260002,73.150002,71.900002,71.919998,831900,70.703435
2014-12-15,72.779999,73.230003,72.050003,72.18,1174500,70.959039
2014-12-12,72.230003,72.839996,71.879997,72.290001,1369800,71.067179
2014-12-11,71.830002,72.919998,71.790001,72.480003,1415100,71.253968
2014-12-10,72.839996,73.18,71.75,71.809998,1804000,70.221723
2014-12-09,73.57,73.760002,72.550003,73.25,1573400,71.629876
2014-12-08,74.25,74.769997,73.870003,74.07,1452000,72.431739
2014-12-05,74.650002,75.199997,74.370003,74.629997,1448800,72.979351
2014-12-04,74.57,74.900002,73.989998,74.449997,1145300,72.803332
2014-12-03,73.580002,74.720001,73.489998,74.57,1479600,72.92068
2014-12-02,73.099998,73.940002,72.709999,73.610001,1512300,71.981914
2014-12-01,73.389999,73.669998,72.309998,72.510002,1044800,70.906245
2014-11-28,74.440002,74.919998,73.470001,73.739998,856500,72.109036
2014-11-26,73.110001,73.68,73.019997,73.400002,834600,71.77656
2014-11-25,72.82,73.330002,72.699997,73.040001,1002400,71.424522
2014-11-24,72.870003,73.050003,72.480003,72.620003,1022200,71.013813
2014-11-21,73.220001,73.330002,72.660004,72.82,1286600,71.209386
2014-11-20,71.400002,72.489998,71.25,72.290001,1792600,70.69111
2014-11-19,72.370003,72.639999,71.43,71.480003,1444000,69.899028
2014-11-18,72.629997,72.959999,72.349998,72.540001,1149400,70.93558
2014-11-17,72.779999,73.169998,72.489998,72.519997,988100,70.916019
2014-11-14,73.209999,73.760002,72.809998,73.07,1150900,71.453857
2014-11-13,72.279999,73.120003,72.279999,73.110001,1126900,71.492973
2014-11-12,71.610001,73.010002,71.43,72.860001,1486000,71.248503
2014-11-11,72.120003,72.150002,71.419998,71.75,799100,70.163053
2014-11-10,71.410004,72.230003,70.949997,72.169998,1301300,70.573761
2014-11-07,71.910004,71.910004,70.919998,71.459999,1012800,69.879466
2014-11-06,71.339996,71.980003,70.830002,71.599998,1708500,70.016369
2014-11-05,70.769997,71.870003,69.959999,71.449997,2198200,69.869685
2014-11-04,68.93,70.620003,68.839996,70.120003,3034500,68.569107
2014-11-03,69.279999,69.440002,67.879997,68.690002,1960900,67.170735
2014-10-31,70.099998,70.18,68.279999,69.209999,2359000,67.679231
2014-10-30,70.57,72.099998,68.57,69.220001,3322100,67.689012
2014-10-29,74.349998,74.949997,71.769997,72.099998,3934800,70.50531
2014-10-28,71.699997,72.57,71.599998,72.339996,2795000,70.74
2014-10-27,70.389999,72.139999,69.800003,71.699997,2279400,70.114155
2014-10-24,71.010002,71.309998,70.489998,71.150002,1083100,69.576325
2014-10-23,70.419998,71.220001,69.989998,70.610001,1061300,69.048267
2014-10-22,70.110001,70.50,69.510002,69.529999,1365500,67.992153
2014-10-21,69.190002,70.150002,68.849998,69.93,1113600,68.383307
2014-10-20,67.699997,69.00,67.699997,68.989998,1548100,67.464095
2014-10-17,67.459999,68.150002,67.209999,67.980003,1254100,66.47644
2014-10-16,66.230003,67.440002,65.519997,66.860001,1461800,65.381209
2014-10-15,65.459999,67.309998,64.790001,67.099998,2267200,65.615899
2014-10-14,64.949997,66.190002,64.629997,65.580002,1516700,64.129521
2014-10-13,64.150002,65.169998,63.419998,63.450001,1496600,62.046631
2014-10-10,65.169998,65.379997,64.18,64.620003,1207300,63.190755
2014-10-09,66.25,66.650002,65.029999,65.199997,966800,63.757921
2014-10-08,65.230003,66.330002,64.809998,66.279999,849800,64.814035
2014-10-07,66.480003,66.480003,65.419998,65.43,836900,63.982837
2014-10-06,67.400002,68.019997,66.68,66.730003,797700,65.254087
2014-10-03,66.519997,67.449997,66.410004,67.239998,1416200,65.752801
2014-10-02,65.00,66.199997,64.589996,66.099998,1924500,64.638016
2014-10-01,66.18,66.32,65.150002,65.190002,1618400,63.748147
2014-09-30,66.290001,66.699997,66.040001,66.32,1412300,64.853152
2014-09-29,65.860001,66.629997,65.629997,66.449997,1222800,64.980274
2014-09-26,65.610001,66.370003,65.599998,66.349998,1014700,64.882487
2014-09-25,66.50,66.620003,65.489998,65.559998,1109500,64.109959
2014-09-24,66.360001,66.769997,66.050003,66.690002,1035400,65.214971
2014-09-23,66.629997,66.82,66.269997,66.440002,939600,64.9705
2014-09-22,67.580002,67.580002,66.669998,66.739998,782600,65.26386
2014-09-19,68.279999,68.57,67.360001,67.82,1716300,66.319975
2014-09-18,68.080002,68.279999,67.839996,68.230003,1188600,66.72091
2014-09-17,67.410004,68.220001,67.25,68.080002,1308800,66.574226
2014-09-16,67.089996,67.300003,66.860001,67.199997,1157200,65.713685
2014-09-15,67.139999,67.279999,66.599998,67.050003,779200,65.567009
