Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,1.15,1.20,1.15,1.20,82500,1.20
2015-09-03,1.15,1.20,1.15,1.15,187000,1.15
2015-09-02,1.154,1.17,1.14,1.16,106800,1.16
2015-09-01,1.12,1.19,1.108,1.15,251100,1.15
2015-08-31,1.11,1.14,1.11,1.12,111100,1.12
2015-08-28,1.07,1.17,1.07,1.12,552100,1.12
2015-08-27,1.05,1.07,1.04,1.07,215600,1.07
2015-08-26,1.06,1.06,1.02,1.03,115600,1.03
2015-08-25,1.02,1.05,1.02,1.05,301600,1.05
2015-08-24,1.01,1.05,1.00,1.01,314100,1.01
2015-08-21,1.03,1.06,1.02,1.05,509800,1.05
2015-08-20,1.04,1.08,1.04,1.06,231200,1.06
2015-08-19,1.05,1.09,1.04,1.06,109500,1.06
2015-08-18,1.04,1.10,1.04,1.08,145500,1.08
2015-08-17,1.05,1.07,1.03,1.07,410200,1.07
2015-08-14,1.05,1.07,1.05,1.05,165400,1.05
2015-08-13,1.07,1.09,1.04,1.05,332700,1.05
2015-08-12,1.04,1.10,1.03,1.07,947100,1.07
2015-08-11,1.15,1.156,1.11,1.12,161900,1.12
2015-08-10,1.11,1.15,1.11,1.15,89500,1.15
2015-08-07,1.13,1.15,1.08,1.10,610500,1.10
2015-08-06,1.20,1.20,1.12,1.14,760200,1.14
2015-08-05,1.23,1.23,1.195,1.22,470300,1.22
2015-08-04,1.20,1.231,1.20,1.22,108900,1.22
2015-08-03,1.20,1.22,1.17,1.20,183200,1.20
2015-07-31,1.24,1.24,1.18,1.20,334500,1.20
2015-07-30,1.25,1.26,1.24,1.24,102900,1.24
2015-07-29,1.24,1.26,1.24,1.25,94800,1.25
2015-07-28,1.24,1.25,1.24,1.25,219000,1.25
2015-07-27,1.25,1.26,1.24,1.24,188000,1.24
2015-07-24,1.25,1.27,1.24,1.24,211000,1.24
2015-07-23,1.26,1.27,1.25,1.265,349500,1.265
2015-07-22,1.25,1.27,1.25,1.27,222000,1.27
2015-07-21,1.24,1.27,1.24,1.27,419000,1.27
2015-07-20,1.24,1.25,1.24,1.25,224900,1.25
2015-07-17,1.24,1.25,1.24,1.24,228000,1.24
2015-07-16,1.24,1.26,1.24,1.25,241300,1.25
2015-07-15,1.25,1.27,1.25,1.26,192200,1.26
2015-07-14,1.26,1.28,1.24,1.26,219500,1.26
2015-07-13,1.26,1.28,1.24,1.25,351200,1.25
2015-07-10,1.28,1.28,1.24,1.26,252100,1.26
2015-07-09,1.30,1.30,1.24,1.25,382100,1.25
2015-07-08,1.25,1.29,1.25,1.29,600900,1.29
2015-07-07,1.29,1.29,1.26,1.27,607500,1.27
2015-07-06,1.24,1.30,1.22,1.29,1054300,1.29
2015-07-02,1.27,1.29,1.24,1.25,351800,1.25
2015-07-01,1.26,1.30,1.26,1.26,506000,1.26
2015-06-30,1.28,1.30,1.26,1.26,611400,1.26
2015-06-29,1.27,1.30,1.26,1.28,968500,1.28
2015-06-26,1.27,1.37,1.24,1.35,9096700,1.35
2015-06-25,2.25,2.25,2.16,2.20,580200,2.20
2015-06-24,2.24,2.31,2.23,2.26,322800,2.26
2015-06-23,2.31,2.38,2.23,2.25,497800,2.25
2015-06-22,2.24,2.32,2.22,2.32,840500,2.32
2015-06-19,2.21,2.26,2.21,2.22,677100,2.22
2015-06-18,2.19,2.26,2.16,2.19,788000,2.19
2015-06-17,2.18,2.23,2.16,2.17,402300,2.17
2015-06-16,2.08,2.18,2.08,2.16,278400,2.16
2015-06-15,2.14,2.15,2.07,2.10,505300,2.10
2015-06-12,2.22,2.28,2.13,2.15,392200,2.15
2015-06-11,2.12,2.241,2.12,2.22,635300,2.22
2015-06-10,2.16,2.17,2.10,2.10,473700,2.10
2015-06-09,2.18,2.19,2.12,2.16,387100,2.16
2015-06-08,2.21,2.36,2.16,2.17,393500,2.17
2015-06-05,2.18,2.28,2.158,2.25,504000,2.25
2015-06-04,2.22,2.24,2.15,2.16,454600,2.16
2015-06-03,2.27,2.29,2.20,2.21,451400,2.21
2015-06-02,2.31,2.39,2.23,2.25,804600,2.25
2015-06-01,2.56,2.65,2.30,2.31,2917700,2.31
2015-05-29,2.24,2.36,2.22,2.31,1292000,2.31
2015-05-28,2.16,2.26,2.12,2.24,963100,2.24
2015-05-27,2.08,2.17,2.06,2.16,637700,2.16
2015-05-26,2.10,2.12,2.03,2.08,726500,2.08
2015-05-22,2.14,2.20,2.10,2.11,422700,2.11
2015-05-21,2.25,2.30,2.081,2.155,1510200,2.155
2015-05-20,2.03,2.44,2.02,2.32,3553900,2.32
2015-05-19,2.20,2.21,2.01,2.04,1752700,2.04
2015-05-18,2.15,2.28,2.12,2.22,1910300,2.22
2015-05-15,2.29,2.31,2.18,2.18,2011200,2.18
2015-05-14,2.40,2.42,2.34,2.35,818100,2.35
2015-05-13,2.40,2.45,2.38,2.40,742900,2.40
2015-05-12,2.42,2.45,2.37,2.40,745700,2.40
2015-05-11,2.50,2.50,2.39,2.45,848400,2.45
2015-05-08,2.39,2.54,2.34,2.48,1518100,2.48
2015-05-07,2.48,2.529,2.315,2.36,2018700,2.36
2015-05-06,2.52,2.67,2.46,2.51,1734500,2.51
2015-05-05,2.61,2.61,2.461,2.51,1971900,2.51
2015-05-04,2.62,2.65,2.57,2.61,1617600,2.61
2015-05-01,2.67,2.74,2.60,2.62,1447800,2.62
2015-04-30,2.56,2.76,2.52,2.71,4110200,2.71
2015-04-29,2.75,2.75,2.50,2.57,3196000,2.57
2015-04-28,2.75,2.84,2.68,2.73,5889200,2.73
2015-04-27,2.925,3.00,2.59,2.64,32242900,2.64
2015-04-24,14.03,14.362,13.11,13.68,1295300,13.68
2015-04-23,13.41,14.60,12.70,13.94,1724600,13.94
2015-04-22,16.290001,16.587999,13.46,13.59,2659200,13.59
2015-04-21,15.79,16.549999,15.21,16.360001,1127600,16.360001
2015-04-20,17.040001,17.200001,15.61,15.67,1702500,15.67
2015-04-17,17.07,17.15,16.35,16.525,1536700,16.525
2015-04-16,18.040001,18.040001,17.01,17.15,1141600,17.15
2015-04-15,18.33,18.832001,17.75,18.00,1385400,18.00
2015-04-14,18.870001,19.200001,17.90,18.200001,1328000,18.200001
2015-04-13,17.23,19.98,16.969999,18.870001,2360000,18.870001
2015-04-10,17.139999,17.58,16.830999,17.209999,798300,17.209999
2015-04-09,17.51,18.124001,16.370001,17.059999,1245300,17.059999
2015-04-08,18.120001,18.65,17.209999,17.52,1314300,17.52
2015-04-07,18.629999,18.629999,17.66,18.26,1308200,18.26
2015-04-06,18.10,19.00,17.52,17.790001,1870600,17.790001
2015-04-02,16.940001,17.955,16.83,17.73,1498600,17.73
2015-04-01,18.92,19.450001,16.82,16.969999,2516900,16.969999
2015-03-31,20.00,21.349001,18.879999,18.940001,2836100,18.940001
2015-03-30,22.01,22.219999,21.00,21.67,1465900,21.67
2015-03-27,20.50,21.771,20.35,21.09,1547500,21.09
2015-03-26,21.58,21.76,19.719999,20.50,2454300,20.50
2015-03-25,25.309999,25.49,21.530001,21.799999,1453300,21.799999
2015-03-24,25.870001,26.09,24.26,24.530001,680700,24.530001
2015-03-23,26.00,26.17,25.00,25.889999,674300,25.889999
2015-03-20,28.120001,28.25,25.50,26.280001,1402700,26.280001
2015-03-19,23.41,27.459999,23.41,27.26,2324800,27.26
2015-03-18,24.799999,25.030001,23.120001,23.26,1093800,23.26
2015-03-17,26.780001,26.801001,24.75,24.969999,1337600,24.969999
2015-03-16,27.24,27.99,26.049999,26.459999,973000,26.459999
