Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.42,12.93,12.25,12.31,74700,12.31
2014-12-30,12.68,12.84,12.39,12.45,39700,12.45
2014-12-29,12.83,12.90,12.78,12.84,22400,12.84
2014-12-26,12.85,12.85,12.75,12.83,9700,12.83
2014-12-24,12.75,13.02,12.63,12.75,34700,12.75
2014-12-23,13.00,13.46,12.67,12.76,46500,12.76
2014-12-22,12.52,12.96,12.40,12.92,26000,12.92
2014-12-19,13.00,13.24,12.52,12.59,97100,12.59
2014-12-18,12.36,13.09,12.30,12.98,76000,12.98
2014-12-17,11.73,12.22,11.73,12.22,60800,12.22
2014-12-16,11.62,12.00,11.62,11.86,47200,11.86
2014-12-15,12.00,12.00,11.57,11.69,72800,11.69
2014-12-12,11.53,12.08,11.52,11.92,75000,11.92
2014-12-11,12.57,12.64,11.52,11.71,135300,11.71
2014-12-10,12.71,12.85,12.41,12.52,39900,12.52
2014-12-09,12.50,13.00,12.16,12.82,64500,12.82
2014-12-08,12.74,12.89,12.50,12.52,49600,12.52
2014-12-05,12.88,12.94,12.76,12.82,41800,12.82
2014-12-04,12.89,12.94,12.71,12.86,41400,12.86
2014-12-03,12.85,13.08,12.75,12.86,42500,12.86
2014-12-02,13.05,13.21,12.67,12.84,59000,12.84
2014-12-01,13.01,13.28,12.94,13.01,56300,13.01
2014-11-28,13.05,13.40,12.99,13.10,47400,13.10
2014-11-26,13.05,13.12,12.98,13.02,46600,13.02
2014-11-25,12.93,13.25,12.93,13.10,27200,13.10
2014-11-24,13.04,13.25,12.90,12.99,37100,12.99
2014-11-21,13.49,13.64,13.01,13.07,38200,13.07
2014-11-20,13.01,13.35,12.97,13.25,53300,13.25
2014-11-19,13.87,13.99,13.04,13.07,53300,13.07
2014-11-18,13.65,14.23,13.65,13.85,68800,13.85
2014-11-17,12.50,14.00,12.49,13.64,158700,13.64
2014-11-14,12.43,12.94,12.43,12.50,74900,12.50
2014-11-13,13.21,14.09,12.14,12.34,332100,12.34
2014-11-12,13.90,14.09,13.82,13.90,65000,13.90
2014-11-11,14.20,14.25,13.95,13.96,31700,13.96
2014-11-10,14.04,14.40,14.04,14.25,41100,14.25
2014-11-07,14.10,14.20,13.97,14.03,68600,14.03
2014-11-06,14.10,14.10,13.91,14.03,28900,14.03
2014-11-05,14.54,14.78,13.82,14.02,51400,14.02
2014-11-04,14.46,14.54,14.32,14.44,43500,14.44
2014-11-03,14.57,14.82,14.29,14.48,41900,14.48
2014-10-31,14.91,14.99,14.37,14.68,57900,14.68
2014-10-30,14.48,14.55,14.03,14.50,73600,14.50
2014-10-29,13.92,14.42,13.73,14.30,217100,14.30
2014-10-28,13.75,14.25,13.46,13.82,107300,13.82
2014-10-27,13.73,13.75,13.46,13.63,21500,13.63
2014-10-24,13.46,13.93,13.40,13.79,46300,13.79
2014-10-23,13.32,13.79,13.32,13.54,28100,13.54
2014-10-22,14.42,14.42,13.20,13.23,55500,13.23
2014-10-21,13.40,13.76,13.18,13.73,43300,13.73
2014-10-20,13.81,13.96,13.15,13.33,56600,13.33
2014-10-17,14.86,14.86,13.55,13.87,108900,13.87
2014-10-16,12.67,14.49,12.60,14.14,154600,14.14
2014-10-15,11.64,12.93,11.50,12.87,115100,12.87
2014-10-14,11.43,11.97,11.43,11.83,69900,11.83
2014-10-13,11.01,11.54,10.89,11.35,60100,11.35
2014-10-10,11.03,11.42,11.00,11.06,70500,11.06
2014-10-09,11.09,11.31,10.92,11.12,96800,11.12
2014-10-08,11.23,11.37,10.82,11.09,183700,11.09
2014-10-07,11.65,11.66,11.21,11.24,142100,11.24
2014-10-06,12.26,12.32,11.69,11.70,138600,11.70
2014-10-03,12.58,12.79,12.26,12.29,85600,12.29
2014-10-02,12.69,12.78,12.24,12.54,90000,12.54
2014-10-01,12.75,13.01,12.61,12.65,64000,12.65
2014-09-30,12.89,13.11,12.73,12.73,59600,12.73
2014-09-29,12.56,12.94,12.56,12.91,40800,12.91
2014-09-26,12.62,13.32,12.56,12.77,35600,12.77
2014-09-25,12.94,12.94,12.54,12.56,52100,12.56
2014-09-24,12.78,13.12,12.26,12.96,118300,12.96
2014-09-23,12.32,12.94,12.31,12.70,58900,12.70
2014-09-22,12.97,12.97,12.26,12.35,99600,12.35
2014-09-19,13.38,13.38,12.71,13.10,107000,13.10
2014-09-18,13.23,13.46,13.21,13.28,37600,13.28
2014-09-17,12.90,13.33,12.85,13.20,38900,13.20
2014-09-16,13.15,13.33,12.73,12.93,90500,12.93
2014-09-15,13.35,13.39,13.05,13.12,96800,13.12
2014-09-12,13.64,13.64,13.25,13.38,51700,13.38
2014-09-11,13.37,13.62,13.31,13.62,51000,13.62
2014-09-10,13.37,13.51,13.20,13.49,46100,13.49
2014-09-09,13.67,13.67,13.21,13.35,46000,13.35
2014-09-08,13.30,13.69,13.26,13.66,94400,13.66
2014-09-05,13.24,13.43,13.05,13.30,45000,13.30
2014-09-04,13.61,14.15,13.25,13.28,50900,13.28
2014-09-03,13.61,13.71,13.30,13.56,66700,13.56
2014-09-02,13.45,13.63,13.30,13.56,41500,13.56
2014-08-29,13.63,13.63,13.32,13.39,52300,13.39
2014-08-28,14.21,14.38,13.55,13.61,71900,13.61
2014-08-27,13.84,14.43,13.74,14.23,133900,14.23
2014-08-26,13.53,13.89,13.43,13.85,67600,13.85
2014-08-25,13.68,13.75,13.26,13.54,50400,13.54
2014-08-22,13.17,13.64,13.12,13.61,45600,13.61
2014-08-21,13.29,13.46,13.03,13.20,84800,13.20
2014-08-20,13.35,13.45,13.20,13.28,28300,13.28
2014-08-19,13.63,13.76,13.43,13.44,29600,13.44
2014-08-18,13.20,13.62,13.14,13.60,86300,13.60
2014-08-15,13.15,13.27,12.64,13.01,139400,13.01
2014-08-14,12.97,13.29,12.94,13.07,150400,13.07
2014-08-13,13.17,13.31,12.96,13.00,220700,13.00
2014-08-12,13.42,13.58,12.98,13.07,133600,13.07
2014-08-11,13.86,13.86,13.36,13.49,149300,13.49
2014-08-08,13.27,13.85,13.20,13.78,163200,13.78
2014-08-07,13.41,13.55,13.10,13.23,120800,13.23
2014-08-06,12.94,13.46,12.94,13.34,120800,13.34
2014-08-05,13.02,13.40,13.00,13.06,243200,13.06
2014-08-04,13.22,13.40,12.87,13.10,154600,13.10
2014-08-01,13.17,13.59,12.99,13.20,209000,13.20
2014-07-31,13.14,13.44,12.75,12.87,270200,12.87
2014-07-30,13.43,13.59,13.14,13.32,144100,13.32
2014-07-29,13.11,13.47,13.11,13.29,228800,13.29
2014-07-28,13.23,13.37,12.86,13.08,181900,13.08
2014-07-25,13.34,13.38,12.96,13.23,244900,13.23
2014-07-24,15.02,15.02,13.11,13.40,657900,13.40
2014-07-23,16.190001,16.459999,15.89,16.049999,132200,16.049999
2014-07-22,16.26,16.66,15.96,16.120001,128700,16.120001
2014-07-21,15.87,16.25,15.56,16.16,199000,16.16
2014-07-18,15.37,16.00,15.37,15.99,117400,15.99
2014-07-17,15.28,15.85,15.21,15.29,143100,15.29
2014-07-16,15.42,15.80,15.21,15.46,212800,15.46
2014-07-15,15.70,16.030001,15.19,15.29,243900,15.29
2014-07-14,15.71,16.07,15.39,15.68,178500,15.68
2014-07-11,15.68,15.90,15.19,15.46,98100,15.46
2014-07-10,15.55,16.17,15.43,15.72,108900,15.72
2014-07-09,15.75,16.01,15.43,15.88,125000,15.88
2014-07-08,15.15,16.219999,15.00,15.64,186500,15.64
2014-07-07,16.50,16.530001,15.88,16.02,132000,16.02
2014-07-03,16.73,16.799999,16.32,16.540001,117900,16.540001
2014-07-02,16.950001,17.00,16.57,16.65,178400,16.65
2014-07-01,16.91,17.16,16.76,16.90,163600,16.90
2014-06-30,17.360001,17.360001,16.620001,16.790001,275300,16.790001
2014-06-27,18.49,18.59,17.18,17.23,1799700,17.23
2014-06-26,18.59,18.83,18.200001,18.530001,171900,18.530001
2014-06-25,18.25,18.67,18.24,18.57,176600,18.57
2014-06-24,18.90,18.92,18.209999,18.370001,162000,18.370001
2014-06-23,19.01,19.629999,18.799999,18.969999,159600,18.969999
2014-06-20,18.98,19.110001,18.530001,19.040001,177300,19.040001
2014-06-19,19.67,19.75,18.809999,18.940001,142000,18.940001
2014-06-18,19.370001,19.93,19.26,19.559999,181000,19.559999
2014-06-17,19.280001,19.60,19.23,19.440001,155500,19.440001
2014-06-16,19.41,19.50,19.040001,19.219999,146500,19.219999
2014-06-13,19.379999,19.60,18.83,19.49,98800,19.49
2014-06-12,19.08,19.629999,19.01,19.27,162400,19.27
2014-06-11,19.32,19.50,18.98,19.030001,132100,19.030001
2014-06-10,18.83,19.709999,18.77,19.370001,173600,19.370001
2014-06-09,18.91,19.219999,18.02,18.93,188600,18.93
2014-06-06,18.34,18.93,18.200001,18.85,197600,18.85
2014-06-05,17.280001,18.25,17.09,18.16,131800,18.16
2014-06-04,17.00,17.75,16.969999,17.219999,128900,17.219999
2014-06-03,17.15,17.610001,16.370001,17.18,181600,17.18
2014-06-02,17.049999,17.43,16.549999,17.27,109600,17.27
2014-05-30,17.85,17.860001,16.969999,17.00,139100,17.00
2014-05-29,16.83,17.75,16.790001,17.73,102100,17.73
2014-05-28,17.309999,17.469999,16.51,16.74,108300,16.74
2014-05-27,17.00,17.77,16.809999,17.26,111600,17.26
2014-05-23,16.450001,16.950001,16.27,16.780001,70800,16.780001
2014-05-22,16.40,16.700001,16.120001,16.469999,69400,16.469999
2014-05-21,16.200001,16.620001,15.94,16.360001,70300,16.360001
2014-05-20,16.299999,16.77,15.73,16.190001,109400,16.190001
2014-05-19,15.40,16.35,15.34,16.27,158400,16.27
2014-05-16,15.13,15.58,14.75,15.42,90900,15.42
2014-05-15,15.09,15.11,14.81,15.09,72500,15.09
2014-05-14,15.91,15.99,15.03,15.20,92100,15.20
2014-05-13,15.36,16.25,15.36,15.99,164400,15.99
2014-05-12,14.83,15.45,14.83,15.41,137200,15.41
2014-05-09,14.56,14.89,14.21,14.82,202400,14.82
2014-05-08,14.46,15.35,14.38,14.56,163600,14.56
2014-05-07,15.29,15.29,14.05,14.57,167100,14.57
2014-05-06,15.35,15.75,15.05,15.12,136000,15.12
2014-05-05,15.20,15.59,14.89,15.46,153600,15.46
2014-05-02,15.54,16.08,15.31,15.43,331400,15.43
2014-05-01,15.85,16.129999,15.22,15.59,156500,15.59
2014-04-30,15.64,15.97,15.19,15.76,272800,15.76
2014-04-29,15.50,15.74,14.59,15.19,275300,15.19
2014-04-28,16.42,16.59,15.26,15.49,272100,15.49
2014-04-25,15.80,17.290001,15.75,16.639999,429000,16.639999
2014-04-24,18.129999,18.860001,15.31,15.49,1050300,15.49
2014-04-23,20.77,20.969999,20.450001,20.780001,118500,20.780001
2014-04-22,20.65,21.01,20.18,20.780001,176700,20.780001
2014-04-21,20.42,21.219999,20.16,20.58,90800,20.58
2014-04-17,20.469999,20.809999,20.139999,20.360001,95800,20.360001
2014-04-16,20.030001,20.799999,19.870001,20.49,117600,20.49
2014-04-15,20.290001,20.639999,19.50,19.969999,159800,19.969999
2014-04-14,19.76,20.889999,19.540001,20.18,149000,20.18
2014-04-11,20.540001,21.040001,19.23,19.629999,155600,19.629999
2014-04-10,21.68,21.860001,20.51,20.82,119400,20.82
2014-04-09,21.85,22.52,21.42,21.790001,116700,21.790001
2014-04-08,21.74,21.860001,20.950001,21.73,128900,21.73
2014-04-07,23.00,23.25,21.620001,21.82,129600,21.82
2014-04-04,24.870001,24.870001,22.25,22.98,150900,22.98
2014-04-03,24.950001,25.389999,24.540001,24.620001,112700,24.620001
2014-04-02,24.549999,25.10,24.33,24.84,140200,24.84
