Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,10.76,11.00,10.17,10.32,110900,10.32
2015-09-03,11.00,12.85,10.589,10.73,68200,10.73
2015-09-02,10.76,11.50,10.115,10.75,105600,10.75
2015-09-01,9.80,10.84,9.43,10.67,95300,10.67
2015-08-31,10.24,10.315,9.36,10.01,353100,10.01
2015-08-28,10.60,11.23,10.10,10.45,62800,10.45
2015-08-27,10.36,11.00,10.16,10.72,106300,10.72
2015-08-26,10.32,10.63,9.81,10.35,110500,10.35
2015-08-25,10.13,10.73,9.75,10.14,124500,10.14
2015-08-24,10.37,11.18,9.58,9.71,155600,9.71
2015-08-21,10.81,11.18,10.00,10.80,85600,10.80
2015-08-20,11.30,11.30,10.88,11.02,93800,11.02
2015-08-19,11.70,11.80,11.24,11.35,48500,11.35
2015-08-18,11.90,11.90,11.52,11.81,69900,11.81
2015-08-17,11.51,11.99,11.07,11.75,71400,11.75
2015-08-14,11.91,12.24,11.53,11.57,243300,11.57
2015-08-13,11.42,12.13,10.70,11.97,157800,11.97
2015-08-12,11.22,11.55,10.22,11.32,99600,11.32
2015-08-11,11.20,11.69,10.94,11.40,158500,11.40
2015-08-10,11.58,11.91,10.96,11.21,221200,11.21
2015-08-07,11.98,12.406,11.08,11.58,462100,11.58
2015-08-06,12.72,12.84,12.00,12.10,1347600,12.10
2015-08-05,15.10,15.82,13.26,13.33,80400,13.33
2015-08-04,15.40,15.84,14.605,15.12,63500,15.12
2015-08-03,14.68,16.290001,14.49,16.10,39500,16.10
2015-07-31,14.00,15.50,14.00,14.66,43400,14.66
2015-07-30,13.99,15.00,13.50,14.00,235800,14.00
2015-07-29,13.71,14.12,13.50,13.95,41600,13.95
2015-07-28,13.50,13.90,13.20,13.80,40200,13.80
2015-07-27,13.93,13.93,13.30,13.45,18000,13.45
2015-07-24,13.95,14.07,13.74,13.93,66200,13.93
2015-07-23,13.82,14.04,13.82,13.95,41800,13.95
2015-07-22,13.74,13.96,13.44,13.73,52300,13.73
2015-07-21,13.75,13.935,13.73,13.85,30900,13.85
2015-07-20,13.88,14.00,13.29,13.74,44000,13.74
2015-07-17,13.22,13.885,13.08,13.82,27100,13.82
2015-07-16,13.74,14.07,12.75,13.25,23200,13.25
2015-07-15,13.96,14.08,13.56,13.69,32100,13.69
2015-07-14,13.95,13.98,13.68,13.90,66000,13.90
2015-07-13,13.76,14.00,13.66,13.85,30900,13.85
2015-07-10,13.05,13.79,13.04,13.66,20800,13.66
2015-07-09,13.24,13.65,12.85,13.01,134900,13.01
2015-07-08,14.04,14.04,13.01,13.12,18800,13.12
2015-07-07,14.32,14.32,13.81,14.12,29900,14.12
2015-07-06,13.64,14.56,13.41,14.14,31600,14.14
2015-07-02,13.91,13.91,13.44,13.48,14400,13.48
2015-07-01,13.64,14.03,13.605,13.91,26700,13.91
2015-06-30,13.83,13.84,13.00,13.69,41200,13.69
2015-06-29,13.72,14.10,13.68,13.83,87500,13.83
2015-06-26,13.85,13.86,13.43,13.68,669400,13.68
2015-06-25,14.08,14.10,13.50,14.00,42500,14.00
2015-06-24,13.93,14.35,13.818,13.97,15500,13.97
2015-06-23,13.85,14.02,13.48,13.83,28200,13.83
2015-06-22,13.01,14.00,12.75,13.98,45300,13.98
2015-06-19,14.20,14.20,12.19,13.36,96800,13.36
2015-06-18,14.72,14.82,13.97,14.09,54500,14.09
2015-06-17,14.69,14.73,14.45,14.50,20300,14.50
2015-06-16,14.76,14.76,14.405,14.54,29400,14.54
2015-06-15,14.70,14.92,14.23,14.65,53800,14.65
2015-06-12,14.60,14.70,14.32,14.60,28000,14.60
2015-06-11,14.40,14.77,14.35,14.50,17500,14.50
2015-06-10,14.51,14.94,14.202,14.60,57100,14.60
2015-06-09,14.85,14.94,13.90,14.50,46300,14.50
2015-06-08,14.69,14.912,14.15,14.59,32700,14.59
2015-06-05,13.48,15.51,13.48,14.50,71000,14.50
2015-06-04,13.40,14.118,12.62,13.52,30900,13.52
2015-06-03,14.02,14.20,13.17,13.62,76900,13.62
2015-06-02,14.05,14.41,13.645,13.82,51300,13.82
2015-06-01,14.15,15.98,13.50,13.95,80100,13.95
2015-05-29,13.30,14.21,13.151,14.10,52600,14.10
2015-05-28,13.64,14.36,13.478,13.49,31400,13.49
2015-05-27,13.70,13.728,13.11,13.38,47900,13.38
2015-05-26,13.13,13.56,12.864,13.05,78100,13.05
2015-05-22,13.00,14.00,12.99,13.39,45500,13.39
2015-05-21,12.04,12.89,11.50,12.89,36600,12.89
2015-05-20,11.30,12.77,11.30,12.31,84900,12.31
2015-05-19,11.29,11.62,11.25,11.50,7900,11.50
2015-05-18,11.367,12.00,10.57,11.20,33800,11.20
2015-05-15,11.20,11.45,11.15,11.45,23700,11.45
2015-05-14,11.48,11.48,10.96,10.96,63400,10.96
2015-05-13,10.95,11.48,10.95,11.40,4900,11.40
2015-05-12,10.40,11.33,10.29,11.33,9300,11.33
2015-05-11,9.75,10.48,9.75,10.41,6300,10.41
2015-05-08,10.97,10.97,9.50,9.98,12100,9.98
2015-05-07,9.45,9.99,9.45,9.99,8600,9.99
2015-05-06,9.30,9.32,9.30,9.32,3100,9.32
2015-05-05,9.28,9.49,9.28,9.48,3700,9.48
2015-05-04,9.35,9.40,9.25,9.39,2900,9.39
2015-05-01,9.15,9.35,9.12,9.14,4700,9.14
2015-04-30,9.20,9.35,8.99,9.00,8400,9.00
2015-04-29,8.85,9.25,8.85,9.03,42800,9.03
2015-04-28,7.82,7.82,7.82,7.82,200,7.82
2015-04-27,9.00,9.32,9.00,9.075,2700,9.075
2015-04-24,8.87,9.10,8.118,9.00,41400,9.00
2015-04-23,8.64,9.23,8.64,9.03,3100,9.03
2015-04-22,8.17,9.12,8.17,9.09,7000,9.09
2015-04-21,8.37,8.88,7.80,8.67,146800,8.67
2015-04-20,7.60,8.36,7.01,8.36,56200,8.36
2015-04-17,8.07,8.18,7.94,8.00,37600,8.00
2015-04-16,8.40,8.40,8.02,8.24,900,8.24
2015-04-15,7.94,8.74,7.61,8.06,16200,8.06
2015-04-14,7.47,7.97,7.22,7.97,2100,7.97
2015-04-13,7.321,7.81,7.181,7.57,9500,7.57
2015-04-10,7.54,7.54,7.16,7.16,300,7.16
2015-04-09,7.36,7.36,7.36,7.36,000,7.36
2015-04-08,7.23,7.36,7.19,7.36,5100,7.36
2015-04-07,6.94,7.25,6.94,7.16,7300,7.16
2015-04-06,7.06,7.13,6.93,7.13,1200,7.13
2015-04-02,6.27,7.14,6.27,7.06,5900,7.06
2015-04-01,6.73,6.81,6.601,6.81,800,6.81
2015-03-31,6.55,6.55,6.55,6.55,200,6.55
2015-03-30,6.96,6.96,6.96,6.96,100,6.96
2015-03-27,6.98,6.98,6.98,6.98,100,6.98
2015-03-26,7.16,7.16,6.90,6.96,800,6.96
2015-03-25,7.00,7.12,7.00,7.00,15700,7.00
2015-03-24,6.82,7.19,6.82,7.15,20800,7.15
2015-03-23,6.641,6.80,6.63,6.80,5100,6.80
2015-03-20,6.98,6.98,6.80,6.80,1700,6.80
2015-03-19,7.04,7.20,6.66,7.20,9000,7.20
2015-03-18,7.09,7.09,6.76,6.77,1200,6.77
2015-03-17,6.93,7.04,6.76,7.00,2500,7.00
2015-03-16,7.06,7.09,6.80,6.88,1100,6.88
2015-03-13,6.78,6.826,6.75,6.81,2200,6.81
2015-03-12,6.96,6.96,6.96,6.96,200,6.96
2015-03-11,7.00,7.00,6.77,6.78,2400,6.78
