Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,0.40,0.40,0.38,0.39,560100,0.39
2015-09-03,0.39,0.40,0.39,0.39,557800,0.39
2015-09-02,0.38,0.39,0.38,0.38,782900,0.38
2015-09-01,0.41,0.41,0.38,0.39,1159200,0.39
2015-08-31,0.39,0.42,0.39,0.40,1214200,0.40
2015-08-28,0.38,0.42,0.37,0.41,2367100,0.41
2015-08-27,0.37,0.38,0.36,0.37,670500,0.37
2015-08-26,0.37,0.38,0.35,0.36,804400,0.36
2015-08-25,0.37,0.38,0.36,0.36,860800,0.36
2015-08-24,0.35,0.37,0.35,0.36,1152500,0.36
2015-08-21,0.39,0.40,0.36,0.38,1577800,0.38
2015-08-20,0.41,0.41,0.38,0.39,948100,0.39
2015-08-19,0.40,0.41,0.38,0.41,901800,0.41
2015-08-18,0.40,0.41,0.38,0.40,741700,0.40
2015-08-17,0.39,0.41,0.39,0.40,757700,0.40
2015-08-14,0.43,0.43,0.40,0.40,1071900,0.40
2015-08-13,0.43,0.44,0.42,0.42,1366100,0.42
2015-08-12,0.43,0.43,0.41,0.42,1123400,0.42
2015-08-11,0.43,0.43,0.38,0.43,1749000,0.43
2015-08-10,0.38,0.44,0.38,0.41,4566000,0.41
2015-08-07,0.34,0.38,0.33,0.36,3724300,0.36
2015-08-06,0.32,0.33,0.31,0.31,966600,0.31
2015-08-05,0.32,0.35,0.31,0.32,1147900,0.32
2015-08-04,0.35,0.36,0.33,0.33,998600,0.33
2015-08-03,0.37,0.37,0.35,0.35,929700,0.35
2015-07-31,0.35,0.36,0.34,0.35,1175000,0.35
2015-07-30,0.34,0.35,0.34,0.34,578000,0.34
2015-07-29,0.32,0.35,0.31,0.34,917700,0.34
2015-07-28,0.30,0.35,0.30,0.31,1706900,0.31
2015-07-27,0.34,0.35,0.30,0.31,2096600,0.31
2015-07-24,0.34,0.35,0.34,0.34,856600,0.34
2015-07-23,0.36,0.38,0.34,0.34,1270800,0.34
2015-07-22,0.30,0.36,0.30,0.36,2266500,0.36
2015-07-21,0.33,0.35,0.31,0.31,2521600,0.31
2015-07-20,0.35,0.36,0.32,0.33,1626600,0.33
2015-07-17,0.36,0.36,0.35,0.35,1170900,0.35
2015-07-16,0.35,0.37,0.35,0.36,1503900,0.36
2015-07-15,0.37,0.37,0.35,0.36,1274400,0.36
2015-07-14,0.36,0.38,0.36,0.37,1100900,0.37
2015-07-13,0.38,0.38,0.36,0.36,1050400,0.36
2015-07-10,0.38,0.38,0.36,0.37,1468400,0.37
2015-07-09,0.36,0.39,0.36,0.37,1466500,0.37
2015-07-08,0.39,0.39,0.36,0.36,1972500,0.36
2015-07-07,0.39,0.41,0.38,0.39,1958200,0.39
2015-07-06,0.41,0.42,0.38,0.41,1670600,0.41
2015-07-02,0.40,0.43,0.37,0.42,3861800,0.42
2015-07-01,0.42,0.42,0.40,0.40,1706900,0.40
2015-06-30,0.41,0.42,0.37,0.41,5000800,0.41
2015-06-29,0.45,0.45,0.41,0.41,3850300,0.41
2015-06-26,0.50,0.51,0.41,0.42,29227500,0.42
2015-06-25,0.49,0.50,0.47,0.50,1152700,0.50
2015-06-24,0.49,0.50,0.48,0.49,1029800,0.49
2015-06-23,0.50,0.51,0.49,0.50,1171200,0.50
2015-06-22,0.52,0.52,0.49,0.51,1432400,0.51
2015-06-19,0.54,0.55,0.50,0.52,2098900,0.52
2015-06-18,0.49,0.52,0.48,0.51,1289500,0.51
2015-06-17,0.48,0.50,0.46,0.48,1737500,0.48
2015-06-16,0.49,0.49,0.45,0.47,4710600,0.47
2015-06-15,0.57,0.59,0.55,0.56,2680800,0.56
2015-06-12,0.59,0.60,0.57,0.57,1409600,0.57
2015-06-11,0.60,0.60,0.56,0.59,815900,0.59
2015-06-10,0.58,0.59,0.56,0.57,1587500,0.57
2015-06-09,0.55,0.58,0.54,0.58,1451100,0.58
2015-06-08,0.58,0.58,0.55,0.55,1080400,0.55
2015-06-05,0.57,0.58,0.54,0.55,1161000,0.55
2015-06-04,0.59,0.59,0.55,0.56,2658900,0.56
2015-06-03,0.60,0.65,0.56,0.57,7922700,0.57
2015-06-02,0.45,0.54,0.43,0.52,4732400,0.52
2015-06-01,0.44,0.45,0.42,0.43,2232600,0.43
2015-05-29,0.45,0.46,0.41,0.42,7441200,0.42
2015-05-28,0.48,0.50,0.46,0.46,4972700,0.46
2015-05-27,0.51,0.51,0.46,0.50,3802900,0.50
2015-05-26,0.52,0.53,0.50,0.51,1892600,0.51
2015-05-22,0.52,0.53,0.51,0.52,1902100,0.52
2015-05-21,0.52,0.53,0.52,0.52,998600,0.52
2015-05-20,0.52,0.55,0.51,0.52,1411100,0.52
2015-05-19,0.51,0.52,0.51,0.52,1950300,0.52
2015-05-18,0.53,0.55,0.51,0.52,3272400,0.52
2015-05-15,0.55,0.55,0.53,0.54,1210200,0.54
2015-05-14,0.55,0.56,0.54,0.55,1026000,0.55
2015-05-13,0.56,0.58,0.54,0.54,1232600,0.54
2015-05-12,0.55,0.57,0.55,0.55,1008400,0.55
2015-05-11,0.56,0.59,0.55,0.55,1412000,0.55
2015-05-08,0.55,0.56,0.54,0.55,1184300,0.55
2015-05-07,0.55,0.55,0.54,0.54,1552300,0.54
2015-05-06,0.56,0.58,0.53,0.55,3162700,0.55
2015-05-05,0.59,0.60,0.56,0.56,2550500,0.56
2015-05-04,0.62,0.62,0.58,0.59,2771900,0.59
2015-05-01,0.62,0.63,0.61,0.62,1945300,0.62
2015-04-30,0.62,0.63,0.62,0.63,1282700,0.63
2015-04-29,0.63,0.63,0.62,0.62,1340200,0.62
2015-04-28,0.63,0.63,0.62,0.63,1160000,0.63
2015-04-27,0.64,0.64,0.62,0.62,2030900,0.62
2015-04-24,0.64,0.65,0.64,0.64,1467700,0.64
2015-04-23,0.64,0.64,0.62,0.64,850600,0.64
2015-04-22,0.62,0.64,0.62,0.64,768400,0.64
2015-04-21,0.63,0.64,0.62,0.63,945100,0.63
2015-04-20,0.63,0.64,0.62,0.63,1308700,0.63
2015-04-17,0.63,0.64,0.62,0.62,3782600,0.62
2015-04-16,0.65,0.66,0.63,0.64,1648100,0.64
2015-04-15,0.64,0.68,0.64,0.67,2617600,0.67
2015-04-14,0.65,0.65,0.62,0.64,1286800,0.64
2015-04-13,0.66,0.66,0.63,0.64,2102200,0.64
2015-04-10,0.62,0.63,0.61,0.62,1432000,0.62
2015-04-09,0.63,0.64,0.61,0.62,1588100,0.62
2015-04-08,0.64,0.66,0.63,0.64,1052800,0.64
2015-04-07,0.65,0.66,0.64,0.64,915700,0.64
2015-04-06,0.64,0.66,0.63,0.64,1149400,0.64
2015-04-02,0.65,0.66,0.64,0.64,1250100,0.64
2015-04-01,0.64,0.65,0.63,0.65,463200,0.65
2015-03-31,0.65,0.65,0.63,0.65,1671200,0.65
2015-03-30,0.64,0.67,0.62,0.65,2799900,0.65
2015-03-27,0.63,0.64,0.61,0.63,1045100,0.63
2015-03-26,0.62,0.65,0.62,0.64,1601100,0.64
2015-03-25,0.64,0.65,0.62,0.62,1736800,0.62
2015-03-24,0.65,0.66,0.63,0.65,1266700,0.65
2015-03-23,0.64,0.65,0.63,0.64,1344700,0.64
2015-03-20,0.69,0.69,0.63,0.66,4448700,0.66
2015-03-19,0.69,0.70,0.67,0.68,1210300,0.68
2015-03-18,0.67,0.70,0.66,0.69,1269200,0.69
2015-03-17,0.67,0.70,0.67,0.67,889300,0.67
2015-03-16,0.68,0.70,0.66,0.68,904700,0.68
2015-03-13,0.69,0.69,0.66,0.68,1105000,0.68
2015-03-12,0.68,0.70,0.68,0.69,905500,0.69
2015-03-11,0.67,0.70,0.65,0.69,1096100,0.69
2015-03-10,0.66,0.68,0.65,0.67,1215500,0.67
2015-03-09,0.69,0.70,0.66,0.67,1615800,0.67
2015-03-06,0.70,0.72,0.68,0.69,2656900,0.69
2015-03-05,0.71,0.72,0.70,0.71,634400,0.71
2015-03-04,0.72,0.73,0.70,0.71,978200,0.71
2015-03-03,0.74,0.74,0.71,0.72,1892400,0.72
2015-03-02,0.71,0.74,0.70,0.74,2145500,0.74
