Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,3.73,3.73,3.73,3.73,000,3.73
2015-09-03,3.61,3.73,3.61,3.73,1700,3.73
2015-09-02,3.75,3.75,3.75,3.75,1100,3.75
2015-09-01,3.81,3.81,3.60,3.73,4800,3.73
2015-08-31,3.70,3.71,3.68,3.68,600,3.68
2015-08-28,3.56,3.61,3.56,3.61,3900,3.61
2015-08-27,3.46,3.56,3.46,3.56,4700,3.56
2015-08-26,3.56,3.56,3.56,3.56,400,3.56
2015-08-25,3.55,3.55,3.55,3.55,200,3.55
2015-08-24,3.55,3.56,3.49,3.56,6400,3.56
2015-08-21,3.53,3.56,3.53,3.55,300,3.55
2015-08-20,3.54,3.55,3.51,3.55,3600,3.55
2015-08-19,3.53,3.55,3.36,3.55,2800,3.55
2015-08-18,3.56,3.56,3.56,3.56,000,3.56
2015-08-17,3.56,3.56,3.56,3.56,000,3.56
2015-08-14,3.56,3.57,3.56,3.56,600,3.56
2015-08-13,3.56,3.56,3.56,3.56,800,3.56
2015-08-12,3.33,3.65,3.29,3.63,40500,3.63
2015-08-11,3.50,3.58,3.37,3.41,18900,3.41
2015-08-10,3.39,3.39,3.39,3.39,000,3.39
2015-08-07,3.31,3.43,3.31,3.39,4200,3.39
2015-08-06,3.50,3.52,3.28,3.42,7700,3.42
2015-08-05,3.42,3.52,3.35,3.52,2300,3.52
2015-08-04,3.47,3.48,3.39,3.45,6400,3.45
2015-08-03,3.42,3.42,3.42,3.42,000,3.42
2015-07-31,3.42,3.42,3.42,3.42,000,3.42
2015-07-30,3.30,3.55,3.15,3.42,9800,3.42
2015-07-29,3.40,3.44,3.40,3.44,4300,3.44
2015-07-28,3.30,3.30,3.30,3.30,900,3.30
2015-07-27,3.27,3.34,3.27,3.30,1200,3.30
2015-07-24,3.38,3.38,3.27,3.30,5400,3.30
2015-07-23,3.40,3.40,3.30,3.37,5100,3.37
2015-07-22,3.36,3.36,3.36,3.36,900,3.36
2015-07-21,3.41,3.57,3.28,3.41,10800,3.41
2015-07-20,3.51,3.58,3.28,3.58,6500,3.58
2015-07-17,3.55,3.55,3.49,3.49,1700,3.49
2015-07-16,3.64,3.64,3.59,3.59,1600,3.59
2015-07-15,3.69,3.69,3.66,3.66,1600,3.66
2015-07-14,3.57,3.66,3.55,3.65,10300,3.65
2015-07-13,3.69,3.70,3.63,3.63,9300,3.63
2015-07-10,3.60,3.62,3.60,3.61,9000,3.61
2015-07-09,3.70,3.70,3.70,3.70,200,3.70
2015-07-08,3.72,3.72,3.72,3.72,000,3.72
2015-07-07,3.72,3.72,3.72,3.72,000,3.72
2015-07-06,3.72,3.72,3.72,3.72,000,3.72
2015-07-02,3.70,3.74,3.66,3.72,15800,3.72
2015-07-01,3.63,3.64,3.63,3.64,3000,3.64
2015-06-30,3.61,3.64,3.59,3.62,5100,3.62
