Date,Open,High,Low,Close,Volume,Adj Close
2014-09-12,0.0194,0.0194,0.01,0.0169,17000,0.0169
2014-09-11,0.019,0.02,0.015,0.02,151600,0.02
2014-09-10,0.02,0.0244,0.0149,0.015,62600,0.015
2014-09-09,0.0225,0.0225,0.022,0.022,63700,0.022
2014-09-08,0.039,0.039,0.0201,0.025,158200,0.025
2014-09-05,0.0455,0.0455,0.01,0.045,221700,0.045
2014-09-04,0.045,0.05,0.0449,0.05,24800,0.05
2014-09-03,0.05,0.05,0.0401,0.0485,36500,0.0485
2014-09-02,0.06,0.06,0.06,0.06,300,0.06
2014-08-29,0.04,0.06,0.04,0.06,7400,0.06
2014-08-28,0.04,0.04,0.04,0.04,5300,0.04
2014-08-27,0.05,0.05,0.0464,0.05,3800,0.05
2014-08-26,0.05,0.0601,0.0301,0.05,33600,0.05
2014-08-25,0.05,0.0564,0.04,0.0564,48000,0.0564
2014-08-22,0.07,0.07,0.05,0.0503,29700,0.0503
2014-08-21,0.105,0.105,0.042,0.066,137400,0.066
2014-08-20,0.08,0.08,0.0254,0.051,268200,0.051
2014-08-19,0.09,0.09,0.089,0.089,2200,0.089
2014-08-18,0.09,0.092,0.09,0.09,1700,0.09
2014-08-14,0.11,0.11,0.07,0.09,10300,0.09
2014-08-13,0.07,0.119,0.07,0.10,21700,0.10
2014-08-12,0.10,0.10,0.0412,0.07,6400,0.07
2014-08-11,0.11,0.14,0.10,0.10,5900,0.10
2014-08-08,0.195,0.195,0.10,0.18,20400,0.18
2014-08-07,0.22,0.22,0.196,0.196,10100,0.196
2014-08-06,0.22,0.22,0.1504,0.20,28800,0.20
2014-08-05,0.2899,0.3599,0.289,0.289,13600,0.289
2014-08-04,0.246,0.3499,0.246,0.3499,2900,0.3499
2014-08-01,0.28,0.30,0.28,0.28,1900,0.28
2014-07-31,0.298,0.33,0.27,0.29,8800,0.29
2014-07-30,0.31,0.32,0.2875,0.298,25500,0.298
2014-07-29,0.31,0.39,0.30,0.37,3800,0.37
2014-07-28,0.32,0.3389,0.31,0.3389,7300,0.3389
2014-07-25,0.30,0.33,0.30,0.33,2800,0.33
2014-07-24,0.38,0.39,0.1568,0.3057,6700,0.3057
2014-07-23,0.17,0.312,0.15,0.3119,11300,0.3119
2014-07-22,0.44,0.44,0.3475,0.3475,5200,0.3475
2014-07-21,0.34,0.43,0.34,0.43,5200,0.43
2014-07-18,0.36,0.3601,0.33,0.33,1400,0.33
2014-07-16,0.35,0.45,0.34,0.35,2600,0.35
2014-07-15,0.3748,0.4599,0.19,0.3799,35400,0.3799
2014-07-14,0.45,0.5099,0.45,0.45,4900,0.45
2014-07-11,0.48,0.48,0.37,0.4558,6300,0.4558
2014-07-10,0.4501,0.46,0.4501,0.46,4200,0.46
2014-07-08,0.415,0.4599,0.37,0.415,1400,0.415
2014-07-07,0.49,0.54,0.37,0.47,14600,0.47
2014-07-02,0.54,0.54,0.54,0.54,100,0.54
2014-06-30,0.5499,0.5499,0.5499,0.5499,100,0.5499
2014-06-26,0.50,0.50,0.50,0.50,100,0.50
2014-06-24,0.3701,0.58,0.36,0.55,3500,0.55
2014-06-20,0.5699,0.5699,0.5699,0.5699,100,0.5699
2014-06-19,0.4733,0.60,0.4733,0.60,1000,0.60
2014-06-18,0.61,0.62,0.5001,0.62,4500,0.62
2014-06-17,0.5399,0.5399,0.5399,0.5399,100,0.5399
2014-06-13,0.49,0.55,0.45,0.54,20000,0.54
2014-06-12,0.522,0.5299,0.5199,0.5199,8000,0.5199
2014-06-11,0.49,0.51,0.4601,0.49,15000,0.49
2014-06-09,0.475,0.4899,0.44,0.47,31900,0.47
2014-06-06,0.4768,0.4768,0.4751,0.4751,400,0.4751
2014-06-05,0.48,0.49,0.3865,0.49,12300,0.49
2014-06-04,0.49,0.4951,0.48,0.48,1000,0.48
2014-06-03,0.528,0.528,0.49,0.49,2600,0.49
2014-06-02,0.55,0.55,0.53,0.53,1600,0.53
2014-05-30,0.54,0.55,0.53,0.5499,8000,0.5499
2014-05-27,0.55,0.5501,0.55,0.55,300,0.55
2014-05-22,0.55,0.58,0.53,0.58,3400,0.58
2014-05-21,0.56,0.5799,0.41,0.5504,5600,0.5504
2014-05-20,0.56,0.59,0.54,0.59,12000,0.59
2014-05-19,0.56,0.5999,0.50,0.5999,4300,0.5999
2014-05-16,0.55,0.60,0.533,0.60,9900,0.60
2014-05-15,0.56,0.57,0.55,0.552,9900,0.552
2014-05-14,0.60,0.60,0.5701,0.5701,2600,0.5701
2014-05-13,0.60,0.60,0.52,0.55,18000,0.55
2014-05-12,0.6301,0.635,0.60,0.635,5000,0.635
2014-05-09,0.70,0.6899,0.6899,0.6899,1600,0.6899
2014-05-08,0.6299,0.6299,0.6299,0.6299,100,0.6299
2014-05-07,0.61,0.61,0.60,0.61,6800,0.61
2014-05-05,0.655,0.655,0.655,0.655,100,0.655
2014-05-02,0.64,0.7151,0.55,0.6685,27400,0.6685
2014-05-01,0.69,0.71,0.6799,0.68,20900,0.68
2014-04-30,0.62,0.6599,0.55,0.628,1400,0.628
2014-04-29,0.70,0.70,0.70,0.70,500,0.70
2014-04-28,0.5199,0.70,0.50,0.70,22300,0.70
2014-04-24,0.69,0.70,0.5604,0.70,1500,0.70
2014-04-23,0.56,0.6649,0.55,0.6649,2100,0.6649
2014-04-22,0.58,0.6899,0.56,0.6899,1100,0.6899
2014-04-15,0.7199,0.7199,0.7199,0.7199,100,0.7199
2014-04-14,0.69,0.70,0.60,0.69,14100,0.69
2014-04-11,0.73,0.73,0.70,0.73,800,0.73
2014-04-10,0.70,0.70,0.65,0.70,1000,0.70
2014-04-08,0.73,0.74,0.7299,0.7299,4700,0.7299
2014-04-07,0.70,0.83,0.65,0.65,1700,0.65
2014-04-04,0.75,0.75,0.70,0.734,9900,0.734
2014-04-03,0.75,0.80,0.75,0.75,6600,0.75
2014-03-31,0.88,0.93,0.7001,0.88,2700,0.88
2014-03-28,0.80,0.80,0.80,0.80,2200,0.80
2014-03-25,0.9199,0.9199,0.9199,0.9199,100,0.9199
2014-03-24,0.86,0.90,0.86,0.90,3100,0.90
2014-03-21,0.87,0.9499,0.88,0.9499,4300,0.9499
2014-03-20,0.92,0.92,0.92,0.92,100,0.92
2014-03-19,0.95,0.98,0.8801,0.95,3700,0.95
