Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,1.59,1.61,1.51,1.52,140400,1.52
2015-09-03,1.60,1.63,1.54,1.58,64700,1.58
2015-09-02,1.65,1.65,1.54,1.58,53900,1.58
2015-09-01,1.64,1.75,1.61,1.64,11200,1.64
2015-08-31,1.72,1.75,1.65,1.66,59000,1.66
2015-08-28,1.69,1.75,1.50,1.74,63600,1.74
2015-08-27,1.72,1.77,1.61,1.65,109700,1.65
2015-08-26,1.60,1.70,1.50,1.67,140900,1.67
2015-08-25,1.63,1.69,1.58,1.61,57300,1.61
2015-08-24,1.64,1.70,1.59,1.63,78300,1.63
2015-08-21,1.73,1.76,1.70,1.74,101300,1.74
2015-08-20,1.80,1.85,1.75,1.75,59500,1.75
2015-08-19,1.85,1.87,1.80,1.81,61400,1.81
2015-08-18,1.86,1.90,1.83,1.86,18500,1.86
2015-08-17,1.80,1.93,1.80,1.89,30500,1.89
2015-08-14,1.85,1.93,1.85,1.90,30500,1.90
2015-08-13,1.85,1.92,1.83,1.92,64000,1.917
2015-08-12,1.84,1.88,1.75,1.80,107500,1.797187
2015-08-11,1.83,1.89,1.80,1.86,53100,1.857094
2015-08-10,1.85,1.89,1.85,1.85,41700,1.847109
2015-08-07,1.86,1.93,1.83,1.85,27000,1.847109
2015-08-06,1.84,1.89,1.81,1.88,93400,1.877063
2015-08-05,1.88,1.96,1.83,1.87,48200,1.867078
2015-08-04,1.90,1.94,1.80,1.90,302900,1.897031
2015-08-03,1.95,2.01,1.90,1.93,40700,1.926984
2015-07-31,2.05,2.05,1.93,1.98,61500,1.976906
2015-07-30,2.10,2.10,1.94,1.98,35300,1.976906
2015-07-29,1.99,2.10,1.94,2.06,64200,2.056781
2015-07-28,1.94,2.00,1.94,1.99,44300,1.986891
2015-07-27,1.94,1.99,1.92,1.96,64100,1.956938
2015-07-24,2.00,2.00,1.90,1.97,98600,1.966922
2015-07-23,2.00,2.02,1.94,2.00,69500,1.996875
2015-07-22,1.94,2.00,1.94,1.96,28000,1.956938
2015-07-21,1.95,2.02,1.88,1.97,43800,1.966922
2015-07-20,2.04,2.05,1.92,1.96,152400,1.956938
2015-07-17,2.00,2.09,1.98,2.03,93800,2.026828
2015-07-16,1.95,2.00,1.91,1.99,101700,1.986891
2015-07-15,1.99,2.05,1.93,1.97,51000,1.966922
2015-07-14,2.05,2.10,2.00,2.00,72100,1.996875
2015-07-13,2.02,2.10,2.02,2.10,80900,2.096719
2015-07-10,1.94,2.02,1.90,2.01,63000,2.006859
2015-07-09,1.99,1.99,1.90,1.92,64500,1.917
2015-07-08,1.95,2.05,1.92,1.97,142900,1.966922
