Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,31.450001,31.450001,31.09,31.09,38200,30.932308
2014-12-30,31.450001,31.450001,31.27,31.34,93000,31.18104
2014-12-29,31.48,31.49,31.41,31.450001,53600,31.290483
2014-12-26,31.530001,31.530001,31.42,31.469999,40000,31.301425
2014-12-24,31.48,31.48,31.41,31.42,35200,31.251694
2014-12-23,31.49,31.49,31.370001,31.440001,72400,31.271587
2014-12-22,31.190001,31.280001,31.139999,31.26,61000,31.092551
2014-12-19,31.030001,31.24,31.01,31.200001,75800,31.032873
2014-12-18,30.799999,31.09,30.66,31.059999,150400,30.833944
2014-12-17,29.969999,30.42,29.90,30.360001,70400,30.13904
2014-12-16,29.98,30.459999,29.790001,29.85,1106400,29.632751
2014-12-15,30.389999,30.469999,29.889999,30.08,68800,29.861077
2014-12-12,30.469999,30.620001,30.16,30.16,41200,29.940495
2014-12-11,30.59,30.92,30.379999,30.639999,44300,30.417001
2014-12-10,30.950001,30.950001,30.43,30.49,50400,30.268093
2014-12-09,30.74,30.969999,30.65,30.969999,37800,30.744599
2014-12-08,31.10,31.209999,30.90,31.00,583300,30.774381
2014-12-05,31.309999,31.40,31.190001,31.24,37900,31.012634
2014-12-04,31.15,31.280001,31.10,31.200001,52100,30.972926
2014-12-03,31.24,31.34,31.17,31.280001,62200,31.052344
2014-12-02,30.92,31.200001,30.91,31.139999,69200,30.913362
2014-12-01,31.309999,31.309999,30.93,30.99,245900,30.764454
2014-11-28,31.190001,31.280001,31.139999,31.17,25900,30.943144
2014-11-26,31.16,31.18,31.059999,31.17,57900,30.943144
2014-11-25,31.209999,31.209999,31.049999,31.08,54100,30.853799
2014-11-24,31.120001,31.120001,31.02,31.09,61400,30.863726
2014-11-21,31.26,31.26,30.889999,30.969999,38200,30.744599
2014-11-20,30.77,30.889999,30.75,30.889999,79500,30.603632
2014-11-19,30.82,30.82,30.639999,30.780001,46700,30.494653
2014-11-18,30.68,30.83,30.67,30.77,641200,30.484746
2014-11-17,30.610001,30.66,30.530001,30.629999,56100,30.346042
2014-11-14,30.629999,30.629999,30.52,30.59,24300,30.306414
2014-11-13,30.42,30.66,30.42,30.549999,47600,30.266784
2014-11-12,30.41,30.50,30.370001,30.49,33900,30.207341
2014-11-11,30.50,30.50,30.360001,30.43,98000,30.147898
2014-11-10,30.42,30.450001,30.280001,30.42,56200,30.13799
2014-11-07,30.41,30.41,30.24,30.34,45800,30.058732
2014-11-06,30.219999,30.35,30.10,30.34,195000,30.058732
2014-11-05,30.25,30.25,30.07,30.18,91400,29.900215
2014-11-04,30.02,30.059999,29.879999,30.030001,47800,29.751606
2014-11-03,30.129999,30.15,30.00,30.040001,73800,29.761514
2014-10-31,30.15,30.15,29.90,30.049999,85000,29.771419
2014-10-30,29.389999,29.75,29.389999,29.68,36700,29.40485
2014-10-29,29.530001,29.65,29.379999,29.559999,206800,29.285962
2014-10-28,29.34,29.559999,29.34,29.549999,242300,29.276055
2014-10-27,29.16,29.26,29.09,29.26,17200,28.988744
2014-10-24,29.110001,29.309999,29.110001,29.309999,24500,29.015492
2014-10-23,29.08,29.219999,29.01,29.059999,42800,28.768004
2014-10-22,29.02,29.02,28.75,28.75,52700,28.461119
2014-10-21,28.52,28.940001,28.52,28.93,336000,28.639311
2014-10-20,28.08,28.48,28.08,28.469999,33700,28.183932
2014-10-17,28.27,28.389999,28.030001,28.299999,59000,28.01564
2014-10-16,27.35,28.040001,27.35,27.85,89400,27.570163
2014-10-15,27.90,28.01,27.360001,27.85,162000,27.570163
2014-10-14,28.200001,28.40,28.059999,28.059999,40200,27.778052
2014-10-13,28.43,28.57,28.030001,28.030001,79300,27.748354
2014-10-10,28.67,28.83,28.48,28.49,14300,28.203731
2014-10-09,29.25,29.25,28.690001,28.74,42600,28.451219
2014-10-08,28.84,29.290001,28.68,29.27,23500,28.975895
2014-10-07,29.10,29.10,28.76,28.790001,32300,28.500718
2014-10-06,29.33,29.34,29.07,29.190001,102900,28.896698
2014-10-03,29.219999,29.24,29.08,29.219999,91500,28.926396
2014-10-02,28.790001,28.969999,28.620001,28.91,140600,28.619511
2014-10-01,29.16,29.16,28.82,28.92,44200,28.629411
2014-09-30,29.379999,29.40,29.24,29.26,12400,28.965995
2014-09-29,29.200001,29.35,29.110001,29.309999,13200,29.015492
2014-09-26,29.110001,29.42,29.110001,29.370001,22100,29.07489
2014-09-25,29.459999,29.459999,29.09,29.15,20800,28.857099
2014-09-24,29.370001,29.58,29.299999,29.58,19000,29.282779
2014-09-23,29.450001,29.51,29.34,29.379999,32500,29.084788
2014-09-22,29.780001,29.780001,29.51,29.57,24700,29.272879
2014-09-19,29.969999,29.969999,29.799999,29.870001,23100,29.50057
2014-09-18,29.870001,29.870001,29.77,29.809999,11200,29.44131
2014-09-17,29.73,29.83,29.629999,29.709999,36600,29.342547
2014-09-16,29.530001,29.75,29.469999,29.719999,15100,29.352423
2014-09-15,29.540001,29.540001,29.43,29.530001,7700,29.164775
2014-09-12,29.52,29.549999,29.41,29.49,10600,29.125269
2014-09-11,29.530001,29.65,29.50,29.65,11500,29.283289
2014-09-10,29.469999,29.65,29.43,29.610001,47100,29.243785
2014-09-09,29.549999,29.690001,29.48,29.48,7100,29.115392
2014-09-08,29.60,29.700001,29.58,29.629999,7800,29.263536
2014-09-05,29.57,29.690001,29.48,29.68,10200,29.312919
2014-09-04,29.620001,29.709999,29.50,29.57,16000,29.204279
2014-09-03,29.719999,29.719999,29.50,29.549999,13400,29.184526
2014-09-02,29.700001,29.700001,29.469999,29.57,10600,29.204279
2014-08-29,29.57,29.629999,29.50,29.629999,9600,29.263536
2014-08-28,29.530001,29.59,29.48,29.559999,12800,29.194402
2014-08-27,29.66,29.66,29.51,29.60,29900,29.233909
2014-08-26,29.60,29.68,29.59,29.60,39100,29.233909
2014-08-25,29.559999,29.59,29.540001,29.57,3800,29.204279
2014-08-22,29.559999,29.60,29.469999,29.51,61000,29.095641
2014-08-21,29.530001,29.60,29.530001,29.58,19200,29.164658
2014-08-20,29.440001,29.530001,29.389999,29.49,22400,29.075922
2014-08-19,29.379999,29.43,29.299999,29.41,22000,28.997045
2014-08-18,29.08,29.27,29.08,29.23,9800,28.819572
2014-08-15,29.139999,29.139999,28.84,29.040001,11900,28.632241
2014-08-14,28.85,29.02,28.85,29.00,10400,28.592802
2014-08-13,28.809999,28.93,28.799999,28.92,8300,28.513926
2014-08-12,28.67,28.780001,28.67,28.77,136300,28.366032
2014-08-11,28.790001,28.879999,28.77,28.780001,9200,28.375892
2014-08-08,28.379999,28.690001,28.379999,28.690001,11600,28.287155
2014-08-07,28.540001,28.610001,28.299999,28.35,12000,27.951929
2014-08-06,28.309999,28.60,28.309999,28.530001,12100,28.129402
2014-08-05,28.68,28.68,28.43,28.49,21500,28.089963
2014-08-04,28.530001,28.75,28.51,28.73,9200,28.326593
2014-08-01,28.51,28.66,28.43,28.540001,17900,28.139262
2014-07-31,28.99,28.99,28.549999,28.59,22400,28.188559
2014-07-30,29.15,29.16,29.01,29.139999,16700,28.730836
