Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,3.75,3.81,3.70,3.75,17300,3.75
2015-09-03,3.82,3.82,3.75,3.76,8600,3.76
2015-09-02,3.90,3.90,3.75,3.75,18100,3.75
2015-09-01,3.77,3.88,3.75,3.88,19200,3.88
2015-08-31,3.74,3.89,3.65,3.80,27600,3.80
2015-08-28,3.63,3.90,3.63,3.70,45400,3.70
2015-08-27,3.69,3.69,3.62,3.67,33300,3.67
2015-08-26,3.72,3.87,3.61,3.69,9100,3.69
2015-08-25,3.70,3.90,3.50,3.68,66300,3.68
2015-08-24,3.85,3.90,3.60,3.62,74100,3.62
2015-08-21,3.88,3.93,3.85,3.88,18100,3.88
2015-08-20,3.99,4.02,3.94,3.94,22800,3.94
2015-08-19,4.00,4.08,3.95,4.01,9600,4.01
2015-08-18,4.09,4.11,4.03,4.04,13200,3.99
2015-08-17,4.00,4.18,3.99,4.11,30700,4.059134
2015-08-14,4.06,4.06,4.01,4.01,23400,3.960371
2015-08-13,4.02,4.12,4.02,4.05,7700,3.999876
2015-08-12,4.14,4.19,4.01,4.02,28900,3.970247
2015-08-11,4.15,4.20,4.14,4.14,18800,4.088762
2015-08-10,4.10,4.20,4.10,4.17,9700,4.118391
2015-08-07,4.24,4.24,4.10,4.17,15700,4.118391
2015-08-06,4.30,4.30,4.11,4.18,16000,4.128267
2015-08-05,4.37,4.37,4.15,4.28,18500,4.22703
2015-08-04,4.33,4.33,4.25,4.29,10000,4.236906
2015-08-03,4.38,4.40,4.23,4.31,29100,4.256658
2015-07-31,4.20,4.37,4.17,4.37,10600,4.315916
2015-07-30,4.21,4.23,4.10,4.20,14900,4.14802
2015-07-29,4.18,4.24,4.12,4.20,18200,4.14802
2015-07-28,4.14,4.18,4.07,4.14,24000,4.088762
2015-07-27,4.08,4.12,4.01,4.07,35700,4.019629
2015-07-24,4.26,4.28,4.10,4.13,19200,4.078886
2015-07-23,4.26,4.31,4.19,4.19,34000,4.138144
2015-07-22,4.24,4.25,4.18,4.20,35100,4.14802
2015-07-21,4.24,4.32,4.20,4.29,11700,4.236906
2015-07-20,4.35,4.39,4.21,4.27,62100,4.217153
2015-07-17,4.31,4.38,4.30,4.37,23800,4.315916
2015-07-16,4.33,4.33,4.28,4.29,7700,4.236906
2015-07-15,4.20,4.29,4.18,4.27,38100,4.217153
2015-07-14,4.16,4.20,4.13,4.20,27200,4.14802
2015-07-13,4.12,4.32,4.06,4.13,14800,4.078886
2015-07-10,4.04,4.08,4.00,4.06,21700,4.009752
2015-07-09,4.12,4.12,3.95,3.97,47500,3.920866
2015-07-08,4.09,4.22,4.03,4.11,50400,4.059134
2015-07-07,4.30,4.34,4.16,4.21,91800,4.157896
2015-07-06,4.38,4.39,4.28,4.32,16100,4.266535
2015-07-02,4.40,4.49,4.36,4.38,13600,4.325792
2015-07-01,4.38,4.38,4.33,4.36,15500,4.30604
2015-06-30,4.29,4.38,4.28,4.34,22100,4.286287
2015-06-29,4.32,4.38,4.21,4.28,14300,4.22703
2015-06-26,4.47,4.50,4.35,4.40,76200,4.345545
2015-06-25,4.40,4.59,4.34,4.47,182000,4.414678
2015-06-24,4.04,4.27,4.03,4.27,83900,4.217153
2015-06-23,3.87,3.89,3.77,3.88,28200,3.83198
2015-06-22,3.82,3.95,3.75,3.79,36100,3.743094
2015-06-19,3.85,3.92,3.70,3.76,266000,3.713465
2015-06-18,3.89,3.96,3.73,3.84,25800,3.792475
2015-06-17,3.88,3.90,3.83,3.88,8900,3.83198
2015-06-16,3.76,3.85,3.73,3.85,20800,3.802351
2015-06-15,3.73,3.78,3.68,3.72,26100,3.67396
2015-06-12,3.86,3.86,3.77,3.78,6600,3.733218
2015-06-11,3.76,3.90,3.76,3.87,25700,3.822104
2015-06-10,4.10,4.10,3.79,3.79,12800,3.743094
2015-06-09,3.83,3.83,3.75,3.75,14600,3.703589
2015-06-08,3.82,4.01,3.77,3.80,29500,3.75297
2015-06-05,3.91,3.91,3.80,3.82,23800,3.772723
2015-06-04,3.86,3.90,3.81,3.82,32700,3.772723
2015-06-03,3.92,3.99,3.89,3.89,40100,3.841856
2015-06-02,4.05,4.05,3.93,3.93,67200,3.881361
2015-06-01,3.97,4.04,3.97,4.03,11000,3.980124
2015-05-29,4.06,4.13,3.99,4.03,31300,3.980124
2015-05-28,4.10,4.18,4.07,4.07,9800,4.019629
2015-05-27,4.18,4.40,4.08,4.10,32500,4.049257
2015-05-26,4.26,4.33,4.04,4.12,10300,4.06901
2015-05-22,4.27,4.32,4.04,4.31,21000,4.256658
2015-05-21,4.06,4.37,4.06,4.30,44600,4.246782
2015-05-20,3.83,4.05,3.83,4.04,24000,3.99
2015-05-19,3.87,3.93,3.82,3.82,18700,3.772723
2015-05-18,3.85,3.91,3.83,3.91,8500,3.861609
2015-05-15,3.85,3.92,3.83,3.89,15400,3.841856
2015-05-14,3.88,3.96,3.86,3.86,10900,3.812228
2015-05-13,3.90,3.93,3.86,3.89,16300,3.841856
2015-05-12,3.92,3.96,3.86,3.90,15600,3.851733
2015-05-11,3.98,3.98,3.88,3.97,42800,3.920866
2015-05-08,3.85,4.06,3.85,3.99,113600,3.891238
2015-05-07,3.89,4.07,3.83,3.85,31700,3.754703
2015-05-06,4.02,4.13,3.87,3.89,31700,3.793713
2015-05-05,4.02,4.19,3.96,3.97,90000,3.871733
2015-05-04,4.03,4.11,3.95,4.02,47700,3.920495
2015-05-01,4.20,4.23,3.91,4.11,116700,4.008267
2015-04-30,4.45,4.50,4.20,4.21,66800,4.105792
2015-04-29,4.43,4.48,4.43,4.46,22500,4.349604
2015-04-28,4.59,4.59,4.45,4.48,75200,4.369109
2015-04-27,4.60,4.61,4.55,4.56,15500,4.447129
2015-04-24,4.59,4.59,4.53,4.53,23300,4.417871
2015-04-23,4.65,4.66,4.58,4.59,44300,4.476386
2015-04-22,4.50,4.64,4.50,4.59,24200,4.476386
2015-04-21,4.56,4.61,4.54,4.54,26100,4.427624
2015-04-20,4.60,4.74,4.55,4.58,18800,4.466633
2015-04-17,4.60,4.61,4.54,4.58,33300,4.466633
2015-04-16,4.64,4.75,4.60,4.65,22800,4.534901
2015-04-15,4.67,4.69,4.60,4.61,27800,4.495891
2015-04-14,4.80,4.80,4.66,4.69,19000,4.573911
2015-04-13,4.73,4.81,4.70,4.80,49100,4.681188
2015-04-10,4.66,4.79,4.60,4.78,45100,4.661683
2015-04-09,4.55,4.66,4.50,4.64,47400,4.525148
2015-04-08,4.51,4.54,4.42,4.52,28500,4.408119
2015-04-07,4.60,4.60,4.50,4.51,7100,4.398366
2015-04-06,4.50,4.60,4.50,4.59,37700,4.476386
2015-04-02,4.55,4.55,4.51,4.52,18100,4.408119
2015-04-01,4.57,4.57,4.40,4.55,43600,4.437376
2015-03-31,4.40,4.59,4.40,4.54,43100,4.427624
2015-03-30,4.42,4.47,4.41,4.43,36100,4.320346
2015-03-27,4.53,4.54,4.46,4.49,6200,4.378861
2015-03-26,4.45,4.50,4.43,4.50,6200,4.388614
2015-03-25,4.50,4.76,4.39,4.44,120700,4.330099
2015-03-24,4.49,4.49,4.30,4.47,24700,4.359356
2015-03-23,4.54,4.58,4.40,4.46,52900,4.349604
2015-03-20,4.63,4.64,4.51,4.54,34400,4.427624
2015-03-19,4.65,4.65,4.54,4.64,14300,4.525148
2015-03-18,4.52,4.65,4.46,4.62,18400,4.505643
2015-03-17,4.46,4.52,4.44,4.48,20700,4.369109
2015-03-16,4.51,4.57,4.44,4.47,41500,4.359356
2015-03-13,4.45,4.52,4.40,4.51,30000,4.398366
