Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,0.21,0.22,0.20,0.20,296700,0.20
2015-09-03,0.23,0.25,0.20,0.22,927500,0.22
2015-09-02,0.19,0.26,0.19,0.23,1738200,0.23
2015-09-01,0.21,0.21,0.19,0.20,125000,0.20
2015-08-31,0.21,0.21,0.20,0.21,218300,0.21
2015-08-28,0.22,0.23,0.19,0.20,919500,0.20
2015-08-27,0.22,0.23,0.21,0.22,198500,0.22
2015-08-26,0.25,0.25,0.22,0.23,111300,0.23
2015-08-25,0.24,0.25,0.23,0.23,340000,0.23
2015-08-24,0.26,0.26,0.23,0.25,193200,0.25
2015-08-21,0.26,0.27,0.26,0.26,209400,0.26
2015-08-20,0.27,0.28,0.24,0.25,484000,0.25
2015-08-19,0.28,0.29,0.27,0.27,188900,0.27
2015-08-18,0.29,0.30,0.28,0.28,153200,0.28
2015-08-17,0.29,0.32,0.29,0.30,101400,0.30
2015-08-14,0.30,0.32,0.29,0.29,119500,0.29
2015-08-13,0.30,0.32,0.30,0.30,146500,0.30
2015-08-12,0.31,0.32,0.29,0.29,157800,0.29
2015-08-11,0.30,0.31,0.27,0.31,124300,0.31
2015-08-10,0.30,0.32,0.28,0.30,267600,0.30
2015-08-07,0.26,0.30,0.25,0.30,569200,0.30
2015-08-06,0.28,0.28,0.25,0.27,143500,0.27
2015-08-05,0.25,0.28,0.23,0.28,278100,0.28
2015-08-04,0.29,0.29,0.21,0.26,981800,0.26
2015-08-03,0.24,0.31,0.22,0.28,616400,0.28
2015-07-31,0.24,0.26,0.22,0.24,320700,0.24
2015-07-30,0.25,0.25,0.24,0.24,150400,0.24
2015-07-29,0.25,0.26,0.25,0.25,283500,0.25
2015-07-28,0.23,0.26,0.22,0.25,321000,0.25
2015-07-27,0.20,0.27,0.20,0.23,592000,0.23
2015-07-24,0.31,0.35,0.19,0.25,2262100,0.25
2015-07-23,0.35,0.36,0.35,0.36,184400,0.36
2015-07-22,0.36,0.37,0.34,0.35,282100,0.35
2015-07-21,0.37,0.40,0.36,0.36,259700,0.36
2015-07-20,0.42,0.44,0.36,0.39,508600,0.39
2015-07-17,0.45,0.45,0.42,0.42,64700,0.42
2015-07-16,0.43,0.45,0.43,0.44,141900,0.44
2015-07-15,0.47,0.47,0.43,0.43,297100,0.43
2015-07-14,0.45,0.47,0.45,0.46,165600,0.46
2015-07-13,0.48,0.51,0.45,0.45,250600,0.45
2015-07-10,0.50,0.50,0.47,0.48,94200,0.48
2015-07-09,0.51,0.51,0.44,0.48,338300,0.48
2015-07-08,0.51,0.53,0.50,0.50,133400,0.50
2015-07-07,0.52,0.53,0.51,0.51,222400,0.51
2015-07-06,0.52,0.54,0.51,0.53,175300,0.53
2015-07-02,0.51,0.55,0.51,0.51,124900,0.51
2015-07-01,0.52,0.54,0.50,0.50,296600,0.50
2015-06-30,0.54,0.55,0.53,0.53,95100,0.53
2015-06-29,0.54,0.56,0.53,0.53,154800,0.53
2015-06-26,0.54,0.56,0.53,0.53,271400,0.53
2015-06-25,0.55,0.55,0.53,0.55,84300,0.55
2015-06-24,0.54,0.55,0.53,0.55,42500,0.55
2015-06-23,0.54,0.56,0.53,0.54,69400,0.54
2015-06-22,0.52,0.55,0.52,0.55,144200,0.55
2015-06-19,0.55,0.56,0.52,0.52,104400,0.52
2015-06-18,0.56,0.56,0.53,0.55,39500,0.55
2015-06-17,0.55,0.56,0.53,0.56,83100,0.56
2015-06-16,0.57,0.57,0.54,0.56,125700,0.56
2015-06-15,0.55,0.57,0.54,0.57,116900,0.57
2015-06-12,0.56,0.57,0.55,0.56,75700,0.56
2015-06-11,0.55,0.59,0.55,0.56,100500,0.56
2015-06-10,0.59,0.59,0.56,0.58,115600,0.58
2015-06-09,0.56,0.59,0.54,0.59,90600,0.59
2015-06-08,0.59,0.61,0.54,0.55,123600,0.55
2015-06-05,0.60,0.62,0.58,0.59,126400,0.59
2015-06-04,0.58,0.64,0.58,0.60,532700,0.60
2015-06-03,0.60,0.62,0.58,0.61,58900,0.61
2015-06-02,0.61,0.62,0.60,0.60,44100,0.60
2015-06-01,0.62,0.62,0.59,0.60,46500,0.60
2015-05-29,0.60,0.61,0.58,0.61,61400,0.61
2015-05-28,0.58,0.60,0.58,0.60,27000,0.60
2015-05-27,0.59,0.61,0.58,0.61,82400,0.61
2015-05-26,0.60,0.62,0.58,0.58,161000,0.58
2015-05-22,0.60,0.62,0.59,0.61,89300,0.61
2015-05-21,0.60,0.63,0.59,0.61,73300,0.61
2015-05-20,0.63,0.64,0.59,0.60,230500,0.60
2015-05-19,0.66,0.67,0.64,0.65,36600,0.65
2015-05-18,0.66,0.69,0.66,0.67,103000,0.67
