Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.80,4.87,4.80,4.85,1700,4.68128
2014-12-30,4.88,4.88,4.81,4.81,700,4.642672
2014-12-29,4.69,4.85,4.69,4.82,11100,4.652324
2014-12-26,4.76,4.78,4.60,4.64,10100,4.478585
2014-12-24,4.76,4.82,4.58,4.69,12200,4.526846
2014-12-23,4.67,4.74,4.66,4.66,3700,4.49789
2014-12-22,4.57,4.78,4.48,4.66,10500,4.49789
2014-12-19,4.80,4.80,4.57,4.58,3200,4.420673
2014-12-18,4.85,4.85,4.46,4.77,13900,4.604063
2014-12-17,4.72,4.75,4.72,4.75,300,4.584759
2014-12-16,4.55,4.75,4.41,4.59,8900,4.430325
2014-12-15,4.68,4.68,4.59,4.60,4100,4.439977
2014-12-12,4.63,4.75,4.63,4.75,3600,4.584759
2014-12-11,4.84,4.84,4.62,4.72,4600,4.555802
2014-12-10,4.71,4.84,4.71,4.84,300,4.671628
2014-12-09,4.76,4.88,4.63,4.85,19700,4.604063
2014-12-08,4.87,4.88,4.82,4.87,12100,4.623049
2014-12-05,4.85,4.86,4.60,4.76,6800,4.518627
2014-12-04,4.62,4.84,4.62,4.84,11500,4.594571
2014-12-03,4.26,4.70,4.26,4.69,49200,4.452177
2014-12-02,4.28,4.28,4.24,4.26,7700,4.043982
2014-12-01,4.27,4.30,4.22,4.28,5500,4.062967
2014-11-28,4.26,4.32,4.22,4.22,3800,4.00601
2014-11-26,4.26,4.31,4.23,4.24,5300,4.024995
2014-11-25,4.25,4.38,4.22,4.22,28300,4.00601
2014-11-24,4.26,4.36,4.23,4.26,15500,4.043982
2014-11-21,4.26,4.34,4.24,4.27,4100,4.053474
2014-11-20,4.21,4.39,4.10,4.18,68600,3.968038
2014-11-19,4.24,4.24,4.24,4.24,200,4.024995
2014-11-18,4.25,4.28,4.20,4.20,2600,3.987024
2014-11-17,4.37,4.37,4.16,4.22,11800,4.00601
2014-11-14,4.22,4.36,4.15,4.29,10300,4.07246
2014-11-13,4.29,4.50,4.19,4.22,51600,4.00601
2014-11-12,4.20,4.21,4.20,4.21,1400,3.996517
2014-11-11,4.25,4.36,4.13,4.15,2400,3.939559
2014-11-10,4.21,4.43,4.11,4.22,62200,4.00601
2014-11-07,4.42,4.47,4.12,4.12,36500,3.91108
