Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,23.52,23.940001,23.35,23.85,47200,23.85
2015-09-03,23.950001,24.129999,23.52,23.90,51700,23.90
2015-09-02,23.76,23.969999,23.68,23.959999,38800,23.959999
2015-09-01,23.469999,23.85,23.25,23.620001,54000,23.620001
2015-08-31,23.58,23.98,23.58,23.91,41400,23.91
2015-08-28,23.50,24.01,23.469999,23.84,44100,23.84
2015-08-27,23.48,23.98,23.360001,23.60,59600,23.60
2015-08-26,23.790001,23.790001,23.25,23.450001,78100,23.450001
2015-08-25,24.35,24.35,23.290001,23.309999,79900,23.309999
2015-08-24,23.870001,24.360001,23.540001,23.68,81600,23.68
2015-08-21,24.139999,24.90,24.139999,24.75,59800,24.75
2015-08-20,24.690001,24.940001,24.49,24.549999,44700,24.549999
2015-08-19,24.77,24.940001,24.620001,24.84,45300,24.84
2015-08-18,24.83,25.07,24.809999,24.879999,256300,24.879999
2015-08-17,24.719999,24.940001,24.209999,24.809999,34100,24.809999
2015-08-14,24.60,24.90,24.469999,24.809999,33700,24.809999
2015-08-13,24.620001,24.84,24.50,24.65,145900,24.65
2015-08-12,24.700001,24.700001,24.450001,24.620001,205900,24.620001
2015-08-11,24.639999,24.799999,24.469999,24.75,57100,24.75
2015-08-10,24.59,24.709999,23.360001,24.709999,76000,24.709999
2015-08-07,24.50,24.51,24.25,24.35,53600,24.35
2015-08-06,24.25,24.66,24.209999,24.530001,89900,24.530001
2015-08-05,24.190001,24.469999,24.129999,24.24,45900,24.24
2015-08-04,24.27,24.49,24.049999,24.17,29500,24.17
2015-08-03,24.07,24.290001,24.02,24.26,72800,24.26
2015-07-31,24.00,24.200001,23.709999,24.129999,53900,24.129999
2015-07-30,23.799999,24.00,23.690001,23.99,28100,23.99
2015-07-29,23.51,24.00,23.35,23.950001,37200,23.950001
2015-07-28,23.889999,23.889999,23.559999,23.60,20600,23.60
2015-07-27,23.23,23.90,22.91,23.77,36200,23.77
2015-07-24,23.309999,23.66,23.10,23.290001,40600,23.290001
2015-07-23,22.719999,24.00,22.719999,23.32,30800,23.32
2015-07-22,22.950001,23.25,22.790001,23.110001,14100,23.110001
2015-07-21,23.25,23.40,22.90,22.950001,15300,22.950001
2015-07-20,23.41,23.41,23.16,23.190001,13000,23.190001
2015-07-17,23.42,23.43,23.18,23.379999,24400,23.379999
2015-07-16,23.50,23.700001,23.26,23.35,13700,23.35
2015-07-15,23.35,23.49,23.200001,23.34,12900,23.34
2015-07-14,23.09,23.440001,23.059999,23.35,11500,23.35
2015-07-13,23.24,23.40,23.10,23.18,32000,23.18
2015-07-10,22.870001,23.34,22.809999,23.16,49100,23.16
2015-07-09,22.51,22.90,22.48,22.68,32700,22.68
2015-07-08,22.15,22.42,22.030001,22.309999,30300,22.309999
2015-07-07,22.76,22.76,22.18,22.290001,45500,22.290001
2015-07-06,22.51,22.82,22.299999,22.67,24600,22.67
2015-07-02,23.030001,23.030001,22.610001,22.65,9300,22.65
2015-07-01,22.98,23.17,22.879999,23.030001,22600,23.030001
2015-06-30,22.84,22.90,22.620001,22.77,24400,22.77
2015-06-29,22.99,23.190001,22.530001,22.59,27600,22.59
2015-06-26,23.309999,23.35,23.030001,23.190001,147600,23.190001
2015-06-25,23.110001,23.23,23.040001,23.190001,28000,23.190001
2015-06-24,23.00,23.139999,22.889999,22.969999,26200,22.969999
2015-06-23,22.700001,23.059999,22.700001,23.040001,26900,23.040001
2015-06-22,22.610001,22.75,22.549999,22.719999,21400,22.719999
2015-06-19,22.35,22.559999,22.34,22.540001,62200,22.540001
2015-06-18,22.200001,22.459999,22.00,22.450001,30100,22.450001
2015-06-17,22.389999,22.389999,21.950001,22.059999,17400,22.059999
2015-06-16,21.940001,22.309999,21.889999,22.309999,27900,22.309999
2015-06-15,21.82,22.15,21.629999,22.07,29500,22.07
2015-06-12,22.059999,22.10,21.950001,22.02,11400,22.02
2015-06-11,22.290001,22.299999,21.82,22.190001,25200,22.190001
2015-06-10,22.209999,22.65,22.01,22.40,48800,22.34
2015-06-09,21.90,22.139999,21.709999,22.030001,29000,21.970992
2015-06-08,21.799999,22.00,21.690001,21.940001,24600,21.881233
2015-06-05,21.389999,21.799999,21.209999,21.780001,27100,21.721661
2015-06-04,21.459999,21.66,21.15,21.309999,14700,21.252919
2015-06-03,21.48,21.719999,21.25,21.639999,114200,21.582035
2015-06-02,21.139999,21.459999,21.110001,21.450001,14600,21.392545
2015-06-01,21.280001,21.280001,20.959999,21.209999,17000,21.153187
2015-05-29,21.40,21.40,21.059999,21.120001,20000,21.063429
2015-05-28,21.42,21.52,21.290001,21.49,10700,21.432437
2015-05-27,21.200001,21.610001,21.08,21.530001,20900,21.472331
2015-05-26,21.370001,21.50,21.129999,21.27,29000,21.213027
2015-05-22,21.52,21.73,21.360001,21.469999,42800,21.41249
2015-05-21,21.700001,21.719999,21.440001,21.68,16300,21.621929
2015-05-20,21.719999,21.74,21.49,21.620001,21300,21.56209
2015-05-19,21.540001,21.639999,21.43,21.629999,25900,21.572062
2015-05-18,21.32,21.57,21.209999,21.42,71100,21.362625
2015-05-15,21.23,21.41,21.00,21.200001,83100,21.143215
2015-05-14,21.00,21.23,20.860001,21.209999,26700,21.153187
2015-05-13,21.040001,21.049999,20.84,20.950001,16500,20.893885
2015-05-12,20.950001,21.129999,20.799999,21.10,25200,21.043482
2015-05-11,20.84,21.190001,20.83,20.969999,45700,20.91383
2015-05-08,20.959999,20.98,20.74,20.84,31300,20.784179
2015-05-07,20.639999,21.02,20.59,20.73,74400,20.674473
2015-05-06,20.690001,20.799999,20.51,20.77,53800,20.714366
2015-05-05,20.75,20.780001,20.40,20.709999,74600,20.654526
2015-05-04,20.57,20.940001,20.50,20.75,106300,20.69442
2015-05-01,20.540001,20.67,20.26,20.629999,77800,20.57474
2015-04-30,20.440001,20.610001,20.200001,20.530001,70700,20.47501
2015-04-29,20.709999,20.75,20.530001,20.59,23500,20.534848
2015-04-28,20.35,20.950001,20.35,20.879999,25600,20.824071
2015-04-27,20.57,20.690001,20.15,20.389999,49300,20.335383
2015-04-24,20.129999,20.709999,20.059999,20.629999,32500,20.57474
2015-04-23,20.110001,20.879999,19.68,20.10,29400,20.046161
2015-04-22,20.469999,20.620001,20.15,20.440001,12000,20.38525
2015-04-21,20.52,20.719999,20.360001,20.559999,9200,20.504928
2015-04-20,20.41,20.75,20.370001,20.620001,24400,20.564769
2015-04-17,20.790001,20.790001,20.23,20.33,33600,20.275545
2015-04-16,21.00,21.16,20.83,20.950001,11500,20.893885
2015-04-15,20.92,21.24,20.719999,21.139999,31200,21.083374
2015-04-14,20.860001,20.93,20.530001,20.879999,20100,20.824071
2015-04-13,21.02,21.030001,20.73,20.780001,19800,20.72434
2015-04-10,20.959999,20.959999,20.73,20.85,9100,20.794152
2015-04-09,21.16,21.16,20.620001,20.83,64200,20.774205
2015-04-08,21.00,21.120001,20.93,21.08,25800,21.023536
2015-04-07,21.049999,21.299999,20.85,21.00,47500,20.94375
2015-04-06,21.219999,21.389999,21.040001,21.17,18900,21.113295
2015-04-02,21.120001,21.639999,21.049999,21.290001,69500,21.232974
2015-04-01,20.51,21.059999,20.25,21.049999,81600,20.993615
2015-03-31,20.360001,20.73,20.200001,20.66,56900,20.604661
2015-03-30,20.469999,20.790001,20.35,20.50,36600,20.445089
2015-03-27,20.65,20.65,20.35,20.42,27200,20.365304
2015-03-26,20.620001,20.780001,20.549999,20.68,27400,20.624607
2015-03-25,20.809999,20.93,20.59,20.610001,17100,20.554795
2015-03-24,20.860001,20.93,20.700001,20.790001,21600,20.734313
2015-03-23,20.559999,20.93,20.559999,20.85,86500,20.794152
2015-03-20,20.67,20.860001,20.67,20.83,108400,20.774205
2015-03-19,20.67,20.799999,20.40,20.59,21800,20.534848
2015-03-18,20.76,20.84,20.51,20.65,29200,20.594687
2015-03-17,20.65,20.799999,20.43,20.77,67500,20.714366
2015-03-16,20.799999,20.85,20.540001,20.75,25900,20.69442
2015-03-13,20.629999,20.799999,20.48,20.780001,20100,20.72434
2015-03-12,20.200001,20.700001,20.190001,20.59,64400,20.534848
2015-03-11,19.93,20.16,19.90,20.120001,26500,20.066108
2015-03-10,20.10,20.120001,19.74,19.93,31000,19.823759
2015-03-09,20.10,20.26,20.030001,20.15,35700,20.042585
2015-03-06,20.030001,20.34,19.91,20.040001,44300,19.933173
2015-03-05,20.17,20.35,19.90,20.24,21200,20.132106
2015-03-04,20.059999,20.26,19.889999,20.16,39800,20.052532
2015-03-03,20.16,20.25,20.10,20.17,19200,20.062479
2015-03-02,20.07,20.25,20.07,20.24,41900,20.132106
2015-02-27,20.139999,20.33,20.09,20.120001,70800,20.012746
2015-02-26,19.959999,20.23,19.959999,20.17,25400,20.062479
2015-02-25,20.09,20.17,19.959999,19.969999,13900,19.863544
2015-02-24,20.23,20.23,20.00,20.10,25600,19.992852
2015-02-23,20.219999,20.219999,19.950001,20.07,18700,19.963012
2015-02-20,20.24,20.299999,20.09,20.27,40200,20.161946
2015-02-19,20.10,20.33,20.049999,20.18,25200,20.072426
2015-02-18,20.25,20.25,20.00,20.17,19200,20.062479
2015-02-17,20.25,20.379999,20.08,20.33,48600,20.221626
2015-02-13,20.26,20.450001,20.16,20.24,32600,20.132106
2015-02-12,20.110001,20.309999,19.950001,20.309999,25200,20.201732
2015-02-11,20.209999,20.33,20.02,20.049999,17800,19.943118
2015-02-10,19.950001,20.35,19.700001,20.27,36000,20.161946
2015-02-09,20.24,20.440001,19.83,19.91,29300,19.803865
2015-02-06,20.35,20.74,19.950001,20.370001,51000,20.261414
2015-02-05,20.26,20.50,20.18,20.299999,37700,20.191785
2015-02-04,19.959999,20.129999,19.870001,19.959999,38200,19.853597
2015-02-03,19.700001,20.35,19.629999,19.99,48100,19.883438
2015-02-02,19.110001,19.870001,19.110001,19.690001,43100,19.585038
2015-01-30,19.40,19.860001,19.030001,19.110001,46800,19.00813
2015-01-29,19.190001,19.65,19.190001,19.610001,74200,19.505465
2015-01-28,19.90,19.90,19.129999,19.190001,27600,19.087704
2015-01-27,19.690001,19.969999,19.629999,19.870001,36400,19.764079
2015-01-26,19.83,20.120001,19.639999,19.99,38600,19.883438
2015-01-23,20.33,20.33,19.85,19.90,72100,19.793918
2015-01-22,19.299999,20.290001,18.90,20.25,102100,20.142052
2015-01-21,19.10,19.299999,18.91,19.00,51600,18.898716
2015-01-20,19.17,19.200001,19.00,19.10,20000,18.998183
2015-01-16,18.85,19.200001,18.85,19.10,52400,18.998183
2015-01-15,19.129999,19.15,18.799999,18.84,58100,18.739569
2015-01-14,19.02,19.32,19.00,19.10,32600,18.998183
2015-01-13,19.09,19.40,19.00,19.23,33100,19.127489
2015-01-12,19.110001,19.18,18.950001,19.08,42600,18.978289
2015-01-09,19.50,19.50,19.07,19.17,48000,19.06781
2015-01-08,19.18,19.59,19.049999,19.50,21300,19.396051
2015-01-07,19.280001,19.379999,19.01,19.18,25900,19.077757
2015-01-06,19.370001,19.40,19.00,19.110001,42700,19.00813
2015-01-05,19.40,19.459999,19.040001,19.27,36900,19.167277
2015-01-02,19.91,19.91,19.15,19.48,23700,19.376157
