Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,7.65,7.93,7.65,7.78,365800,7.78
2015-09-03,7.79,7.92,7.73,7.75,476400,7.75
2015-09-02,7.69,7.88,7.60,7.75,477900,7.75
2015-09-01,7.62,7.77,7.58,7.62,604700,7.62
2015-08-31,7.83,8.03,7.68,7.73,591000,7.73
2015-08-28,7.79,8.07,7.78,7.84,494100,7.84
2015-08-27,7.83,7.94,7.61,7.85,563700,7.85
2015-08-26,7.78,7.90,7.35,7.73,736500,7.73
2015-08-25,8.13,8.19,7.60,7.64,850400,7.64
2015-08-24,7.90,8.17,7.64,7.91,903300,7.91
2015-08-21,8.01,8.35,8.00,8.22,543900,8.22
2015-08-20,8.53,8.55,8.17,8.20,474800,8.20
2015-08-19,8.50,8.65,8.38,8.53,315900,8.53
2015-08-18,8.57,8.70,8.50,8.55,284100,8.55
2015-08-17,8.62,8.74,8.51,8.57,332100,8.57
2015-08-14,8.28,8.57,8.24,8.55,469900,8.55
2015-08-13,8.37,8.45,8.27,8.32,442000,8.32
2015-08-12,8.20,8.37,8.08,8.31,569400,8.31
2015-08-11,8.32,8.39,8.12,8.16,499700,8.16
2015-08-10,8.27,8.54,8.15,8.36,859500,8.36
2015-08-07,8.03,8.15,8.00,8.06,681400,8.06
2015-08-06,8.26,8.29,8.04,8.05,450800,8.05
2015-08-05,8.26,8.39,8.23,8.26,532400,8.26
2015-08-04,8.42,8.55,8.22,8.26,482300,8.26
2015-08-03,8.72,8.79,8.36,8.42,573400,8.42
2015-07-31,8.52,8.86,8.49,8.71,750200,8.71
2015-07-30,8.23,8.57,8.15,8.53,853600,8.53
2015-07-29,8.20,8.30,7.97,8.21,816300,8.21
2015-07-28,8.37,8.37,7.94,8.06,982400,8.06
2015-07-27,8.31,8.49,8.30,8.34,448800,8.34
2015-07-24,8.94,9.00,8.35,8.36,825300,8.36
2015-07-23,8.69,9.04,8.45,8.92,1450900,8.92
2015-07-22,8.47,8.60,8.39,8.41,282600,8.41
2015-07-21,8.38,8.75,8.27,8.54,607900,8.54
2015-07-20,8.43,8.43,8.21,8.36,600600,8.36
2015-07-17,8.67,8.67,8.31,8.31,754900,8.31
2015-07-16,8.66,8.72,8.51,8.64,327700,8.64
2015-07-15,8.88,8.88,8.55,8.59,430200,8.59
2015-07-14,8.73,8.91,8.71,8.85,433600,8.85
2015-07-13,8.78,8.78,8.63,8.74,485300,8.74
2015-07-10,8.61,8.75,8.60,8.75,340800,8.75
2015-07-09,8.58,8.72,8.51,8.53,464300,8.53
2015-07-08,8.57,8.70,8.40,8.49,902200,8.49
2015-07-07,8.69,8.69,8.33,8.63,732100,8.63
2015-07-06,8.69,8.74,8.61,8.69,329200,8.69
2015-07-02,9.08,9.08,8.68,8.71,395600,8.71
2015-07-01,9.06,9.12,8.92,9.05,590800,9.05
2015-06-30,8.84,9.09,8.73,8.96,887600,8.96
2015-06-29,9.33,9.37,8.78,8.86,864200,8.86
2015-06-26,9.48,9.48,9.26,9.40,941400,9.40
2015-06-25,9.34,9.51,9.31,9.49,482900,9.49
2015-06-24,9.43,9.46,9.26,9.29,513300,9.29
2015-06-23,9.32,9.45,9.24,9.41,542900,9.41
2015-06-22,9.16,9.36,9.06,9.29,791800,9.29
2015-06-19,9.12,9.17,9.02,9.06,1894900,9.06
2015-06-18,9.13,9.25,9.09,9.14,394500,9.14
2015-06-17,9.19,9.26,9.02,9.13,441900,9.13
2015-06-16,9.05,9.26,9.05,9.14,439000,9.14
2015-06-15,8.98,9.11,8.84,9.10,601600,9.10
2015-06-12,8.99,9.13,8.98,9.07,498200,9.07
2015-06-11,8.98,9.09,8.92,9.01,354900,9.01
2015-06-10,8.69,9.04,8.65,9.00,514800,9.00
2015-06-09,8.67,8.72,8.54,8.66,532000,8.66
2015-06-08,8.68,8.74,8.64,8.65,556600,8.65
2015-06-05,8.66,8.80,8.51,8.71,1131200,8.71
