Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,12.57,13.26,12.57,13.24,66800,13.24
2015-09-03,12.60,13.175,12.50,12.76,136600,12.76
2015-09-02,12.16,12.62,12.00,12.60,187600,12.60
2015-09-01,10.92,12.32,10.55,12.165,201500,12.165
2015-08-31,10.68,11.75,10.68,11.21,247300,11.21
2015-08-28,10.39,10.78,10.28,10.66,45000,10.66
2015-08-27,10.50,10.537,10.20,10.40,50300,10.40
2015-08-26,11.23,11.23,10.00,10.35,90400,10.35
2015-08-25,10.78,11.175,9.58,11.00,121900,11.00
2015-08-24,10.78,10.78,8.27,10.33,212400,10.33
2015-08-21,11.40,11.689,11.10,11.42,42500,11.42
2015-08-20,11.76,11.825,11.15,11.52,268000,11.52
2015-08-19,12.27,12.69,11.53,11.76,128100,11.76
2015-08-18,12.79,13.00,12.27,12.29,29000,12.29
2015-08-17,12.57,12.95,12.27,12.85,109900,12.85
2015-08-14,12.81,13.305,12.22,12.58,68700,12.58
2015-08-13,12.93,13.33,12.71,12.88,47400,12.88
2015-08-12,12.39,13.00,12.09,12.97,74800,12.97
2015-08-11,13.13,13.20,12.25,12.43,62600,12.43
2015-08-10,12.93,13.63,12.22,13.20,87100,13.20
2015-08-07,12.67,13.41,12.05,12.73,301000,12.73
2015-08-06,12.95,12.95,11.75,12.73,149000,12.73
2015-08-05,11.64,12.37,11.31,12.18,418600,12.18
2015-08-04,11.55,11.88,11.30,11.66,79500,11.66
2015-08-03,11.52,11.78,11.22,11.58,78800,11.58
2015-07-31,11.36,12.13,11.155,11.59,88500,11.59
2015-07-30,11.25,11.39,11.11,11.32,75300,11.32
2015-07-29,11.37,11.53,11.25,11.25,75100,11.25
2015-07-28,11.66,11.75,11.25,11.45,539400,11.45
2015-07-27,12.17,12.22,11.42,11.52,40400,11.52
2015-07-24,13.19,13.19,12.00,12.15,79400,12.15
2015-07-23,12.50,12.57,12.09,12.16,25600,12.16
2015-07-22,12.01,12.59,11.655,12.52,21100,12.52
