Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.26,9.72,9.18,9.61,212400,9.61
2014-12-30,9.87,9.93,9.18,9.26,151400,9.26
2014-12-29,9.72,9.88,9.60,9.73,361600,9.73
2014-12-26,9.46,9.82,9.33,9.73,143700,9.73
2014-12-25,9.37,9.37,9.37,9.37,000,9.37
2014-12-24,9.40,9.47,9.24,9.37,55400,9.37
2014-12-23,9.27,9.847,9.27,9.39,213900,9.39
2014-12-22,9.33,9.577,9.24,9.39,237800,9.39
2014-12-19,8.92,9.39,8.92,9.32,431500,9.32
2014-12-18,9.18,9.30,8.91,9.04,299700,9.04
2014-12-17,7.9864,9.06,7.89,8.99,243500,8.99
2014-12-16,7.79,7.99,7.53,7.90,283500,7.90
2014-12-15,7.49,7.75,7.49,7.64,284300,7.64
2014-12-12,7.45,7.82,7.4192,7.57,339900,7.57
2014-12-11,7.7999,7.95,7.59,7.68,220000,7.68
2014-12-10,7.805,7.85,7.525,7.70,314500,7.70
2014-12-09,7.311,7.85,7.12,7.82,279600,7.82
2014-12-08,7.78,7.80,7.4007,7.46,299200,7.46
2014-12-05,7.40,7.80,7.34,7.75,195600,7.75
2014-12-04,7.30,7.559,7.22,7.28,163200,7.28
2014-12-03,7.462,7.80,7.34,7.44,263000,7.44
2014-12-02,6.84,7.67,6.78,7.56,436000,7.56
2014-12-01,7.24,7.25,6.79,6.82,419500,6.82
2014-11-28,6.91,6.965,6.61,6.73,165400,6.73
2014-11-27,7.02,7.02,7.02,7.02,000,7.02
2014-11-26,6.345,7.30,6.16,7.02,1150700,7.02
2014-11-25,6.32,6.44,6.17,6.20,339800,6.20
2014-11-24,6.37,6.57,6.24,6.32,182600,6.32
2014-11-21,6.42,6.72,6.30,6.46,365500,6.46
2014-11-20,6.19,6.51,6.15,6.48,109400,6.48
2014-11-19,6.46,6.4875,6.23,6.31,334600,6.31
2014-11-18,6.205,6.50,6.205,6.48,1072100,6.48
2014-11-17,6.62,6.70,6.23,6.30,362300,6.30
2014-11-14,6.57,6.69,6.42,6.66,116800,6.66
2014-11-13,6.63,6.70,6.51,6.55,203500,6.55
2014-11-12,6.19,6.69,6.155,6.63,234300,6.63
2014-11-11,6.28,6.50,6.19,6.36,214200,6.36
2014-11-10,6.23,6.45,6.08,6.30,317700,6.30
2014-11-07,5.84,6.27,5.70,6.23,692900,6.23
2014-11-06,5.67,5.91,5.58,5.88,528300,5.88
2014-11-05,5.52,5.80,5.42,5.66,203900,5.66
2014-11-04,5.62,5.62,5.31,5.43,246800,5.43
2014-11-03,5.65,5.94,5.49,5.55,561000,5.55
2014-10-31,5.89,5.92,5.67,5.84,295400,5.84
2014-10-30,5.668,5.85,5.50,5.72,222800,5.72
2014-10-29,5.83,5.97,5.60,5.62,157700,5.62
2014-10-28,5.708,5.935,5.56,5.89,157500,5.89
2014-10-27,5.916,5.918,5.505,5.64,242700,5.64
2014-10-24,5.882,5.89,5.68,5.80,191500,5.80
2014-10-23,5.632,5.96,5.63,5.87,198400,5.87
2014-10-22,5.88,5.88,5.515,5.61,287400,5.61
2014-10-21,6.114,6.114,5.66,5.81,265900,5.81
2014-10-20,6.29,6.69,5.79,5.85,287700,5.85
2014-10-17,6.434,6.434,5.90,6.13,356200,6.13
2014-10-16,6.10,6.66,6.02,6.16,547500,6.16
2014-10-15,5.55,6.40,5.42,6.19,489200,6.19
2014-10-14,5.76,6.00,5.55,5.68,529600,5.68
2014-10-13,5.79,6.12,5.63,5.64,714100,5.64
2014-10-10,6.04,6.12,5.77,5.82,800800,5.82
2014-10-09,7.95,8.00,6.15,6.17,1864900,6.17
2014-10-08,8.92,9.27,8.5564,9.22,468200,9.22
2014-10-07,9.16,9.24,8.8412,8.90,234400,8.90
2014-10-06,9.61,9.63,9.24,9.33,212200,9.33
2014-10-03,9.40,9.67,9.30,9.575,163400,9.575
2014-10-02,8.94,9.47,8.89,9.33,393800,9.33
2014-10-01,9.13,9.26,8.90,8.92,499300,8.92
2014-09-30,9.87,9.98,9.26,9.31,427500,9.31
2014-09-29,10.00,10.03,9.77,9.94,200600,9.94
2014-09-26,10.26,10.30,10.02,10.13,210500,10.13
2014-09-25,10.84,10.86,10.03,10.08,417100,10.08
2014-09-24,10.62,10.96,10.57,10.88,119900,10.88
2014-09-23,10.64,10.84,10.56,10.65,156600,10.65
2014-09-22,10.66,10.95,10.20,10.82,304700,10.82
2014-09-19,11.05,11.15,10.63,10.71,331100,10.71
2014-09-18,11.06,11.20,10.77,10.98,239000,10.98
2014-09-17,10.76,11.08,10.75,10.93,155300,10.93
2014-09-16,10.84,11.09,10.72,10.86,221700,10.86
2014-09-15,11.224,11.2999,10.83,10.90,350500,10.90
2014-09-12,11.30,11.30,11.00,11.20,676800,11.20
2014-09-11,10.98,11.51,10.45,11.51,4074100,11.51
2014-09-10,15.60,15.66,15.48,15.61,159400,15.61
2014-09-09,15.58,15.79,15.33,15.62,110700,15.62
2014-09-08,15.17,15.87,15.17,15.63,147100,15.63
2014-09-05,14.97,15.23,14.8501,15.18,97200,15.18
2014-09-04,14.91,15.09,14.85,14.98,184200,14.98
2014-09-03,14.88,15.00,13.54,14.93,131100,14.93
2014-09-02,15.16,15.17,14.75,14.87,124200,14.87
2014-09-01,15.10,15.10,15.10,15.10,000,15.10
2014-08-29,14.85,15.20,14.82,15.10,76400,15.10
2014-08-28,14.78,14.87,13.19,14.81,74900,14.81
2014-08-27,14.95,14.97,13.71,14.90,102200,14.90
2014-08-26,15.00,15.009,13.65,14.94,79800,14.94
2014-08-25,15.37,15.54,14.74,14.95,171400,14.95
2014-08-22,15.33,15.42,15.21,15.32,183400,15.32
2014-08-21,15.04,15.31,14.95,15.30,120300,15.30
2014-08-20,15.60,15.61,14.91,15.04,197500,15.04
2014-08-19,15.60,15.72,15.59,15.69,71200,15.69
2014-08-18,15.59,15.74,15.45,15.67,105800,15.67
2014-08-15,15.76,15.76,15.1401,15.49,214000,15.49
2014-08-14,15.70,15.73,15.37,15.67,105800,15.67
2014-08-13,15.70,15.80,15.29,15.70,184800,15.70
2014-08-12,15.98,15.98,15.50,15.70,320700,15.70
2014-08-11,16.08,16.37,15.69,16.00,133100,16.00
2014-08-08,16.04,16.17,14.21,16.01,127200,16.01
2014-08-07,16.26,16.26,15.87,15.96,387400,15.96
2014-08-06,15.80,16.275,15.80,16.15,443600,16.15
2014-08-05,15.97,16.40,15.79,15.96,174200,15.96
2014-08-04,15.95,16.44,15.73,16.07,410600,16.07
2014-08-01,16.21,16.23,15.60,15.85,168700,15.85
2014-07-31,16.28,16.48,16.02,16.18,172700,16.18
2014-07-30,16.37,16.53,16.02,16.48,124600,16.48
2014-07-29,15.99,16.31,15.93,16.19,78700,16.19
2014-07-28,16.66,16.74,15.91,16.00,129900,16.00
2014-07-25,15.85,16.72,15.76,16.66,259800,16.66
2014-07-24,15.75,16.06,15.71,15.94,152200,15.94
2014-07-23,15.75,16.04,15.65,15.80,79200,15.80
2014-07-22,15.87,15.87,15.56,15.78,138300,15.78
2014-07-21,15.46,15.89,15.15,15.77,208600,15.77
2014-07-18,15.32,15.64,15.26,15.53,127000,15.53
2014-07-17,15.51,15.62,15.13,15.31,211100,15.31
2014-07-16,16.40,16.40,15.64,15.71,462000,15.71
2014-07-15,17.92,18.1837,16.335,16.38,362500,16.38
2014-07-14,18.05,18.35,17.03,17.99,402700,17.99
2014-07-11,18.54,20.78,18.32,18.63,602600,18.63
2014-07-10,18.84,19.82,18.26,19.65,186100,19.65
2014-07-09,19.40,19.78,19.25,19.46,132600,19.46
