Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,3.59,3.682,3.46,3.58,31100,3.58
2015-09-03,3.32,3.62,3.32,3.58,78900,3.58
2015-09-02,3.39,3.55,3.25,3.32,41500,3.32
2015-09-01,3.79,3.867,3.32,3.419,75100,3.419
2015-08-31,3.79,3.91,3.75,3.89,38600,3.89
2015-08-28,3.99,4.04,3.69,3.75,73500,3.75
2015-08-27,3.99,4.10,3.90,3.92,49400,3.92
2015-08-26,4.00,4.10,3.75,3.90,79400,3.90
2015-08-25,3.85,4.088,3.722,3.73,84700,3.73
2015-08-24,3.62,3.79,2.80,3.70,134400,3.70
2015-08-21,4.23,4.40,3.90,4.00,199200,4.00
2015-08-20,4.56,4.56,4.11,4.25,300200,4.25
2015-08-19,5.00,5.088,4.00,4.16,472000,4.16
2015-08-18,5.55,7.17,5.062,5.11,2726600,5.11
2015-08-17,4.59,4.66,4.511,4.63,12400,4.63
2015-08-14,4.61,4.88,4.20,4.51,70600,4.51
2015-08-13,4.721,4.93,4.60,4.90,9100,4.90
2015-08-12,4.63,4.64,4.55,4.55,1600,4.55
2015-08-11,4.52,4.802,4.52,4.55,9600,4.55
2015-08-10,4.50,4.659,4.50,4.60,4800,4.60
2015-08-07,4.65,4.651,4.36,4.50,34300,4.50
2015-08-06,4.98,4.99,4.65,4.83,23900,4.83
2015-08-05,4.89,5.14,4.89,4.986,7100,4.986
2015-08-04,5.10,5.12,4.95,5.00,10400,5.00
2015-08-03,5.018,5.14,5.018,5.13,3800,5.13
2015-07-31,5.24,5.24,5.08,5.23,4800,5.23
2015-07-30,5.03,5.03,4.90,5.00,16200,5.00
2015-07-29,5.01,5.14,5.01,5.10,4300,5.10
2015-07-28,5.10,5.28,5.03,5.11,8200,5.11
2015-07-27,5.26,5.26,4.94,4.97,15300,4.97
2015-07-24,5.391,5.45,5.25,5.27,19500,5.27
2015-07-23,5.75,5.75,5.20,5.30,13900,5.30
2015-07-22,5.64,5.64,5.64,5.64,500,5.64
