Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,17.41,17.41,17.08,17.110001,216700,16.942505
2014-12-30,17.24,17.370001,17.15,17.309999,206500,17.140546
2014-12-29,17.190001,17.48,17.040001,17.27,221500,17.100938
2014-12-26,17.15,17.27,17.08,17.139999,118000,16.97221
2014-12-24,17.15,17.219999,17.01,17.129999,107200,16.962308
2014-12-23,17.200001,17.25,17.049999,17.139999,280200,16.97221
2014-12-22,16.76,17.139999,16.59,17.139999,343800,16.97221
2014-12-19,17.120001,17.120001,16.51,16.66,2093600,16.496909
2014-12-18,17.09,17.219999,16.950001,17.16,231400,16.992015
2014-12-17,16.620001,16.91,16.370001,16.91,406900,16.744462
2014-12-16,16.450001,16.790001,16.40,16.559999,342900,16.318671
2014-12-15,16.799999,16.889999,16.459999,16.549999,453400,16.308816
2014-12-12,16.65,16.82,16.549999,16.66,477200,16.417214
2014-12-11,16.889999,17.030001,16.809999,16.870001,260300,16.624155
2014-12-10,17.26,17.42,16.76,16.809999,259600,16.565028
2014-12-09,16.969999,17.450001,16.76,17.370001,454300,17.116868
2014-12-08,17.219999,17.42,16.98,17.219999,194900,16.969053
2014-12-05,17.040001,17.50,17.030001,17.25,303300,16.998616
2014-12-04,16.969999,17.15,16.90,17.02,223300,16.771968
2014-12-03,16.700001,17.09,16.620001,17.030001,419200,16.781823
2014-12-02,16.57,16.91,16.530001,16.700001,252200,16.456632
2014-12-01,16.639999,16.809999,16.32,16.49,487600,16.249691
2014-11-28,17.129999,17.16,16.690001,16.73,126100,16.486194
2014-11-26,17.049999,17.15,16.99,17.15,180600,16.900073
2014-11-25,17.120001,17.18,16.969999,17.09,208800,16.840948
2014-11-24,16.969999,17.120001,16.90,17.110001,237900,16.860657
2014-11-21,17.219999,17.23,16.719999,16.85,391700,16.604446
2014-11-20,16.610001,17.01,16.610001,17.00,273200,16.752259
2014-11-19,16.91,16.91,16.610001,16.780001,234200,16.535466
2014-11-18,16.85,17.01,16.85,16.889999,152900,16.643862
2014-11-17,17.00,17.09,16.83,16.85,132500,16.604446
2014-11-14,17.01,17.190001,16.940001,17.07,336200,16.821239
2014-11-13,17.42,17.50,17.01,17.049999,263900,16.80153
2014-11-12,17.059999,17.99,17.030001,17.34,401300,17.087305
2014-11-11,17.08,17.17,17.01,17.10,235000,16.850802
2014-11-10,17.040001,17.09,16.92,17.049999,236800,16.80153
2014-11-07,16.879999,17.02,16.790001,16.98,225100,16.73255
2014-11-06,16.879999,16.959999,16.76,16.940001,199700,16.693134
2014-11-05,16.92,16.93,16.73,16.83,199500,16.584737
2014-11-04,17.00,17.00,16.60,16.76,325900,16.515757
2014-11-03,16.780001,17.00,16.60,16.879999,360600,16.634007
2014-10-31,16.77,16.860001,16.43,16.790001,504300,16.545321
2014-10-30,16.389999,16.559999,16.209999,16.42,560600,16.180712
2014-10-29,16.35,16.60,16.139999,16.540001,390100,16.298964
2014-10-28,15.96,16.389999,15.96,16.360001,447700,16.121587
2014-10-27,15.72,16.040001,15.64,15.93,275100,15.697853
2014-10-24,15.84,15.96,15.76,15.86,327000,15.628872
2014-10-23,15.98,16.08,15.73,15.88,366900,15.648581
2014-10-22,16.42,16.75,15.71,15.77,924600,15.540185
2014-10-21,16.16,16.49,16.00,16.41,403900,16.170857
2014-10-20,15.76,16.02,15.76,16.02,281600,15.786541
2014-10-17,16.110001,16.110001,15.77,15.86,518600,15.628872
2014-10-16,15.21,15.92,15.21,15.88,386600,15.648581
2014-10-15,15.54,15.74,15.01,15.56,637000,15.333245
2014-10-14,15.77,16.18,15.77,15.88,546000,15.648581
2014-10-13,15.45,15.90,15.36,15.68,485700,15.451496
2014-10-10,15.43,15.75,15.40,15.41,511500,15.18543
2014-10-09,15.89,15.93,15.49,15.51,346000,15.283973
2014-10-08,15.52,15.95,15.49,15.93,392600,15.697853
