Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,19.57,19.74,19.389999,19.41,620100,19.41
2014-12-30,19.52,19.85,19.48,19.57,608600,19.57
2014-12-29,19.68,19.91,19.58,19.67,615600,19.67
2014-12-26,19.77,19.77,19.49,19.719999,586300,19.719999
2014-12-24,19.809999,19.90,19.620001,19.75,344300,19.75
2014-12-23,19.690001,19.99,19.65,19.68,1229200,19.68
2014-12-22,19.719999,19.809999,19.49,19.639999,919600,19.639999
2014-12-19,19.799999,19.959999,19.639999,19.73,1915000,19.73
2014-12-18,19.50,19.90,19.309999,19.85,2098800,19.85
2014-12-17,18.530001,19.32,18.32,19.26,1852100,19.26
2014-12-16,18.639999,18.950001,18.40,18.43,1854300,18.43
2014-12-15,18.549999,18.950001,18.290001,18.639999,2033500,18.639999
2014-12-12,18.190001,18.75,18.10,18.40,1120200,18.40
2014-12-11,18.25,18.90,18.25,18.440001,1947100,18.440001
2014-12-10,18.469999,18.59,17.950001,17.969999,1918900,17.969999
2014-12-09,17.110001,18.610001,17.10,18.559999,2864100,18.559999
2014-12-08,17.459999,17.59,17.33,17.43,1841100,17.43
2014-12-05,16.58,17.620001,16.469999,17.59,4738400,17.59
2014-12-04,17.32,17.32,16.82,17.00,1921400,17.00
2014-12-03,17.01,17.459999,16.799999,17.309999,1082100,17.309999
2014-12-02,16.790001,17.10,16.76,16.93,1041100,16.93
2014-12-01,17.00,17.200001,16.60,16.85,1248600,16.85
2014-11-28,17.41,17.41,16.950001,17.049999,551700,17.049999
2014-11-26,17.549999,17.559999,17.15,17.379999,808900,17.379999
2014-11-25,17.299999,17.549999,16.940001,17.540001,1243200,17.540001
2014-11-24,17.40,17.50,17.02,17.24,951500,17.24
2014-11-21,17.690001,17.700001,17.26,17.389999,1808300,17.389999
2014-11-20,16.60,17.50,15.97,17.469999,1664500,17.469999
2014-11-19,17.200001,17.24,16.639999,16.719999,1129800,16.719999
2014-11-18,16.75,17.08,16.559999,16.90,1162100,16.90
2014-11-17,16.559999,16.82,16.48,16.68,980100,16.68
2014-11-14,15.91,16.50,15.91,16.48,797000,16.48
2014-11-13,16.51,16.690001,15.88,15.94,1165800,15.94
2014-11-12,16.629999,16.73,16.309999,16.549999,1116400,16.549999
2014-11-11,16.85,16.85,16.450001,16.719999,787600,16.719999
2014-11-10,17.08,17.23,16.549999,16.82,883900,16.82
2014-11-07,16.99,17.219999,16.75,17.219999,1257400,17.219999
2014-11-06,16.85,17.08,16.84,16.98,642900,16.98
2014-11-05,17.049999,17.049999,16.709999,16.83,552500,16.83
2014-11-04,16.799999,16.98,16.74,16.870001,775000,16.870001
2014-11-03,16.790001,17.030001,16.73,16.879999,1264700,16.879999
2014-10-31,16.74,16.809999,16.43,16.719999,1167800,16.719999
2014-10-30,16.27,16.59,16.10,16.360001,889500,16.360001
2014-10-29,16.389999,16.549999,16.18,16.280001,962100,16.280001
2014-10-28,15.97,16.35,15.88,16.309999,1587200,16.309999
2014-10-27,15.80,15.94,15.50,15.88,772700,15.88
2014-10-24,16.120001,16.139999,15.83,15.93,847100,15.93
2014-10-23,15.86,16.35,15.86,16.17,1101300,16.17
2014-10-22,15.90,16.049999,15.61,15.67,1533000,15.67
2014-10-21,16.10,16.27,15.86,15.95,1547100,15.95
2014-10-20,15.57,15.96,15.52,15.94,1167700,15.94
2014-10-17,16.10,16.18,15.52,15.62,1907300,15.62
2014-10-16,15.06,16.08,15.00,15.89,2941000,15.89
2014-10-15,14.58,15.33,14.58,15.26,3911500,15.26
2014-10-14,14.55,14.94,14.49,14.81,3935100,14.81
2014-10-13,14.60,14.73,14.22,14.39,3231700,14.39
2014-10-10,15.18,15.26,14.51,14.53,4145500,14.53
2014-10-09,15.83,15.90,15.32,15.60,2446800,15.60
2014-10-08,15.93,15.95,15.43,15.83,3705900,15.83
2014-10-07,16.48,16.50,15.89,15.91,2259700,15.91
2014-10-06,16.99,17.040001,16.530001,16.57,1468000,16.57
2014-10-03,16.98,17.17,16.82,16.93,1563700,16.93
2014-10-02,16.559999,17.10,16.49,16.91,2290100,16.91
2014-10-01,16.65,16.90,16.49,16.540001,5294400,16.540001
2014-09-30,16.93,16.950001,16.450001,16.629999,6012200,16.629999
2014-09-29,16.950001,17.18,16.799999,16.92,2074800,16.92
2014-09-26,17.35,17.450001,17.049999,17.120001,1859900,17.120001
2014-09-25,17.799999,17.85,17.32,17.32,2738100,17.32
2014-09-24,17.860001,18.030001,17.77,17.85,1596800,17.85
2014-09-23,17.74,17.91,17.65,17.83,2233600,17.83
2014-09-22,18.17,18.26,17.76,17.82,1974700,17.82
2014-09-19,18.700001,18.700001,18.209999,18.23,2485500,18.23
2014-09-18,18.66,18.809999,18.57,18.65,1294000,18.65
2014-09-17,18.459999,18.77,18.389999,18.59,1554700,18.59
2014-09-16,18.219999,18.50,18.08,18.48,2299300,18.48
2014-09-15,18.25,18.299999,17.879999,18.24,2037100,18.24
2014-09-12,18.16,18.34,17.99,18.27,3327600,18.27
2014-09-11,18.610001,18.77,18.209999,18.299999,7080100,18.299999
2014-09-10,17.200001,17.35,17.16,17.299999,2832800,17.299999
2014-09-09,17.24,17.450001,17.15,17.190001,2506000,17.190001
2014-09-08,17.440001,17.52,17.24,17.35,3339800,17.35
2014-09-05,17.440001,17.879999,17.33,17.51,9462600,17.51
2014-09-04,18.719999,18.969999,18.35,18.370001,6753300,18.370001
2014-09-03,19.10,19.139999,18.58,18.889999,4701900,18.889999
2014-09-02,19.620001,19.65,18.90,18.940001,6009800,18.940001
2014-08-29,20.07,20.33,19.950001,20.309999,1266100,20.309999
2014-08-28,19.85,20.040001,19.74,19.950001,1837700,19.950001
2014-08-27,20.59,20.74,19.809999,19.889999,2520000,19.889999
2014-08-26,20.139999,20.90,20.139999,20.68,2371200,20.68
2014-08-25,20.459999,20.610001,20.049999,20.059999,1688600,20.059999
2014-08-22,20.629999,20.700001,20.370001,20.370001,922500,20.370001
2014-08-21,19.92,20.67,19.860001,20.549999,1775500,20.549999
2014-08-20,19.59,19.91,19.43,19.879999,1246200,19.879999
2014-08-19,19.889999,20.200001,19.629999,19.700001,1558600,19.700001
2014-08-18,19.870001,20.18,19.809999,20.10,859200,20.10
2014-08-15,19.93,20.18,19.540001,19.77,1213600,19.77
2014-08-14,19.57,19.93,18.959999,19.780001,2857200,19.780001
2014-08-13,19.790001,19.959999,19.52,19.559999,1293000,19.559999
2014-08-12,19.940001,20.110001,19.809999,19.969999,870600,19.969999
2014-08-11,19.639999,20.200001,19.57,20.059999,1092100,20.059999
2014-08-08,19.51,19.559999,19.280001,19.440001,913700,19.440001
2014-08-07,19.57,19.66,19.27,19.450001,803000,19.450001
2014-08-06,19.459999,19.860001,19.34,19.57,878100,19.57
2014-08-05,19.389999,19.75,19.34,19.57,757700,19.57
2014-08-04,19.450001,19.559999,19.17,19.450001,1263600,19.450001
2014-08-01,19.700001,19.719999,19.370001,19.459999,1477900,19.459999
2014-07-31,19.809999,20.07,19.700001,19.73,948900,19.73
2014-07-30,19.83,20.120001,19.790001,19.99,768800,19.99
2014-07-29,19.709999,19.889999,19.60,19.719999,957000,19.719999
2014-07-28,19.870001,19.90,19.540001,19.68,1302500,19.68
2014-07-25,19.98,20.09,19.780001,19.85,1327200,19.85
2014-07-24,20.440001,20.48,19.969999,20.08,1936400,20.08
2014-07-23,20.77,20.85,20.17,20.26,1362000,20.26
2014-07-22,20.67,20.99,20.610001,20.83,999200,20.83
2014-07-21,20.540001,20.85,20.370001,20.549999,1434000,20.549999
2014-07-18,20.02,20.65,20.02,20.629999,1854800,20.629999
2014-07-17,19.93,20.18,19.84,19.969999,1612900,19.969999
2014-07-16,20.25,20.389999,19.969999,20.01,1391000,20.01
2014-07-15,20.110001,20.33,19.950001,20.09,1845100,20.09
2014-07-14,20.23,20.450001,20.10,20.17,1472300,20.17
2014-07-11,20.33,20.33,19.99,20.18,1254500,20.18
2014-07-10,19.74,20.219999,19.67,20.09,1631200,20.09
2014-07-09,20.02,20.27,19.969999,20.139999,1414400,20.139999
2014-07-08,20.50,20.58,19.809999,19.98,2378700,19.98
2014-07-07,20.559999,20.76,20.50,20.59,2695000,20.59
2014-07-03,20.42,20.780001,20.24,20.700001,1244800,20.700001
2014-07-02,19.959999,20.75,19.93,20.40,2691100,20.40
2014-07-01,19.799999,20.00,19.75,19.98,2193000,19.98
2014-06-30,19.639999,19.90,19.57,19.75,1417400,19.75
2014-06-27,19.51,19.809999,19.51,19.700001,3448400,19.700001
2014-06-26,19.049999,19.68,19.049999,19.67,1981900,19.67
2014-06-25,19.40,19.540001,19.040001,19.200001,3701900,19.200001
2014-06-24,19.700001,19.90,19.469999,19.51,2906500,19.51
2014-06-23,19.780001,19.91,19.639999,19.709999,2015200,19.709999
2014-06-20,19.77,19.93,19.49,19.91,3491000,19.91
2014-06-19,19.83,19.879999,19.58,19.629999,3420100,19.629999
2014-06-18,19.65,19.98,19.450001,19.84,4403700,19.84
2014-06-17,19.450001,19.75,19.33,19.58,4179100,19.58
2014-06-16,19.65,19.799999,19.35,19.43,5673400,19.43
2014-06-13,19.27,20.040001,19.10,19.709999,33094700,19.709999
2014-06-12,25.41,25.450001,24.91,25.25,5434200,25.25
2014-06-11,24.92,25.389999,24.83,25.219999,1279400,25.219999
2014-06-10,24.73,25.120001,24.65,24.98,1005000,24.98
2014-06-09,24.780001,24.90,24.42,24.809999,1532200,24.809999
2014-06-06,24.98,25.15,24.68,24.690001,1737000,24.690001
2014-06-05,23.90,24.889999,23.280001,24.85,3368400,24.85
2014-06-04,23.379999,23.66,22.60,22.65,2547600,22.65
2014-06-03,23.51,23.82,23.049999,23.48,1716300,23.48
2014-06-02,23.68,23.98,23.40,23.58,1993800,23.58
2014-05-30,24.74,24.799999,23.469999,23.75,2951000,23.75
2014-05-29,24.610001,24.860001,24.43,24.860001,1594000,24.860001
2014-05-28,25.00,25.23,24.530001,24.530001,1710500,24.530001
2014-05-27,24.90,25.219999,24.530001,25.049999,1714200,25.049999
2014-05-23,24.51,24.84,24.25,24.68,1174900,24.68
2014-05-22,23.959999,24.67,23.959999,24.540001,1501900,24.540001
2014-05-21,23.83,24.200001,23.75,23.959999,1151500,23.959999
2014-05-20,23.799999,24.18,23.57,23.700001,1612500,23.700001
2014-05-19,22.889999,24.040001,22.860001,23.959999,1765600,23.959999
2014-05-16,23.24,23.25,22.74,23.030001,1365800,23.030001
2014-05-15,23.40,23.43,22.360001,23.34,2925000,23.34
2014-05-14,22.77,22.940001,22.49,22.540001,1183600,22.540001
2014-05-13,22.959999,23.25,22.530001,22.76,2417700,22.76
2014-05-12,22.639999,23.42,22.639999,23.059999,1888100,23.059999
2014-05-09,22.440001,22.82,22.120001,22.59,2116200,22.59
2014-05-08,22.799999,23.469999,22.370001,22.50,2091800,22.50
2014-05-07,23.200001,23.379999,22.379999,22.940001,3724400,22.940001
2014-05-06,24.65,24.700001,23.280001,23.299999,3170000,23.299999
2014-05-05,24.809999,24.969999,24.01,24.65,1957200,24.65
2014-05-02,25.40,25.700001,24.58,24.91,2446600,24.91
2014-05-01,25.969999,26.25,25.10,25.450001,3396300,25.450001
2014-04-30,26.799999,26.91,25.959999,26.15,2045200,26.15
2014-04-29,26.42,27.09,26.040001,26.870001,2884300,26.870001
2014-04-28,27.559999,27.91,25.360001,26.299999,5376300,26.299999
2014-04-25,28.459999,28.459999,27.35,27.57,2514300,27.57
2014-04-24,28.459999,28.85,27.85,28.450001,2739800,28.450001
2014-04-23,28.23,28.43,27.690001,28.059999,2492300,28.059999
2014-04-22,28.10,28.690001,27.959999,28.290001,2498700,28.290001
2014-04-21,27.639999,28.43,27.620001,28.129999,1917900,28.129999
2014-04-17,26.790001,28.09,26.59,27.85,3715400,27.85
2014-04-16,25.799999,26.65,25.52,26.639999,3033300,26.639999
2014-04-15,25.360001,25.870001,24.67,25.639999,2216100,25.639999
