Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23.35,23.35,22.75,22.75,106500,22.466397
2014-12-30,23.25,23.389999,23.120001,23.209999,35300,22.920662
2014-12-29,23.02,23.34,23.02,23.23,56200,22.940413
2014-12-26,22.99,23.07,22.90,22.940001,23900,22.654029
2014-12-24,23.24,23.24,22.799999,22.959999,36000,22.673778
2014-12-23,22.85,23.17,22.82,23.10,57200,22.812034
2014-12-22,22.530001,22.870001,22.469999,22.860001,34900,22.575026
2014-12-19,22.75,22.940001,22.370001,22.58,214400,22.298516
2014-12-18,22.50,22.84,22.309999,22.809999,82600,22.525648
2014-12-17,21.85,22.50,21.59,22.49,103800,22.209638
2014-12-16,21.700001,22.23,21.67,21.84,71900,21.567741
2014-12-15,21.84,21.98,21.40,21.75,85700,21.478863
2014-12-12,21.780001,22.299999,21.68,21.77,68800,21.498614
2014-12-11,21.780001,22.32,21.780001,22.09,56300,21.814625
2014-12-10,22.34,22.49,21.66,21.690001,66900,21.419611
2014-12-09,21.65,22.50,21.57,22.49,75400,22.209638
2014-12-08,22.139999,22.35,21.85,21.92,42500,21.646744
2014-12-05,21.790001,22.290001,21.790001,22.15,78100,21.873876
2014-12-04,21.799999,22.059999,21.60,21.799999,59300,21.528239
2014-12-03,21.65,22.059999,21.43,21.879999,59200,21.607241
2014-12-02,21.35,21.93,21.35,21.719999,57200,21.370232
2014-12-01,21.450001,21.610001,21.35,21.35,91200,21.006192
2014-11-28,22.00,22.00,21.42,21.450001,48600,21.104582
2014-11-26,21.99,22.030001,21.52,21.92,71700,21.567013
2014-11-25,21.98,22.120001,21.870001,21.969999,41100,21.616207
2014-11-24,21.66,22.01,21.639999,22.00,54200,21.645724
2014-11-21,22.07,22.07,21.52,21.549999,64800,21.20297
2014-11-20,21.450001,21.870001,21.379999,21.83,35900,21.478462
2014-11-19,22.040001,22.040001,21.389999,21.66,59600,21.311199
2014-11-18,22.120001,22.379999,22.01,22.110001,42100,21.753953
2014-11-17,22.24,22.26,21.98,22.059999,46300,21.704757
2014-11-14,22.219999,22.360001,21.940001,22.27,75600,21.911377
2014-11-13,22.59,22.59,22.08,22.15,35200,21.793308
2014-11-12,22.26,22.57,22.26,22.51,40200,22.147512
2014-11-11,22.27,22.42,22.26,22.299999,52500,21.940892
2014-11-10,22.25,22.469999,22.110001,22.450001,63500,22.088478
2014-11-07,22.32,22.540001,22.07,22.219999,55300,21.862181
2014-11-06,22.33,22.440001,22.07,22.33,107800,21.97041
2014-11-05,22.190001,22.41,22.01,22.34,91200,21.980249
2014-11-04,22.370001,22.65,21.92,21.99,99800,21.635885
