Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,3.38,3.47,3.27,3.33,3496100,3.33
2015-09-03,3.61,3.68,3.36,3.45,18109000,3.45
2015-09-02,3.00,3.06,2.92,3.05,2462400,3.05
2015-09-01,2.99,3.05,2.91,2.93,2212100,2.93
2015-08-31,3.25,3.32,3.02,3.03,2164100,3.03
2015-08-28,3.09,3.23,3.05,3.23,1850300,3.23
2015-08-27,3.08,3.16,2.99,3.08,1919400,3.08
2015-08-26,3.06,3.08,2.83,3.05,3004800,3.05
2015-08-25,3.17,3.21,2.98,3.01,2353800,3.01
2015-08-24,2.87,3.20,2.76,3.01,3272800,3.01
2015-08-21,2.90,3.19,2.88,3.08,3088500,3.08
2015-08-20,3.13,3.19,2.96,2.98,2144700,2.98
2015-08-19,3.33,3.40,3.20,3.20,1812600,3.20
2015-08-18,3.43,3.45,3.32,3.36,1900700,3.36
2015-08-17,3.08,3.48,3.01,3.47,2598100,3.47
2015-08-14,3.21,3.28,3.05,3.08,2050100,3.08
2015-08-13,3.48,3.50,3.23,3.24,1642900,3.24
2015-08-12,3.32,3.47,3.22,3.45,2316800,3.45
2015-08-11,3.62,3.64,3.39,3.42,2102600,3.42
2015-08-10,3.63,3.75,3.61,3.63,1526100,3.63
2015-08-07,3.65,3.71,3.50,3.61,2506800,3.61
2015-08-06,3.95,3.98,3.59,3.69,4271500,3.69
2015-08-05,4.05,4.11,3.99,4.02,1145800,4.02
2015-08-04,4.02,4.08,4.00,4.00,1365100,4.00
2015-08-03,4.05,4.18,4.00,4.01,1441100,4.01
2015-07-31,4.11,4.15,4.00,4.05,1481100,4.05
2015-07-30,4.06,4.15,3.96,4.13,1552500,4.13
2015-07-29,4.38,4.38,4.05,4.09,2013200,4.09
2015-07-28,4.18,4.23,4.05,4.22,1903100,4.22
2015-07-27,4.10,4.12,4.01,4.08,2170500,4.08
2015-07-24,4.24,4.33,4.07,4.11,2540000,4.11
2015-07-23,4.33,4.44,4.26,4.27,2081100,4.27
2015-07-22,4.28,4.39,4.22,4.32,2492900,4.32
2015-07-21,4.25,4.33,4.14,4.26,2839200,4.26
2015-07-20,4.35,4.37,4.21,4.26,1669500,4.26
2015-07-17,4.26,4.29,4.20,4.28,1233400,4.28
2015-07-16,4.18,4.28,4.12,4.24,2034600,4.24
2015-07-15,4.31,4.38,4.18,4.18,2151400,4.18
2015-07-14,4.29,4.40,4.27,4.28,1781400,4.28
2015-07-13,4.25,4.35,4.22,4.32,1663000,4.32
2015-07-10,4.15,4.22,4.06,4.22,1826000,4.22
2015-07-09,4.10,4.15,4.05,4.09,1780400,4.09
2015-07-08,4.14,4.30,4.02,4.03,4016400,4.03
2015-07-07,4.32,4.32,4.13,4.19,2592100,4.19
2015-07-06,4.10,4.35,4.05,4.32,2714200,4.32
2015-07-02,4.41,4.41,4.15,4.15,2437500,4.15
2015-07-01,4.36,4.67,4.29,4.40,7001600,4.40
2015-06-30,4.14,4.28,4.11,4.28,5635900,4.28
2015-06-29,3.98,4.20,3.86,4.09,4134000,4.09
2015-06-26,4.11,4.12,3.95,4.06,5752800,4.06
2015-06-25,4.08,4.14,4.01,4.08,1315100,4.08
2015-06-24,4.34,4.35,4.05,4.06,2724100,4.06
2015-06-23,4.16,4.32,4.15,4.32,2662100,4.32
2015-06-22,4.02,4.18,4.01,4.17,2272900,4.17
2015-06-19,4.06,4.13,3.96,4.01,2222100,4.01
2015-06-18,3.88,4.06,3.88,4.02,2475200,4.02
2015-06-17,3.87,3.90,3.84,3.88,1314800,3.88
2015-06-16,3.91,3.96,3.83,3.84,1498600,3.84
2015-06-15,4.07,4.15,3.91,3.91,2400900,3.91
2015-06-12,3.86,4.18,3.83,4.05,7008900,4.05
2015-06-11,3.85,3.89,3.81,3.86,985800,3.86
2015-06-10,3.86,3.87,3.80,3.82,1360800,3.82
2015-06-09,3.88,3.91,3.81,3.82,2146600,3.82
2015-06-08,3.92,3.96,3.83,3.92,1668600,3.92
2015-06-05,3.85,3.93,3.80,3.92,1705400,3.92
2015-06-04,3.88,3.95,3.82,3.84,904400,3.84
2015-06-03,3.84,3.90,3.79,3.90,1277900,3.90
2015-06-02,3.86,3.90,3.80,3.80,949300,3.80
