Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,36.619999,36.93,36.130001,36.130001,1399800,17.812177
2014-12-30,36.830002,37.00,36.48,36.619999,1007800,18.053747
2014-12-29,36.650002,36.919998,36.470001,36.75,1459200,18.117838
2014-12-26,37.060001,37.16,36.48,36.689999,779800,18.088257
2014-12-24,36.900002,36.959999,36.639999,36.810001,412600,18.147418
2014-12-23,36.73,37.110001,36.50,36.84,1107600,18.162208
2014-12-22,36.59,36.82,36.389999,36.41,1696000,17.950217
2014-12-19,36.400002,36.970001,36.310001,36.599998,2088800,18.043887
2014-12-18,36.669998,36.75,36.16,36.599998,1514200,18.043887
2014-12-17,35.709999,36.34,35.310001,36.299999,1181000,17.895986
2014-12-16,35.540001,36.02,35.290001,35.439999,1402800,17.472004
2014-12-15,35.98,36.09,35.119999,35.50,1497200,17.501585
2014-12-12,36.130001,36.259998,35.66,35.740002,1288200,17.619906
2014-12-11,36.529999,36.880001,36.299999,36.349998,1226800,17.920636
2014-12-10,37.150002,37.540001,36.189999,36.23,1575600,17.861476
2014-12-09,36.349998,37.23,36.009998,37.189999,2185200,18.334758
2014-12-08,37.939999,38.119999,36.720001,36.810001,2381000,18.147418
2014-12-05,37.509998,38.099998,37.290001,37.889999,2256200,18.67986
2014-12-04,37.389999,37.740002,37.02,37.700001,2384000,18.58619
2014-12-03,35.91,36.720001,35.77,36.66,1648000,18.073467
2014-12-02,35.16,35.900002,35.16,35.849998,1344600,17.674135
2014-12-01,35.330002,35.450001,35.099998,35.139999,1354200,17.324104
2014-11-28,35.119999,35.630001,35.00,35.560001,919600,17.531165
2014-11-26,35.18,35.200001,34.799999,34.959999,1647400,17.235363
2014-11-25,35.68,35.689999,35.049999,35.23,1090400,17.368474
2014-11-24,35.369999,35.560001,35.23,35.560001,1375800,17.531165
2014-11-21,35.540001,35.830002,35.25,35.299999,1142600,17.402984
2014-11-20,35.240002,35.490002,35.07,35.419998,1150000,17.462144
2014-11-19,35.259998,35.50,34.82,35.349998,1222800,17.427634
2014-11-18,34.990002,35.41,34.82,35.200001,1961400,17.353684
2014-11-17,34.700001,35.52,34.610001,34.880001,3818800,17.195924
2014-11-14,34.41,34.830002,34.400002,34.689999,1102000,17.102252
2014-11-13,33.560001,34.880001,33.560001,34.50,1640400,17.008582
2014-11-12,33.560001,34.610001,33.360001,34.560001,2677800,17.038163
2014-11-11,33.209999,33.669998,32.950001,33.57,1255600,16.55009
2014-11-10,33.400002,33.540001,32.93,33.23,1246400,16.382469
2014-11-07,33.880001,33.900002,33.23,33.259998,1502800,16.397258
2014-11-06,33.560001,34.380001,33.32,33.84,2763600,16.683201
2014-11-05,32.720001,33.52,32.59,33.509998,2546000,16.520509
2014-11-04,32.630001,32.740002,32.48,32.66,1364000,16.101458
2014-11-03,32.240002,32.950001,32.16,32.68,1491000,16.111318
2014-10-31,32.740002,32.990002,32.580002,32.740002,2734000,16.140899
2014-10-30,32.32,32.529999,32.139999,32.50,1629000,16.022578
2014-10-29,32.459999,32.84,32.25,32.50,1876800,16.022578
2014-10-28,31.41,32.450001,31.41,32.419998,2682000,15.983136
2014-10-27,31.66,31.74,31.370001,31.52,2322600,15.539435
2014-10-24,31.469999,31.74,31.299999,31.65,2511800,15.603525
2014-10-23,31.01,31.879999,31.00,31.469999,5544400,15.514785
2014-10-22,31.00,31.33,30.01,31.280001,5783800,15.421115
2014-10-21,28.299999,29.120001,28.08,28.799999,3460600,14.198468
2014-10-20,27.59,27.91,27.379999,27.90,1738800,13.754766
2014-10-17,27.59,28.08,27.43,27.690001,1813400,13.651236
2014-10-16,26.709999,27.450001,26.49,27.280001,2979000,13.449105
2014-10-15,27.00,27.469999,26.33,27.129999,2358000,13.375154
2014-10-14,27.32,27.65,27.049999,27.26,2433200,13.439245
2014-10-13,27.780001,27.98,27.09,27.110001,3039800,13.365295
2014-10-10,27.59,27.99,27.190001,27.67,2974600,13.641376
2014-10-09,28.18,28.32,27.360001,27.610001,2795800,13.611796
2014-10-08,27.440001,28.34,27.360001,28.290001,2001600,13.947038
2014-10-07,27.690001,27.84,27.440001,27.459999,1728600,13.537845
2014-10-06,27.959999,28.129999,27.719999,27.82,1366800,13.715326
2014-10-03,27.83,28.200001,27.620001,27.85,3626400,13.730117
2014-10-02,27.459999,27.860001,26.700001,27.75,2645600,13.601936
2014-10-01,26.82,27.00,26.440001,26.49,3625400,12.984334
2014-09-30,27.35,27.50,26.66,26.77,1874200,13.121579
2014-09-29,27.540001,27.629999,27.18,27.24,2058200,13.351954
2014-09-26,27.83,27.959999,27.360001,27.719999,1384400,13.58723
2014-09-25,28.08,28.110001,27.620001,27.67,1413800,13.562723
2014-09-24,28.139999,28.18,27.940001,28.08,1582000,13.763688
2014-09-23,28.459999,28.60,28.030001,28.049999,1460800,13.748983
2014-09-22,29.059999,29.059999,28.379999,28.530001,1116400,13.984261
2014-09-19,29.360001,29.52,28.790001,29.01,2918800,14.219537
2014-09-18,29.559999,29.620001,29.129999,29.219999,1462000,14.32247
2014-09-17,29.43,29.68,29.200001,29.40,1154600,14.410699
2014-09-16,29.360001,29.59,29.24,29.34,1732000,14.38129
2014-09-15,29.379999,29.690001,29.23,29.33,1546800,14.376388
2014-09-12,29.41,29.610001,29.290001,29.57,1744600,14.494026
2014-09-11,29.049999,29.450001,29.049999,29.43,1164400,14.425404
2014-09-10,29.26,29.309999,29.09,29.200001,1338600,14.312668
2014-09-09,29.389999,29.42,29.120001,29.190001,1536600,14.307766
2014-09-08,29.17,29.379999,29.040001,29.379999,1235800,14.400896
2014-09-05,29.459999,29.459999,28.98,29.23,2026200,14.327372
