Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,15.70,16.25,15.55,15.89,442900,15.89
2015-09-03,16.35,16.59,15.72,15.90,810100,15.90
2015-09-02,15.84,16.459999,15.25,16.440001,1042400,16.440001
2015-09-01,15.63,16.120001,15.38,15.61,805600,15.61
2015-08-31,15.52,16.01,15.45,15.89,536400,15.89
2015-08-28,15.36,16.040001,15.36,15.67,648100,15.67
2015-08-27,15.58,15.754,15.25,15.50,835800,15.50
2015-08-26,15.27,15.56,14.67,15.40,1622300,15.40
2015-08-25,16.17,16.35,14.99,15.01,1652000,15.01
2015-08-24,14.31,16.370001,12.50,15.41,1558100,15.41
2015-08-21,15.40,15.98,15.31,15.48,754200,15.48
2015-08-20,16.16,16.299999,15.69,15.83,1102700,15.83
2015-08-19,16.290001,16.549999,16.049999,16.309999,626500,16.309999
2015-08-18,16.35,16.610001,16.145,16.290001,800200,16.290001
2015-08-17,16.57,16.58,16.219999,16.440001,545300,16.440001
2015-08-14,16.459999,16.780001,16.309999,16.57,480600,16.57
2015-08-13,17.00,17.00,16.530001,16.540001,531400,16.540001
2015-08-12,16.540001,17.120001,16.370001,17.00,588600,17.00
2015-08-11,17.200001,17.450001,16.780001,16.870001,753400,16.870001
2015-08-10,16.82,17.51,16.639,17.440001,800700,17.440001
2015-08-07,16.90,17.27,16.450001,16.68,1041200,16.68
2015-08-06,18.50,18.75,16.540001,16.959999,4489900,16.959999
2015-08-05,18.24,18.73,18.16,18.290001,853900,18.290001
2015-08-04,18.48,18.57,18.09,18.120001,686800,18.120001
2015-08-03,18.24,18.66,18.10,18.360001,870000,18.360001
2015-07-31,18.559999,18.565001,18.075001,18.23,676000,18.23
2015-07-30,18.549999,18.84,18.280001,18.50,817500,18.50
2015-07-29,18.440001,18.67,18.059999,18.57,642700,18.57
2015-07-28,17.99,18.555,17.459999,18.440001,1412600,18.440001
2015-07-27,18.379999,18.40,17.440001,17.780001,1333600,17.780001
2015-07-24,19.370001,19.51,18.450001,18.48,1047000,18.48
2015-07-23,19.16,19.719999,19.059999,19.33,830600,19.33
2015-07-22,19.16,19.360001,18.92,19.07,562100,19.07
2015-07-21,19.34,19.59,19.215,19.309999,478300,19.309999
2015-07-20,19.66,19.75,19.280001,19.34,672100,19.34
2015-07-17,19.99,20.25,19.60,19.67,520100,19.67
2015-07-16,19.92,20.16,19.764,19.99,435300,19.99
2015-07-15,19.84,19.99,19.629999,19.790001,443500,19.790001
2015-07-14,19.57,19.959999,19.549999,19.82,758400,19.82
2015-07-13,19.799999,19.969999,19.50,19.75,463700,19.75
2015-07-10,19.709999,19.84,19.427999,19.719999,492300,19.719999
2015-07-09,19.790001,19.834999,19.325001,19.389999,523600,19.389999
2015-07-08,19.450001,19.709999,19.219999,19.51,996700,19.51
2015-07-07,20.40,20.448,18.52,19.50,2404800,19.50
2015-07-06,21.120001,21.285,20.35,20.360001,897800,20.360001
2015-07-02,21.41,21.469999,20.51,21.34,1165800,21.34
2015-07-01,21.68,22.17,21.26,21.35,1170000,21.35
2015-06-30,21.00,21.629999,20.84,21.43,1247100,21.43
2015-06-29,22.190001,22.450001,20.68,20.75,1736600,20.75
2015-06-26,23.16,23.200001,21.709999,22.639999,2109100,22.639999
2015-06-25,21.879999,23.200001,21.870001,23.16,2375900,23.16
2015-06-24,22.25,22.42,21.815001,21.83,562000,21.83
2015-06-23,21.92,22.40,21.85,22.33,570200,22.33
2015-06-22,22.610001,22.93,21.940001,22.00,793400,22.00
2015-06-19,22.92,23.049999,22.07,22.49,934900,22.49
2015-06-18,22.549999,23.049999,22.52,22.889999,815500,22.889999
2015-06-17,22.379999,22.879999,22.34,22.51,1022100,22.51
2015-06-16,22.25,22.57,22.040001,22.24,523600,22.24
2015-06-15,21.889999,22.50,21.691,22.379999,1098900,22.379999
2015-06-12,21.879999,22.559999,21.790001,22.08,851900,22.08
2015-06-11,21.940001,22.139999,21.77,21.959999,543200,21.959999
2015-06-10,21.620001,22.15,21.620001,22.02,609400,22.02
2015-06-09,21.709999,21.790001,21.040001,21.530001,626200,21.530001
2015-06-08,22.219999,22.35,21.58,21.75,472600,21.75
2015-06-05,22.18,22.440001,21.82,22.219999,446900,22.219999
2015-06-04,22.389999,22.870001,21.50,22.18,1173900,22.18
2015-06-03,22.139999,23.10,22.07,22.50,1974000,22.50
2015-06-02,22.00,22.32,21.830999,22.110001,1008700,22.110001
2015-06-01,21.459999,22.23,21.280001,22.190001,869500,22.190001
2015-05-29,21.620001,21.709999,21.219999,21.40,486900,21.40
2015-05-28,21.719999,21.75,21.35,21.60,481000,21.60
2015-05-27,21.440001,21.790001,21.055,21.780001,556400,21.780001
2015-05-26,22.309999,22.49,21.219999,21.450001,993000,21.450001
2015-05-22,21.99,22.50,21.66,22.40,817200,22.40
2015-05-21,21.93,22.25,21.65,21.99,904500,21.99
2015-05-20,21.030001,22.08,20.90,22.01,1750700,22.01
2015-05-19,21.450001,21.493999,20.780001,21.030001,607500,21.030001
2015-05-18,21.07,21.75,20.834,21.309999,699300,21.309999
2015-05-15,20.540001,21.299999,20.52,21.049999,1411100,21.049999
2015-05-14,20.700001,21.040001,20.209999,20.49,858600,20.49
2015-05-13,20.940001,21.15,20.629999,20.67,437300,20.67
2015-05-12,20.43,21.129999,20.35,20.940001,526300,20.940001
2015-05-11,19.92,20.870001,19.77,20.57,1295000,20.57
2015-05-08,20.190001,20.299999,19.66,19.889999,1056600,19.889999
2015-05-07,21.50,22.16,20.01,20.049999,1768700,20.049999
2015-05-06,20.959999,21.139999,20.559999,20.799999,1260700,20.799999
2015-05-05,21.110001,21.452,20.870001,21.02,959700,21.02
2015-05-04,21.01,21.40,20.90,21.26,437500,21.26
2015-05-01,21.299999,21.43,20.459999,21.040001,585900,21.040001
2015-04-30,21.33,21.469999,20.700001,21.139999,821300,21.139999
2015-04-29,21.65,22.16,21.120001,21.450001,551100,21.450001
2015-04-28,21.780001,22.16,21.43,21.799999,410100,21.799999
2015-04-27,21.690001,22.00,21.26,21.76,743600,21.76
2015-04-24,21.969999,22.059999,21.540001,21.65,683000,21.65
2015-04-23,21.92,22.23,21.791,21.92,561300,21.92
2015-04-22,22.02,22.40,21.40,22.01,1521700,22.01
2015-04-21,21.32,22.10,21.02,22.02,1614200,22.02
2015-04-20,21.17,21.360001,20.74,21.309999,988400,21.309999
2015-04-17,21.860001,21.870001,21.030001,21.09,934600,21.09
2015-04-16,20.969999,22.049999,20.882,22.035,1658300,22.035
2015-04-15,20.049999,21.120001,20.01,21.09,1095800,21.09
2015-04-14,19.75,19.85,19.450001,19.83,325600,19.83
2015-04-13,19.82,20.129999,19.66,19.690001,560300,19.690001
2015-04-10,19.90,20.16,19.68,19.860001,508200,19.860001
2015-04-09,19.73,19.860001,19.542,19.860001,414900,19.860001
2015-04-08,19.67,19.870001,19.540001,19.77,682000,19.77
2015-04-07,19.43,20.01,19.43,19.700001,1253400,19.700001
2015-04-06,18.860001,19.450001,18.85,19.40,454100,19.40
2015-04-02,18.82,19.09,18.65,19.059999,446000,19.059999
2015-04-01,19.07,19.33,18.40,18.860001,1217800,18.860001
2015-03-31,18.959999,19.34,18.879999,19.059999,806000,19.059999
2015-03-30,19.290001,19.664,18.93,19.09,714200,19.09
2015-03-27,18.84,19.24,18.83,19.110001,560900,19.110001
2015-03-26,18.90,19.10,18.52,18.809999,789000,18.809999
2015-03-25,19.66,19.76,18.809999,19.040001,1400100,19.040001
2015-03-24,20.65,20.709999,19.50,19.51,2479700,19.51
2015-03-23,20.77,21.209999,20.51,20.709999,686300,20.709999
2015-03-20,21.110001,21.364,20.809999,20.91,742200,20.91
2015-03-19,20.99,21.52,20.68,21.08,757800,21.08
2015-03-18,21.23,21.709999,20.940001,21.139999,939200,21.139999
2015-03-17,20.799999,22.00,20.59,21.370001,2942900,21.370001
2015-03-16,20.15,20.99,19.90,20.93,1801900,20.93
2015-03-13,20.030001,20.15,19.73,20.110001,1196900,20.110001
2015-03-12,19.34,20.10,19.129999,20.040001,869900,20.040001
2015-03-11,19.280001,19.42,18.91,19.280001,532600,19.280001
2015-03-10,19.370001,19.639999,18.879999,19.27,1307500,19.27
2015-03-09,20.16,20.43,19.26,19.719999,1484000,19.719999
2015-03-06,20.18,20.540001,19.73,20.209999,1308200,20.209999
2015-03-05,19.629999,20.629999,19.629999,20.07,2529100,20.07
2015-03-04,19.469999,19.879999,19.33,19.629999,1836900,19.629999
2015-03-03,18.00,19.48,17.93,19.469999,4027700,19.469999
2015-03-02,17.90,18.65,17.780001,18.43,1553800,18.43
2015-02-27,18.01,18.110001,17.59,17.98,1213700,17.98
2015-02-26,18.75,18.92,17.610001,18.200001,4458200,18.200001
2015-02-25,16.91,18.139999,16.90,17.49,4690400,17.49
2015-02-24,16.040001,16.60,16.040001,16.58,1146300,16.58
2015-02-23,16.26,16.450001,15.90,16.040001,1384400,16.040001
2015-02-20,15.94,16.459999,15.60,16.219999,3876700,16.219999
2015-02-19,15.61,16.26,15.60,15.94,663200,15.94
2015-02-18,15.69,15.88,15.61,15.64,393500,15.64
2015-02-17,16.17,16.42,15.51,15.76,1211400,15.76
2015-02-13,15.70,16.200001,15.70,16.08,914800,16.08
2015-02-12,15.68,15.731,15.412,15.64,377100,15.64
2015-02-11,15.66,15.75,15.20,15.50,492700,15.50
2015-02-10,15.82,15.85,15.44,15.71,254500,15.71
2015-02-09,16.09,16.33,15.54,15.73,540400,15.73
2015-02-06,15.74,16.42,15.61,16.139999,1631900,16.139999
2015-02-05,15.20,15.79,15.15,15.70,1013400,15.70
2015-02-04,14.71,15.22,14.65,15.175,825800,15.175
2015-02-03,14.50,15.00,14.48,14.80,872700,14.80
2015-02-02,14.52,14.60,14.07,14.42,738400,14.42
2015-01-30,14.68,14.78,14.43,14.535,608900,14.535
2015-01-29,14.55,14.79,14.27,14.78,532600,14.78
2015-01-28,15.18,15.29,14.44,14.46,719600,14.46
