Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,53.419998,53.84,52.77,52.830002,638500,52.24466
2014-12-30,53.709999,53.869999,53.130001,53.169998,791000,52.580889
2014-12-29,53.82,54.330002,53.630001,53.759998,690900,53.164352
2014-12-26,54.209999,54.450001,53.779999,53.810001,531100,53.213801
2014-12-24,53.700001,54.310001,53.389999,53.860001,684900,53.263246
2014-12-23,53.57,53.57,52.599998,53.360001,1500700,52.768786
2014-12-22,52.650002,53.66,52.57,53.139999,1762600,52.551223
2014-12-19,54.00,54.220001,52.959999,53.299999,2687000,52.70945
2014-12-18,53.950001,54.369999,53.700001,54.369999,1597500,53.767594
2014-12-17,52.290001,53.450001,51.990002,53.380001,1521400,52.788565
2014-12-16,52.18,53.540001,52.02,52.240002,1196400,51.661197
2014-12-15,52.48,52.849998,52.02,52.27,1019200,51.690863
2014-12-12,52.740002,53.169998,52.18,52.380001,1544300,51.799645
2014-12-11,54.919998,54.939999,52.990002,53.279999,2318100,52.689671
2014-12-10,55.779999,56.009998,54.48,54.939999,1444900,53.856597
2014-12-09,55.23,56.16,55.049999,56.049999,897100,54.944709
2014-12-08,55.869999,56.470001,55.349998,55.610001,765700,54.513387
2014-12-05,56.34,56.48,55.790001,55.950001,652300,54.846682
2014-12-04,56.740002,57.00,56.049999,56.209999,666600,55.101554
2014-12-03,56.549999,56.950001,55.93,56.860001,801800,55.738737
2014-12-02,56.369999,56.650002,55.619999,56.400002,1218000,55.287809
2014-12-01,57.220001,57.259998,55.950001,56.240002,1310600,55.130965
2014-11-28,57.380001,57.490002,56.82,57.299999,639000,56.170059
2014-11-26,56.919998,57.32,56.66,57.07,1228200,55.944595
2014-11-25,59.200001,59.200001,56.709999,56.939999,4247900,55.817158
2014-11-24,58.700001,59.959999,58.509998,59.630001,1695100,58.454114
2014-11-21,59.509998,59.509998,58.619999,58.93,2134000,57.767917
2014-11-20,58.98,60.189999,58.599998,58.740002,2847800,57.581665
2014-11-19,56.66,59.27,56.540001,59.189999,5073600,58.022788
2014-11-18,56.080002,56.82,55.630001,56.639999,1155600,55.523074
2014-11-17,55.43,56.139999,55.310001,55.810001,995200,54.709444
2014-11-14,56.110001,56.529999,55.869999,55.950001,920300,54.846682
2014-11-13,56.09,56.470001,55.740002,55.93,1019400,54.827076
2014-11-12,55.73,56.150002,55.490002,56.060001,1336000,54.954514
2014-11-11,55.73,56.040001,55.509998,55.810001,799100,54.709444
2014-11-10,54.790001,55.75,54.700001,55.580002,1252100,54.48398
2014-11-07,55.139999,55.16,54.150002,54.700001,1467600,53.621332
2014-11-06,55.59,55.959999,54.900002,54.939999,2286200,53.856597
2014-11-05,56.049999,56.189999,55.540001,55.599998,998000,54.503582
2014-11-04,55.619999,56.009998,55.290001,55.84,831800,54.738851
2014-11-03,55.48,56.150002,55.009998,55.700001,1118200,54.601612
2014-10-31,54.869999,55.50,54.369999,55.48,1525200,54.385949
2014-10-30,55.00,55.00,53.84,54.139999,2051300,53.072374
2014-10-29,54.900002,55.509998,53.310001,53.959999,4001300,52.895923
2014-10-28,56.849998,57.360001,56.59,57.200001,2847600,56.072033
2014-10-27,56.099998,56.75,55.380001,56.610001,3295100,55.493667
2014-10-24,54.299999,55.360001,53.830002,55.259998,1594500,54.170287
2014-10-23,54.110001,54.540001,54.009998,54.23,855100,53.160599
2014-10-22,53.93,55.029999,53.57,53.599998,1573300,52.543022
2014-10-21,52.990002,53.91,52.880001,53.849998,1532200,52.788092
2014-10-20,52.259998,52.84,52.119999,52.82,716500,51.778404
2014-10-17,52.91,53.099998,51.990002,52.240002,1722800,51.209843
2014-10-16,51.220001,53.369999,51.220001,52.610001,1573300,51.572546
2014-10-15,50.09,52.119999,49.860001,51.860001,2252700,50.837336
2014-10-14,49.73,51.150002,49.369999,50.779999,1937900,49.778631
2014-10-13,49.639999,50.369999,49.099998,49.349998,1614000,48.37683
2014-10-10,49.57,50.939999,49.439999,49.77,1618600,48.78855
2014-10-09,51.130001,51.130001,49.16,49.720001,1608300,48.739537
2014-10-08,50.240002,51.299999,49.689999,51.189999,1919400,50.180546
2014-10-07,51.080002,51.099998,49.91,50.060001,1177800,49.072832
2014-10-06,50.57,51.279999,50.360001,51.23,1460900,50.219758
2014-10-03,49.950001,50.639999,49.16,50.450001,1982700,49.455141
2014-10-02,50.91,51.00,48.669998,49.889999,5507000,48.906183
2014-10-01,51.759998,51.939999,50.950001,50.990002,1529400,49.984493
2014-09-30,51.82,52.380001,51.619999,51.990002,1054400,50.964773
2014-09-29,51.450001,51.939999,51.009998,51.869999,1460900,50.847137
2014-09-26,51.07,52.07,50.849998,51.860001,990300,50.837336
2014-09-25,51.169998,51.41,50.50,50.75,952300,49.749224
2014-09-24,50.68,51.27,50.150002,51.240002,1459300,50.229563
2014-09-23,51.349998,52.00,50.709999,50.75,1155800,49.749224
2014-09-22,52.009998,52.060001,51.41,51.529999,1117800,50.513842
2014-09-19,53.400002,53.400002,52.040001,52.099998,2589500,51.072601
2014-09-18,53.169998,53.450001,53.029999,53.060001,864400,52.013673
2014-09-17,53.66,53.82,52.990002,53.07,1188100,52.023474
2014-09-16,53.549999,54.200001,53.380001,53.740002,1161900,52.680264
2014-09-15,53.349998,53.790001,53.200001,53.619999,1538900,52.562628
2014-09-12,52.84,54.02,52.450001,53.529999,2296600,52.474402
2014-09-11,53.50,53.50,52.299999,53.080002,1546500,52.033279
2014-09-10,51.900002,53.939999,51.900002,53.77,4916900,52.239134
2014-09-09,53.310001,53.490002,50.290001,51.709999,5306900,50.237783
2014-09-08,53.009998,54.029999,52.580002,53.560001,1580300,52.035114
2014-09-05,52.360001,53.279999,52.200001,53.27,1577900,51.75337
2014-09-04,53.540001,54.029999,52.389999,52.439999,2259400,50.946999
2014-09-03,53.990002,54.189999,53.400002,53.560001,3158500,52.035114
2014-09-02,54.360001,54.529999,53.509998,53.919998,1690100,52.384862
2014-08-29,54.57,54.810001,53.98,54.330002,1162400,52.783192
2014-08-28,54.389999,54.50,53.200001,54.119999,2618300,52.579168
2014-08-27,56.919998,57.25,54.439999,54.59,2915200,53.035788
2014-08-26,57.630001,57.810001,57.369999,57.459999,479100,55.824076
2014-08-25,57.77,58.130001,57.380001,57.689999,522600,56.047528
2014-08-22,57.380001,57.919998,57.07,57.639999,1012700,55.998952
2014-08-21,57.25,57.50,57.029999,57.400002,499200,55.765787
2014-08-20,56.25,57.849998,56.25,57.07,1272500,55.445181
2014-08-19,55.939999,56.189999,55.889999,56.110001,1036400,54.512513
2014-08-18,56.389999,56.810001,55.849998,56.00,867800,54.405644
2014-08-15,56.23,57.139999,55.740002,56.07,1239200,54.473651
2014-08-14,55.700001,56.209999,55.540001,55.75,506300,54.162762
2014-08-13,55.450001,55.849998,55.25,55.66,705600,54.075324
2014-08-12,55.470001,55.830002,54.970001,55.34,903300,53.764435
2014-08-11,55.779999,55.959999,55.400002,55.77,636000,54.182193
