Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,28.629999,28.860001,28.469999,28.57,2243000,28.377965
2014-12-30,28.48,28.73,28.360001,28.50,2281000,28.308436
2014-12-29,28.32,28.77,28.26,28.66,1951500,28.46736
2014-12-26,28.33,28.610001,28.33,28.389999,1196000,28.199174
2014-12-24,28.35,28.42,28.07,28.219999,1136900,28.030317
2014-12-23,28.25,28.77,28.10,28.27,3318900,28.079982
2014-12-22,28.24,28.360001,28.07,28.10,2753200,27.911125
2014-12-19,27.870001,28.32,27.690001,28.08,7215300,27.891259
2014-12-18,27.59,27.799999,27.360001,27.76,3835000,27.57341
2014-12-17,26.75,27.32,26.52,27.23,2941300,27.046972
2014-12-16,26.40,27.200001,26.26,26.51,3560300,26.331812
2014-12-15,26.65,26.90,26.40,26.60,5336100,26.421207
2014-12-12,26.809999,27.10,26.440001,26.49,2504400,26.311946
2014-12-11,27.200001,27.50,27.00,27.10,4366700,26.917846
2014-12-10,26.91,27.379999,26.860001,26.93,2940400,26.748989
2014-12-09,26.549999,27.15,26.09,27.110001,2427700,26.927779
2014-12-08,27.43,27.450001,26.690001,26.83,3193200,26.649661
2014-12-05,27.23,27.74,27.23,27.58,2471000,27.394619
2014-12-04,27.219999,27.57,27.10,27.35,2150800,27.166166
2014-12-03,27.280001,27.889999,27.219999,27.469999,3758300,27.285358
2014-12-02,26.90,27.82,26.799999,27.24,4323000,27.056905
2014-12-01,27.209999,27.530001,26.719999,26.91,4213300,26.729123
2014-11-28,27.07,27.549999,27.030001,27.41,2875700,27.225762
2014-11-26,26.59,26.940001,26.540001,26.870001,3546000,26.689393
2014-11-25,27.129999,27.40,26.43,26.66,6022300,26.480803
2014-11-24,26.540001,26.870001,26.35,26.540001,3283700,26.361611
2014-11-21,26.50,26.74,26.309999,26.48,3098000,26.302013
2014-11-20,25.66,26.24,25.65,26.200001,2526800,26.023896
2014-11-19,25.940001,26.030001,25.540001,25.98,3658700,25.805374
2014-11-18,25.299999,25.940001,25.299999,25.73,3373400,25.557054
