Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.85,8.96,8.77,8.79,140500,8.721913
2014-12-30,8.72,8.88,8.70,8.77,74300,8.702069
2014-12-29,8.95,9.03,8.60,8.80,76900,8.731836
2014-12-26,9.00,9.11,8.87,9.01,45300,8.940209
2014-12-24,8.93,9.08,8.88,8.92,25700,8.850906
2014-12-23,8.97,9.15,8.81,8.87,120300,8.801294
2014-12-22,8.73,8.97,8.62,8.95,108900,8.880674
2014-12-19,8.63,8.80,8.57,8.70,327200,8.63261
2014-12-18,8.63,8.76,8.53,8.65,113400,8.582997
2014-12-17,8.42,8.65,8.40,8.52,115700,8.454005
2014-12-16,8.38,8.69,8.38,8.42,124300,8.354779
2014-12-15,8.42,8.52,8.29,8.45,74800,8.384547
2014-12-12,8.60,8.68,8.32,8.35,98000,8.285322
2014-12-11,8.88,9.12,8.68,8.72,103900,8.652456
2014-12-10,8.90,9.16,8.78,8.79,127600,8.721913
2014-12-09,8.65,9.22,8.52,8.99,171700,8.920364
2014-12-08,8.89,9.04,8.60,8.70,135000,8.63261
2014-12-05,9.16,9.35,8.99,9.08,96800,8.890596
2014-12-04,9.15,9.36,9.01,9.17,210600,8.978719
2014-12-03,9.31,9.37,9.10,9.17,126900,8.978719
2014-12-02,9.12,9.29,8.93,9.17,180300,8.978719
2014-12-01,8.89,9.29,8.78,9.25,172500,9.05705
2014-11-28,8.88,9.07,8.16,8.89,75700,8.70456
2014-11-26,9.01,9.03,8.71,8.90,134000,8.714351
2014-11-25,8.98,9.11,8.92,8.98,156700,8.792682
2014-11-24,8.71,8.95,8.51,8.85,145800,8.665395
2014-11-21,8.37,8.66,8.20,8.57,155400,8.391234
2014-11-20,8.01,8.22,7.90,8.22,85400,8.048536
2014-11-19,8.20,8.29,8.00,8.02,98000,7.852708
2014-11-18,7.90,8.50,7.90,8.28,157400,8.107284
2014-11-17,8.19,8.36,7.90,7.91,140500,7.745002
2014-11-14,8.41,8.57,8.35,8.37,76600,8.195407
2014-11-13,8.32,8.41,8.15,8.38,75900,8.205198
2014-11-12,8.09,8.40,8.01,8.36,91500,8.185615
2014-11-11,7.98,8.25,7.98,8.09,117200,7.921247
2014-11-10,8.03,8.37,7.95,8.01,200600,7.842916
2014-11-07,8.70,8.82,7.78,7.93,311100,7.764585
2014-11-06,8.05,8.80,8.00,8.72,267000,8.538106
2014-11-05,7.00,8.28,6.94,8.03,389200,7.862499
2014-11-04,6.68,6.95,6.68,6.92,41000,6.775653
2014-11-03,6.99,7.26,6.67,6.77,170100,6.628782
2014-10-31,7.28,7.32,6.95,7.01,136900,6.863776
2014-10-30,6.83,7.13,6.82,7.10,125100,6.951898
2014-10-29,6.65,6.82,6.47,6.81,50600,6.667947
2014-10-28,6.27,6.65,6.26,6.64,60800,6.501493
2014-10-27,6.29,6.29,6.12,6.24,24400,6.109837
2014-10-24,6.36,6.36,6.27,6.34,19700,6.207751
2014-10-23,6.21,6.33,6.21,6.33,28600,6.19796
2014-10-22,6.34,6.34,6.14,6.17,17900,6.041297
2014-10-21,6.37,6.37,6.25,6.34,14500,6.207751
2014-10-20,6.22,6.44,6.20,6.36,36800,6.227334
2014-10-17,6.50,6.50,6.06,6.26,81200,6.12942
2014-10-16,6.49,6.64,6.37,6.38,50500,6.246917
2014-10-15,6.14,6.66,6.08,6.59,70300,6.452537
2014-10-14,6.36,6.57,6.23,6.24,73800,6.109837
2014-10-13,5.98,6.26,5.97,6.19,59000,6.06088
2014-10-10,5.93,6.15,5.93,5.95,58700,5.825886
2014-10-09,6.16,6.16,5.95,5.97,46500,5.845469
2014-10-08,5.83,6.20,5.83,6.18,57500,6.051089
2014-10-07,5.91,5.91,5.86,5.86,23500,5.737764
2014-10-06,6.03,6.09,5.94,5.97,33200,5.845469
2014-10-03,5.99,6.02,5.89,6.00,21400,5.874843
2014-10-02,5.85,5.97,5.85,5.91,29100,5.786721
2014-10-01,5.96,6.01,5.82,5.82,58700,5.698598
2014-09-30,5.99,6.09,5.96,5.96,80200,5.835678
2014-09-29,5.99,6.05,5.95,5.99,42100,5.865052
2014-09-26,6.04,6.12,6.03,6.08,56800,5.953175
2014-09-25,6.05,6.12,6.05,6.05,59400,5.923801
2014-09-24,5.99,6.10,5.87,6.09,61600,5.962966
2014-09-23,6.06,6.07,6.00,6.00,66300,5.874843
2014-09-22,6.14,6.21,6.05,6.06,69800,5.933592
2014-09-19,6.21,6.24,6.16,6.19,84500,6.06088
2014-09-18,6.14,6.25,6.14,6.20,31700,6.070671
2014-09-17,6.15,6.24,6.08,6.13,37900,6.002132
2014-09-16,6.11,6.25,6.03,6.14,61600,6.011923
2014-09-15,6.22,6.22,6.06,6.07,53000,5.943383
2014-09-12,6.19,6.24,6.13,6.22,54800,6.090254
2014-09-11,6.05,6.31,6.05,6.24,54700,6.109837
2014-09-10,6.05,6.16,6.05,6.07,28900,5.943383
2014-09-09,6.17,6.17,6.02,6.03,31500,5.904218
2014-09-08,6.11,6.22,6.08,6.20,26200,6.070671
2014-09-05,6.14,6.18,6.05,6.11,22300,5.982549
2014-09-04,6.15,6.24,6.15,6.18,16000,6.051089
2014-09-03,6.28,6.39,6.10,6.16,17000,6.031506
2014-09-02,6.32,6.36,6.21,6.24,38200,6.109837
2014-08-29,6.05,6.32,6.01,6.27,43600,6.139211
2014-08-28,6.11,6.16,6.04,6.05,28100,5.923801
2014-08-27,6.33,6.33,6.14,6.15,37600,6.021715
2014-08-26,6.25,6.41,6.25,6.29,35100,6.158794
2014-08-25,6.26,6.36,6.26,6.27,21600,6.139211
2014-08-22,6.22,6.28,6.14,6.23,29300,6.100046
2014-08-21,6.20,6.27,6.19,6.21,49400,6.080463
2014-08-20,6.17,6.28,6.09,6.24,42700,6.109837
2014-08-19,6.24,6.30,6.21,6.21,31800,6.080463
2014-08-18,6.27,6.27,6.25,6.26,27500,6.12942
2014-08-15,6.17,6.27,6.08,6.19,66700,6.06088
2014-08-14,6.08,6.10,6.07,6.10,23600,5.972757
2014-08-13,5.97,6.10,5.96,6.10,56200,5.972757
2014-08-12,6.00,6.04,5.97,5.97,27600,5.845469
