Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,15.76,16.00,15.76,15.97,4400,15.97
2015-09-03,16.00,16.00,16.00,16.00,1300,16.00
2015-09-02,16.00,16.040001,15.88,15.88,14000,15.88
2015-09-01,15.86,16.200001,15.76,15.87,6000,15.87
2015-08-31,15.76,16.02,15.76,16.00,39200,16.00
2015-08-28,16.00,16.00,15.76,15.77,5700,15.77
2015-08-27,16.00,16.07,15.98,16.00,4700,16.00
2015-08-26,16.00,16.049999,15.80,15.82,3100,15.82
2015-08-25,16.00,16.00,15.90,15.90,3800,15.90
2015-08-24,16.200001,16.200001,15.86,15.86,2600,15.86
2015-08-21,16.200001,16.200001,16.200001,16.200001,500,16.200001
2015-08-20,16.299999,16.32,16.200001,16.200001,7200,16.200001
2015-08-19,16.33,16.33,16.33,16.33,200,16.33
2015-08-18,16.43,16.43,16.35,16.389999,700,16.389999
2015-08-17,16.50,16.51,16.24,16.309999,2500,16.309999
2015-08-14,16.34,16.719999,16.18,16.559999,4000,16.559999
2015-08-13,16.00,16.299999,16.00,16.26,3500,16.26
2015-08-12,15.70,16.030001,15.70,15.98,2500,15.98
2015-08-11,15.93,16.00,15.91,16.00,2100,16.00
2015-08-10,15.95,15.95,15.95,15.95,200,15.95
2015-08-07,15.81,15.81,15.81,15.81,200,15.81
2015-08-06,15.96,15.97,15.76,15.85,6000,15.85
2015-08-05,15.61,15.98,15.61,15.98,10000,15.98
2015-08-04,15.54,15.60,15.37,15.60,500,15.487001
2015-08-03,15.35,15.80,15.28,15.79,11600,15.675624
2015-07-31,15.36,15.80,15.26,15.60,18100,15.487001
2015-07-30,15.41,15.41,15.41,15.41,000,15.298376
2015-07-29,15.21,15.41,15.20,15.41,3600,15.298376
2015-07-28,15.22,15.76,15.13,15.45,4600,15.338087
2015-07-27,15.10,15.13,15.10,15.13,200,15.020405
2015-07-24,15.10,15.10,15.10,15.10,200,14.990622
2015-07-23,15.13,15.13,15.13,15.13,200,15.020405
2015-07-22,15.00,15.03,14.97,15.00,11400,14.891346
2015-07-21,14.98,14.98,14.98,14.98,200,14.871491
2015-07-20,14.99,14.99,14.99,14.99,000,14.881419
2015-07-17,15.00,15.27,14.95,14.99,16000,14.881419
2015-07-16,15.06,15.14,15.06,15.08,11700,14.970767
2015-07-15,15.24,15.24,15.05,15.06,8900,14.950912
2015-07-14,15.10,15.20,14.97,15.07,3600,14.960839
2015-07-13,15.37,15.37,15.08,15.08,400,14.970767
2015-07-10,14.87,14.98,14.87,14.98,1200,14.871491
2015-07-09,14.91,14.91,14.86,14.88,800,14.772216
2015-07-08,15.07,15.07,15.00,15.02,2300,14.911202
2015-07-07,14.90,15.31,14.88,15.23,3800,15.11968
2015-07-06,14.99,15.02,14.95,15.00,2700,14.891346
2015-07-02,14.98,14.98,14.69,14.90,4100,14.79207
2015-07-01,14.99,14.99,14.99,14.99,500,14.881419
2015-06-30,14.75,15.17,14.70,15.17,7800,15.060115
2015-06-29,14.54,15.35,14.51,14.78,4400,14.67294
2015-06-26,15.00,15.39,14.54,14.54,14400,14.434678
2015-06-25,14.85,15.10,14.85,15.10,700,14.990622
2015-06-24,15.38,15.38,14.80,14.98,1200,14.871491
2015-06-23,15.00,15.00,15.00,15.00,100,14.891346
2015-06-22,14.60,15.25,14.60,15.21,17300,15.099825
2015-06-19,15.85,16.00,14.54,14.54,63900,14.434678
2015-06-18,16.00,16.00,15.37,15.92,15400,15.804682
2015-06-17,15.34,16.00,15.34,15.93,6300,15.81461
2015-06-16,16.00,16.00,15.25,16.00,13900,15.884103
2015-06-15,16.00,16.00,15.94,16.00,5100,15.884103
2015-06-12,15.98,16.02,15.97,16.02,5500,15.903958
2015-06-11,16.00,16.25,15.79,15.94,12700,15.824537
2015-06-10,15.00,16.00,14.95,15.85,43000,15.73519
2015-06-09,14.90,15.00,14.90,14.99,10500,14.881419
2015-06-08,14.67,15.00,14.67,14.95,13100,14.841708
2015-06-05,14.75,14.75,14.72,14.72,10100,14.613375
2015-06-04,14.61,14.75,14.61,14.75,43300,14.643157
2015-06-03,14.74,14.85,14.60,14.76,22000,14.653085
2015-06-02,14.56,14.57,14.56,14.57,300,14.464461
2015-06-01,14.50,14.80,14.50,14.75,4000,14.643157
2015-05-29,14.50,14.50,14.50,14.50,600,14.394968
2015-05-28,14.39,14.62,14.30,14.50,28100,14.394968
2015-05-27,14.96,14.96,14.58,14.58,1400,14.474389
2015-05-26,14.92,14.92,14.92,14.92,000,14.811926
2015-05-22,14.74,14.97,14.74,14.92,1200,14.811926
2015-05-21,14.55,14.55,14.55,14.55,000,14.444606
2015-05-20,14.31,14.60,14.31,14.55,800,14.444606
2015-05-19,14.55,14.63,14.33,14.41,1500,14.30562
2015-05-18,14.70,14.70,14.61,14.61,4400,14.504171
2015-05-15,14.87,14.88,14.53,14.64,2600,14.533954
2015-05-14,14.91,14.91,14.61,14.61,700,14.504171
