Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,4.72,4.77,4.66,4.77,5800,4.77
2015-09-03,4.89,4.91,4.73,4.80,15700,4.80
2015-09-02,4.92,5.00,4.67,4.78,32000,4.78
2015-09-01,5.09,5.14,4.70,4.77,57500,4.77
2015-08-31,5.14,5.28,5.10,5.18,44200,5.18
2015-08-28,4.90,5.19,4.88,5.17,52200,5.17
2015-08-27,4.42,5.15,4.33,4.91,208000,4.91
2015-08-26,4.43,4.49,4.22,4.35,28900,4.35
2015-08-25,4.36,4.54,4.18,4.24,81700,4.24
2015-08-24,4.25,4.47,4.11,4.26,41400,4.26
2015-08-21,4.49,4.66,4.33,4.48,42300,4.48
2015-08-20,4.64,4.64,4.41,4.58,59100,4.58
2015-08-19,4.79,4.99,4.61,4.64,26100,4.64
2015-08-18,4.89,4.89,4.66,4.70,15700,4.70
2015-08-17,4.53,4.99,4.46,4.92,81000,4.92
2015-08-14,4.39,4.57,4.30,4.57,39900,4.57
2015-08-13,4.71,4.76,4.13,4.40,299000,4.40
2015-08-12,4.47,5.20,4.44,4.73,213700,4.73
2015-08-11,4.11,4.54,4.11,4.33,85100,4.33
2015-08-10,4.25,4.26,4.00,4.15,24000,4.15
2015-08-07,4.33,4.34,4.15,4.29,22900,4.29
2015-08-06,4.25,4.42,4.03,4.37,41400,4.37
2015-08-05,4.32,4.32,4.20,4.24,79300,4.24
2015-08-04,4.49,4.49,4.25,4.25,32100,4.25
2015-08-03,4.67,4.70,4.35,4.45,22000,4.45
2015-07-31,4.71,4.75,4.59,4.64,17400,4.64
2015-07-30,4.76,4.78,4.59,4.73,19800,4.73
2015-07-29,4.47,4.81,4.47,4.80,77900,4.80
2015-07-28,4.57,4.57,4.26,4.50,52700,4.50
2015-07-27,4.75,4.75,4.48,4.50,67000,4.50
2015-07-24,4.86,4.86,4.70,4.78,50700,4.78
2015-07-23,4.91,4.92,4.74,4.85,28700,4.85
2015-07-22,4.78,4.96,4.78,4.87,58900,4.87
2015-07-21,4.89,4.91,4.76,4.84,46100,4.84
2015-07-20,5.03,5.12,4.88,4.92,60400,4.92
2015-07-17,5.20,5.20,5.04,5.09,30000,5.09
2015-07-16,5.10,5.19,5.03,5.19,50400,5.19
2015-07-15,4.98,5.21,4.98,5.09,18800,5.09
2015-07-14,5.16,5.21,5.09,5.18,28800,5.18
2015-07-13,5.26,5.30,5.11,5.14,35600,5.14
2015-07-10,4.94,5.29,4.82,5.27,85600,5.27
2015-07-09,4.77,4.99,4.71,4.89,30900,4.89
2015-07-08,4.72,4.75,4.60,4.69,26100,4.69
2015-07-07,4.93,4.95,4.63,4.77,53100,4.77
2015-07-06,4.98,5.05,4.84,4.96,38300,4.96
2015-07-02,4.93,5.09,4.84,4.96,37900,4.96
2015-07-01,5.02,5.05,4.85,4.95,46500,4.95
2015-06-30,4.96,5.09,4.89,4.97,39000,4.97
2015-06-29,4.97,5.02,4.82,4.94,106200,4.94
2015-06-26,4.86,5.20,4.85,4.99,85100,4.99
2015-06-25,4.86,4.86,4.68,4.78,36900,4.78
2015-06-24,5.00,5.11,4.85,4.88,68800,4.88
2015-06-23,5.03,5.12,4.89,5.00,55300,5.00
2015-06-22,4.58,5.02,4.58,5.02,97700,5.02
2015-06-19,4.93,5.06,4.58,4.58,116900,4.58
2015-06-18,4.90,5.00,4.77,4.92,51200,4.92
2015-06-17,4.97,5.02,4.84,4.92,108500,4.92
2015-06-16,5.06,5.10,4.82,5.01,52300,5.01
2015-06-15,5.10,5.10,4.86,5.04,48900,5.04
2015-06-12,4.89,5.12,4.88,5.10,86500,5.10
2015-06-11,4.80,4.96,4.78,4.95,107000,4.95
2015-06-10,4.80,4.87,4.73,4.76,73900,4.76
2015-06-09,4.83,4.83,4.68,4.79,26000,4.79
2015-06-08,4.79,4.88,4.72,4.72,63500,4.72
2015-06-05,4.70,4.91,4.67,4.83,27200,4.83
2015-06-04,4.81,4.87,4.67,4.73,43800,4.73
2015-06-03,4.93,5.10,4.83,4.86,40600,4.86
2015-06-02,4.84,5.04,4.83,4.88,48100,4.88
2015-06-01,5.00,5.12,4.81,4.88,49500,4.88
2015-05-29,5.01,5.12,4.80,5.03,101100,5.03
2015-05-28,4.97,5.11,4.95,5.03,178800,5.03
2015-05-27,4.95,5.09,4.81,4.95,60700,4.95
2015-05-26,5.13,5.15,4.80,4.87,74800,4.87
2015-05-22,4.97,5.18,4.96,5.00,247800,5.00
2015-05-21,5.21,5.45,4.95,4.96,175200,4.96
2015-05-20,4.92,5.20,4.70,5.20,114500,5.20
2015-05-19,5.24,5.50,4.70,4.97,330000,4.97
2015-05-18,5.86,5.86,5.35,5.47,206500,5.47
2015-05-15,5.78,5.99,5.50,5.84,312100,5.84
2015-05-14,5.75,6.21,5.34,5.86,789100,5.86
2015-05-13,7.50,7.77,7.13,7.75,72400,7.75
2015-05-12,7.90,7.90,7.45,7.69,31700,7.69
2015-05-11,8.05,8.09,7.90,7.99,50300,7.99
2015-05-08,7.70,7.98,7.44,7.96,19800,7.96
2015-05-07,7.45,7.77,7.37,7.75,10800,7.75
2015-05-06,7.35,7.46,7.34,7.45,47400,7.45
2015-05-05,7.45,7.50,7.35,7.43,27600,7.43
2015-05-04,7.45,7.54,7.42,7.43,49300,7.43
2015-05-01,7.67,7.96,7.45,7.45,33800,7.45
2015-04-30,7.96,7.99,7.56,7.56,22400,7.56
2015-04-29,7.65,8.24,7.52,8.05,45900,8.05
2015-04-28,7.39,7.76,7.39,7.66,17500,7.66
2015-04-27,7.60,7.60,7.45,7.51,11800,7.51
2015-04-24,7.57,7.57,7.28,7.55,27000,7.55
2015-04-23,7.40,7.60,7.40,7.57,15100,7.57
2015-04-22,7.69,7.69,7.35,7.36,25100,7.36
2015-04-21,7.81,7.85,7.27,7.60,29500,7.60
2015-04-20,7.72,7.88,7.65,7.85,22600,7.85
