Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.17,12.52,11.95,11.95,57600,11.492084
2014-12-30,12.20,12.40,12.07,12.08,40100,11.617102
2014-12-29,12.27,12.47,12.16,12.27,39200,11.799822
2014-12-26,12.16,12.50,12.16,12.31,58500,11.838289
2014-12-24,12.27,12.33,12.13,12.20,25200,11.732504
2014-12-23,12.25,12.41,12.07,12.29,45500,11.819055
2014-12-22,12.15,12.54,12.03,12.21,100100,11.742121
2014-12-19,12.45,12.45,12.15,12.18,94900,11.713271
2014-12-18,12.56,12.56,12.28,12.49,47100,12.011391
2014-12-17,12.03,12.42,12.00,12.37,84000,11.89599
2014-12-16,11.93,12.39,11.93,12.00,57400,11.540168
2014-12-15,12.06,12.24,11.79,11.90,50900,11.443999
2014-12-12,12.07,12.56,11.93,12.06,50300,11.597869
2014-12-11,12.31,12.64,12.21,12.25,42300,11.780588
2014-12-10,12.78,12.78,12.18,12.20,37400,11.732504
2014-12-09,12.11,12.80,11.97,12.79,77700,12.299895
2014-12-08,12.43,12.53,12.09,12.16,34300,11.694037
2014-12-05,12.52,12.75,12.31,12.51,65800,12.030625
2014-12-04,12.63,12.67,12.35,12.54,29400,12.059475
2014-12-03,12.22,12.68,12.17,12.63,31600,12.146027
2014-12-02,11.93,12.22,11.93,12.21,46900,11.742121
2014-12-01,12.84,12.92,11.96,11.97,84100,11.511318
2014-11-28,13.16,13.16,12.81,12.82,35700,12.328746
2014-11-26,12.89,13.25,12.89,13.10,77800,12.598017
2014-11-25,12.80,12.94,12.79,12.93,66300,12.434531
2014-11-24,12.79,12.88,12.73,12.80,32200,12.309513
2014-11-21,13.08,13.11,12.65,12.77,41500,12.280662
2014-11-20,12.70,12.94,12.70,12.85,37600,12.357597
2014-11-19,13.09,13.16,12.72,12.79,31600,12.299895
2014-11-18,13.01,13.20,13.01,13.15,29600,12.6461
2014-11-17,13.18,13.18,13.01,13.01,20600,12.511465
2014-11-14,13.22,13.25,13.08,13.16,37800,12.655717
2014-11-13,13.17,13.45,13.15,13.20,27900,12.694184
2014-11-12,13.28,13.74,13.07,13.20,63500,12.694184
2014-11-11,13.20,13.25,13.10,13.20,60900,12.578782
2014-11-10,13.29,13.29,13.01,13.24,21000,12.6169
2014-11-07,13.43,13.70,13.26,13.31,59400,12.683606
2014-11-06,13.80,13.94,13.37,13.49,146400,12.855134
2014-11-05,13.89,14.00,13.80,14.00,51400,13.341133
2014-11-04,13.57,13.85,13.57,13.76,47100,13.112428
2014-11-03,13.57,13.85,13.57,13.69,68600,13.045722
2014-10-31,13.54,13.60,13.38,13.56,107200,12.921841
2014-10-30,12.94,13.52,12.78,13.33,81000,12.702665
2014-10-29,12.80,13.02,12.70,12.95,56100,12.340548
2014-10-28,12.29,12.75,12.29,12.75,54100,12.149961
2014-10-27,12.10,12.33,12.01,12.27,35100,11.692551
2014-10-24,12.31,12.33,12.15,12.19,35500,11.616315
2014-10-23,12.28,12.35,12.20,12.32,36700,11.740197
2014-10-22,12.48,12.51,12.13,12.14,21900,11.568669
2014-10-21,12.25,12.55,12.25,12.49,67300,11.902196
2014-10-20,12.06,12.27,12.02,12.23,43700,11.654432
2014-10-17,12.70,12.70,12.06,12.09,68300,11.521022
2014-10-16,12.39,12.75,12.29,12.55,41700,11.959373
2014-10-15,12.32,12.65,12.17,12.59,60200,11.997491
2014-10-14,12.15,12.50,12.09,12.44,56200,11.854549
2014-10-13,11.59,12.22,11.59,12.09,69200,11.521022
2014-10-10,11.62,11.95,11.51,11.55,48700,11.006435
2014-10-09,12.18,12.18,11.69,11.70,32700,11.149375
2014-10-08,11.56,12.29,11.52,12.20,57100,11.625844
2014-10-07,11.78,11.87,11.60,11.61,30600,11.063611
2014-10-06,12.10,12.10,11.87,11.88,34000,11.320904
2014-10-03,12.14,12.25,12.00,12.11,24200,11.54008
2014-10-02,12.11,12.15,11.91,11.99,22300,11.425727
2014-10-01,12.01,12.11,11.79,11.89,49600,11.330434
2014-09-30,12.14,12.31,11.98,11.98,52300,11.416198
2014-09-29,12.31,12.37,12.12,12.19,28400,11.616315
2014-09-26,12.16,12.53,12.15,12.46,28800,11.873609
2014-09-25,12.36,12.50,12.16,12.16,44100,11.587727
2014-09-24,12.46,12.56,12.37,12.41,30900,11.825961
2014-09-23,12.59,12.61,12.40,12.43,39000,11.845021
2014-09-22,12.65,12.65,12.47,12.60,24700,12.00702
2014-09-19,12.73,12.76,12.40,12.76,83600,12.15949
2014-09-18,12.53,12.74,12.53,12.71,43900,12.111843
2014-09-17,12.67,12.75,12.56,12.65,22300,12.054666
2014-09-16,12.79,12.86,12.68,12.71,19500,12.111843
2014-09-15,12.89,12.95,12.69,12.78,34800,12.178548
2014-09-12,12.95,12.96,12.81,12.94,49500,12.331018
2014-09-11,12.73,12.93,12.71,12.91,41100,12.30243
2014-09-10,12.47,12.86,12.41,12.83,68800,12.226195
2014-09-09,12.64,12.64,12.43,12.44,41900,11.854549
2014-09-08,12.75,12.77,12.59,12.70,19900,12.102313
2014-09-05,12.84,12.93,12.77,12.79,22100,12.188078
2014-09-04,13.01,13.03,12.84,12.90,27300,12.292901
2014-09-03,13.19,13.19,12.82,12.86,33600,12.254783
2014-09-02,13.08,13.19,13.00,13.18,35500,12.559724
2014-08-29,13.10,13.10,12.94,13.02,33200,12.407254
2014-08-28,13.07,13.13,12.99,13.10,31000,12.483489
2014-08-27,13.07,13.15,13.05,13.10,31500,12.483489
2014-08-26,13.10,13.23,13.08,13.13,36900,12.512077
2014-08-25,13.19,13.26,13.10,13.11,35900,12.493018
2014-08-22,13.11,13.19,13.06,13.11,29600,12.493018
2014-08-21,13.05,13.14,12.93,13.08,47700,12.46443
2014-08-20,13.02,13.13,12.88,13.02,38200,12.407254
2014-08-19,13.01,13.19,13.01,13.06,67900,12.445372
2014-08-18,12.90,13.08,12.79,13.05,74500,12.435842
2014-08-15,12.65,12.87,12.49,12.84,116200,12.235725
2014-08-14,12.38,12.63,12.36,12.57,55200,11.978431
2014-08-13,12.29,12.40,12.29,12.39,43500,11.806903
2014-08-12,12.18,12.42,12.18,12.39,82800,11.692551
2014-08-11,12.37,12.37,12.15,12.28,53900,11.588742
2014-08-08,12.29,12.40,12.20,12.27,73600,11.579306
2014-08-07,12.26,12.36,12.01,12.33,95900,11.635928
2014-08-06,11.98,12.30,11.98,12.27,80700,11.579306
2014-08-05,12.04,12.12,11.92,12.06,101300,11.381127
2014-08-04,12.05,12.11,11.92,12.05,80900,11.37169
2014-08-01,12.05,12.06,11.98,12.01,58700,11.333941
2014-07-31,12.19,12.33,12.01,12.01,46500,11.333941
2014-07-30,12.37,12.40,12.23,12.27,53100,11.579306
2014-07-29,12.42,12.42,12.30,12.33,50200,11.635928
2014-07-28,12.35,12.44,12.24,12.34,52700,11.645365
2014-07-25,12.40,12.41,12.26,12.38,65700,11.683113
2014-07-24,12.50,12.50,12.34,12.46,62000,11.75861
2014-07-23,12.50,12.58,12.39,12.49,62800,11.786921
2014-07-22,12.58,12.58,12.44,12.49,58800,11.786921
2014-07-21,12.30,12.42,12.26,12.42,93400,11.720862
2014-07-18,12.17,12.40,12.17,12.35,75400,11.654802
2014-07-17,12.15,12.25,12.09,12.22,65300,11.53212
2014-07-16,12.34,12.34,12.14,12.20,37700,11.513245
2014-07-15,12.51,12.65,12.19,12.25,30600,11.560431
2014-07-14,12.36,12.45,12.23,12.40,63800,11.701987
2014-07-11,12.19,12.28,12.16,12.26,32500,11.569868
2014-07-10,12.15,12.24,12.15,12.18,33900,11.494372
2014-07-09,12.24,12.45,12.23,12.32,52600,11.62649
2014-07-08,12.22,12.31,12.17,12.22,52200,11.53212
2014-07-07,12.41,12.54,12.17,12.19,56200,11.503808
2014-07-03,12.44,12.56,12.41,12.45,20200,11.749173
2014-07-02,12.59,12.60,12.40,12.41,42300,11.711424
2014-07-01,12.49,12.82,12.43,12.55,92500,11.843544
2014-06-30,12.32,12.50,12.21,12.41,54100,11.711424
2014-06-27,12.00,12.41,12.00,12.41,317900,11.711424
2014-06-26,12.26,12.32,12.00,12.08,45400,11.400001
2014-06-25,12.08,12.29,12.05,12.23,42800,11.541556
2014-06-24,12.15,12.30,12.11,12.11,42600,11.428312
2014-06-23,12.37,12.46,12.15,12.15,39700,11.46606
2014-06-20,12.13,12.30,12.11,12.28,101000,11.588742
2014-06-19,12.16,12.16,12.00,12.06,30300,11.381127
2014-06-18,12.10,12.15,12.04,12.15,38900,11.46606
2014-06-17,11.98,12.23,11.98,12.08,41600,11.400001
2014-06-16,11.96,12.08,11.94,12.04,51400,11.362252
2014-06-13,12.08,12.25,11.97,11.98,74400,11.305629
2014-06-12,11.92,12.05,11.67,12.01,78900,11.333941
2014-06-11,12.01,12.10,11.89,11.90,68600,11.230133
2014-06-10,12.20,12.20,12.00,12.11,40800,11.428312
2014-06-09,11.87,12.24,11.86,12.23,65300,11.541556
2014-06-06,11.93,11.94,11.77,11.87,69600,11.201822
2014-06-05,11.49,11.97,11.45,11.84,68000,11.173511
2014-06-04,11.50,11.65,11.46,11.50,71600,10.85265
2014-06-03,11.65,11.68,11.51,11.52,40400,10.871524
2014-06-02,11.84,11.84,11.61,11.68,50900,11.022517
2014-05-30,11.90,12.02,11.76,11.85,171100,11.182948
2014-05-29,11.86,11.95,11.75,11.85,62200,11.182948
2014-05-28,11.90,11.91,11.76,11.87,73100,11.201822
2014-05-27,11.75,12.09,11.70,11.97,71900,11.296193
2014-05-23,11.54,11.70,11.53,11.70,48800,11.041391
2014-05-22,11.54,11.60,11.48,11.51,34100,10.862087
2014-05-21,11.44,11.60,11.31,11.47,44900,10.824339
2014-05-20,11.69,11.70,11.29,11.41,83900,10.767716
2014-05-19,11.59,11.70,11.49,11.64,65900,10.984769
2014-05-16,11.62,11.64,11.45,11.60,55900,10.947021
2014-05-15,11.93,12.04,11.55,11.64,66200,10.984769
2014-05-14,12.46,12.47,11.95,12.06,59500,11.267882
2014-05-13,12.58,12.58,12.24,12.45,70600,11.632266
