Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,4.10,4.20,4.10,4.18,8400,4.18
2015-09-03,4.09,4.20,4.08,4.16,20200,4.16
2015-09-02,4.21,4.21,4.03,4.03,11700,4.03
2015-09-01,3.96,4.24,3.94,4.21,31600,4.21
2015-08-31,3.95,4.14,3.88,4.14,35700,4.14
2015-08-28,3.93,4.05,3.90,4.00,38100,4.00
2015-08-27,3.96,4.00,3.90,3.95,11900,3.95
2015-08-26,4.03,4.03,3.88,3.95,19400,3.95
2015-08-25,3.60,4.09,3.60,4.00,52700,4.00
2015-08-24,3.73,3.73,3.15,3.55,82900,3.55
2015-08-21,3.84,3.98,3.68,3.82,111800,3.82
2015-08-20,4.16,4.19,3.69,3.83,132500,3.83
2015-08-19,4.17,4.18,4.09,4.15,12400,4.15
2015-08-18,4.10,4.20,4.10,4.19,20700,4.19
2015-08-17,4.25,4.28,4.05,4.08,31500,4.08
2015-08-14,4.21,4.31,4.21,4.23,9300,4.23
2015-08-13,4.14,4.27,4.14,4.25,32000,4.25
2015-08-12,4.17,4.24,4.08,4.19,31900,4.19
2015-08-11,4.26,4.26,4.16,4.16,35500,4.16
2015-08-10,4.38,4.40,4.29,4.29,49400,4.29
2015-08-07,4.35,4.41,4.28,4.35,41600,4.35
2015-08-06,4.39,4.41,4.25,4.35,36900,4.35
2015-08-05,4.39,4.48,4.35,4.37,18300,4.37
2015-08-04,4.39,4.46,4.35,4.35,20900,4.35
2015-08-03,4.40,4.58,4.29,4.40,55700,4.40
2015-07-31,4.14,4.50,4.05,4.35,142600,4.35
2015-07-30,4.10,4.12,3.91,3.92,57100,3.92
2015-07-29,4.25,4.44,4.12,4.17,61200,4.17
2015-07-28,4.79,4.91,4.20,4.23,179600,4.23
2015-07-27,4.16,4.66,4.16,4.66,165200,4.66
2015-07-24,4.06,4.15,4.06,4.13,32100,4.13
2015-07-23,3.99,4.14,3.98,4.07,64700,4.07
2015-07-22,3.93,3.99,3.93,3.95,21700,3.95
2015-07-21,3.86,4.00,3.86,3.99,42600,3.99
2015-07-20,3.96,4.00,3.87,3.88,47500,3.88
2015-07-17,3.99,4.00,3.88,4.00,19900,4.00
2015-07-16,3.95,3.98,3.93,3.97,22600,3.97
2015-07-15,3.90,3.93,3.85,3.90,37100,3.90
2015-07-14,3.96,4.00,3.80,3.90,89400,3.90
2015-07-13,3.80,4.00,3.80,3.95,153500,3.95
2015-07-10,3.50,4.25,3.50,3.90,654300,3.90
2015-07-09,3.40,3.47,3.37,3.40,20600,3.40
2015-07-08,3.40,3.43,3.37,3.39,14700,3.39
2015-07-07,3.43,3.49,3.38,3.43,61000,3.43
2015-07-06,3.35,3.48,3.35,3.48,46800,3.48
2015-07-02,3.39,3.42,3.36,3.38,57700,3.38
2015-07-01,3.48,3.48,3.39,3.44,34100,3.44
2015-06-30,3.36,3.49,3.36,3.47,39400,3.47
2015-06-29,3.36,3.50,3.36,3.40,75200,3.40
2015-06-26,3.45,3.46,3.39,3.46,49400,3.46
2015-06-25,3.38,3.44,3.36,3.44,22500,3.44
2015-06-24,3.33,3.40,3.30,3.37,84600,3.37
2015-06-23,3.40,3.40,3.30,3.36,33300,3.36
2015-06-22,3.48,3.48,3.36,3.41,33800,3.41
2015-06-19,3.43,3.48,3.39,3.44,12000,3.44
2015-06-18,3.35,3.43,3.35,3.42,43000,3.42
2015-06-17,3.36,3.50,3.33,3.37,62300,3.37
2015-06-16,3.31,3.53,3.31,3.38,38000,3.38
2015-06-15,3.35,3.45,3.33,3.42,43600,3.42
2015-06-12,3.40,3.44,3.32,3.39,42400,3.39
2015-06-11,3.43,3.52,3.34,3.38,36900,3.38
2015-06-10,3.50,3.55,3.39,3.44,84100,3.44
2015-06-09,3.20,3.58,3.20,3.41,284300,3.41
2015-06-08,3.20,3.20,3.06,3.18,37700,3.18
2015-06-05,3.13,3.18,3.03,3.11,46900,3.11
2015-06-04,3.03,3.15,3.01,3.14,57500,3.14
2015-06-03,3.08,3.19,3.06,3.08,54400,3.08
2015-06-02,3.04,3.09,3.04,3.09,21000,3.09
2015-06-01,3.00,3.09,2.98,3.03,64000,3.03
2015-05-29,3.06,3.33,3.00,3.01,233200,3.01
2015-05-28,2.95,3.10,2.95,3.09,80200,3.09
2015-05-27,2.96,2.99,2.90,2.97,27900,2.97
2015-05-26,3.00,3.00,2.84,2.97,73200,2.97
2015-05-22,3.03,3.10,2.95,2.98,81700,2.98
2015-05-21,2.98,3.03,2.94,3.02,51800,3.02
2015-05-20,3.03,3.03,2.89,2.92,42800,2.92
2015-05-19,2.87,3.01,2.82,2.99,57400,2.99
2015-05-18,3.06,3.09,2.88,2.88,131000,2.88
2015-05-15,2.75,3.15,2.75,3.08,455500,3.08
2015-05-14,2.65,2.74,2.53,2.71,120800,2.71
2015-05-13,2.56,2.65,2.55,2.65,81300,2.65
2015-05-12,2.54,2.64,2.51,2.60,49300,2.60
2015-05-11,2.51,2.60,2.45,2.54,169900,2.54
2015-05-08,2.68,2.68,2.51,2.52,148100,2.52
2015-05-07,2.68,2.72,2.60,2.62,120200,2.62
2015-05-06,3.00,3.05,2.64,2.72,499500,2.72
2015-05-05,3.05,3.08,2.81,2.99,935100,2.99
2015-05-04,2.70,3.33,2.70,3.11,1776200,3.11
2015-05-01,2.65,2.87,2.56,2.76,119000,2.76
2015-04-30,2.79,2.81,2.59,2.70,115000,2.70
2015-04-29,2.87,2.95,2.66,2.74,172800,2.74
2015-04-28,2.75,3.03,2.68,2.90,390000,2.90
2015-04-27,2.78,2.87,2.65,2.72,142800,2.72
2015-04-24,2.85,2.87,2.76,2.80,60800,2.80
2015-04-23,2.75,2.85,2.75,2.82,39600,2.82
2015-04-22,2.79,2.79,2.71,2.74,36900,2.74
2015-04-21,2.90,2.95,2.71,2.73,61800,2.73
2015-04-20,2.75,2.90,2.69,2.90,136000,2.90
2015-04-17,2.61,2.75,2.61,2.69,64500,2.69
2015-04-16,2.67,2.75,2.64,2.64,85100,2.64
2015-04-15,2.57,2.73,2.57,2.65,57100,2.65
2015-04-14,2.76,2.77,2.58,2.62,99700,2.62
2015-04-13,2.72,2.88,2.65,2.73,157500,2.73
2015-04-10,3.27,3.46,2.71,2.71,953800,2.71
2015-04-09,2.64,3.15,2.64,3.15,814100,3.15
2015-04-08,2.58,2.68,2.58,2.64,115700,2.64
2015-04-07,2.55,2.65,2.53,2.60,83900,2.60
2015-04-06,2.45,2.60,2.40,2.57,98400,2.57
2015-04-02,2.41,2.57,2.40,2.56,75900,2.56
2015-04-01,2.34,2.46,2.33,2.44,101700,2.44
2015-03-31,2.30,2.35,2.30,2.31,45300,2.31
2015-03-30,2.30,2.37,2.30,2.33,97000,2.33
2015-03-27,2.31,2.34,2.30,2.33,26200,2.33
2015-03-26,2.42,2.42,2.30,2.33,147500,2.33
2015-03-25,2.45,2.49,2.44,2.45,73100,2.45
2015-03-24,2.51,2.56,2.43,2.45,90200,2.45
2015-03-23,2.47,2.54,2.42,2.54,204100,2.54
2015-03-20,2.80,2.92,2.42,2.42,338100,2.42
2015-03-19,2.72,2.80,2.68,2.78,110600,2.78
2015-03-18,2.73,2.78,2.65,2.78,32700,2.78
2015-03-17,2.78,2.85,2.68,2.72,147400,2.72
2015-03-16,2.54,2.92,2.52,2.68,622400,2.68
2015-03-13,2.44,2.53,2.43,2.51,49800,2.51
2015-03-12,2.53,2.54,2.41,2.45,29200,2.45
2015-03-11,2.51,2.54,2.45,2.50,15600,2.50
2015-03-10,2.47,2.54,2.45,2.51,33700,2.51
2015-03-09,2.43,2.53,2.43,2.53,20100,2.53
2015-03-06,2.50,2.50,2.35,2.48,88500,2.48
2015-03-05,2.53,2.56,2.50,2.54,26700,2.54
2015-03-04,2.52,2.64,2.50,2.54,28500,2.54
2015-03-03,2.45,2.59,2.45,2.52,28000,2.52
2015-03-02,2.57,2.60,2.45,2.48,42000,2.48
2015-02-27,2.68,2.68,2.56,2.59,25100,2.59
2015-02-26,2.65,2.74,2.55,2.67,73100,2.67
2015-02-25,2.55,2.83,2.50,2.66,257500,2.66
2015-02-24,2.42,2.55,2.41,2.54,64300,2.54
2015-02-23,2.45,2.52,2.41,2.48,24800,2.48
2015-02-20,2.49,2.52,2.41,2.43,25600,2.43
2015-02-19,2.55,2.60,2.43,2.43,50100,2.43
2015-02-18,2.65,2.65,2.56,2.60,23700,2.60
2015-02-17,2.46,2.61,2.43,2.61,41200,2.61
2015-02-13,2.44,2.53,2.44,2.49,25100,2.49
2015-02-12,2.47,2.55,2.38,2.46,53200,2.46
2015-02-11,2.37,2.47,2.31,2.41,62100,2.41
2015-02-10,2.35,2.41,2.29,2.34,36000,2.34
2015-02-09,2.35,2.47,2.30,2.32,90800,2.32
2015-02-06,2.35,2.41,2.24,2.35,30700,2.35
2015-02-05,2.31,2.40,2.30,2.37,33300,2.37
2015-02-04,2.24,2.42,2.24,2.34,59800,2.34
2015-02-03,2.28,2.42,2.28,2.29,28700,2.29
2015-02-02,2.24,2.30,2.20,2.27,31300,2.27
2015-01-30,2.28,2.31,2.24,2.24,15100,2.24
2015-01-29,2.32,2.33,2.21,2.28,46100,2.28
2015-01-28,2.41,2.41,2.33,2.33,41900,2.33
2015-01-27,2.49,2.49,2.38,2.38,64500,2.38
2015-01-26,2.45,2.50,2.34,2.50,123400,2.50
2015-01-23,2.49,2.52,2.41,2.49,44800,2.49
2015-01-22,2.47,2.53,2.45,2.47,38200,2.47
2015-01-21,2.49,2.52,2.41,2.47,28900,2.47
2015-01-20,2.45,2.50,2.37,2.50,38700,2.50
2015-01-16,2.39,2.50,2.38,2.46,23100,2.46
2015-01-15,2.46,2.46,2.35,2.42,74200,2.42
2015-01-14,2.40,2.47,2.40,2.44,26300,2.44
2015-01-13,2.56,2.57,2.40,2.42,59000,2.42
2015-01-12,2.53,2.55,2.46,2.53,40800,2.53
2015-01-09,2.46,2.53,2.41,2.49,42900,2.49
2015-01-08,2.54,2.54,2.35,2.49,107500,2.49
2015-01-07,2.57,2.57,2.43,2.54,47700,2.54
2015-01-06,2.62,2.65,2.41,2.49,242200,2.49
2015-01-05,2.62,2.78,2.61,2.63,113200,2.63
2015-01-02,2.70,2.74,2.59,2.73,46900,2.73
