Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,107.989998,108.00,106.589996,106.589996,35000,105.855236
2014-12-30,108.110001,108.169998,107.68,107.769997,22800,107.027102
2014-12-29,108.190002,108.510002,107.980003,108.32,34300,107.573313
2014-12-26,108.559998,108.589996,108.279999,108.309998,29200,107.56338
2014-12-24,108.269997,108.519997,108.209999,108.209999,16200,107.464071
2014-12-23,108.650002,109.040001,108.589996,108.82,28800,107.528628
2014-12-22,107.519997,108.279999,107.519997,108.220001,64900,106.935749
2014-12-19,106.93,107.650002,106.489998,107.309998,50000,106.036545
2014-12-18,105.760002,106.809998,105.489998,106.809998,210500,105.542478
2014-12-17,102.879997,104.339996,102.07,104.18,140300,102.943691
2014-12-16,102.519997,104.589996,102.519997,102.870003,94100,101.64924
2014-12-15,103.580002,103.879997,102.25,102.720001,80600,101.501018
2014-12-12,104.129997,104.349998,103.029999,103.029999,55200,101.807337
2014-12-11,105.099998,105.900002,104.839996,105.080002,35900,103.833013
2014-12-10,106.480003,106.480003,104.540001,104.57,84600,103.329063
2014-12-09,105.50,106.739998,105.18,106.739998,71000,105.473309
2014-12-08,107.459999,107.709999,106.139999,106.419998,43800,105.157107
2014-12-05,107.730003,107.959999,107.480003,107.709999,55100,106.4318
2014-12-04,107.910004,107.919998,107.169998,107.540001,26500,106.263819
2014-12-03,106.849998,108.209999,106.849998,108.089996,35000,106.807287
2014-12-02,106.120003,106.889999,106.120003,106.779999,20700,105.512836
2014-12-01,106.809998,106.809998,105.779999,106.00,40200,104.742093
2014-11-28,108.360001,108.360001,107.25,107.330002,19100,106.056312
2014-11-26,108.589996,108.589996,108.18,108.379997,24200,107.093847
2014-11-25,108.589996,108.699997,108.260002,108.559998,23700,107.271711
2014-11-24,108.190002,108.50,108.059998,108.379997,35900,107.093847
2014-11-21,108.029999,108.209999,107.720001,108.00,21700,106.718359
2014-11-20,106.139999,107.050003,106.050003,106.970001,39000,105.700583
2014-11-19,106.910004,106.910004,106.209999,106.610001,37000,105.344855
2014-11-18,106.239998,107.209999,106.239998,106.980003,56200,105.710467
2014-11-17,106.239998,106.470001,106.110001,106.309998,36500,105.048412
2014-11-14,106.419998,106.68,106.199997,106.470001,64300,105.206517
