Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,46.040001,47.080002,46.040001,46.66,89200,46.66
2015-09-03,47.330002,47.610001,46.41,46.450001,155100,46.450001
2015-09-02,44.700001,47.02,44.68,46.849998,138600,46.849998
2015-09-01,43.32,44.419998,42.950001,44.25,280800,44.25
2015-08-31,43.400002,44.900002,43.25,43.299999,206800,43.299999
2015-08-28,43.389999,43.77,42.709999,43.459999,111800,43.459999
2015-08-27,43.619999,44.060001,42.57,43.68,118500,43.68
2015-08-26,44.029999,44.68,42.470001,43.439999,102800,43.439999
2015-08-25,44.27,44.299999,42.880001,43.02,135600,43.02
2015-08-24,43.439999,43.439999,41.049999,42.990002,139600,42.990002
2015-08-21,44.52,46.119999,44.52,45.549999,217500,45.549999
2015-08-20,47.02,47.560001,45.27,45.299999,147300,45.299999
2015-08-19,47.439999,48.09,47.240002,47.439999,86100,47.439999
2015-08-18,47.599998,48.220001,47.369999,47.779999,88200,47.779999
2015-08-17,47.470001,47.779999,47.200001,47.490002,189200,47.490002
2015-08-14,47.650002,48.09,47.139999,47.48,76900,47.48
2015-08-13,47.290001,48.200001,46.599998,47.50,112000,47.50
2015-08-12,47.200001,48.43,45.27,47.43,126100,47.43
2015-08-11,48.740002,48.75,47.00,47.400002,204000,47.400002
2015-08-10,51.73,51.73,48.459999,48.740002,231100,48.740002
2015-08-07,46.66,51.830002,46.66,51.119999,213600,51.119999
2015-08-06,47.50,49.73,44.040001,46.66,224800,46.66
2015-08-05,41.380001,43.200001,41.049999,42.75,154900,42.75
2015-08-04,40.419998,41.34,40.009998,41.029999,72700,41.029999
2015-08-03,40.290001,40.599998,39.990002,40.41,94400,40.41
2015-07-31,38.759998,40.360001,38.619999,40.290001,90900,40.290001
2015-07-30,38.939999,39.419998,38.34,38.580002,118900,38.580002
2015-07-29,40.23,40.599998,38.759998,39.23,103500,39.23
2015-07-28,39.630001,40.540001,38.84,40.41,85200,40.41
2015-07-27,40.330002,40.419998,39.50,39.799999,68200,39.799999
2015-07-24,40.720001,40.889999,40.189999,40.66,69000,40.66
2015-07-23,41.68,41.830002,40.459999,40.779999,70400,40.779999
2015-07-22,40.990002,41.990002,40.75,41.580002,71100,41.580002
2015-07-21,40.740002,41.509998,40.029999,40.900002,76700,40.900002
2015-07-20,41.849998,41.970001,40.419998,40.709999,79000,40.709999
2015-07-17,41.27,42.169998,41.27,42.009998,98800,42.009998
2015-07-16,39.849998,41.639999,39.82,41.27,130000,41.27
2015-07-15,40.299999,40.349998,39.419998,39.66,76700,39.66
2015-07-14,40.34,40.560001,39.509998,40.380001,70200,40.380001
2015-07-13,39.82,41.02,39.82,40.310001,107900,40.310001
2015-07-10,38.25,39.41,38.200001,39.259998,141800,39.259998
2015-07-09,37.75,38.169998,37.48,37.830002,137700,37.830002
2015-07-08,37.310001,38.029999,37.130001,37.400002,121500,37.400002
2015-07-07,37.68,37.740002,36.66,37.490002,106600,37.490002
2015-07-06,36.98,38.00,36.41,37.50,116100,37.50
2015-07-02,37.48,37.549999,36.32,36.950001,124200,36.950001
2015-07-01,38.27,38.279999,37.169998,37.529999,146300,37.529999
2015-06-30,38.849998,38.970001,38.00,38.25,155400,38.25
2015-06-29,38.549999,39.880001,38.369999,38.549999,141100,38.549999
2015-06-26,38.349998,39.119999,38.00,38.869999,186500,38.869999
2015-06-25,37.200001,38.669998,37.200001,38.150002,100400,38.150002
2015-06-24,38.150002,38.25,36.889999,37.139999,97700,37.139999
2015-06-23,40.099998,41.130001,36.73,38.310001,308800,38.310001
2015-06-22,40.459999,41.290001,39.34,40.00,125400,40.00
2015-06-19,38.98,40.790001,38.580002,40.610001,146800,40.610001
2015-06-18,38.009998,39.119999,38.009998,38.82,64100,38.82
2015-06-17,37.689999,38.310001,37.490002,37.98,61900,37.98
2015-06-16,36.48,37.560001,36.48,37.490002,66500,37.490002
2015-06-15,36.389999,37.099998,36.209999,36.630001,56100,36.630001
2015-06-12,37.029999,37.119999,36.119999,36.240002,96400,36.240002
2015-06-11,36.419998,37.299999,36.220001,36.970001,145200,36.970001
2015-06-10,36.41,36.740002,36.23,36.470001,77000,36.470001
2015-06-09,36.27,36.68,35.959999,36.310001,58200,36.310001
2015-06-08,36.689999,36.84,35.900002,36.18,60100,36.18
2015-06-05,36.240002,36.59,34.43,36.279999,115100,36.279999
2015-06-04,35.959999,36.700001,35.529999,36.23,91200,36.23
2015-06-03,37.139999,37.349998,35.049999,36.25,127300,36.25
2015-06-02,36.709999,37.25,36.52,36.950001,90100,36.950001
2015-06-01,37.07,37.349998,35.610001,37.040001,128000,37.040001
2015-05-29,35.810001,37.52,35.66,36.759998,109100,36.759998
2015-05-28,35.66,36.580002,35.43,35.779999,36100,35.779999
2015-05-27,35.25,36.119999,34.860001,35.91,93800,35.91
2015-05-26,34.77,35.529999,34.23,35.080002,93600,35.080002
2015-05-22,34.630001,35.27,34.220001,34.560001,40300,34.560001
2015-05-21,36.110001,36.110001,34.240002,34.630001,60400,34.630001
2015-05-20,35.169998,36.73,35.040001,36.00,136200,36.00
2015-05-19,34.889999,35.50,34.650002,35.169998,30600,35.169998
2015-05-18,33.73,35.380001,33.73,34.799999,55700,34.799999
2015-05-15,33.939999,34.650002,33.66,34.080002,28400,34.080002
2015-05-14,33.82,34.98,33.82,34.07,42700,34.07
2015-05-13,34.040001,34.169998,33.459999,33.59,40600,33.59
2015-05-12,34.439999,34.470001,33.639999,34.049999,59900,34.049999
2015-05-11,34.560001,35.27,34.25,34.389999,55000,34.389999
2015-05-08,33.880001,35.619999,33.880001,34.25,144000,34.25
2015-05-07,30.780001,33.900002,29.92,33.32,155500,33.32
2015-05-06,30.07,30.66,29.690001,30.530001,84800,30.530001
2015-05-05,31.299999,31.299999,29.93,30.15,92100,30.15
2015-05-04,31.530001,32.18,31.42,31.610001,59400,31.610001
2015-05-01,32.080002,32.09,31.059999,31.639999,60300,31.639999
2015-04-30,33.029999,33.07,31.90,32.060001,46700,32.060001
2015-04-29,35.09,35.389999,33.09,33.34,61700,33.34
2015-04-28,34.080002,35.34,33.209999,35.18,61900,35.18
2015-04-27,36.619999,36.869999,33.93,34.040001,88400,34.040001
2015-04-24,34.900002,36.209999,34.400002,36.060001,107600,36.060001
2015-04-23,34.060001,34.82,33.790001,34.73,60300,34.73
2015-04-22,34.50,34.630001,33.400002,34.07,49300,34.07
2015-04-21,34.029999,34.50,33.790001,34.48,43700,34.48
2015-04-20,33.23,34.09,33.080002,34.029999,55000,34.029999
2015-04-17,33.709999,33.75,32.799999,32.98,34300,32.98
2015-04-16,34.16,34.369999,33.790001,33.880001,38100,33.880001
2015-04-15,35.009998,35.189999,34.060001,34.259998,65200,34.259998
2015-04-14,35.00,35.049999,34.549999,34.810001,66000,34.810001
