Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.02,0.03,0.02,0.03,82400,0.03
2014-12-30,0.01,0.03,0.01,0.03,326000,0.03
2014-12-29,0.01,0.03,0.01,0.02,420000,0.02
2014-12-26,0.01,0.02,0.01,0.02,206700,0.02
2014-12-24,0.01,0.03,0.01,0.02,142100,0.02
2014-12-23,0.01,0.02,0.01,0.01,116900,0.01
2014-12-22,0.02,0.02,0.01,0.01,389000,0.01
2014-12-19,0.02,0.02,0.01,0.02,61800,0.02
2014-12-18,0.01,0.02,0.01,0.02,53300,0.02
2014-12-17,0.01,0.02,0.01,0.02,58200,0.02
2014-12-16,0.01,0.01,0.01,0.01,44600,0.01
2014-12-15,0.01,0.02,0.01,0.02,90200,0.02
2014-12-12,0.01,0.04,0.01,0.02,94800,0.02
2014-12-11,0.02,0.02,0.01,0.02,601500,0.02
2014-12-10,0.03,0.03,0.01,0.02,183700,0.02
2014-12-09,0.03,0.06,0.02,0.03,1189100,0.03
2014-12-08,0.02,0.04,0.01,0.04,536200,0.04
2014-12-05,0.03,0.03,0.03,0.03,14200,0.03
2014-12-04,0.03,0.04,0.03,0.03,47500,0.03
2014-12-03,0.03,0.04,0.03,0.03,26000,0.03
2014-12-02,0.02,0.03,0.02,0.03,98900,0.03
2014-12-01,0.03,0.03,0.03,0.03,377200,0.03
2014-11-28,0.03,0.03,0.03,0.03,88800,0.03
2014-11-26,0.03,0.03,0.03,0.03,43400,0.03
2014-11-25,0.03,0.03,0.03,0.03,59000,0.03
2014-11-24,0.03,0.04,0.03,0.03,75600,0.03
2014-11-21,0.04,0.04,0.03,0.03,130400,0.03
2014-11-20,0.03,0.04,0.03,0.03,11800,0.03
2014-11-19,0.03,0.03,0.03,0.03,2800,0.03
2014-11-18,0.03,0.06,0.03,0.04,123700,0.04
2014-11-17,0.05,0.05,0.03,0.03,14200,0.03
2014-11-14,0.01,0.07,0.01,0.06,210800,0.06
2014-11-13,0.02,0.02,0.02,0.02,20200,0.02
2014-11-12,0.02,0.03,0.02,0.03,5800,0.03
