Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,60.869999,61.700001,60.00,60.419998,220000,60.419998
2015-09-03,63.18,63.779999,61.23,61.810001,538700,61.810001
2015-09-02,62.119999,63.490002,60.830002,63.34,324900,63.34
2015-09-01,60.799999,62.130001,60.799999,61.25,290700,61.25
2015-08-31,63.720001,64.150002,62.009998,62.34,299100,62.34
2015-08-28,65.400002,67.769997,63.75,64.519997,395700,64.519997
2015-08-27,62.880001,65.099998,62.220001,64.389999,420200,64.389999
2015-08-26,61.810001,62.419998,60.23,62.080002,225700,62.080002
2015-08-25,63.23,64.220001,60.169998,60.290001,253700,60.290001
2015-08-24,61.650002,63.209999,56.639999,61.139999,479900,61.139999
2015-08-21,65.25,66.150002,64.099998,65.220001,406400,65.220001
2015-08-20,69.739998,70.160004,66.379997,66.550003,322200,66.550003
2015-08-19,71.260002,71.279999,70.00,70.349998,181900,70.349998
2015-08-18,71.07,71.68,70.489998,71.169998,202600,71.169998
2015-08-17,70.400002,71.730003,69.650002,71.470001,175900,71.470001
2015-08-14,69.910004,70.739998,69.309998,70.660004,119700,70.660004
2015-08-13,69.860001,70.730003,69.150002,70.050003,252400,70.050003
2015-08-12,68.580002,70.209999,67.610001,69.889999,267300,69.889999
2015-08-11,70.440002,71.470001,69.279999,69.389999,250700,69.389999
2015-08-10,71.220001,72.489998,70.959999,71.07,304100,71.07
2015-08-07,71.07,71.660004,70.309998,71.190002,363600,71.190002
2015-08-06,72.910004,73.220001,70.610001,71.300003,205100,71.300003
2015-08-05,73.589996,74.540001,72.559998,72.940002,277700,72.940002
2015-08-04,73.029999,74.00,72.650002,73.260002,289300,73.260002
2015-08-03,73.510002,74.25,72.559998,73.07,235300,73.07
2015-07-31,73.980003,74.50,73.190002,73.580002,270300,73.580002
2015-07-30,73.029999,74.940002,72.50,73.93,302500,73.93
2015-07-29,73.849998,74.019997,72.610001,73.790001,603000,73.790001
2015-07-28,73.169998,74.080002,72.019997,73.790001,365100,73.790001
2015-07-27,72.269997,73.300003,70.75,73.169998,701500,73.169998
2015-07-24,72.949997,75.419998,71.510002,72.209999,1766900,72.209999
2015-07-23,66.860001,67.900002,64.660004,65.510002,483700,65.510002
2015-07-22,65.639999,66.860001,65.639999,66.199997,223700,66.199997
2015-07-21,65.949997,66.279999,65.220001,65.75,191000,65.75
2015-07-20,65.00,65.910004,64.550003,65.809998,230000,65.809998
2015-07-17,65.00,65.489998,64.57,64.919998,228600,64.919998
2015-07-16,64.720001,65.379997,64.510002,64.699997,282100,64.699997
2015-07-15,64.279999,64.879997,63.919998,64.059998,117600,64.059998
2015-07-14,64.040001,64.709999,64.040001,64.419998,161100,64.419998
2015-07-13,63.299999,64.870003,63.299999,63.939999,186000,63.939999
2015-07-10,63.34,63.400002,62.689999,63.209999,321000,63.209999
2015-07-09,62.450001,63.52,62.099998,62.59,228400,62.59
2015-07-08,62.02,62.810001,61.25,61.669998,290100,61.669998
2015-07-07,62.200001,62.580002,60.27,62.490002,311100,62.490002
2015-07-06,62.889999,63.360001,61.889999,62.23,275700,62.23
2015-07-02,64.510002,64.889999,63.240002,63.52,147900,63.52
2015-07-01,64.82,65.00,63.93,64.510002,243000,64.510002
2015-06-30,64.18,64.779999,63.68,64.489998,155800,64.489998
2015-06-29,64.779999,64.970001,63.330002,63.459999,167300,63.459999
2015-06-26,67.00,67.00,64.879997,65.190002,283300,65.190002
2015-06-25,67.440002,67.639999,66.50,66.980003,125700,66.980003
2015-06-24,67.459999,67.669998,66.699997,67.139999,120700,67.139999
2015-06-23,66.82,67.860001,66.50,67.449997,236300,67.449997
2015-06-22,67.199997,67.260002,66.400002,67.099998,204500,67.099998
2015-06-19,66.870003,66.989998,66.220001,66.860001,241500,66.860001
2015-06-18,66.669998,67.230003,66.50,66.739998,136800,66.739998
2015-06-17,66.610001,67.459999,66.370003,66.519997,194700,66.519997
2015-06-16,65.510002,67.330002,65.510002,66.580002,175900,66.580002
2015-06-15,66.269997,66.529999,65.040001,65.660004,175400,65.660004
2015-06-12,64.400002,66.669998,64.150002,66.489998,254700,66.489998
2015-06-11,65.07,65.099998,63.860001,64.43,151500,64.43
2015-06-10,64.00,65.620003,63.419998,64.959999,246300,64.959999
2015-06-09,64.00,64.129997,63.41,63.59,156500,63.59
2015-06-08,63.549999,64.550003,63.02,64.150002,230500,64.150002
