Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,16.00,17.469999,15.77,17.040001,441800,17.040001
2015-09-03,17.25,17.825001,16.459999,16.530001,517600,16.530001
2015-09-02,15.82,16.99,15.27,16.93,640300,16.93
2015-09-01,14.60,15.71,14.03,15.59,437300,15.59
2015-08-31,14.39,15.93,14.32,14.72,607800,14.72
2015-08-28,13.21,14.19,13.21,13.84,302500,13.84
2015-08-27,13.23,13.85,13.06,13.36,181700,13.36
2015-08-26,13.00,13.25,12.64,13.08,176500,13.08
2015-08-25,12.88,13.17,12.446,12.69,168400,12.69
2015-08-24,12.38,13.602,11.53,12.56,384100,12.56
2015-08-21,14.64,14.96,13.55,13.76,471600,13.76
2015-08-20,14.77,15.70,14.59,14.94,305500,14.94
2015-08-19,14.76,15.474,14.15,14.91,335900,14.91
2015-08-18,16.35,16.50,14.84,14.98,462700,14.98
2015-08-17,16.889999,16.889999,15.80,16.139999,310400,16.139999
2015-08-14,16.00,17.15,15.66,16.51,371200,16.51
2015-08-13,16.10,16.698,15.90,15.96,259600,15.96
2015-08-12,17.049999,17.16,15.348,16.190001,929700,16.190001
2015-08-11,13.53,17.83,13.53,17.370001,2014100,17.370001
2015-08-10,13.21,14.96,13.16,13.97,574000,13.97
2015-08-07,12.95,13.35,12.57,13.20,239900,13.20
2015-08-06,13.02,13.50,12.59,12.94,243500,12.94
2015-08-05,13.00,13.63,12.812,13.06,222300,13.06
2015-08-04,12.91,13.10,12.53,12.96,254400,12.96
2015-08-03,12.27,13.40,12.27,12.76,202600,12.76
2015-07-31,11.84,12.47,11.76,12.36,140200,12.36
2015-07-30,12.35,12.46,11.59,12.19,209900,12.19
2015-07-29,13.15,13.15,12.30,12.43,297400,12.43
2015-07-28,12.58,13.484,12.38,13.07,259100,13.07
2015-07-27,12.75,12.76,11.68,12.51,232400,12.51
2015-07-24,13.41,13.78,12.75,12.93,383700,12.93
2015-07-23,14.08,14.18,12.64,13.54,638000,13.54
2015-07-22,12.50,14.48,12.06,13.69,1930900,13.69
2015-07-21,11.56,11.80,11.07,11.79,301000,11.79
2015-07-20,11.15,11.99,11.10,11.65,521200,11.65
2015-07-17,10.76,11.14,10.25,11.02,380200,11.02
2015-07-16,9.64,10.78,9.35,10.72,524400,10.72
2015-07-15,9.13,9.60,9.12,9.50,351400,9.50
2015-07-14,8.40,9.11,8.32,9.08,292600,9.08
2015-07-13,8.53,8.67,8.30,8.42,116000,8.42
2015-07-10,8.11,8.58,8.11,8.51,122300,8.51
2015-07-09,8.00,8.196,7.85,8.06,66600,8.06
2015-07-08,8.27,8.27,7.88,7.89,177500,7.89
2015-07-07,8.69,8.69,8.10,8.32,236200,8.32
2015-07-06,8.78,9.00,8.56,8.69,171100,8.69
2015-07-02,8.82,8.93,8.614,8.83,180100,8.83
2015-07-01,8.76,8.925,8.58,8.76,440900,8.76
2015-06-30,8.20,8.75,8.15,8.58,610300,8.58
2015-06-29,8.42,8.42,7.89,8.16,220100,8.16
2015-06-26,8.25,8.43,8.06,8.42,192400,8.42
2015-06-25,8.05,8.37,7.69,8.20,282900,8.20
2015-06-24,8.50,8.50,7.96,8.00,248300,8.00
2015-06-23,8.21,8.50,8.18,8.38,375900,8.38
2015-06-22,8.00,8.15,7.947,8.06,143700,8.06
2015-06-19,7.90,8.07,7.83,8.00,169400,8.00
2015-06-18,7.64,8.08,7.543,7.91,320900,7.91
2015-06-17,7.29,7.70,7.246,7.61,281000,7.61
2015-06-16,7.29,7.33,7.20,7.29,65000,7.29
2015-06-15,7.35,7.40,7.19,7.28,109200,7.28
