Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,38.900002,39.32,38.889999,39.209999,793300,39.209999
2015-09-03,39.619999,40.23,39.00,39.209999,820200,39.209999
2015-09-02,39.880001,39.990002,39.299999,39.619999,1152500,39.619999
2015-09-01,39.779999,40.330002,39.029999,39.400002,1958500,39.400002
2015-08-31,40.27,40.470001,39.950001,40.220001,362400,40.220001
2015-08-28,39.990002,40.68,39.639999,40.34,397300,40.34
2015-08-27,40.259998,40.50,39.580002,40.200001,1099700,40.200001
2015-08-26,40.25,40.25,38.59,40.00,1584000,40.00
2015-08-25,40.599998,40.599998,39.389999,39.450001,1877700,39.450001
2015-08-24,38.73,40.240002,37.720001,39.50,1337900,39.50
2015-08-21,41.810001,42.09,40.860001,40.939999,983700,40.939999
2015-08-20,42.52,42.610001,42.189999,42.23,938000,42.23
2015-08-19,43.50,43.68,42.82,42.82,518600,42.82
2015-08-18,43.080002,43.619999,43.080002,43.529999,702800,43.529999
2015-08-17,42.549999,43.580002,42.50,43.490002,557900,43.490002
2015-08-14,42.25,42.889999,42.220001,42.830002,375000,42.830002
2015-08-13,42.82,43.009998,42.450001,42.549999,425100,42.549999
2015-08-12,42.200001,42.900002,41.740002,42.869999,754600,42.619998
2015-08-11,43.209999,43.209999,42.419998,42.75,689100,42.500699
2015-08-10,43.369999,43.91,43.169998,43.529999,600100,43.276149
2015-08-07,43.68,43.84,42.650002,43.23,534700,42.9779
2015-08-06,43.23,44.450001,43.169998,43.740002,1636700,43.484928
2015-08-05,46.700001,47.029999,43.549999,43.66,3570500,43.405392
2015-08-04,47.50,48.18,46.889999,48.09,1271700,47.809559
2015-08-03,47.080002,47.349998,46.740002,47.34,1040200,47.063932
2015-07-31,46.959999,47.34,46.470001,47.150002,828100,46.875042
2015-07-30,47.049999,47.34,46.52,47.09,1203500,46.81539
2015-07-29,46.650002,47.369999,46.50,47.220001,578000,46.944633
2015-07-28,46.23,46.880001,45.860001,46.779999,548400,46.507197
2015-07-27,46.419998,46.419998,45.43,45.84,922900,45.57268
2015-07-24,46.630001,46.790001,46.119999,46.59,484300,46.318306
2015-07-23,47.16,47.240002,46.369999,46.52,485500,46.248714
2015-07-22,46.299999,47.049999,46.259998,46.93,313200,46.656323
2015-07-21,47.099998,47.299999,46.169998,46.400002,944700,46.129415
2015-07-20,47.490002,47.669998,47.07,47.360001,415600,47.083816
2015-07-17,46.810001,47.52,46.740002,47.450001,837100,47.173291
2015-07-16,46.66,47.110001,46.330002,47.02,445700,46.745799
2015-07-15,45.650002,46.509998,45.32,46.240002,869300,45.970349
2015-07-14,45.950001,46.740002,45.919998,46.349998,623100,46.079704
2015-07-13,45.900002,46.189999,45.610001,46.16,531400,45.890813
2015-07-10,45.439999,45.439999,44.470001,45.400002,581800,45.135247
2015-07-09,44.93,45.189999,44.119999,44.599998,461900,44.339909
2015-07-08,45.23,45.299999,44.169998,44.25,522000,43.991952
2015-07-07,46.080002,46.080002,44.630001,45.689999,722900,45.423553
2015-07-06,46.279999,46.689999,45.759998,46.07,882300,45.801338
2015-07-02,46.630001,47.040001,46.360001,46.720001,589200,46.447549
2015-07-01,47.060001,47.290001,46.529999,46.799999,417800,46.52708
2015-06-30,46.43,47.16,45.98,46.490002,832500,46.218891
