Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,4.43,4.43,4.43,4.43,000,4.43
2015-08-17,4.37,4.45,4.36,4.43,259400,4.43
2015-08-14,4.42,4.56,4.35,4.35,750700,4.35
2015-08-13,4.38,4.46,4.37,4.42,105500,4.42
2015-08-12,4.47,4.47,4.37,4.41,149000,4.41
2015-08-11,4.44,4.51,4.44,4.48,142000,4.48
2015-08-10,4.49,4.51,4.48,4.48,233500,4.48
2015-08-07,4.47,4.52,4.45,4.51,140500,4.51
2015-08-06,4.44,4.48,4.44,4.47,231400,4.47
2015-08-05,4.43,4.47,4.43,4.44,31300,4.44
2015-08-04,4.39,4.47,4.39,4.47,194400,4.47
2015-08-03,4.38,4.40,4.36,4.39,126600,4.39
2015-07-31,4.40,4.41,4.36,4.38,60700,4.38
2015-07-30,4.40,4.43,4.37,4.38,125500,4.38
2015-07-29,4.37,4.43,4.37,4.41,93000,4.41
2015-07-28,4.34,4.40,4.34,4.37,85300,4.37
2015-07-27,4.35,4.40,4.35,4.36,120100,4.36
2015-07-24,4.41,4.41,4.33,4.37,131900,4.37
2015-07-23,4.42,4.43,4.40,4.41,159900,4.41
2015-07-22,4.42,4.44,4.42,4.43,151200,4.43
2015-07-21,4.39,4.44,4.39,4.43,236400,4.43
2015-07-20,4.42,4.43,4.39,4.40,262700,4.40
2015-07-17,4.46,4.47,4.41,4.43,225600,4.43
2015-07-16,4.50,4.51,4.46,4.46,260100,4.46
2015-07-15,4.51,4.52,4.50,4.51,98800,4.51
2015-07-14,4.47,4.53,4.47,4.50,72200,4.50
2015-07-13,4.49,4.53,4.49,4.52,99900,4.52
2015-07-10,4.52,4.54,4.48,4.49,71600,4.49
2015-07-09,4.53,4.53,4.50,4.52,48400,4.52
2015-07-08,4.53,4.55,4.47,4.51,58600,4.51
2015-07-07,4.55,4.56,4.44,4.56,146700,4.56
2015-07-06,4.54,4.59,4.54,4.54,194100,4.54
2015-07-02,4.52,4.60,4.51,4.56,230000,4.56
2015-07-01,4.59,4.61,4.50,4.53,709600,4.53
