Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,17.42,17.969999,17.42,17.780001,32000,17.780001
2015-09-03,17.629999,17.940001,17.57,17.629999,24200,17.629999
2015-09-02,17.549999,17.719999,17.360001,17.719999,26300,17.719999
2015-09-01,17.23,17.50,17.120001,17.280001,42700,17.280001
2015-08-31,17.60,18.01,17.42,17.549999,21900,17.549999
2015-08-28,17.530001,17.959999,17.50,17.75,28500,17.75
2015-08-27,17.690001,17.91,17.23,17.67,42000,17.67
2015-08-26,17.299999,17.98,16.73,17.52,35900,17.52
2015-08-25,17.440001,17.51,16.809999,17.01,53300,17.01
2015-08-24,16.450001,17.59,16.450001,16.82,59500,16.82
2015-08-21,17.42,18.01,17.280001,17.60,74700,17.60
2015-08-20,17.77,17.950001,17.700001,17.75,32900,17.75
2015-08-19,17.84,18.389999,17.799999,18.02,47500,18.02
2015-08-18,18.42,18.42,17.950001,18.15,30700,18.15
2015-08-17,18.51,18.719999,18.290001,18.50,30000,18.50
2015-08-14,18.43,18.809999,18.290001,18.559999,37800,18.559999
2015-08-13,18.42,18.60,18.059999,18.440001,40200,18.440001
2015-08-12,18.65,18.98,17.940001,18.51,65700,18.51
2015-08-11,18.629999,18.91,18.51,18.73,33000,18.73
2015-08-10,18.90,18.969999,18.65,18.82,26400,18.82
2015-08-07,18.60,19.15,18.42,18.719999,38700,18.719999
2015-08-06,19.040001,19.049999,18.280001,18.700001,34100,18.700001
2015-08-05,18.809999,18.940001,18.51,18.809999,30400,18.809999
2015-08-04,18.65,18.700001,18.50,18.60,23500,18.60
2015-08-03,18.559999,18.65,18.35,18.65,25500,18.65
2015-07-31,18.709999,18.98,18.50,18.610001,32700,18.610001
2015-07-30,18.799999,18.870001,18.50,18.639999,31400,18.639999
2015-07-29,18.68,19.49,18.27,18.690001,56200,18.690001
2015-07-28,18.709999,19.52,17.16,18.60,62700,18.60
2015-07-27,18.799999,19.049999,17.280001,18.540001,55600,18.540001
2015-07-24,20.15,20.200001,18.889999,19.059999,54500,19.059999
2015-07-23,20.07,20.49,19.860001,20.27,73000,20.27
2015-07-22,19.84,20.16,19.620001,19.870001,35500,19.870001
2015-07-21,20.059999,20.379999,19.780001,19.90,25300,19.90
2015-07-20,20.43,20.43,19.92,20.02,50400,20.02
2015-07-17,20.860001,20.860001,20.200001,20.27,34000,20.27
2015-07-16,20.870001,21.139999,20.52,20.77,44700,20.77
2015-07-15,20.870001,20.950001,20.50,20.790001,64100,20.790001
2015-07-14,20.90,21.17,20.58,20.950001,68900,20.950001
2015-07-13,20.73,21.120001,20.700001,20.82,77400,20.82
