Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.05,13.12,12.76,12.79,256600,12.57183
2014-12-30,12.93,13.11,12.93,12.96,166300,12.73893
2014-12-29,12.93,13.15,12.91,13.06,194400,12.709443
2014-12-26,13.06,13.10,12.91,12.93,173200,12.582932
2014-12-24,13.06,13.22,12.88,12.98,130600,12.63159
2014-12-23,13.09,13.28,12.88,13.07,361700,12.719174
2014-12-22,12.96,13.11,12.85,12.99,330400,12.641321
2014-12-19,13.30,13.38,12.81,12.88,1350200,12.534274
2014-12-18,13.35,13.38,13.03,13.35,415900,12.991659
2014-12-17,12.56,13.18,12.52,13.17,400200,12.81649
2014-12-16,12.45,12.75,12.45,12.56,403400,12.222864
2014-12-15,13.11,13.13,12.59,12.60,341500,12.26179
2014-12-12,13.11,13.20,12.92,13.03,193800,12.680248
2014-12-11,13.29,13.52,13.22,13.23,244500,12.874879
2014-12-10,13.10,13.22,12.93,13.18,334900,12.826222
2014-12-09,12.73,13.10,12.61,13.09,455800,12.738638
2014-12-08,13.06,13.23,12.84,12.84,389000,12.495348
2014-12-05,12.91,13.10,12.91,13.06,372400,12.709443
2014-12-04,13.01,13.09,12.88,12.91,669600,12.563469
2014-12-03,12.80,13.03,12.80,12.97,325800,12.621859
2014-12-02,12.82,13.00,12.80,12.82,347900,12.475885
2014-12-01,13.08,13.22,12.76,12.76,439400,12.417496
2014-11-28,13.26,13.36,13.03,13.06,144800,12.709443
2014-11-26,13.25,13.34,13.13,13.28,230700,12.923537
2014-11-25,12.98,13.18,12.93,13.18,240200,12.826222
2014-11-24,12.71,12.98,12.71,12.96,286000,12.612127
2014-11-21,12.87,12.87,12.65,12.67,219500,12.329911
2014-11-20,12.72,12.85,12.64,12.78,120100,12.436958
2014-11-19,12.78,12.84,12.64,12.73,197600,12.3883
2014-11-18,12.73,12.81,12.65,12.76,294900,12.417496
2014-11-17,12.75,12.80,12.56,12.69,519400,12.349374
2014-11-14,12.79,12.85,12.68,12.70,364600,12.359106
2014-11-13,12.81,12.87,12.63,12.74,472900,12.398032
2014-11-12,12.60,12.81,12.53,12.69,551800,12.349374
2014-11-11,12.47,12.69,12.44,12.61,770600,12.271521
2014-11-10,12.50,12.63,12.43,12.45,602800,12.115816
2014-11-07,12.61,12.80,12.49,12.50,734900,12.164474
2014-11-06,12.85,12.90,12.47,12.61,1020100,12.271521
2014-11-05,12.17,12.32,11.97,12.30,593000,11.969843
2014-11-04,11.99,12.35,11.93,12.06,435700,11.736285
2014-11-03,12.02,12.10,11.89,11.99,317900,11.668164
2014-10-31,12.08,12.25,11.79,11.95,430600,11.629237
2014-10-30,11.92,12.03,11.79,11.92,364800,11.600043
2014-10-29,12.59,12.70,11.93,11.95,1097700,11.629237
2014-10-28,12.20,12.59,12.14,12.57,259500,12.232595
2014-10-27,12.10,12.26,11.96,12.17,134400,11.843332
2014-10-24,12.02,12.11,11.83,12.10,135100,11.775211
2014-10-23,11.99,12.19,11.89,11.97,211700,11.648701
2014-10-22,11.86,12.05,11.75,11.92,322500,11.600043
2014-10-21,11.57,11.88,11.54,11.82,230800,11.502727
2014-10-20,11.44,11.61,11.42,11.52,251900,11.21078
2014-10-17,11.53,11.57,11.22,11.43,300500,11.123196
2014-10-16,11.19,11.44,11.10,11.41,306800,11.103732
2014-10-15,11.22,11.42,11.13,11.30,321800,10.996685
2014-10-14,11.37,11.50,11.24,11.34,347900,11.035611
2014-10-13,11.15,11.43,11.12,11.27,247100,10.96749
2014-10-10,11.11,11.35,11.01,11.18,176200,10.879906
2014-10-09,11.17,11.24,11.05,11.16,211200,10.860442
2014-10-08,11.05,11.23,10.92,11.16,301400,10.860442
2014-10-07,11.13,11.17,10.95,11.04,266100,10.743664
2014-10-06,11.13,11.27,11.05,11.16,133800,10.860442
2014-10-03,11.29,11.31,11.11,11.15,209500,10.850711
2014-10-02,11.14,11.38,11.13,11.17,181200,10.870174
2014-10-01,11.13,11.25,11.02,11.13,281400,10.831248
2014-09-30,11.31,11.31,11.07,11.08,321900,10.78259
2014-09-29,11.30,11.35,11.17,11.26,213300,10.957759
2014-09-26,11.53,11.68,11.38,11.47,308900,11.055074
2014-09-25,11.58,11.58,11.34,11.47,245100,11.055074
2014-09-24,11.55,11.66,11.49,11.56,188400,11.141819
2014-09-23,11.83,11.97,11.47,11.53,340500,11.112903
2014-09-22,12.08,12.20,11.83,11.83,125700,11.402051
2014-09-19,12.00,12.17,11.97,12.11,672100,11.671922
2014-09-18,11.80,11.95,11.78,11.93,271500,11.498434
2014-09-17,11.80,11.95,11.77,11.81,197400,11.382775
2014-09-16,11.82,11.93,11.76,11.81,212100,11.382775
2014-09-15,11.85,11.89,11.75,11.81,279400,11.382775
