Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,2.65,2.70,2.60,2.68,20700,2.68
2015-09-03,2.68,2.68,2.61,2.64,32400,2.64
2015-09-02,2.68,2.68,2.61,2.67,15100,2.67
2015-09-01,2.66,2.69,2.58,2.65,45300,2.65
2015-08-31,2.71,2.75,2.68,2.68,25500,2.68
2015-08-28,2.73,2.77,2.71,2.74,25700,2.74
2015-08-27,2.80,2.80,2.65,2.75,42800,2.75
2015-08-26,2.70,2.75,2.61,2.74,56100,2.74
2015-08-25,2.64,2.75,2.51,2.64,128800,2.64
2015-08-24,2.66,2.71,2.63,2.63,189000,2.63
2015-08-21,2.77,2.77,2.69,2.70,73200,2.70
2015-08-20,2.84,2.84,2.80,2.80,40900,2.80
2015-08-19,2.85,2.89,2.79,2.85,37300,2.85
2015-08-18,2.82,2.89,2.76,2.83,79200,2.83
2015-08-17,2.81,2.82,2.76,2.80,37800,2.80
2015-08-14,2.68,2.81,2.68,2.72,22700,2.72
2015-08-13,2.70,2.78,2.69,2.71,23100,2.71
2015-08-12,2.66,2.76,2.66,2.71,34500,2.71
2015-08-11,2.70,2.71,2.60,2.66,85100,2.66
2015-08-10,2.85,2.87,2.70,2.70,115000,2.70
2015-08-07,2.97,2.97,2.89,2.89,47300,2.89
2015-08-06,2.93,2.97,2.92,2.95,27400,2.95
2015-08-05,2.89,2.96,2.89,2.93,57700,2.93
2015-08-04,2.95,2.96,2.90,2.91,59100,2.91
2015-08-03,2.93,2.99,2.93,2.96,52800,2.96
2015-07-31,2.91,2.99,2.90,2.93,31500,2.93
2015-07-30,2.88,2.94,2.87,2.92,61900,2.92
2015-07-29,2.90,2.91,2.85,2.88,86100,2.88
2015-07-28,2.81,2.90,2.80,2.80,51800,2.80
2015-07-27,2.82,2.84,2.77,2.81,54200,2.81
2015-07-24,2.83,2.83,2.75,2.80,35700,2.80
2015-07-23,2.80,2.88,2.78,2.80,50400,2.80
2015-07-22,2.87,2.87,2.80,2.83,33000,2.83
2015-07-21,2.82,2.90,2.82,2.87,53200,2.87
2015-07-20,2.80,2.89,2.78,2.79,179500,2.79
2015-07-17,2.80,2.83,2.74,2.79,63200,2.79
2015-07-16,2.76,2.80,2.74,2.77,44300,2.77
2015-07-15,2.81,2.83,2.73,2.74,54600,2.74
2015-07-14,2.75,2.85,2.75,2.81,137500,2.81
2015-07-13,2.62,2.75,2.62,2.74,71700,2.74
2015-07-10,2.60,2.62,2.59,2.62,82000,2.62
2015-07-09,2.63,2.63,2.55,2.61,135400,2.61
2015-07-08,2.64,2.64,2.60,2.62,64600,2.62
2015-07-07,2.64,2.64,2.58,2.62,66100,2.62
2015-07-06,2.55,2.65,2.55,2.62,98000,2.62
2015-07-02,2.63,2.63,2.60,2.63,34000,2.63
2015-07-01,2.62,2.63,2.60,2.63,46300,2.63
2015-06-30,2.58,2.64,2.58,2.60,37000,2.60
2015-06-29,2.64,2.64,2.60,2.60,53300,2.60
2015-06-26,2.62,2.63,2.58,2.63,30200,2.63
2015-06-25,2.58,2.62,2.58,2.62,54600,2.62
2015-06-24,2.58,2.61,2.58,2.58,53100,2.58
2015-06-23,2.61,2.61,2.58,2.58,31000,2.58
2015-06-22,2.63,2.63,2.58,2.61,67300,2.61
2015-06-19,2.61,2.64,2.60,2.60,42400,2.60
2015-06-18,2.66,2.68,2.61,2.61,111100,2.61
2015-06-17,2.66,2.67,2.66,2.66,48900,2.66
2015-06-16,2.69,2.69,2.66,2.66,44700,2.66
2015-06-15,2.66,2.68,2.66,2.68,83400,2.68
2015-06-12,2.60,2.63,2.57,2.62,55100,2.62
2015-06-11,2.60,2.63,2.58,2.60,48300,2.60
2015-06-10,2.64,2.64,2.58,2.62,49600,2.62
2015-06-09,2.70,2.70,2.60,2.61,68300,2.61
2015-06-08,2.65,2.70,2.58,2.68,109900,2.68
2015-06-05,2.65,2.65,2.63,2.64,55300,2.64
2015-06-04,2.69,2.69,2.63,2.65,71000,2.65
2015-06-03,2.62,2.69,2.60,2.67,75800,2.67
2015-06-02,2.58,2.61,2.56,2.60,65600,2.60
2015-06-01,2.50,2.61,2.50,2.58,128900,2.58
2015-05-29,2.49,2.53,2.49,2.51,43700,2.51
2015-05-28,2.48,2.52,2.47,2.50,58100,2.50
2015-05-27,2.49,2.52,2.45,2.52,73700,2.52
2015-05-26,2.50,2.51,2.42,2.50,74000,2.50
2015-05-22,2.50,2.52,2.45,2.50,114000,2.50
2015-05-21,2.50,2.51,2.46,2.51,187300,2.51
2015-05-20,2.45,2.51,2.45,2.50,175300,2.50
2015-05-19,2.44,2.51,2.40,2.48,226200,2.48
2015-05-18,2.35,2.43,2.35,2.43,156100,2.43
2015-05-15,2.36,2.40,2.30,2.37,181000,2.37
2015-05-14,2.45,2.45,2.38,2.38,127100,2.38
2015-05-13,2.31,2.42,2.27,2.41,209000,2.41
2015-05-12,2.62,2.66,2.32,2.36,951800,2.36
2015-05-11,2.71,2.71,2.57,2.65,118100,2.65
2015-05-08,2.67,2.70,2.62,2.68,100400,2.68
2015-05-07,2.54,2.68,2.54,2.64,91700,2.64
