Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.50,14.50,13.29,13.75,3200,13.474463
2014-12-30,14.19,14.78,13.26,13.99,10100,13.709653
2014-12-29,14.06,14.25,14.06,14.12,12300,13.837048
2014-12-26,13.69,13.91,13.02,13.85,4300,13.572459
2014-12-24,13.81,13.81,13.00,13.35,2800,13.082479
2014-12-23,13.85,13.85,12.80,13.51,5100,13.239272
2014-12-22,13.30,13.49,12.56,13.47,14000,13.200074
2014-12-19,12.89,13.84,12.60,13.40,9900,13.131476
2014-12-18,12.79,13.30,12.55,12.90,6900,12.641495
2014-12-17,12.90,13.26,12.51,12.51,10600,12.259311
2014-12-16,13.00,13.11,12.95,13.04,2600,12.77869
2014-12-15,13.20,13.20,13.00,13.01,1300,12.749292
2014-12-12,13.41,13.41,13.26,13.26,2700,12.994282
2014-12-11,13.74,13.74,12.93,13.39,2300,13.121677
2014-12-10,13.27,13.27,13.20,13.20,1200,12.935484
2014-12-09,13.82,13.82,12.82,13.27,3000,13.004082
2014-12-08,12.46,13.80,12.46,13.80,1900,13.523461
2014-12-05,12.91,12.91,12.50,12.80,3700,12.5435
2014-12-04,12.81,12.85,12.50,12.50,9900,12.249511
2014-12-03,13.24,13.84,12.76,12.81,2100,12.5533
2014-12-02,12.86,12.90,12.65,12.75,5100,12.494502
2014-12-01,13.39,13.65,13.00,13.05,10200,12.78849
2014-11-28,13.55,13.55,13.48,13.48,1000,13.209873
2014-11-26,13.58,13.58,13.58,13.58,300,13.307869
2014-11-25,13.34,13.93,13.25,13.49,8300,13.219673
2014-11-24,13.45,14.25,13.26,13.26,8300,12.994282
2014-11-21,13.28,13.92,13.28,13.30,2500,13.03348
2014-11-20,14.12,14.17,13.50,13.50,2500,13.229472
2014-11-19,13.75,13.95,13.74,13.94,5600,13.660655
2014-11-18,13.46,13.77,13.35,13.70,6900,13.425464
2014-11-17,13.49,14.84,13.20,13.26,9400,12.994282
2014-11-14,13.26,13.45,13.25,13.25,1900,12.984482
2014-11-13,13.25,13.25,13.25,13.25,000,12.984482
2014-11-12,13.11,13.25,12.90,13.25,4200,12.984482
2014-11-11,13.00,13.04,12.80,13.04,6900,12.77869
2014-11-10,12.80,13.00,12.79,13.00,5900,12.739492
2014-11-07,12.57,12.97,12.51,12.80,10000,12.5435
2014-11-06,12.72,12.99,12.36,12.75,3500,12.494502
2014-11-05,12.86,13.00,12.69,12.99,4500,12.651296
