Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,25.66,27.280001,25.280001,25.85,185800,25.85
2015-09-03,27.799999,28.450001,25.77,25.98,86200,25.98
2015-09-02,27.049999,27.969999,25.879999,27.84,106500,27.84
2015-09-01,25.16,27.219999,25.15,26.57,130000,26.57
2015-08-31,26.48,27.24,25.559999,25.82,113300,25.82
2015-08-28,25.120001,26.709999,25.120001,26.66,60900,26.66
2015-08-27,25.379999,25.559999,24.059999,25.49,126800,25.49
2015-08-26,23.190001,25.00,22.799999,24.92,130400,24.92
2015-08-25,22.42,23.219999,21.879999,22.559999,112400,22.559999
2015-08-24,21.00,23.450001,20.68,21.58,119300,21.58
2015-08-21,21.10,22.879999,21.10,22.18,112100,22.18
2015-08-20,22.57,22.889999,21.65,21.690001,127900,21.690001
2015-08-19,23.059999,24.25,22.66,22.77,128300,22.77
2015-08-18,23.959999,23.969999,22.690001,23.41,110800,23.41
2015-08-17,22.299999,24.040001,22.209999,23.90,47600,23.90
2015-08-14,22.50,22.790001,21.15,22.50,78000,22.50
2015-08-13,22.58,24.00,22.389999,22.49,79500,22.49
2015-08-12,22.440001,22.799999,20.85,22.559999,125500,22.559999
2015-08-11,23.83,23.889999,22.280001,22.360001,139000,22.360001
2015-08-10,24.10,24.51,22.27,23.77,213000,23.77
2015-08-07,26.950001,26.950001,22.299999,24.10,268000,24.10
2015-08-06,28.33,30.48,26.209999,27.120001,136900,27.120001
2015-08-05,28.280001,29.24,27.98,28.120001,76100,28.120001
2015-08-04,28.139999,28.690001,27.68,27.82,110200,27.82
2015-08-03,28.780001,29.450001,27.77,27.959999,94300,27.959999
2015-07-31,27.709999,29.389999,27.10,28.610001,90000,28.610001
2015-07-30,27.52,27.690001,26.299999,27.50,73600,27.50
2015-07-29,29.370001,29.370001,27.08,27.459999,59400,27.459999
2015-07-28,28.18,30.35,27.280001,29.299999,118700,29.299999
2015-07-27,28.440001,28.559999,27.450001,28.24,84900,28.24
2015-07-24,29.809999,30.129999,28.559999,28.719999,79200,28.719999
2015-07-23,31.40,31.50,29.76,29.91,83000,29.91
2015-07-22,31.27,31.440001,30.25,31.18,157400,31.18
2015-07-21,33.080002,33.23,31.32,31.459999,65800,31.459999
2015-07-20,33.150002,33.50,32.41,32.970001,73200,32.970001
2015-07-17,33.380001,33.740002,32.799999,32.950001,114500,32.950001
2015-07-16,33.709999,34.040001,32.790001,33.48,220900,33.48
2015-07-15,34.029999,34.970001,33.349998,33.48,54600,33.48
2015-07-14,33.790001,34.900002,33.330002,33.849998,105500,33.849998
2015-07-13,32.029999,33.810001,31.940001,33.630001,151300,33.630001
2015-07-10,31.24,32.200001,31.00,31.67,89400,31.67
2015-07-09,31.370001,31.42,30.66,30.860001,60800,30.860001
2015-07-08,31.52,31.559999,30.73,30.809999,158900,30.809999
2015-07-07,32.02,32.220001,31.02,31.68,72200,31.68
2015-07-06,31.18,32.900002,30.790001,31.85,79500,31.85
