Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,31.440001,32.110001,31.01,31.280001,104300,31.280001
2014-12-30,31.90,32.34,31.10,31.25,95200,31.25
2014-12-29,31.25,32.060001,30.549999,31.959999,165700,31.959999
2014-12-26,32.610001,32.799999,31.91,32.169998,133700,32.169998
2014-12-24,31.99,32.779999,31.809999,32.389999,94900,32.389999
2014-12-23,32.110001,32.139999,31.50,31.82,95200,31.82
2014-12-22,31.700001,32.220001,31.26,32.00,189200,32.00
2014-12-19,31.959999,31.959999,31.48,31.48,208900,31.48
2014-12-18,31.360001,31.92,30.719999,31.83,418400,31.83
2014-12-17,30.110001,30.90,29.60,30.83,191900,30.83
2014-12-16,30.440001,31.92,29.780001,30.09,422400,30.09
2014-12-15,29.40,30.85,29.40,30.459999,430700,30.459999
2014-12-12,29.030001,29.90,28.73,29.290001,124400,29.290001
2014-12-11,29.219999,29.870001,29.059999,29.34,109800,29.34
2014-12-10,29.57,29.950001,28.48,28.91,444800,28.91
2014-12-09,28.33,29.77,28.16,29.639999,207300,29.639999
2014-12-08,28.620001,29.190001,28.58,28.889999,269300,28.889999
2014-12-05,27.27,28.82,27.27,28.66,311800,28.66
2014-12-04,27.00,27.42,26.629999,27.139999,332400,27.139999
2014-12-03,26.01,26.99,25.99,26.860001,332300,26.860001
2014-12-02,25.360001,26.219999,25.15,25.879999,593900,25.879999
2014-12-01,24.85,25.68,24.139999,25.299999,188800,25.299999
2014-11-28,25.50,25.59,24.709999,24.83,60000,24.83
2014-11-26,25.16,25.67,25.00,25.469999,172500,25.469999
2014-11-25,24.99,25.48,24.77,25.24,426600,25.24
2014-11-24,24.719999,25.35,24.360001,25.00,337700,25.00
2014-11-21,24.440001,25.52,24.17,24.719999,883200,24.719999
2014-11-20,23.93,24.24,23.530001,23.969999,442600,23.969999
2014-11-19,24.50,25.639999,22.610001,23.99,669800,23.99
2014-11-18,21.60,23.040001,21.60,22.98,268000,22.98
2014-11-17,22.629999,23.52,22.00,22.09,124200,22.09
2014-11-14,22.440001,23.049999,22.09,22.57,70600,22.57
2014-11-13,23.09,23.709999,22.33,22.42,96300,22.42
2014-11-12,23.059999,23.18,21.90,23.09,154300,23.09
2014-11-11,22.559999,23.309999,22.15,23.139999,397200,23.139999
2014-11-10,22.34,22.98,22.16,22.76,58900,22.76
2014-11-07,22.60,22.889999,21.690001,22.25,91800,22.25
2014-11-06,22.17,22.82,21.90,22.58,74800,22.58
2014-11-05,21.99,22.40,21.83,22.25,94400,22.25
2014-11-04,21.719999,21.92,21.440001,21.790001,88200,21.790001
2014-11-03,21.93,22.120001,21.41,21.75,86700,21.75
2014-10-31,22.219999,22.860001,20.870001,21.99,142200,21.99
2014-10-30,21.879999,22.34,21.389999,21.65,64300,21.65
2014-10-29,20.780001,22.110001,20.780001,21.92,58100,21.92
2014-10-28,20.99,21.91,20.950001,21.76,99000,21.76
2014-10-27,20.99,21.190001,20.700001,20.950001,32500,20.950001
2014-10-24,21.389999,21.66,21.02,21.120001,90300,21.120001
2014-10-23,21.52,22.110001,21.139999,21.48,130500,21.48
2014-10-22,22.01,22.120001,21.09,21.209999,63100,21.209999
2014-10-21,21.60,22.34,20.99,21.83,69400,21.83
2014-10-20,21.43,21.969999,21.18,21.50,162500,21.50
2014-10-17,22.02,22.15,20.950001,21.639999,169600,21.639999
2014-10-16,19.74,21.780001,19.360001,21.76,434800,21.76
2014-10-15,19.00,20.299999,19.00,20.10,223600,20.10
2014-10-14,19.15,19.969999,19.00,19.290001,115300,19.290001
2014-10-13,18.90,19.639999,18.75,19.10,131300,19.10
2014-10-10,19.84,19.84,18.23,18.76,180000,18.76
2014-10-09,21.07,21.07,19.92,19.950001,56100,19.950001
2014-10-08,20.469999,21.15,20.290001,21.059999,89300,21.059999
2014-10-07,21.110001,21.190001,20.379999,20.459999,146600,20.459999
2014-10-06,21.76,22.139999,21.00,21.25,83000,21.25
2014-10-03,22.200001,22.200001,21.58,21.629999,63700,21.629999
2014-10-02,21.85,22.469999,21.58,21.99,108600,21.99
2014-10-01,21.76,22.15,21.370001,21.690001,162600,21.690001
2014-09-30,22.879999,23.08,21.82,21.84,118600,21.84
2014-09-29,23.00,23.450001,22.65,22.860001,45500,22.860001
2014-09-26,22.93,23.50,22.50,23.290001,94400,23.290001
2014-09-25,23.200001,23.200001,22.33,22.84,110800,22.84
2014-09-24,23.00,23.360001,22.690001,23.309999,64500,23.309999
2014-09-23,23.51,23.620001,22.870001,22.969999,97700,22.969999
2014-09-22,24.32,24.469999,23.32,23.450001,115200,23.450001
2014-09-19,25.50,25.559999,24.42,24.49,252500,24.49
2014-09-18,25.290001,25.620001,25.190001,25.34,96000,25.34
2014-09-17,25.27,25.700001,25.139999,25.200001,77600,25.200001
2014-09-16,24.99,25.42,24.809999,25.190001,203000,25.190001
2014-09-15,24.799999,25.01,24.76,25.00,147600,25.00
2014-09-12,24.879999,25.040001,24.83,24.98,102300,24.98
2014-09-11,24.58,25.09,24.58,24.85,138900,24.85
2014-09-10,24.99,24.99,24.459999,24.75,236500,24.75
2014-09-09,25.030001,25.049999,24.76,24.91,156500,24.91
2014-09-08,24.99,25.030001,24.379999,25.01,252100,25.01
2014-09-05,24.299999,25.040001,24.23,24.889999,176400,24.889999
2014-09-04,24.00,24.57,23.620001,24.34,172800,24.34
2014-09-03,24.35,24.35,23.60,24.00,230800,24.00
2014-09-02,23.75,24.35,23.389999,24.35,130700,24.35
2014-08-29,23.07,23.74,22.90,23.68,99800,23.68
2014-08-28,22.57,23.209999,22.540001,22.85,77600,22.85
2014-08-27,22.73,23.40,22.59,22.75,141500,22.75
2014-08-26,22.809999,22.969999,22.629999,22.76,44300,22.76
2014-08-25,22.75,22.860001,22.40,22.790001,111400,22.790001
2014-08-22,22.459999,22.690001,21.940001,22.60,48300,22.60
2014-08-21,21.870001,22.50,21.370001,22.440001,157600,22.440001
2014-08-20,21.610001,22.15,21.530001,22.01,77900,22.01
2014-08-19,21.42,21.799999,21.41,21.709999,44800,21.709999
2014-08-18,21.530001,21.540001,21.18,21.469999,33600,21.469999
2014-08-15,21.629999,21.75,20.870001,21.299999,73100,21.299999
