Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,343.229992,345.740009,341.510006,341.610008,8627500,48.80143
2014-12-30,341.000008,343.979996,339.769993,343.229992,7011200,49.032856
2014-12-29,335.790009,343.730003,333.570011,341.929989,8588300,48.847141
2014-12-26,341.909988,346.390011,339.740005,340.049999,8847300,48.578571
2014-12-24,336.509998,343.489998,335.990013,342.100006,5411000,48.871429
2014-12-23,338.010006,338.999989,332.310009,336.429996,8291500,48.061428
2014-12-22,339.800007,344.680012,334.240013,336.679989,7994000,48.097141
2014-12-19,335.300011,341.040009,333.350006,340.119987,15047900,48.58857
2014-12-18,338.800011,342.499989,330.629997,334.419991,15639400,47.774284
2014-12-17,317.629993,335.069992,315.540012,333.650013,20192900,47.664288
2014-12-16,324.990002,329.489998,315.999996,316.440006,16947700,45.205715
2014-12-15,336.389996,338.93,326.330006,327.040009,12019000,46.720001
2014-12-12,331.919987,338.259998,328.859997,334.479992,13521200,47.782856
2014-12-11,336.089989,340.900005,333.590012,334.630009,11769100,47.804287
2014-12-10,343.14999,344.73,333.66,334.319988,12644800,47.759998
2014-12-09,334.739998,345.360001,329.02,343.779991,17976700,49.111427
2014-12-08,349.169994,349.879997,338.030006,339.48,13621300,48.497143
2014-12-05,351.03001,354.499996,348.129997,350.919994,9930200,50.131428
2014-12-04,352.999989,357.950008,349.360012,350.599987,11853800,50.085712
2014-12-03,351.549995,355.12001,344.269989,355.12001,13819400,50.73143
2014-12-02,341.299988,353.339996,340.840004,352.310013,14271600,50.330002
2014-12-01,344.999992,347.000011,337.640011,341.810013,11964400,48.830002
2014-11-28,353.589989,354.000011,345.990002,346.589989,6702500,49.512856
2014-11-26,351.079998,353.689991,348.220013,351.16,10063200,50.165714
2014-11-25,351.019997,352.429989,343.999996,348.98999,28100800,49.855713
2014-11-24,360.560001,363.459988,355.39999,356.470001,17864000,50.924286
2014-11-21,372.480007,373.250011,359.500004,360.279995,17878000,51.468571
2014-11-20,363.089993,373.259998,361.000011,368.139988,15425200,52.591427
2014-11-19,383.209999,387.050007,362.659996,363.100006,24515400,51.871429
2014-11-18,380.999989,384.899998,380.529991,381.030003,7921200,54.432858
2014-11-17,385.380009,389.499996,380.749996,381.139992,9225300,54.44857
2014-11-14,379.380005,387.219997,378.57,386.039997,10988600,55.148571
2014-11-13,384.459988,385.049988,377.530003,379.409992,10490200,54.201427
2014-11-12,381.130005,385.959995,377.040005,383.860001,10958500,54.837143
2014-11-11,387.270012,394.099995,381.809994,382.550011,14838600,54.650002
2014-11-10,383.000008,389.450008,378.999996,387.270012,9711100,55.324287
2014-11-07,383.439991,385.249992,379.300003,384.160007,9303700,54.880001
2014-11-06,378.00,385.329994,377.349998,383.299988,9991800,54.757141
2014-11-05,385.610001,387.840012,376.390003,380.380001,13645800,54.34
2014-11-04,386.919991,387.250011,378.770004,382.780003,11389700,54.682858
2014-11-03,393.229988,395.52,385.109989,388.410011,17581200,55.487144
2014-10-31,384.400013,393.77,384.000004,392.770004,20470100,56.110001
2014-10-30,377.510002,382.339993,374.600002,379.01001,10593800,54.144287
2014-10-29,386.220001,386.680012,377.770008,378.100002,12507600,54.014286
2014-10-28,379.75,386.870003,378.349995,386.220001,11736900,55.174286
2014-10-27,383.900002,384.499989,376.699997,379.400005,14944300,54.200001
2014-10-24,382.579998,386.999992,380.809998,385.02,14657300,55.002857
2014-10-23,380.520004,385.770004,378.249992,383.040009,19916400,54.720001
2014-10-22,368.989994,381.980011,363.200008,374.64999,32150300,53.521427
2014-10-21,362.259987,366.789997,355.439991,365.990005,19365500,52.284286
2014-10-20,356.000004,369.189999,355.550007,359.219997,33529300,51.317142
2014-10-17,359.809998,360.070004,341.499992,357.089989,79160900,51.012856
2014-10-16,332.729992,366.17001,330.999992,361.700001,92304800,51.671429
2014-10-15,444.470013,450.979988,430.179993,448.589973,59927700,64.084282
2014-10-14,445.51001,451.989998,438.130001,449.120026,16747500,64.160004
2014-10-13,451.250008,452.470009,433.000004,438.579998,20216700,62.654285
2014-10-10,459.800003,464.840012,451.440025,452.079987,19110700,64.582855
2014-10-09,466.630013,467.98999,459.559998,461.620018,14928200,65.945717
2014-10-08,456.650024,467.600021,451.379997,466.859978,14332500,66.694283
2014-10-07,461.100006,466.279991,456.000023,456.250015,13759200,65.178574
2014-10-06,462.00,467.209999,460.999977,463.47998,13709500,66.211426
2014-10-03,453.190025,460.600021,452.51001,459.540024,15290100,65.648575
